design_id,design_role,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull
map_0001,training,1600,10,1.0,0.2,True,False
map_0002,training,1200,5,1.1,0.5,True,False
map_0003,training,1800,5,0.6,0.0,True,False
map_0004,training,1800,20,1.4,0.0,True,False
map_0005,training,1400,5,1.4,0.1,True,False
map_0006,training,1600,20,0.6,0.1,True,False
map_0007,training,1800,5,1.4,0.3,True,False
map_0008,training,1800,5,1.2,0.0,True,False
map_0009,training,1400,20,1.3,0.2,True,False
map_0010,training,1800,20,0.9,0.0,True,False
map_0011,training,1400,5,0.8,0.1,True,False
map_0012,training,1800,5,0.8,0.3,True,False
map_0013,training,1200,10,1.0,0.3,True,False
map_0014,training,1600,5,1.1,0.4,True,False
map_0015,training,1800,5,0.9,0.05,True,False
map_0016,training,1400,10,1.3,0.4,True,False
map_0017,training,1400,5,1.1,0.1,True,False
map_0018,training,1400,20,0.8,0.2,True,False
map_0019,training,1600,10,1.3,0.05,True,False
map_0020,training,1600,10,0.8,0.0,True,False
map_0021,training,1400,10,1.0,0.5,True,False
map_0022,training,1600,20,1.1,0.05,True,False
map_0023,training,1800,10,1.2,0.2,True,False
map_0024,training,1400,5,0.9,0.3,True,False
map_0025,training,1600,10,0.7,0.2,True,False
map_0026,training,1400,5,1.4,0.3,True,False
map_0027,training,1800,5,1.4,0.1,True,False
map_0028,training,1600,5,1.3,0.2,True,False
map_0029,training,1600,10,0.9,0.4,True,False
map_0030,training,1600,10,1.4,0.3,True,False
map_0031,training,1400,10,1.0,0.05,True,False
map_0032,training,1800,10,0.6,0.1,True,False
map_0033,training,1400,10,1.2,0.2,True,False
map_0034,training,1800,10,1.0,0.0,True,False
map_0035,training,1200,5,1.1,0.3,True,False
map_0036,training,1400,10,0.8,0.3,True,False
map_0037,training,1800,5,1.1,0.2,True,False
map_0038,training,1600,5,0.7,0.05,True,False
map_0039,training,1600,5,1.0,0.0,True,False
map_0040,training,1800,20,0.7,0.05,True,False
map_0041,training,1800,20,1.2,0.1,True,False
map_0042,training,1200,5,0.9,0.4,True,False
map_0043,training,1600,5,0.9,0.2,True,False
map_0044,training,1600,5,1.4,0.0,True,False
map_0045,training,1600,20,0.9,0.1,True,False
map_0046,training,1600,20,1.4,0.1,True,False
map_0047,training,1800,10,1.0,0.3,True,False
map_0048,training,1600,10,0.6,0.0,True,False
map_0049,training,1800,10,0.8,0.1,True,False
map_0050,training,1400,10,1.4,0.2,True,False
map_0051,training,1400,20,1.0,0.2,True,False
map_0052,training,1600,10,1.2,0.3,True,False
map_0053,training,1800,10,1.4,0.2,True,False
map_0054,training,1600,5,1.3,0.4,True,False
map_0055,training,1200,10,1.2,0.4,True,False
map_0056,training,1600,20,1.2,0.2,True,False
map_0057,training,1400,5,1.2,0.3,True,False
map_0058,training,1600,10,1.1,0.0,True,False
map_0059,training,1800,10,1.4,0.0,True,False
map_0060,training,1400,5,1.0,0.5,True,False
map_0061,training,1400,10,0.8,0.1,True,False
map_0062,training,1600,5,0.9,0.4,True,False
map_0063,training,1800,10,1.2,0.0,True,False
map_0064,training,1600,5,1.2,0.05,True,False
map_0065,training,1600,5,0.7,0.2,True,False
map_0066,training,1200,10,1.0,0.5,True,False
map_0067,training,1400,10,1.0,0.3,True,False
map_0068,training,1600,5,1.1,0.2,True,False
map_0069,training,1400,10,0.7,0.2,True,False
