"design_id","design_role","temperature_K","pressure_bar","equivalence_ratio","cracking_ratio","inside_experimental_convex_hull"
"map_0036","training","300","1","0.6","0.5","True"
"map_0039","training","450","5","0.9","0.0","True"
"map_0042","training","300","1","1.4","0.0","True"
"map_0045","training","300","1","1.2","0.7","True"
"map_0048","training","450","1","1.0","0.2","True"
"map_0051","training","300","1","0.7","0.1","True"
"map_0054","training","300","5","0.9","0.3","True"
"map_0057","training","300","5","0.8","0.4","True"
"map_0060","training","300","5","1.4","0.3","True"
"map_0063","training","300","5","1.2","0.3","True"
"map_0066","training","450","1","1.0","0.0","True"
"map_0069","training","300","5","1.0","0.05","True"
"map_0072","training","450","1","1.3","0.05","True"
"map_0075","training","300","20","1.4","0.0","False"
"map_0078","training","750","1","0.6","0.7","False"
"map_0081","training","750","20","1.4","0.7","False"
"map_0084","training","750","20","0.6","0.0","False"
"map_0087","training","450","1","0.6","0.3","False"
"map_0090","training","750","1","1.0","0.4","False"
"map_0093","training","750","5","1.4","0.4","False"
"map_0096","training","600","1","1.0","0.05","False"
"map_0099","training","750","20","1.0","0.4","False"
"map_0102","training","750","5","0.9","0.0","False"
"map_0105","training","600","5","1.4","0.7","False"
"map_0108","training","450","1","1.4","0.7","False"
"map_0111","training","300","20","1.0","0.0","False"
"map_0114","training","600","10","0.6","0.2","False"
"map_0117","training","750","10","1.2","0.2","False"
"map_0120","training","750","1","0.6","0.3","False"
"map_0123","interpolation_holdout","300","1","0.7","0.7","True"
"map_0126","interpolation_holdout","300","5","1.0","0.5","True"
"map_0129","interpolation_holdout","300","1","0.6","0.05","True"
"map_0132","interpolation_holdout","450","1","0.9","0.0","True"
"map_0135","interpolation_holdout","750","1","0.6","0.05","False"
"map_0138","interpolation_holdout","300","5","0.6","0.0","False"
"map_0141","interpolation_holdout","750","5","0.6","0.7","False"
"map_0144","interpolation_holdout","750","10","0.6","0.0","False"
