design_id,design_role,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_experimental_convex_hull
map_0002,training,300,1,0.6,0.7,True
map_0004,training,300,1,1.4,0.7,True
map_0006,training,300,5,0.9,0.5,True
map_0008,training,300,5,1.4,0.5,True
map_0010,training,450,1,1.4,0.0,True
map_0012,training,450,1,1.4,0.4,True
map_0014,training,300,1,1.0,0.7,True
map_0016,training,450,1,1.1,0.05,True
map_0018,training,300,5,0.7,0.3,True
map_0020,training,300,1,1.4,0.2,True
map_0022,training,450,1,1.1,0.3,True
map_0024,training,300,5,1.2,0.0,True
map_0026,training,300,1,1.2,0.0,True
map_0028,training,300,5,1.3,0.2,True
map_0030,training,300,5,1.1,0.4,True
map_0032,training,450,5,1.3,0.1,True
map_0034,training,300,1,0.6,0.0,True
map_0036,training,300,1,0.6,0.5,True
map_0038,training,300,5,0.9,0.0,True
map_0040,training,300,1,0.8,0.7,True
map_0042,training,300,1,1.4,0.0,True
map_0044,training,300,10,1.4,0.3,True
map_0046,training,450,5,1.2,0.2,True
map_0048,training,450,1,1.0,0.2,True
map_0050,training,450,1,0.9,0.1,True
map_0052,training,300,1,0.7,0.3,True
map_0054,training,300,5,0.9,0.3,True
map_0056,training,300,1,1.3,0.1,True
map_0058,training,450,1,1.0,0.4,True
map_0060,training,300,5,1.4,0.3,True
map_0062,training,300,5,1.1,0.1,True
map_0064,training,300,5,1.3,0.4,True
map_0066,training,450,1,1.0,0.0,True
map_0068,training,300,5,0.8,0.05,True
map_0070,training,450,5,1.0,0.05,True
map_0072,training,450,1,1.3,0.05,True
map_0074,training,300,20,0.6,0.7,False
map_0076,training,300,10,1.4,0.7,False
map_0078,training,750,1,0.6,0.7,False
map_0080,training,750,20,0.6,0.7,False
map_0082,training,750,1,0.6,0.0,False
map_0084,training,750,20,0.6,0.0,False
map_0086,training,450,1,1.0,0.7,False
map_0088,training,300,10,1.0,0.3,False
map_0090,training,750,1,1.0,0.4,False
map_0092,training,450,5,1.4,0.2,False
map_0094,training,450,5,0.6,0.5,False
map_0096,training,600,1,1.0,0.05,False
map_0098,training,450,5,0.8,0.0,False
map_0100,training,300,5,0.9,0.7,False
map_0102,training,750,5,0.9,0.0,False
map_0104,training,600,1,1.4,0.3,False
map_0106,training,300,5,0.6,0.2,False
map_0108,training,450,1,1.4,0.7,False
map_0110,training,600,5,1.2,0.0,False
map_0112,training,600,10,0.8,0.7,False
map_0114,training,600,10,0.6,0.2,False
map_0116,training,450,1,0.7,0.0,False
map_0118,training,600,20,0.6,0.5,False
map_0120,training,750,1,0.6,0.3,False
map_0122,interpolation_holdout,300,10,1.4,0.2,True
map_0124,interpolation_holdout,300,1,1.3,0.7,True
map_0126,interpolation_holdout,300,5,1.0,0.5,True
map_0128,interpolation_holdout,300,5,0.7,0.2,True
map_0130,interpolation_holdout,450,1,1.0,0.5,True
map_0132,interpolation_holdout,450,1,0.9,0.0,True
map_0134,interpolation_holdout,450,1,0.7,0.7,False
map_0136,interpolation_holdout,300,20,1.4,0.7,False
map_0138,interpolation_holdout,300,5,0.6,0.0,False
map_0140,interpolation_holdout,300,20,0.7,0.7,False
map_0142,interpolation_holdout,600,1,1.2,0.0,False
map_0144,interpolation_holdout,750,10,0.6,0.0,False
