design_id,dataset_id,campaign_id,doi,laboratory,apparatus,observable,value,unit,uncertainty,uncertainty_type,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,fuel_composition,oxidizer_composition,definition,source_location,digitized,quality_status,exclusion_reason,source_file,file_doi,experiment_type,residence_time_s,time_s,reported_value,reported_unit,curator,initial_composition
lbv_0001,x20199018:gdg1:p5:laminar burning velocity,campaign_0ddb81cb8c2a,10.1016/j.fuel.2020.118425,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.7690000000000001,m/s,0.03265,evaluated standard deviation:absolute:m/s,303.0,100000.0,1.0,0.0,"{""NH3"": 0.444444}","{""N2"": 0.222222, ""O2"": 0.333333}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat. mmc1, Oxygen fraction worksheet, omega = 0.6; figure: Fig. 3., omega = 0.6",False,pending_manual_review,,x20199018.xml,10.24388/x20199018,laminar burning velocity measurement,,,76.9,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.222222, ""NH3"": 0.444444, ""O2"": 0.333333}"
lbv_0003,x20199021:gdg1:p4:laminar burning velocity,campaign_0ddb81cb8c2a,10.1016/j.fuel.2020.118425,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.8890000000000001,m/s,0.02686,evaluated standard deviation:absolute:m/s,393.0,100000.0,0.7,0.0,"{""NH3"": 0.358974}","{""N2"": 0.25641, ""O2"": 0.384615}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat. mmc1, Initial temperature worksheet, phi = 0.7, omega = 0.6; figure: Fig. 4., omega = 0.6",False,pending_manual_review,,x20199021.xml,10.24388/x20199021,laminar burning velocity measurement,,,88.9,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.25641, ""NH3"": 0.358974, ""O2"": 0.384615}"
lbv_0005,x20199024:gdg1:p4:laminar burning velocity,campaign_0ddb81cb8c2a,10.1016/j.fuel.2020.118425,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.648,m/s,0.0198,evaluated standard deviation:absolute:m/s,393.0,100000.0,1.4,0.0,"{""NH3"": 0.528302}","{""N2"": 0.188679, ""O2"": 0.283019}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat. mmc1, Initial temperature worksheet, phi = 1.4, omega = 0.6; figure: Fig. 5., omega = 0.6",False,pending_manual_review,,x20199024.xml,10.24388/x20199024,laminar burning velocity measurement,,,64.8,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.188679, ""NH3"": 0.528302, ""O2"": 0.283019}"
lbv_0007,x20100007:gdg1:p2:laminar burning velocity,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.15,m/s,0.01061,evaluated standard deviation:absolute:m/s,298.0,101325.0,0.6,0.4,"{""H2"": 0.083888, ""NH3"": 0.083888}","{""N2"": 0.657457, ""O2"": 0.174767}",Sl,location: Main article; figure: Fig. 5. - phi = 0.60,False,pending_manual_review,,x20100007.xml,10.24388/x20100007,laminar burning velocity measurement,,,15.0,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.083888, ""N2"": 0.657457, ""NH3"": 0.083888, ""O2"": 0.174767}"
lbv_0009,x20100010:gdg1:p2:laminar burning velocity,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.3879999999999999,m/s,0.02744,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.25,0.4,"{""H2"": 0.147887, ""NH3"": 0.147887}","{""N2"": 0.556338, ""O2"": 0.147887}",Sl,location: Main article; figure: Fig. 5. - phi = 1.25,False,pending_manual_review,,x20100010.xml,10.24388/x20100010,laminar burning velocity measurement,,,38.8,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.147887, ""N2"": 0.556338, ""NH3"": 0.147887, ""O2"": 0.147887}"
lbv_0011,x20100082:gdg1:p1:laminar burning velocity,campaign_16f8038c5740,10.1016/j.ijhydene.2021.09.188,,flame cone method; modified Bunsen burner,laminar burning velocity,0.469,m/s,0.03542,evaluated standard deviation:absolute:m/s,368.0,101325.0,0.7,0.2222208348031304,"{""H2"": 0.071186, ""NH3"": 0.166102}","{""N2"": 0.533898, ""O2"": 0.228814}",Sl,"location: Main article; figure: Fig. 1., symbols",False,pending_manual_review,,x20100082.xml,10.24388/x20100082,laminar burning velocity measurement,,,46.9,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.071186, ""N2"": 0.533898, ""NH3"": 0.166102, ""O2"": 0.228814}"
lbv_0013,x20100082:gdg1:p5:laminar burning velocity,campaign_16f8038c5740,10.1016/j.ijhydene.2021.09.188,,flame cone method; modified Bunsen burner,laminar burning velocity,0.5650000000000001,m/s,0.04267,evaluated standard deviation:absolute:m/s,368.0,101325.0,1.1,0.2222212196032561,"{""H2"": 0.098507, ""NH3"": 0.229851}","{""N2"": 0.470149, ""O2"": 0.201493}",Sl,"location: Main article; figure: Fig. 1., symbols",False,pending_manual_review,,x20100082.xml,10.24388/x20100082,laminar burning velocity measurement,,,56.5,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.098507, ""N2"": 0.470149, ""NH3"": 0.229851, ""O2"": 0.201493}"
lbv_0015,x20100082:gdg1:p9:laminar burning velocity,campaign_16f8038c5740,10.1016/j.ijhydene.2021.09.188,,flame cone method; modified Bunsen burner,laminar burning velocity,0.341,m/s,0.02575,evaluated standard deviation:absolute:m/s,368.0,101325.0,1.5,0.2222222222222222,"{""H2"": 0.12, ""NH3"": 0.28}","{""N2"": 0.42, ""O2"": 0.18}",Sl,"location: Main article; figure: Fig. 1., symbols",False,pending_manual_review,,x20100082.xml,10.24388/x20100082,laminar burning velocity measurement,,,34.1,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.12, ""N2"": 0.42, ""NH3"": 0.28, ""O2"": 0.18}"
lbv_0017,x20100075:gdg1:p4:laminar burning velocity,campaign_56edf2653b54,10.1016/j.combustflame.2021.111472,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.0796,m/s,0.005,evaluated standard deviation:absolute:m/s,298.0,1013250.0,1.4,0.4,"{""H2"": 0.15186, ""NH3"": 0.15186}","{""N2"": 0.560692, ""O2"": 0.135589}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat., SSM#2-Experimental data, gamma = 40%, Pu = 10 atm; figure: Fig. 4., purple diamonds",False,pending_manual_review,,x20100075.xml,10.24388/x20100075,laminar burning velocity measurement,,,7.96,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.15186, ""N2"": 0.560692, ""NH3"": 0.15186, ""O2"": 0.135589}"
lbv_0019,x20100076:gdg1:p8:laminar burning velocity,campaign_56edf2653b54,10.1016/j.combustflame.2021.111472,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,1.1266,m/s,0.05527,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.0,0.7999999999999999,"{""H2"": 0.223404, ""NH3"": 0.037234}","{""N2"": 0.599734, ""O2"": 0.139628}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat., SSM#2-Experimental data, phi = 1.0, Pu = 1 atm; figure: Fig. 5., black squares",False,pending_manual_review,,x20100076.xml,10.24388/x20100076,laminar burning velocity measurement,,,112.66,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.223404, ""N2"": 0.599734, ""NH3"": 0.037234, ""O2"": 0.139628}"
