design_id,dataset_id,campaign_id,doi,laboratory,apparatus,observable,value,unit,uncertainty,uncertainty_type,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,fuel_composition,oxidizer_composition,definition,source_location,digitized,quality_status,exclusion_reason,source_file,file_doi,experiment_type,residence_time_s,time_s,reported_value,reported_unit,curator,initial_composition
lbv_0001,x20199018:gdg1:p5:laminar burning velocity,campaign_0ddb81cb8c2a,10.1016/j.fuel.2020.118425,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.7690000000000001,m/s,0.03265,evaluated standard deviation:absolute:m/s,303.0,100000.0,1.0,0.0,"{""NH3"": 0.444444}","{""N2"": 0.222222, ""O2"": 0.333333}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat. mmc1, Oxygen fraction worksheet, omega = 0.6; figure: Fig. 3., omega = 0.6",False,pending_manual_review,,x20199018.xml,10.24388/x20199018,laminar burning velocity measurement,,,76.9,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.222222, ""NH3"": 0.444444, ""O2"": 0.333333}"
lbv_0004,x20199024:gdg1:p2:laminar burning velocity,campaign_0ddb81cb8c2a,10.1016/j.fuel.2020.118425,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.529,m/s,0.01726,evaluated standard deviation:absolute:m/s,333.0,100000.0,1.4,0.0,"{""NH3"": 0.528302}","{""N2"": 0.188679, ""O2"": 0.283019}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat. mmc1, Initial temperature worksheet, phi = 1.4, omega = 0.6; figure: Fig. 5., omega = 0.6",False,pending_manual_review,,x20199024.xml,10.24388/x20199024,laminar burning velocity measurement,,,52.9,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.188679, ""NH3"": 0.528302, ""O2"": 0.283019}"
lbv_0007,x20100007:gdg1:p2:laminar burning velocity,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.15,m/s,0.01061,evaluated standard deviation:absolute:m/s,298.0,101325.0,0.6,0.4,"{""H2"": 0.083888, ""NH3"": 0.083888}","{""N2"": 0.657457, ""O2"": 0.174767}",Sl,location: Main article; figure: Fig. 5. - phi = 0.60,False,pending_manual_review,,x20100007.xml,10.24388/x20100007,laminar burning velocity measurement,,,15.0,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.083888, ""N2"": 0.657457, ""NH3"": 0.083888, ""O2"": 0.174767}"
lbv_0010,x20100011:gdg1:p1:laminar burning velocity,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.206,m/s,0.01457,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.67,0.4,"{""H2"": 0.179717, ""NH3"": 0.179717}","{""N2"": 0.506047, ""O2"": 0.134519}",Sl,location: Main article; figure: Fig. 5. - phi = 1.67,False,pending_manual_review,,x20100011.xml,10.24388/x20100011,laminar burning velocity measurement,,,20.6,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.179717, ""N2"": 0.506047, ""NH3"": 0.179717, ""O2"": 0.134519}"
lbv_0013,x20100082:gdg1:p5:laminar burning velocity,campaign_16f8038c5740,10.1016/j.ijhydene.2021.09.188,,flame cone method; modified Bunsen burner,laminar burning velocity,0.5650000000000001,m/s,0.04267,evaluated standard deviation:absolute:m/s,368.0,101325.0,1.1,0.2222212196032561,"{""H2"": 0.098507, ""NH3"": 0.229851}","{""N2"": 0.470149, ""O2"": 0.201493}",Sl,"location: Main article; figure: Fig. 1., symbols",False,pending_manual_review,,x20100082.xml,10.24388/x20100082,laminar burning velocity measurement,,,56.5,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.098507, ""N2"": 0.470149, ""NH3"": 0.229851, ""O2"": 0.201493}"
lbv_0016,x20100073:gdg1:p4:laminar burning velocity,campaign_56edf2653b54,10.1016/j.combustflame.2021.111472,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.3027,m/s,0.0141999999999999,evaluated standard deviation:absolute:m/s,298.0,202650.0,1.1,0.4,"{""H2"": 0.129122, ""NH3"": 0.129122}","{""N2"": 0.595025, ""O2"": 0.14673}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat., SSM#2-Experimental data, gamma = 40%, Pu = 2 atm; figure: Fig. 4., green circles",False,pending_manual_review,,x20100073.xml,10.24388/x20100073,laminar burning velocity measurement,,,30.27,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.129122, ""N2"": 0.595025, ""NH3"": 0.129122, ""O2"": 0.14673}"
lbv_0019,x20100076:gdg1:p8:laminar burning velocity,campaign_56edf2653b54,10.1016/j.combustflame.2021.111472,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,1.1266,m/s,0.05527,evaluated standard deviation:absolute:m/s,298.0,101325.0,1.0,0.7999999999999999,"{""H2"": 0.223404, ""NH3"": 0.037234}","{""N2"": 0.599734, ""O2"": 0.139628}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat., SSM#2-Experimental data, phi = 1.0, Pu = 1 atm; figure: Fig. 5., black squares",False,pending_manual_review,,x20100076.xml,10.24388/x20100076,laminar burning velocity measurement,,,112.66,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.223404, ""N2"": 0.599734, ""NH3"": 0.037234, ""O2"": 0.139628}"
lbv_0022,x20199012:gdg1:p1:laminar burning velocity,campaign_5d95bed2df87,10.1016/j.combustflame.2019.08.033,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.093,m/s,0.005,evaluated standard deviation:absolute:m/s,298.0,101325.0,0.6,0.0,"{""NH3"": 0.21875}","{""N2"": 0.507813, ""O2"": 0.273438}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat. mmc2, NH3-35%O2-65%N2, P = 1 atm; figure: Fig. 6. a) squares",False,pending_manual_review,,x20199012.xml,10.24388/x20199012,laminar burning velocity measurement,,,9.3,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.507813, ""NH3"": 0.21875, ""O2"": 0.273438}"
lbv_0025,x20199014:gdg1:p1:laminar burning velocity,campaign_5d95bed2df87,10.1016/j.combustflame.2019.08.033,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.0707,m/s,0.005,evaluated standard deviation:absolute:m/s,298.0,506625.0,0.6,0.0,"{""NH3"": 0.21875}","{""N2"": 0.507813, ""O2"": 0.273438}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat. mmc2, NH3-35%O2-65%N2, P = 5 atm; figure: Fig. 6. c) squares",False,pending_manual_review,,x20199014.xml,10.24388/x20199014,laminar burning velocity measurement,,,7.07,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""N2"": 0.507813, ""NH3"": 0.21875, ""O2"": 0.273438}"
lbv_0028,x20100070:gdg1:p8:laminar burning velocity,campaign_629a30b39091,10.1016/j.combustflame.2021.111753,,outwardly propagating spherical flame; constant volume combustion chamber,laminar burning velocity,0.1084,m/s,0.005,evaluated standard deviation:absolute:m/s,298.0,100000.0,1.8,0.3076923076923077,"{""H2"": 0.147082, ""NH3"": 0.220623}","{""N2"": 0.499514, ""O2"": 0.132782}",Sl,"location: Main article and Supp. Mat.; table: Supp. Mat., S4, 0.1 MPa; figure: Fig. 4. a), full black squares (present study, non-linear)",False,pending_manual_review,,x20100070.xml,10.24388/x20100070,laminar burning velocity measurement,,,10.84,cm/s,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.147082, ""N2"": 0.499514, ""NH3"": 0.220623, ""O2"": 0.132782}"
