design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role
reactor_0001,750,10,10,1.0,0.3,0.5,0.0,primary_map
reactor_0002,750,20,20,0.6,0.7,0.5,0.0,primary_map
reactor_0003,750,5,5,0.6,0.7,0.5,0.0,primary_map
reactor_0004,750,5,20,1.4,0.7,0.5,0.0,primary_map
reactor_0005,750,20,5,1.4,0.7,0.5,0.0,primary_map
reactor_0006,750,5,5,1.4,0.7,0.5,0.0,primary_map
reactor_0007,750,5,20,0.6,0.7,0.5,0.0,primary_map
reactor_0008,750,20,5,0.6,0.7,0.5,0.0,primary_map
reactor_0009,750,20,20,1.4,0.7,0.5,0.0,primary_map
reactor_0010,750,20,20,0.6,0.0,0.5,0.0,primary_map
reactor_0011,750,5,20,0.6,0.0,0.5,0.0,primary_map
reactor_0012,750,20,5,0.6,0.0,0.5,0.0,primary_map
reactor_0013,750,20,20,1.4,0.0,0.5,0.0,primary_map
reactor_0014,750,5,5,0.6,0.0,0.5,0.0,primary_map
reactor_0015,750,5,20,1.4,0.0,0.5,0.0,primary_map
reactor_0016,750,20,5,1.4,0.0,0.5,0.0,primary_map
reactor_0017,750,5,5,1.4,0.0,0.5,0.0,primary_map
reactor_0018,750,5,10,1.0,0.7,0.5,0.0,primary_map
reactor_0019,750,10,5,1.0,0.7,0.5,0.0,primary_map
reactor_0020,750,10,10,0.6,0.7,0.5,0.0,primary_map
reactor_0021,750,10,10,1.4,0.7,0.5,0.0,primary_map
reactor_0022,750,10,20,1.0,0.7,0.5,0.0,primary_map
reactor_0023,750,20,10,1.0,0.7,0.5,0.0,primary_map
reactor_0024,750,10,10,0.6,0.0,0.5,0.0,primary_map
reactor_0025,750,10,20,1.0,0.0,0.5,0.0,primary_map
reactor_0026,750,20,10,1.0,0.0,0.5,0.0,primary_map
reactor_0027,750,5,5,1.0,0.3,0.5,0.0,primary_map
reactor_0028,750,5,10,0.6,0.3,0.5,0.0,primary_map
reactor_0029,750,5,10,1.0,0.0,0.5,0.0,primary_map
reactor_0030,750,5,10,1.4,0.3,0.5,0.0,primary_map
reactor_0031,750,5,20,1.0,0.3,0.5,0.0,primary_map
reactor_0032,750,10,5,0.6,0.3,0.5,0.0,primary_map
reactor_0033,750,10,5,1.0,0.0,0.5,0.0,primary_map
reactor_0034,750,10,5,1.4,0.3,0.5,0.0,primary_map
reactor_0035,750,10,10,1.4,0.0,0.5,0.0,primary_map
reactor_0036,750,10,20,0.6,0.3,0.5,0.0,primary_map
reactor_0037,750,10,20,1.4,0.3,0.5,0.0,primary_map
reactor_0038,750,20,5,1.0,0.3,0.5,0.0,primary_map
reactor_0039,750,20,10,0.6,0.3,0.5,0.0,primary_map
reactor_0040,750,20,10,1.4,0.3,0.5,0.0,primary_map
reactor_0041,750,20,20,1.0,0.3,0.5,0.0,primary_map
reactor_0042,750,5,5,1.0,0.7,0.5,0.0,primary_map
reactor_0043,750,5,10,0.6,0.7,0.5,0.0,primary_map
reactor_0044,750,5,10,1.4,0.7,0.5,0.0,primary_map
reactor_0045,750,5,20,1.0,0.7,0.5,0.0,primary_map
reactor_0046,750,10,5,0.6,0.7,0.5,0.0,primary_map
reactor_0047,750,10,5,1.4,0.7,0.5,0.0,primary_map
reactor_0048,750,10,10,1.0,0.7,0.5,0.0,primary_map
reactor_0049,750,10,20,0.6,0.7,0.5,0.0,primary_map
reactor_0050,750,10,20,1.4,0.7,0.5,0.0,primary_map
reactor_0051,750,20,5,1.0,0.7,0.5,0.0,primary_map
reactor_0052,750,20,10,0.6,0.7,0.5,0.0,primary_map
reactor_0053,750,20,10,1.4,0.7,0.5,0.0,primary_map
reactor_0054,750,20,20,1.0,0.7,0.5,0.0,primary_map
reactor_0055,750,5,5,0.6,0.3,0.5,0.0,primary_map
reactor_0056,750,5,5,1.0,0.0,0.5,0.0,primary_map
reactor_0057,750,5,5,1.4,0.3,0.5,0.0,primary_map
reactor_0058,750,5,10,0.6,0.0,0.5,0.0,primary_map
reactor_0059,750,5,10,1.0,0.3,0.5,0.0,primary_map
reactor_0060,750,5,10,1.4,0.0,0.5,0.0,primary_map
reactor_0061,750,5,20,0.6,0.3,0.5,0.0,primary_map
reactor_0062,750,5,20,1.0,0.0,0.5,0.0,primary_map
reactor_0063,750,5,20,1.4,0.3,0.5,0.0,primary_map
reactor_0064,750,10,5,0.6,0.0,0.5,0.0,primary_map
reactor_0065,750,10,5,1.0,0.3,0.5,0.0,primary_map
reactor_0066,750,10,5,1.4,0.0,0.5,0.0,primary_map
reactor_0067,750,10,10,0.6,0.3,0.5,0.0,primary_map
reactor_0068,750,10,10,1.0,0.0,0.5,0.0,primary_map
reactor_0069,750,10,10,1.4,0.3,0.5,0.0,primary_map
reactor_0070,750,10,20,0.6,0.0,0.5,0.0,primary_map
reactor_0071,750,10,20,1.0,0.3,0.5,0.0,primary_map
reactor_0072,750,10,20,1.4,0.0,0.5,0.0,primary_map
reactor_0073,750,20,5,0.6,0.3,0.5,0.0,primary_map
reactor_0074,750,20,5,1.0,0.0,0.5,0.0,primary_map
reactor_0075,750,20,5,1.4,0.3,0.5,0.0,primary_map
reactor_0076,750,20,10,0.6,0.0,0.5,0.0,primary_map
reactor_0077,750,20,10,1.0,0.3,0.5,0.0,primary_map
reactor_0078,750,20,10,1.4,0.0,0.5,0.0,primary_map
reactor_0079,750,20,20,0.6,0.3,0.5,0.0,primary_map
reactor_0080,750,20,20,1.0,0.0,0.5,0.0,primary_map
reactor_0081,750,20,20,1.4,0.3,0.5,0.0,primary_map
reactor_0082,750,5,5,0.8,0.5,0.5,0.0,primary_map
reactor_0083,750,5,10,0.8,0.5,0.5,0.0,primary_map
reactor_0084,750,5,20,0.8,0.5,0.5,0.0,primary_map
