dataset_id,campaign_id,doi,laboratory,apparatus,observable,value,unit,uncertainty,uncertainty_type,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,fuel_composition,oxidizer_composition,definition,source_location,digitized,quality_status,exclusion_reason,source_file,file_doi,experiment_type,residence_time_s,time_s,reported_value,reported_unit,curator,initial_composition
x00100000:gdg1:p1:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,4.3e-05,mole fraction,5e-06,evaluated standard deviation:absolute:mole fraction,900.0,101325.0,0.25,0.06896551724137931,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,4.3e-05,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}"
x00100000:gdg1:p1:NH3,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),NH3,0.001788,mole fraction,0.000135,evaluated standard deviation:absolute:mole fraction,900.0,101325.0,0.25,0.06896551724137931,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[NH3],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.001788,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}"
x00100000:gdg1:p1:NO,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),NO,0.0,mole fraction,5e-06,evaluated standard deviation:absolute:mole fraction,900.0,101325.0,0.25,0.06896551724137931,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[NO],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.0,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}"
x00100000:gdg1:p1:N2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),N2O,0.0,mole fraction,5e-06,evaluated standard deviation:absolute:mole fraction,900.0,101325.0,0.25,0.06896551724137931,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[N2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.0,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}"
x00100000:gdg1:p2:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,3.5e-05,mole fraction,5e-06,evaluated standard deviation:absolute:mole fraction,950.0,101325.0,0.25,0.06896551724137931,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,3.5e-05,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}"
x00100000:gdg1:p2:NH3,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),NH3,0.001825,mole fraction,0.000137,evaluated standard deviation:absolute:mole fraction,950.0,101325.0,0.25,0.06896551724137931,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[NH3],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.001825,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}"
x00100000:gdg1:p2:NO,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),NO,0.0,mole fraction,5e-06,evaluated standard deviation:absolute:mole fraction,950.0,101325.0,0.25,0.06896551724137931,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[NO],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.0,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}"
x00100000:gdg1:p2:N2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),N2O,0.0,mole fraction,5e-06,evaluated standard deviation:absolute:mole fraction,950.0,101325.0,0.25,0.06896551724137931,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[N2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.0,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}"
x00100000:gdg1:p3:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,7.1e-05,mole fraction,7e-06,evaluated standard deviation:absolute:mole fraction,1000.0,101325.0,0.25,0.06896551724137931,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,7.1e-05,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}"
x00100000:gdg1:p3:NH3,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),NH3,0.00168,mole fraction,0.000126,evaluated standard deviation:absolute:mole fraction,1000.0,101325.0,0.25,0.06896551724137931,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[NH3],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.00168,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}"
