source_file,status,rows,error,file_doi,rkd_format_version,record_version,first_publication_date,last_modification_date
x00100000.xml,parsed,40,,10.24388/x00100000,2.4,2.0,2023-03-13,2023-03-13
x00100001.xml,parsed,36,,10.24388/x00100001,2.4,2.0,2023-03-13,2023-03-13
x00100002.xml,parsed,40,,10.24388/x00100002,2.4,2.0,2023-03-13,2023-03-13
x00100003.xml,parsed,36,,10.24388/x00100003,2.4,2.0,2023-03-13,2023-03-13
x00100004.xml,parsed,40,,10.24388/x00100004,2.4,2.0,2023-03-13,2023-03-13
x00100005.xml,parsed,32,,10.24388/x00100005,2.4,2.0,2023-03-13,2023-03-13
x00100006.xml,parsed,36,,10.24388/x00100006,2.4,2.0,2023-03-13,2023-03-13
x00100007.xml,parsed,36,,10.24388/x00100007,2.4,2.0,2023-03-13,2023-03-13
x00100008.xml,parsed,90,,10.24388/x00100008,2.4,2.0,2023-03-13,2023-03-13
x00100009.xml,parsed,90,,10.24388/x00100009,2.4,2.0,2023-03-13,2023-03-13
x00100010.xml,parsed,89,,10.24388/x00100010,2.4,2.0,2023-03-13,2023-03-13
x00101000.xml,parsed,15,,10.24388/x00101000,2.4,2.0,2023-03-13,2023-03-13
x00101001.xml,parsed,15,,10.24388/x00101001,2.4,2.0,2023-03-13,2023-03-13
x00101002.xml,parsed,30,,10.24388/x00101002,2.4,2.0,2023-03-13,2023-03-13
x00101003.xml,parsed,35,,10.24388/x00101003,2.4,2.0,2023-03-13,2023-03-13
x00101004.xml,parsed,29,,10.24388/x00101004,2.4,2.0,2023-03-13,2023-03-13
x00101005.xml,parsed,35,,10.24388/x00101005,2.4,2.0,2023-03-13,2023-03-13
x00101006.xml,parsed,35,,10.24388/x00101006,2.4,2.0,2023-03-13,2023-03-13
x00101007.xml,parsed,35,,10.24388/x00101007,2.4,2.0,2023-03-13,2023-03-13
x00199000.xml,parsed,26,,10.24388/x00199000,2.4,2.0,2023-03-13,2023-03-13
x00199001.xml,parsed,24,,10.24388/x00199001,2.4,2.0,2023-03-13,2023-03-13
x00199003.xml,parsed,75,,10.24388/x00199003,2.4,2.0,2023-03-13,2023-03-13
x00199004.xml,parsed,27,,10.24388/x00199004,2.4,2.0,2023-03-13,2023-03-13
x00199005.xml,parsed,27,,10.24388/x00199005,2.4,2.0,2023-03-13,2023-03-13
x00199006.xml,parsed,21,,10.24388/x00199006,2.4,2.0,2023-03-13,2023-03-13
x00199007.xml,parsed,48,,10.24388/x00199007,2.4,2.0,2023-03-13,2023-03-13
x00199008.xml,parsed,52,,10.24388/x00199008,2.4,2.0,2023-03-13,2023-03-13
x00199011.xml,parsed,90,,10.24388/x00199011,2.4,2.0,2023-03-13,2023-03-13
x00199012.xml,parsed,78,,10.24388/x00199012,2.4,2.0,2023-03-13,2023-03-13
x00199013.xml,parsed,102,,10.24388/x00199013,2.4,2.0,2023-03-13,2023-03-13
x00199014.xml,parsed,78,,10.24388/x00199014,2.4,2.0,2023-03-13,2023-03-13
x00199015.xml,parsed,78,,10.24388/x00199015,2.4,2.0,2023-03-13,2023-03-13
x00199016.xml,parsed,54,,10.24388/x00199016,2.4,2.0,2023-03-13,2023-03-13
x00199017.xml,parsed,78,,10.24388/x00199017,2.4,2.0,2023-03-13,2023-03-13
x00199018.xml,parsed,40,,10.24388/x00199018,2.4,2.0,2023-03-13,2023-03-13
x00199019.xml,parsed,40,,10.24388/x00199019,2.4,2.0,2023-03-13,2023-03-13
x00199020.xml,parsed,92,,10.24388/x00199020,2.4,2.0,2023-03-13,2023-03-13
x10100001.xml,parsed,8,,10.24388/x10100001,2.3,1.0,2020-02-23,2020-11-16
x10100002.xml,parsed,15,,10.24388/x10100002,2.3,1.0,2020-02-23,2020-11-16
x10100003.xml,parsed,8,,10.24388/x10100003,2.4,2.0,2023-03-13,2023-03-13
x10100004.xml,parsed,12,,10.24388/x10100004,2.4,2.0,2023-03-13,2023-03-13
x10100005.xml,parsed,7,,10.24388/x10100005,2.4,2.0,2023-03-13,2023-03-13
x10100006.xml,parsed,9,,10.24388/x10100006,2.4,2.0,2023-03-13,2023-03-13
x10100007.xml,parsed,5,,10.24388/x10100007,2.4,2.0,2023-03-13,2023-03-13
x10100008.xml,parsed,7,,10.24388/x10100008,2.4,2.0,2023-03-13,2023-03-13
x10199001.xml,parsed,13,,10.24388/x10199001,2.3,1.0,2020-02-23,2020-11-16
x10199002.xml,parsed,10,,10.24388/x10199002,2.3,1.0,2020-02-23,2020-11-16
x10199003.xml,parsed,10,,10.24388/x10199003,2.3,1.0,2020-02-23,2020-11-16
x10199004.xml,parsed,11,,10.24388/x10199004,2.3,1.0,2020-02-23,2020-11-16
x10199005.xml,parsed,7,,10.24388/x10199005,2.3,1.0,2020-02-23,2020-11-16
x10199006.xml,parsed,16,,10.24388/x10199006,2.3,1.0,2020-02-23,2020-11-16
x10199007.xml,parsed,7,,10.24388/x10199007,2.3,1.0,2020-02-23,2020-11-16
x10199008.xml,parsed,16,,10.24388/x10199008,2.3,1.0,2020-02-23,2020-11-16
x10199009.xml,parsed,8,,10.24388/x10199009,2.4,2.0,2023-03-13,2023-03-13
x10199010.xml,parsed,11,,10.24388/x10199010,2.4,2.0,2023-03-13,2023-03-13
x10199011.xml,parsed,9,,10.24388/x10199011,2.4,2.0,2023-03-13,2023-03-13
x10199012.xml,parsed,9,,10.24388/x10199012,2.4,2.0,2023-03-13,2023-03-13
x10199013.xml,parsed,10,,10.24388/x10199013,2.4,2.0,2023-03-13,2023-03-13
x10199014.xml,parsed,9,,10.24388/x10199014,2.4,2.0,2023-03-13,2023-03-13
x10199015.xml,parsed,7,,10.24388/x10199015,2.4,2.0,2023-03-13,2023-03-13
x10199016.xml,parsed,9,,10.24388/x10199016,2.4,2.0,2023-03-13,2023-03-13
x10199017.xml,parsed,7,,10.24388/x10199017,2.4,2.0,2023-03-13,2023-03-13
x10199018.xml,parsed,7,,10.24388/x10199018,2.4,2.0,2023-03-13,2023-03-13
x10199019.xml,parsed,10,,10.24388/x10199019,2.4,2.0,2023-03-13,2023-03-13
x10199020.xml,parsed,8,,10.24388/x10199020,2.4,2.0,2023-03-13,2023-03-13
x10199029.xml,parsed,5,,10.24388/x10199029,2.4,2.0,2023-03-13,2023-03-13
x10199030.xml,parsed,5,,10.24388/x10199030,2.4,2.0,2023-03-13,2023-03-13
x10199031.xml,parsed,5,,10.24388/x10199031,2.4,2.0,2023-03-13,2023-03-13
x10199032.xml,parsed,5,,10.24388/x10199032,2.4,2.0,2023-03-13,2023-03-13
x10199033.xml,parsed,5,,10.24388/x10199033,2.4,2.0,2023-03-13,2023-03-13
