dataset_id,campaign_id,doi,laboratory,apparatus,observable,value,unit,uncertainty,uncertainty_type,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,fuel_composition,oxidizer_composition,definition,source_location,digitized,quality_status,exclusion_reason,source_file,file_doi,experiment_type,residence_time_s,time_s,reported_value,reported_unit,curator,initial_composition,measurement_class,pressure_bar
x00100000:gdg1:p1:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,4.3e-05,mole fraction,5e-06,evaluated standard deviation:absolute:mole fraction,900.0,101325.0,0.25,0.0689655172413793,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,4.3e-05,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}",Species,1.01325
x00100000:gdg1:p2:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,3.5e-05,mole fraction,5e-06,evaluated standard deviation:absolute:mole fraction,950.0,101325.0,0.25,0.0689655172413793,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,3.5e-05,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}",Species,1.01325
x00100000:gdg1:p3:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,7.1e-05,mole fraction,7e-06,evaluated standard deviation:absolute:mole fraction,1000.0,101325.0,0.25,0.0689655172413793,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,7.1e-05,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}",Species,1.01325
x00100000:gdg1:p4:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,0.000298,mole fraction,3e-05,evaluated standard deviation:absolute:mole fraction,1060.0,101325.0,0.25,0.0689655172413793,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.000298,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}",Species,1.01325
x00100000:gdg1:p5:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,0.000607,mole fraction,6.1e-05,evaluated standard deviation:absolute:mole fraction,1100.0,101325.0,0.25,0.0689655172413793,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.000607,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}",Species,1.01325
x00100000:gdg1:p6:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,0.000969,mole fraction,9.8e-05,evaluated standard deviation:absolute:mole fraction,1150.0,101325.0,0.25,0.0689655172413793,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.000969,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}",Species,1.01325
x00100000:gdg1:p7:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,0.00131,mole fraction,0.000132,evaluated standard deviation:absolute:mole fraction,1180.0,101325.0,0.25,0.0689655172413793,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.00131,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}",Species,1.01325
x00100000:gdg1:p8:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,0.00176,mole fraction,0.000178,evaluated standard deviation:absolute:mole fraction,1210.0,101325.0,0.25,0.0689655172413793,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.00176,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}",Species,1.01325
x00100000:gdg1:p9:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,0.00255,mole fraction,0.000257,evaluated standard deviation:absolute:mole fraction,1240.0,101325.0,0.25,0.0689655172413793,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.00255,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}",Species,1.01325
x00100000:gdg1:p10:H2O,campaign_d5397fe0cc8b,10.1016/j.combustflame.2021.111653,,stirred reactor (quartz),H2O,0.00277,mole fraction,0.00028,evaluated standard deviation:absolute:mole fraction,1277.0,101325.0,0.25,0.0689655172413793,"{""H2"": 0.00019999999999999998, ""NH3"": 0.0018}","{""N2"": 0.9886, ""O2"": 0.0094}",[H2O],"location: Main Article, Supp. Mat.; table: Table 1, mixture 3; Tabulated data are in Supp. Mat. 2. (Excel sheet): phi = 0.25 worksheet, 10% H2/90% NH3 table; figure: Figure 3., pink stars (10% H2)",False,pending_manual_review,,x00100000.xml,10.24388/x00100000,jet stirred reactor measurement,1.0,,0.00277,mole fraction,"András Szanthoffer, Chemical Kinetics Laboratory, Institute of Chemistry, ELTE, Budapest, Hungary","{""H2"": 0.00019999999999999998, ""N2"": 0.9886, ""NH3"": 0.0018, ""O2"": 0.0094}",Species,1.01325
