observable,method,n,campaigns,mean_absolute_standardized_error,cluster_bootstrap_95_low,cluster_bootstrap_95_high,median_absolute_standardized_error
H2,stacked,22,3,6.205135875238077,3.682895541995227,10.614644443019056,4.27095753519256
H2,equal_weight,22,3,5.457862014332739,1.8308870301870384,9.861592572345431,4.084225032636274
H2,best_single,22,3,6.11568609612144,3.60665907216766,10.302317911038424,4.254108236100009
H2O,stacked,20,3,3.521812962233734,0.5998752736772914,6.659880629798667,1.0593741760662323
H2O,equal_weight,20,3,8.604757866039435,0.7885058036756895,18.247371566164528,1.417587559569554
H2O,best_single,20,3,1.8797300771114689,0.5365450636214686,2.586338522020282,0.5756178786498023
N2,stacked,14,2,3.860330799164122,2.454922018493925,5.734209173391053,2.8114396961431583
N2,equal_weight,14,2,2.241535078115462,2.237309725651813,2.244704092463199,2.424669718286932
N2,best_single,14,2,3.828423221017854,2.3990837567379524,5.734209173391055,2.711339703543662
N2O,stacked,12,2,0.3273499028584622,0.2709868281818363,0.4400760522117141,0.1383111413804885
N2O,equal_weight,12,2,1.656576882082624,1.4459631764429042,2.077804293362064,1.7108281843169295
N2O,best_single,12,2,0.3815140165006277,0.3523669884171646,0.4398080726675539,0.1849746804434077
NH3,stacked,30,4,3.6804902852250807,2.1459460715388605,5.215034498911298,0.7513176364886014
NH3,equal_weight,30,4,2.8577935220881594,1.1112679633930116,4.709907613159128,1.171071980276472
NH3,best_single,30,4,3.043322058365449,1.1991581448265898,5.443176502165668,1.244663636177524
NO,stacked,33,5,4.044627745174872,1.8597827613667013,6.020485900632973,3.205751206639885
NO,equal_weight,33,5,3.3849932172945323,1.1718038002306543,5.4508639748519485,2.0823924849943367
NO,best_single,33,5,4.688997772077694,2.3811479850929165,6.775025010467684,3.90222104908221
NO2,stacked,5,2,0.0634779986443132,3.998707411033868e-05,0.079337501536864,0.0348326344522718
NO2,equal_weight,5,2,0.0634907601773902,0.0001037947394949,0.079337501536864,0.0348326344522718
NO2,best_single,5,2,0.0997619882357697,2.7750682883946226e-05,0.1246955476239912,0.0015170297128951
O2,stacked,23,3,30.124595900948783,2.247150330724589,63.90416526330904,1.7954510737439449
O2,equal_weight,23,3,81.29376976067086,1.6083021097603367,178.26921549754704,1.6007554807241764
O2,best_single,23,3,30.12416856144521,2.247928950234796,63.904165192998185,1.795654507062319
