campaign_number,held_out_campaign,doi,stacked,equal_weight,best_single
1,campaign_9268c5c9de04,10.1016/j.fuel.2015.06.070,0.39722084367372174,0.5078997454459058,0.3673793521746885
2,campaign_c05311ec8444,10.1016/j.ijhydene.2021.07.063,0.39573554773184494,0.4493979760497352,0.39573554773184483
3,campaign_bc661b9f179a,10.1016/j.combustflame.2019.05.003,0.2082387468895789,0.30065422592151664,0.21639288082866487
4,campaign_a1e35abfc26f,10.1299/transjsme.14-00423,0.1985475662201847,0.19216277405539622,0.1974395893186854
5,campaign_ccb03cfde00c,10.1016/j.jhazmat.2018.09.073,0.1606128648190954,0.1793461903014286,0.1606202946723283
6,campaign_b661f10f22f4,10.1016/j.fuel.2019.116653,0.13039509242775113,0.1681241241089087,0.12523163806256032
7,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,0.12295681860953449,0.11092405535830178,0.10724699299110776
8,campaign_16f8038c5740,10.1016/j.ijhydene.2021.09.188,0.11376760596613977,0.09255290845926788,0.11696258573509428
9,campaign_629a30b39091,10.1016/j.combustflame.2021.111753,0.11343957884927558,0.15321157523595227,0.10863431017180285
10,campaign_b61f71c9265e,10.1016/j.proci.2020.06.197,0.10399150269617825,0.13812544968996004,0.10031598428326816
11,campaign_0ddb81cb8c2a,10.1016/j.fuel.2020.118425,0.08701963965888258,0.09068526884937371,0.0806525667080267
12,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,0.07263309014991895,0.09335942036112359,0.07232894686606103
13,campaign_aacd4964efeb,10.1016/j.combustflame.2020.08.004,0.07180235293869311,0.10286415381255384,0.07648942053247829
14,campaign_b5091ed74b6b,10.1016/j.ijhydene.2015.04.024,0.037198098335633575,0.041546301190661196,0.03279418221444628
