design_id,temperature_K,flame_temperature_K,ignition_temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_count,ignition_delay_s_median,ignition_delay_s_p05,ignition_delay_s_p95,ignition_delay_s_worst,ignition_delay_s_absolute_range,ignition_delay_s_relative_range,idt_shortening_ratio_median,idt_shortening_ratio_p05,idt_shortening_ratio_p95,idt_shortening_ratio_worst,idt_shortening_ratio_absolute_range,idt_shortening_ratio_relative_range,EI_g_per_MJ_NOx_NO2eq_median,EI_g_per_MJ_NOx_NO2eq_p05,EI_g_per_MJ_NOx_NO2eq_p95,EI_g_per_MJ_NOx_NO2eq_worst,EI_g_per_MJ_NOx_NO2eq_absolute_range,EI_g_per_MJ_NOx_NO2eq_relative_range,EI_g_per_MJ_N2O_median,EI_g_per_MJ_N2O_p05,EI_g_per_MJ_N2O_p95,EI_g_per_MJ_N2O_worst,EI_g_per_MJ_N2O_absolute_range,EI_g_per_MJ_N2O_relative_range,EI_g_per_MJ_NH3_slip_median,EI_g_per_MJ_NH3_slip_p05,EI_g_per_MJ_NH3_slip_p95,EI_g_per_MJ_NH3_slip_worst,EI_g_per_MJ_NH3_slip_absolute_range,EI_g_per_MJ_NH3_slip_relative_range,lbv_conservative_m_per_s_median,lbv_conservative_m_per_s_p05,lbv_conservative_m_per_s_p95,lbv_conservative_m_per_s_worst,lbv_conservative_m_per_s_absolute_range,lbv_conservative_m_per_s_relative_range,lbv_enhancement_ratio_median,lbv_enhancement_ratio_p05,lbv_enhancement_ratio_p95,lbv_enhancement_ratio_worst,lbv_enhancement_ratio_absolute_range,lbv_enhancement_ratio_relative_range,complete_mechanism_set,support_tier,reactivity_improved,screening_pareto,exploratory_extrapolative_pareto,requires_direct_flame_confirmation
screen_0001,600.0,300.0,1200.0,5,0.6,0.0,False,False,False,8,0.0404995554173508,0.0200297123857189,0.0843798139996715,0.0961008151843386,0.0814974706029892,0.8480414078347039,1.0,1.0,1.0,1.0,0.0,0.0,3.937903599585356,3.2448017671716203,4.708687330285732,5.033032920131584,1.9165872756400644,0.3808016569837888,0.0002843063792905,0.0002380644556973,0.0004027620516283,0.0004603096610365,0.0002225998466593,0.4835871707712193,4.9827635450759474e-09,3.888631063740389e-09,5.483104381562586e-09,5.556047469403852e-09,2.109079063457007e-09,0.3796006198779481,0.005765616343123,0.0046851708185098,0.0070350408256695,0.0046846724757106,0.002361823357118,0.3351770033148497,1.0,1.0,1.0,1.0,0.0,0.0,True,extrapolative,False,False,False,False
screen_0002,600.0,300.0,1200.0,5,0.6,0.05,False,False,False,8,0.0050481544592448,0.0017145632192877,0.0117536820468863,0.0131694407406347,0.0117640318970768,0.8932825720365277,0.1203671423666442,0.0828769891821154,0.1632512841073919,0.1632674001857957,0.0875852500987618,0.5364527762375783,4.247233300707846,3.4594268922612104,5.0371753868670375,5.382474252672512,2.0381988468414685,0.378673218144882,0.0002897913355199,0.0002433101027289,0.0003505141848971,0.0003768085830985,0.0001339627151449,0.3555192773034083,5.4696679859496015e-09,4.242516468325097e-09,6.012481028163248e-09,6.059849182687e-09,2.309448032081079e-09,0.3811065197264606,0.0072746391693143,0.0058513470862804,0.0089934148573632,0.0058345033034919,0.0031604773429754,0.3513601048398753,1.260467960406023,1.2401024982295936,1.280167889180068,1.2374293708959967,0.0450455584053322,0.0351239290345209,True,extrapolative,True,False,False,False
screen_0003,600.0,300.0,1200.0,5,0.6,0.1,False,False,False,8,0.0012831465576641,0.0006800509679217,0.0035832734481064,0.0040816839125765,0.0035166495475143,0.861568319065297,0.0388558283749315,0.0220952258359052,0.0463110735745049,0.0475546343092014,0.0274267473457439,0.5767418411298164,4.4963430058748495,3.662555366005044,5.363233936578329,5.710119477084967,2.1498217400672197,0.3764933025822972,0.0002953683089877,0.0002486388350894,0.0003323175058953,0.0003456537724754,9.759335899760002e-05,0.282344261133576,6.0068530641959206e-09,4.629084036597825e-09,6.636143845856113e-09,6.677629806278949e-09,2.589727615876629e-09,0.3878213813891747,0.0092312781126314,0.0073695130342614,0.0115625850732012,0.0073154251101541,0.004249969546369,0.3674729373780545,1.603292758220939,1.5480512070842176,1.6455316223085064,1.5410295121774211,0.1067821243612505,0.0648023851716163,True,extrapolative,True,False,False,False
screen_0004,600.0,300.0,1200.0,5,0.6,0.2,False,False,False,8,0.0003091048180412,0.0002196593284255,0.0008723928838096,0.0009997923470256,0.0007974870845075,0.7976527194672357,0.0105410477703616,0.0046029055831188,0.012986472382819,0.0138533512916262,0.0098303630312564,0.7096018013488556,4.908803720200563,4.035373423802457,5.9907718926245455,6.303030018145918,2.3455113056147936,0.3721244066523965,0.0003067862615646,0.0002595009182514,0.000334050861514,0.0003418864471206,8.320079348420002e-05,0.243357975096483,7.25171693093384e-09,5.514616757096173e-09,8.12487158192218e-09,8.179598748243252e-09,3.302448106919681e-09,0.4037420671312213,0.0156175499508807,0.0124857370713682,0.0198082141722728,0.0122944136843643,0.0076120428377784,0.3823906494514098,2.741815106265786,2.549354941642544,2.8156218046050805,2.5093801196749568,0.3156348940856603,0.1117285722547336,True,extrapolative,True,False,True,False
screen_0005,600.0,300.0,1200.0,5,0.6,0.3,False,False,False,8,0.0001359802311022,0.0001040211216374,0.0003360793720709,0.0003732266837136,0.0002704341407418,0.7245841536596052,0.0044883758419194,0.0018918461806855,0.0067114480571,0.0072793439296477,0.005637611540538,0.7744669842534623,5.262485065139467,4.363353925535963,6.526929021990768,6.812408144529655,2.504704174634946,0.3676679555152925,0.0003185315520975,0.0002705600748172,0.0003490354978896,0.0003583625603823,8.885505056499998e-05,0.2479473594289808,8.739911128571855e-09,6.595651493068377e-09,9.933386453955717e-09,1.0012436341369737e-08,4.1710864337836436e-09,0.4165905571403637,0.0252482177719565,0.0200846629572968,0.0311544984890875,0.0200728126387347,0.0111878036828863,0.3578881352748122,4.377244199905151,4.041922755413228,4.663261971267065,3.9226005193828986,0.8628528802922739,0.1803074459675739,True,extrapolative,True,False,True,False
screen_0006,600.0,300.0,1200.0,5,0.6,0.4,False,False,False,8,7.310146864721623e-05,5.765401262072997e-05,0.0001526443803698,0.0001623311802137,0.0001083704240074,0.667588468615746,0.0023264444251929,0.0010053455495816,0.0041033944826705,0.0044701665894505,0.0036083421939887,0.8072053069575357,5.552896552038513,4.642146625106989,6.964338287664426,7.229139201040439,2.622905703421881,0.3628240694333821,0.0003305816817671,0.0002817108642985,0.0003656046285352,0.0003771413667297,9.67025955909e-05,0.25640941069243,1.0516812286508814e-08,7.906632726179257e-09,1.2096921468386344e-08,1.220279648128143e-08,5.1907567391885965e-09,0.425374359651986,0.0418725426038632,0.0323064972442216,0.0487169593721396,0.0317244784844973,0.0173011567166153,0.3529002050792942,6.982111548083191,6.347736083384885,7.920865068509851,6.199552500196354,2.123630881516654,0.2551464727044841,True,extrapolative,True,False,True,False
screen_0007,600.0,300.0,1200.0,5,0.6,0.5,False,False,False,8,4.6137724176845066e-05,3.5751424411649024e-05,7.778726458388167e-05,7.981284054439225e-05,4.6550075100982406e-05,0.5832404257694731,0.00135060530249,0.0006239007161947,0.0027185448303697,0.0030049262116206,0.0024736760080451,0.8232069055403143,5.804360347868979,4.860662031185253,7.282836871961479,7.53089562619357,2.689188669131621,0.3570874969742277,0.0003429265413705,0.0002928123118568,0.0003816063741858,0.0003949164272806,0.000103550260955,0.2622080364396298,1.2637240860737655e-08,9.48937541490944e-09,1.4663050739016066e-08,1.479482940038081e-08,6.367959695283798e-09,0.4304179198659695,0.0644365538574495,0.04898673811881,0.0716246790512319,0.0476410262484013,0.0244966762486067,0.3395821519214966,10.348993891994237,9.455355780858554,12.456157629416166,9.309941644415863,3.9373264722487686,0.297217995255621,True,extrapolative,True,False,True,False
screen_0008,600.0,300.0,1200.0,5,0.6,0.7,False,False,False,8,2.4454444931391592e-05,1.930199662655486e-05,2.930060413898444e-05,2.9622538604982485e-05,1.1221009028938816e-05,0.37879970986185,0.0006120724585042,0.000295568417792,0.001417451100166,0.0016532453149125,0.0013593486348543,0.8222304473466888,5.887653631302428,4.997012539800666,7.353626240380548,7.569012601080584,2.5762787194362646,0.3403718364887468,0.0003685839461462,0.0003139368475042,0.0004078677969869,0.0004212090014037,0.0001087331615832,0.2581453891556005,1.8120765257943e-08,1.3691784705536146e-08,2.1135550415496065e-08,2.1300002162802283e-08,9.116132139036782e-09,0.4279873809100797,0.112615780862201,0.0882382159142029,0.1240442367789937,0.087134606989361,0.0391217801596262,0.3098598102087391,18.15553118991904,16.774697136752827,22.057632664540787,16.642259587069525,6.917934371174315,0.2936280738365353,True,extrapolative,True,False,True,False
screen_0009,600.0,300.0,1200.0,5,0.7,0.0,True,False,False,8,0.0403392726531724,0.0201171122349586,0.0789077961326904,0.0896406399430961,0.0749546335887097,0.8361679884959649,1.0,1.0,1.0,1.0,0.0,0.0,4.63361456059228,4.272025090129819,6.297734144802261,6.72705240370862,2.462776404986789,0.3661003746052375,0.0003132882037074,0.00026465413773,0.0003412085430555,0.0003495285962764,8.616350690949999e-05,0.2465134693625001,3.209906607411031e-08,2.396059028328913e-08,3.708000608414021e-08,3.724444822260744e-08,1.6062049928464485e-08,0.4312602466940239,0.0144722589667192,0.0125532416294774,0.0167890832513713,0.0124213160863803,0.0046538605370525,0.2725512385427354,1.0,1.0,1.0,1.0,0.0,0.0,True,extrapolative,False,False,False,False
screen_0010,600.0,300.0,1200.0,5,0.7,0.05,True,False,False,8,0.0043561082876869,0.0016095730690538,0.010353880279062,0.0114460546853185,0.0101252802933587,0.8846087644807502,0.1087214954473605,0.0765874709967707,0.1432782560946518,0.1455644412650396,0.0761636763408837,0.5232299569797203,4.847867116522217,4.453647879029524,6.616038935374376,7.027043929034615,2.5775986750561817,0.3668112368567895,0.0003190219510417,0.0002702553121955,0.0003504339566686,0.000360488015379,9.17172924756e-05,0.2544253582998391,3.538535399379455e-08,2.629078969048692e-08,4.1095200407618555e-08,4.128812626741297e-08,1.804820687107857e-08,0.4371282618684317,0.0173107423917223,0.0149567964041471,0.0201399114291444,0.0148059150960003,0.0054808768401922,0.2701697171948652,1.1943568810204184,1.18078202896931,1.221856297292209,1.1768486912825993,0.0482894003122817,0.0394154754011597,True,extrapolative,True,False,False,False
