design_id,temperature_K,flame_temperature_K,ignition_temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_count,ignition_delay_s_median,ignition_delay_s_p05,ignition_delay_s_p95,ignition_delay_s_worst,ignition_delay_s_absolute_range,ignition_delay_s_relative_range,idt_shortening_ratio_median,idt_shortening_ratio_p05,idt_shortening_ratio_p95,idt_shortening_ratio_worst,idt_shortening_ratio_absolute_range,idt_shortening_ratio_relative_range,EI_g_per_MJ_NOx_NO2eq_median,EI_g_per_MJ_NOx_NO2eq_p05,EI_g_per_MJ_NOx_NO2eq_p95,EI_g_per_MJ_NOx_NO2eq_worst,EI_g_per_MJ_NOx_NO2eq_absolute_range,EI_g_per_MJ_NOx_NO2eq_relative_range,EI_g_per_MJ_N2O_median,EI_g_per_MJ_N2O_p05,EI_g_per_MJ_N2O_p95,EI_g_per_MJ_N2O_worst,EI_g_per_MJ_N2O_absolute_range,EI_g_per_MJ_N2O_relative_range,EI_g_per_MJ_NH3_slip_median,EI_g_per_MJ_NH3_slip_p05,EI_g_per_MJ_NH3_slip_p95,EI_g_per_MJ_NH3_slip_worst,EI_g_per_MJ_NH3_slip_absolute_range,EI_g_per_MJ_NH3_slip_relative_range,lbv_conservative_m_per_s_median,lbv_conservative_m_per_s_p05,lbv_conservative_m_per_s_p95,lbv_conservative_m_per_s_worst,lbv_conservative_m_per_s_absolute_range,lbv_conservative_m_per_s_relative_range,lbv_enhancement_ratio_median,lbv_enhancement_ratio_p05,lbv_enhancement_ratio_p95,lbv_enhancement_ratio_worst,lbv_enhancement_ratio_absolute_range,lbv_enhancement_ratio_relative_range,complete_mechanism_set,support_tier,reactivity_improved,screening_pareto,exploratory_extrapolative_pareto,requires_direct_flame_confirmation
screen_0004,600.0,300.0,1200.0,5,0.6,0.2,False,False,False,8,0.0003091048180412,0.0002196593284255,0.0008723928838096,0.0009997923470256,0.0007974870845075,0.7976527194672357,0.0105410477703616,0.0046029055831188,0.012986472382819,0.0138533512916262,0.0098303630312564,0.7096018013488556,4.908803720200563,4.035373423802457,5.9907718926245455,6.303030018145918,2.3455113056147936,0.3721244066523965,0.0003067862615646,0.0002595009182514,0.000334050861514,0.0003418864471206,8.320079348420002e-05,0.243357975096483,7.25171693093384e-09,5.514616757096173e-09,8.12487158192218e-09,8.179598748243252e-09,3.302448106919681e-09,0.4037420671312213,0.0156175499508807,0.0124857370713682,0.0198082141722728,0.0122944136843643,0.0076120428377784,0.3823906494514098,2.741815106265786,2.549354941642544,2.8156218046050805,2.5093801196749568,0.3156348940856603,0.1117285722547336,True,extrapolative,True,False,True,False
screen_0005,600.0,300.0,1200.0,5,0.6,0.3,False,False,False,8,0.0001359802311022,0.0001040211216374,0.0003360793720709,0.0003732266837136,0.0002704341407418,0.7245841536596052,0.0044883758419194,0.0018918461806855,0.0067114480571,0.0072793439296477,0.005637611540538,0.7744669842534623,5.262485065139467,4.363353925535963,6.526929021990768,6.812408144529655,2.504704174634946,0.3676679555152925,0.0003185315520975,0.0002705600748172,0.0003490354978896,0.0003583625603823,8.885505056499998e-05,0.2479473594289808,8.739911128571855e-09,6.595651493068377e-09,9.933386453955717e-09,1.0012436341369737e-08,4.1710864337836436e-09,0.4165905571403637,0.0252482177719565,0.0200846629572968,0.0311544984890875,0.0200728126387347,0.0111878036828863,0.3578881352748122,4.377244199905151,4.041922755413228,4.663261971267065,3.9226005193828986,0.8628528802922739,0.1803074459675739,True,extrapolative,True,False,True,False
screen_0006,600.0,300.0,1200.0,5,0.6,0.4,False,False,False,8,7.310146864721623e-05,5.765401262072997e-05,0.0001526443803698,0.0001623311802137,0.0001083704240074,0.667588468615746,0.0023264444251929,0.0010053455495816,0.0041033944826705,0.0044701665894505,0.0036083421939887,0.8072053069575357,5.552896552038513,4.642146625106989,6.964338287664426,7.229139201040439,2.622905703421881,0.3628240694333821,0.0003305816817671,0.0002817108642985,0.0003656046285352,0.0003771413667297,9.67025955909e-05,0.25640941069243,1.0516812286508814e-08,7.906632726179257e-09,1.2096921468386344e-08,1.220279648128143e-08,5.1907567391885965e-09,0.425374359651986,0.0418725426038632,0.0323064972442216,0.0487169593721396,0.0317244784844973,0.0173011567166153,0.3529002050792942,6.982111548083191,6.347736083384885,7.920865068509851,6.199552500196354,2.123630881516654,0.2551464727044841,True,extrapolative,True,False,True,False
screen_0007,600.0,300.0,1200.0,5,0.6,0.5,False,False,False,8,4.6137724176845066e-05,3.5751424411649024e-05,7.778726458388167e-05,7.981284054439225e-05,4.6550075100982406e-05,0.5832404257694731,0.00135060530249,0.0006239007161947,0.0027185448303697,0.0030049262116206,0.0024736760080451,0.8232069055403143,5.804360347868979,4.860662031185253,7.282836871961479,7.53089562619357,2.689188669131621,0.3570874969742277,0.0003429265413705,0.0002928123118568,0.0003816063741858,0.0003949164272806,0.000103550260955,0.2622080364396298,1.2637240860737655e-08,9.48937541490944e-09,1.4663050739016066e-08,1.479482940038081e-08,6.367959695283798e-09,0.4304179198659695,0.0644365538574495,0.04898673811881,0.0716246790512319,0.0476410262484013,0.0244966762486067,0.3395821519214966,10.348993891994237,9.455355780858554,12.456157629416166,9.309941644415863,3.9373264722487686,0.297217995255621,True,extrapolative,True,False,True,False
screen_0008,600.0,300.0,1200.0,5,0.6,0.7,False,False,False,8,2.4454444931391592e-05,1.930199662655486e-05,2.930060413898444e-05,2.9622538604982485e-05,1.1221009028938816e-05,0.37879970986185,0.0006120724585042,0.000295568417792,0.001417451100166,0.0016532453149125,0.0013593486348543,0.8222304473466888,5.887653631302428,4.997012539800666,7.353626240380548,7.569012601080584,2.5762787194362646,0.3403718364887468,0.0003685839461462,0.0003139368475042,0.0004078677969869,0.0004212090014037,0.0001087331615832,0.2581453891556005,1.8120765257943e-08,1.3691784705536146e-08,2.1135550415496065e-08,2.1300002162802283e-08,9.116132139036782e-09,0.4279873809100797,0.112615780862201,0.0882382159142029,0.1240442367789937,0.087134606989361,0.0391217801596262,0.3098598102087391,18.15553118991904,16.774697136752827,22.057632664540787,16.642259587069525,6.917934371174315,0.2936280738365353,True,extrapolative,True,False,True,False
screen_0016,600.0,300.0,1200.0,5,0.7,0.7,False,False,False,8,2.403939456346157e-05,1.917175738525151e-05,2.9242922779837343e-05,2.9272720889580544e-05,1.0919981271421523e-05,0.3730429198096316,0.0006069265579617,0.000316237941941,0.0013797176973089,0.001612877825901,0.0013016845426247,0.8070571259156522,6.176862402223305,5.562217698528667,8.213802613986708,8.475938575260146,2.98670140767289,0.3523741213026926,0.0003992709776944,0.000340611940414,0.0004518243072589,0.000472315455909,0.0001344043708555,0.2845648372798442,1.1140724384394921e-07,8.237349175655888e-08,1.334075263499055e-07,1.35281927999261e-07,6.192949958009506e-08,0.4577810243836365,0.1851818565467038,0.1523569866845083,0.1973543283549446,0.1501265993440068,0.0479612612096292,0.2421211530862225,12.206184428163391,10.669595758889892,14.3832234173171,10.640424716131884,4.549316886530857,0.2994992940323203,True,extrapolative,True,False,True,False
screen_0020,600.0,300.0,1200.0,5,0.8,0.2,True,False,False,8,0.0002777843423268,0.0001955870823317,0.0008357538813014,0.0009483682265939,0.0007682728633074,0.810099750037684,0.0094715398666666,0.0044148138685429,0.0118249691422215,0.0121605223680797,0.0081801297049374,0.6726791380614968,5.611205852302991,5.124660836206019,8.200145045207247,8.502285500198303,3.4440975929106177,0.4050790334940281,0.0003270697290629,0.0002797084095694,0.0003777600807441,0.0003987298007533,0.0001223740178361,0.3069096355602339,2.464770115169554e-07,1.787976351329967e-07,3.104830729451592e-07,3.246266431794865e-07,1.6624996385683634e-07,0.5121266764444732,0.0541814647650024,0.0497429165402449,0.0619419855510725,0.0496343933762551,0.0133453109559367,0.2118985964993706,2.2393112259040957,2.0008607875877944,2.2681014450492265,1.9870781034016345,0.2857838109130155,0.1257374278275016,True,extrapolative,True,False,True,False
screen_0021,600.0,300.0,1200.0,5,0.8,0.3,True,False,False,8,0.0001258985684875,9.681848613284804e-05,0.0003449340302686,0.0003831822059372,0.0002866811841287,0.7481589167941219,0.0044530958163419,0.0019127676640285,0.005990854673577,0.0065160080350168,0.0047878621942663,0.7347845749324508,5.882171831175596,5.322965138255301,8.5371295754546,8.817952626187518,3.572981168009661,0.4051939627571412,0.0003386131566252,0.0002898189256818,0.0003942328834964,0.0004176268961388,0.0001315833190047,0.3150738619120635,2.938203623430225e-07,2.133630630979863e-07,3.727014117893239e-07,3.9084485670443867e-07,2.015181660586927e-07,0.5155963104078481,0.0770210503298856,0.0703108043877774,0.0881412353839197,0.0678018759374099,0.0221934181927268,0.2466064298943704,3.175814525172463,2.720529089363309,3.360310416369576,2.7144005170663483,0.7171741948496893,0.2089927380451091,True,extrapolative,True,False,True,False
screen_0022,600.0,300.0,1200.0,5,0.8,0.4,True,False,False,8,6.979648465772564e-05,5.571848544429012e-05,0.0001626899158848,0.000174267411349,0.0001211140107946,0.6949894409807649,0.0022917392322124,0.0010501605119078,0.0037320641617922,0.0040839214801917,0.0031409109581631,0.7690919067365799,6.086423268198992,5.464651662280139,8.757047387238215,9.018841505602106,3.649776105235546,0.4046834732563453,0.0003502524523951,0.0002995903592066,0.0004093789241614,0.0004344241756057,0.000138914933233,0.3197679618987975,3.4753620589162494e-07,2.53076198026836e-07,4.431014876033652e-07,4.659989122251388e-07,2.411143223013767e-07,0.5174139165906179,0.1174260539536931,0.1025054863538505,0.1296077623529504,0.0979939302252059,0.0347606444491638,0.2618414057250178,4.74426995574197,3.959615795913388,5.2682350915991725,3.923118220478308,1.5723307663998112,0.2861150690606316,True,extrapolative,True,False,True,False
screen_0023,600.0,300.0,1200.0,5,0.8,0.5,False,False,False,8,4.408187806454591e-05,3.5375984994668985e-05,8.310276660563563e-05,8.582511966605078e-05,5.242812252490211e-05,0.6108715342186785,0.0013474625494459,0.0006635072825654,0.0025179802854184,0.0027979733752081,0.0022054671690241,0.7882373680057182,6.20600615748726,5.53327536795909,8.827123113363857,9.070722187706869,3.656561356018624,0.4031168941514043,0.0003618453607327,0.0003087861573217,0.0004225024144642,0.0004481155398279,0.0001435298535741,0.3202965325175356,4.073750382160137e-07,2.980115065997683e-07,5.222782129473967e-07,5.489494204272683e-07,2.8390511563262505e-07,0.5171790060578821,0.1594518748714752,0.1362082551450661,0.1750310169718153,0.1311424923065542,0.0471116622412317,0.2642948904094245,6.280303201540451,5.317988733771748,7.352920741239757,5.250197638408865,2.4426751575590844,0.3175244440333601,True,extrapolative,True,False,True,False
