cracking_ratio,heat_recovery_fraction,cracking_heat_J_per_mol_initial_NH3,gross_LHV_like_J_per_mol_initial_NH3,external_cracking_heat_J_per_mol_initial_NH3,net_after_external_heat_J_per_mol_initial_NH3,reference_temperature_K,water_state,thermochemical_basis,mechanism_sha256,net_energy_percent_reference
0.0,0.0,0.0,317195.14240941417,0.0,317195.14240941417,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.0
0.0,0.5,0.0,317195.14240941417,0.0,317195.14240941417,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.0
0.0,0.8,0.0,317195.14240941417,0.0,317195.14240941417,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.0
0.05,0.0,2277.697430967085,319472.8398403813,2277.697430967085,317195.1424094142,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.00000000000003
0.05,0.5,2277.697430967085,319472.8398403813,1138.8487154835427,318333.99112489773,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.35903724969836
0.05,0.8,2277.697430967085,319472.8398403813,455.53948619341696,319017.3003541879,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.57445959951738
0.1,0.0,4555.394861934171,321750.53727134835,4555.394861934171,317195.14240941417,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.0
0.1,0.5,4555.394861934171,321750.53727134835,2277.697430967085,319472.8398403813,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.71807449939672
0.1,0.8,4555.394861934171,321750.53727134835,911.078972386834,320839.4582989615,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,101.14891919903474
0.2,0.0,9110.789723868342,326305.93213328253,9110.789723868342,317195.14240941417,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.0
0.2,0.5,9110.789723868342,326305.93213328253,4555.394861934171,321750.53727134835,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,101.43614899879343
0.2,0.8,9110.789723868342,326305.93213328253,1822.157944773668,324483.77418850886,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,102.29783839806949
0.3,0.0,13666.18458580251,330861.32699521666,13666.18458580251,317195.14240941417,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.0
0.3,0.5,13666.18458580251,330861.32699521666,6833.092292901255,324028.2347023154,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,102.15422349819012
0.3,0.8,13666.18458580251,330861.32699521666,2733.236917160501,328128.0900780561,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,103.44675759710418
0.4,0.0,18221.579447736684,335416.72185715084,18221.579447736684,317195.14240941417,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.0
0.4,0.5,18221.579447736684,335416.72185715084,9110.789723868342,326305.9321332825,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,102.87229799758683
0.4,0.8,18221.579447736684,335416.72185715084,3644.315889547336,331772.4059676035,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,104.59567679613895
0.5,0.0,22776.97430967085,339972.116719085,22776.97430967085,317195.14240941417,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.0
0.5,0.5,22776.97430967085,339972.116719085,11388.487154835426,328583.6295642496,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,103.59037249698355
0.5,0.8,22776.97430967085,339972.116719085,4555.394861934169,335416.72185715084,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,105.74459599517368
0.7,0.0,31887.76403353919,349082.90644295333,31887.76403353919,317195.14240941417,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,100.0
0.7,0.5,31887.76403353919,349082.90644295333,15943.882016769596,333139.0244261837,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,105.02652149577696
0.7,0.8,31887.76403353919,349082.90644295333,6377.552806707837,342705.3536362455,298.15,gas,POLIMI_2023,5806f8f19a25141e2c4946af8a8f75ce51bc75f3f67fb9013e253ff464482786,108.04243439324316
