design_id,pressure_bar,equivalence_ratio,cracking_ratio,support_tier,screening_pareto,exploratory_extrapolative_pareto,reactivity_improved
screen_0001,5,0.6,0.0,extrapolative,False,False,False
screen_0002,5,0.6,0.05,extrapolative,False,False,True
screen_0003,5,0.6,0.1,extrapolative,False,False,True
screen_0004,5,0.6,0.2,extrapolative,False,True,True
screen_0005,5,0.6,0.3,extrapolative,False,True,True
screen_0006,5,0.6,0.4,extrapolative,False,True,True
screen_0007,5,0.6,0.5,extrapolative,False,True,True
screen_0008,5,0.6,0.7,extrapolative,False,True,True
screen_0009,5,0.7,0.0,extrapolative,False,False,False
screen_0010,5,0.7,0.05,extrapolative,False,False,True
screen_0011,5,0.7,0.1,extrapolative,False,False,True
screen_0012,5,0.7,0.2,extrapolative,False,False,True
screen_0013,5,0.7,0.3,extrapolative,False,False,True
screen_0014,5,0.7,0.4,extrapolative,False,False,True
screen_0015,5,0.7,0.5,extrapolative,False,False,True
screen_0016,5,0.7,0.7,extrapolative,False,True,True
screen_0017,5,0.8,0.0,extrapolative,False,False,False
screen_0018,5,0.8,0.05,extrapolative,False,False,True
screen_0019,5,0.8,0.1,extrapolative,False,False,True
screen_0020,5,0.8,0.2,extrapolative,False,True,True
screen_0021,5,0.8,0.3,extrapolative,False,True,True
screen_0022,5,0.8,0.4,extrapolative,False,True,True
screen_0023,5,0.8,0.5,extrapolative,False,True,True
screen_0024,5,0.8,0.7,extrapolative,False,True,True
screen_0025,5,0.9,0.0,extrapolative,False,False,False
screen_0026,5,0.9,0.05,extrapolative,False,False,True
screen_0027,5,0.9,0.1,extrapolative,False,False,True
screen_0028,5,0.9,0.2,extrapolative,False,False,True
screen_0029,5,0.9,0.3,extrapolative,False,False,True
screen_0030,5,0.9,0.4,proxy_supported,True,False,True
screen_0031,5,0.9,0.5,extrapolative,False,True,True
screen_0032,5,0.9,0.7,extrapolative,False,True,True
screen_0033,5,1.0,0.0,extrapolative,False,False,False
screen_0034,5,1.0,0.05,extrapolative,False,False,True
screen_0035,5,1.0,0.1,extrapolative,False,False,True
screen_0036,5,1.0,0.2,extrapolative,False,False,True
screen_0037,5,1.0,0.3,proxy_supported,False,False,True
screen_0038,5,1.0,0.4,proxy_supported,False,False,True
screen_0039,5,1.0,0.5,proxy_supported,True,False,True
screen_0040,5,1.0,0.7,extrapolative,False,True,True
screen_0041,5,1.1,0.0,extrapolative,False,False,False
screen_0042,5,1.1,0.05,extrapolative,False,False,True
screen_0043,5,1.1,0.1,extrapolative,False,False,True
screen_0044,5,1.1,0.2,extrapolative,False,False,True
screen_0045,5,1.1,0.3,proxy_supported,False,False,True
screen_0046,5,1.1,0.4,proxy_supported,True,False,True
screen_0047,5,1.1,0.5,proxy_supported,False,False,True
screen_0048,5,1.1,0.7,extrapolative,False,True,True
screen_0049,5,1.2,0.0,extrapolative,False,False,False
screen_0050,5,1.2,0.05,extrapolative,False,False,True
screen_0051,5,1.2,0.1,extrapolative,False,False,True
screen_0052,5,1.2,0.2,extrapolative,False,False,True
screen_0053,5,1.2,0.3,extrapolative,False,False,True
screen_0054,5,1.2,0.4,proxy_supported,False,False,True
screen_0055,5,1.2,0.5,extrapolative,False,False,True
screen_0056,5,1.2,0.7,extrapolative,False,False,True
screen_0057,5,1.3,0.0,extrapolative,False,False,False
screen_0058,5,1.3,0.05,extrapolative,False,False,True
screen_0059,5,1.3,0.1,extrapolative,False,False,True
screen_0060,5,1.3,0.2,extrapolative,False,False,True
screen_0061,5,1.3,0.3,extrapolative,False,False,True
screen_0062,5,1.3,0.4,extrapolative,False,False,True
screen_0063,5,1.3,0.5,extrapolative,False,False,True
screen_0064,5,1.3,0.7,extrapolative,False,False,True
screen_0065,5,1.4,0.0,extrapolative,False,False,False
screen_0066,5,1.4,0.05,extrapolative,False,False,True
screen_0067,5,1.4,0.1,extrapolative,False,False,True
screen_0068,5,1.4,0.2,extrapolative,False,False,True
screen_0069,5,1.4,0.3,extrapolative,False,False,True
screen_0070,5,1.4,0.4,extrapolative,False,False,True
screen_0071,5,1.4,0.5,extrapolative,False,False,True
screen_0072,5,1.4,0.7,extrapolative,False,False,True
screen_0073,10,0.6,0.0,extrapolative,False,False,False
screen_0074,10,0.6,0.05,extrapolative,False,False,True
screen_0075,10,0.6,0.1,extrapolative,False,False,True
screen_0076,10,0.6,0.2,extrapolative,False,False,True
screen_0077,10,0.6,0.3,extrapolative,False,False,True
screen_0078,10,0.6,0.4,extrapolative,False,False,True
screen_0079,10,0.6,0.5,extrapolative,False,False,True
screen_0080,10,0.6,0.7,extrapolative,False,False,True
screen_0081,10,0.7,0.0,extrapolative,False,False,False
screen_0082,10,0.7,0.05,extrapolative,False,False,True
screen_0083,10,0.7,0.1,extrapolative,False,False,True
screen_0084,10,0.7,0.2,extrapolative,False,False,True
screen_0085,10,0.7,0.3,extrapolative,False,True,True
screen_0086,10,0.7,0.4,extrapolative,False,True,True
screen_0087,10,0.7,0.5,extrapolative,False,True,True
screen_0088,10,0.7,0.7,extrapolative,False,True,True
screen_0089,10,0.8,0.0,extrapolative,False,False,False
screen_0090,10,0.8,0.05,extrapolative,False,False,True
screen_0091,10,0.8,0.1,extrapolative,False,False,True
screen_0092,10,0.8,0.2,extrapolative,False,False,True
screen_0093,10,0.8,0.3,extrapolative,False,True,True
screen_0094,10,0.8,0.4,extrapolative,False,True,True
screen_0095,10,0.8,0.5,extrapolative,False,True,True
screen_0096,10,0.8,0.7,extrapolative,False,True,True
screen_0097,10,0.9,0.0,extrapolative,False,False,False
screen_0098,10,0.9,0.05,extrapolative,False,False,True
screen_0099,10,0.9,0.1,extrapolative,False,False,True
screen_0100,10,0.9,0.2,extrapolative,False,False,True
screen_0101,10,0.9,0.3,extrapolative,False,True,True
screen_0102,10,0.9,0.4,extrapolative,False,True,True
screen_0103,10,0.9,0.5,extrapolative,False,True,True
screen_0104,10,0.9,0.7,extrapolative,False,True,True
screen_0105,10,1.0,0.0,extrapolative,False,False,False
screen_0106,10,1.0,0.05,extrapolative,False,False,True
screen_0107,10,1.0,0.1,extrapolative,False,False,True
screen_0108,10,1.0,0.2,extrapolative,False,False,True
screen_0109,10,1.0,0.3,extrapolative,False,False,True
