mechanism_id,location,temperature_K,pressure_bar,target_species,absolute_rank,reaction_index,reaction_equation,production_contribution_kmol_m3_s,normalized_absolute_contribution,direction,signed_normalized_contribution
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,1,84,NH + NO <=> H + N2O,0.0002207831017074,0.4404910230227678,production,0.4404910230227678
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,2,187,N2O (+M) <=> N2 + O (+M),-0.0001382035794409,0.2757341283030811,consumption,-0.2757341283030811
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,N2O,3,189,H + N2O <=> N2 + OH,-0.0001080536525902,0.2155811001962367,consumption,-0.2155811001962367
Konnov_2026,pfr_outlet,2346.775825049714,4.999999999999999,N2O,1,354,H + N2O <=> NH + NO,0.0003506871698357,0.4775653816234848,production,0.4775653816234848
Konnov_2026,pfr_outlet,2346.775825049714,4.999999999999999,N2O,2,347,N2O (+M) <=> N2 + O (+M),-0.0002779426949155,0.3785020399490809,consumption,-0.3785020399490809
Konnov_2026,pfr_outlet,2346.775825049714,4.999999999999999,N2O,3,352,H + N2O <=> N2 + OH,-8.279255595164078e-05,0.1127468067826467,consumption,-0.1127468067826467
MEI_2019,pfr_outlet,2342.440753546369,5.0,N2O,1,49,NH + NO <=> H + N2O,0.0009662688846292,0.4783428341389357,production,0.4783428341389357
MEI_2019,pfr_outlet,2342.440753546369,5.0,N2O,2,206,N2O (+M) <=> N2 + O (+M),-0.0006146537831503,0.3042788993036537,consumption,-0.3042788993036537
MEI_2019,pfr_outlet,2342.440753546369,5.0,N2O,3,208,H + N2O <=> N2 + OH,-0.0003809886862814,0.1886050672538136,consumption,-0.1886050672538136
C3_v3_5_C0,pfr_outlet,2343.3574089303597,5.0,N2O,1,72,NH + NO <=> H + N2O,0.0002743254462982,0.39787693672328,production,0.39787693672328
C3_v3_5_C0,pfr_outlet,2343.3574089303597,5.0,N2O,2,161,N2O (+M) <=> N2 + O (+M),-0.0002540712949038,0.3685006618589409,consumption,-0.3685006618589409
C3_v3_5_C0,pfr_outlet,2343.3574089303597,5.0,N2O,3,162,H + N2O <=> N2 + OH,-8.210420105445162e-05,0.1190825293404986,consumption,-0.1190825293404986
Otomo_2018,pfr_outlet,2349.200375993815,5.0,N2O,1,62,NH + NO <=> H + N2O,0.0004281497248287,0.4795646935388362,production,0.4795646935388362
Otomo_2018,pfr_outlet,2349.200375993815,5.0,N2O,2,157,N2O (+M) <=> N2 + O (+M),-0.0002369809239649,0.2654391153030725,consumption,-0.2654391153030725
Otomo_2018,pfr_outlet,2349.200375993815,5.0,N2O,3,159,H + N2O <=> N2 + OH,-0.0002063009818149,0.2310749286605749,consumption,-0.2310749286605749
NUIG_2024,pfr_outlet,2348.28031807682,5.0,N2O,1,92,NH + NO <=> H + N2O,0.0001740485384823,0.4065598511606008,production,0.4065598511606008
NUIG_2024,pfr_outlet,2348.28031807682,5.0,N2O,2,182,N2O (+M) <=> N2 + O (+M),-0.0001452020197777,0.3391772896446419,consumption,-0.3391772896446419
NUIG_2024,pfr_outlet,2348.28031807682,5.0,N2O,3,184,H + N2O <=> N2 + OH,-6.44810124090038e-05,0.1506211487684916,consumption,-0.1506211487684916
MEI_2021,pfr_outlet,2351.0964928686,4.999999999999999,N2O,1,59,NH + NO <=> H + N2O,0.0003799562594834,0.472015666494569,production,0.472015666494569
MEI_2021,pfr_outlet,2351.0964928686,4.999999999999999,N2O,2,203,N2O (+M) <=> N2 + O (+M),-0.0001728333571202,0.2147090624707755,consumption,-0.2147090624707755
MEI_2021,pfr_outlet,2351.0964928686,4.999999999999999,N2O,3,205,H + N2O <=> N2 + OH,-0.0001134143299112,0.1408934296697591,consumption,-0.1408934296697591
RMG_2026_Burke,pfr_outlet,2355.562405997612,5.0,N2O,1,257,NH + NO <=> H + N2O,0.0003040243382111,0.439093561633119,production,0.439093561633119
RMG_2026_Burke,pfr_outlet,2355.562405997612,5.0,N2O,2,258,H + N2O <=> N2 + OH,-0.0001815190416848,0.2621627037710247,consumption,-0.2621627037710247
RMG_2026_Burke,pfr_outlet,2355.562405997612,5.0,N2O,3,250,N2O (+M) <=> N2 + O (+M),-0.0001492900014908,0.2156152328348187,consumption,-0.2156152328348187
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,1,25,NH3 + OH <=> H2O + NH2,-9.22046716382921e-08,0.8320909437834456,consumption,-0.8320909437834456
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,2,24,H + NH3 <=> H2 + NH2,-9.530933951730405e-09,0.0860108678456537,consumption,-0.0860108678456537
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH3,3,23,NH3 <=> H + NH2,6.127419351157702e-09,0.0552962237191499,production,0.0552962237191499
Konnov_2026,pfr_outlet,2346.775825049714,4.999999999999999,NH3,1,157,NH3 + OH <=> H2O + NH2,-1.043013022896614e-07,0.5902895910217193,consumption,-0.5902895910217193
Konnov_2026,pfr_outlet,2346.775825049714,4.999999999999999,NH3,2,151,H + NH2 (+M) <=> NH3 (+M),5.5358470504987335e-08,0.3132993375598145,production,0.3132993375598145
Konnov_2026,pfr_outlet,2346.775825049714,4.999999999999999,NH3,3,152,H + NH3 <=> H2 + NH2,-1.2437436429499002e-08,0.0703892386975049,consumption,-0.0703892386975049
MEI_2019,pfr_outlet,2342.440753546369,5.0,NH3,1,161,NH3 + OH <=> H2O + NH2,-2.701717750708613e-07,0.823210434086864,consumption,-0.823210434086864
MEI_2019,pfr_outlet,2342.440753546369,5.0,NH3,2,159,H + NH3 <=> H2 + NH2,-2.3012946937016422e-08,0.0701201967995008,consumption,-0.0701201967995008
MEI_2019,pfr_outlet,2342.440753546369,5.0,NH3,3,157,NH3 (+M) <=> H + NH2 (+M),2.187573096071028e-08,0.0666551121981949,production,0.0666551121981949
C3_v3_5_C0,pfr_outlet,2343.3574089303597,5.0,NH3,1,30,NH3 + OH <=> H2O + NH2,-2.2105017321791265e-07,0.8114456362637495,consumption,-0.8114456362637495
C3_v3_5_C0,pfr_outlet,2343.3574089303597,5.0,NH3,2,28,H + NH3 <=> H2 + NH2,-2.8577650486966925e-08,0.1049047347249072,consumption,-0.1049047347249072
C3_v3_5_C0,pfr_outlet,2343.3574089303597,5.0,NH3,3,27,NH3 + M <=> H + NH2 + M,1.4315024402891526e-08,0.0525485409743806,production,0.0525485409743806
Otomo_2018,pfr_outlet,2349.200375993815,5.0,NH3,1,30,NH3 + OH <=> H2O + NH2,-4.66802721299335e-08,0.8602108398762972,consumption,-0.8602108398762972
Otomo_2018,pfr_outlet,2349.200375993815,5.0,NH3,2,28,H + NH3 <=> H2 + NH2,-3.579649638068682e-09,0.0659647701507589,consumption,-0.0659647701507589
