dataset_id,campaign_id,observable_class,observable,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,apparatus
x00100000:gdg1:p1:H2O,campaign_d5397fe0cc8b,species,H2O,900.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p1:NH3,campaign_d5397fe0cc8b,species,NH3,900.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p1:NO,campaign_d5397fe0cc8b,species,NO,900.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p1:N2O,campaign_d5397fe0cc8b,species,N2O,900.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p2:H2O,campaign_d5397fe0cc8b,species,H2O,950.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p2:NH3,campaign_d5397fe0cc8b,species,NH3,950.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p2:NO,campaign_d5397fe0cc8b,species,NO,950.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p2:N2O,campaign_d5397fe0cc8b,species,N2O,950.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p3:H2O,campaign_d5397fe0cc8b,species,H2O,1000.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p3:NH3,campaign_d5397fe0cc8b,species,NH3,1000.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p3:NO,campaign_d5397fe0cc8b,species,NO,1000.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p3:N2O,campaign_d5397fe0cc8b,species,N2O,1000.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p4:H2O,campaign_d5397fe0cc8b,species,H2O,1060.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p4:NH3,campaign_d5397fe0cc8b,species,NH3,1060.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p4:NO,campaign_d5397fe0cc8b,species,NO,1060.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p4:N2O,campaign_d5397fe0cc8b,species,N2O,1060.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p5:H2O,campaign_d5397fe0cc8b,species,H2O,1100.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p5:NH3,campaign_d5397fe0cc8b,species,NH3,1100.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p5:NO,campaign_d5397fe0cc8b,species,NO,1100.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p5:N2O,campaign_d5397fe0cc8b,species,N2O,1100.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p6:H2O,campaign_d5397fe0cc8b,species,H2O,1150.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p6:NH3,campaign_d5397fe0cc8b,species,NH3,1150.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p6:NO,campaign_d5397fe0cc8b,species,NO,1150.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p6:N2O,campaign_d5397fe0cc8b,species,N2O,1150.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p7:H2O,campaign_d5397fe0cc8b,species,H2O,1180.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p7:NH3,campaign_d5397fe0cc8b,species,NH3,1180.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p7:NO,campaign_d5397fe0cc8b,species,NO,1180.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p7:N2O,campaign_d5397fe0cc8b,species,N2O,1180.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
x00100000:gdg1:p8:H2O,campaign_d5397fe0cc8b,species,H2O,1210.0,101325.0,0.25,0.0689655172413793,stirred reactor (quartz)
