sample_index,dataset_id,held_out_campaign,observed,stacked,equal_weight,best_single,best_single_name,stacking_success,weight_C3_v3_5_C0,weight_Konnov_2026,weight_MEI_2019,weight_MEI_2021,weight_NUIG_2024,weight_Otomo_2018,weight_POLIMI_2023,weight_RMG_2026_Burke,residual_interval_level,residual_log_half_width,residual_interval_low,residual_interval_high,residual_interval_covered,campaign_id,doi,experimental_m_per_s,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,apparatus,relative_error_stacked,signed_relative_residual_stacked,relative_error_equal_weight,signed_relative_residual_equal_weight,relative_error_best_single,signed_relative_residual_best_single
0,x20100004:gdg1:p1:laminar burning velocity,campaign_6f2c5118f885,0.962,0.8488020401177107,0.8141588406621839,0.8486405148055123,MEI_2021,True,1.0036127970010394e-16,1.1283936161903568e-16,4.1300046408476497e-17,0.9128859242826132,8.14779523487014e-17,0.0871140757173862,0.0,2.15638098843206e-16,0.9,0.4133941880248413,0.5613989551659395,1.2833385183181023,True,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,0.962,298.0,101325.0,0.6,1.0,outwardly propagating spherical flame; constant volume combustion chamber,0.1176693969670367,-0.1176693969670367,0.1536810388126986,-0.1536810388126986,0.1178373026969726,-0.1178373026969726
1,x20100004:gdg1:p5:laminar burning velocity,campaign_6f2c5118f885,0.331,0.2987241547663914,0.2841774910020525,0.3008562875470593,MEI_2021,True,1.0036127970010394e-16,1.1283936161903568e-16,4.1300046408476497e-17,0.9128859242826132,8.14779523487014e-17,0.0871140757173862,0.0,2.15638098843206e-16,0.9,0.4133941880248413,0.1975766084933345,0.4516532666563383,True,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,0.331,298.0,101325.0,0.6,0.6087429790569078,outwardly propagating spherical flame; constant volume combustion chamber,0.0975101064459472,-0.0975101064459472,0.141457731111624,-0.141457731111624,0.0910686176826003,-0.0910686176826003
2,x20100005:gdg1:p3:laminar burning velocity,campaign_6f2c5118f885,1.595,1.5276837174849536,1.4799260378854435,1.5308952288716868,MEI_2021,True,1.0036127970010394e-16,1.1283936161903568e-16,4.1300046408476497e-17,0.9128859242826132,8.14779523487014e-17,0.0871140757173862,0.0,2.15638098843206e-16,0.9,0.4133941880248413,1.0104123249999906,2.3097674908792007,True,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,1.595,298.0,101325.0,1.0,0.8563219731689026,outwardly propagating spherical flame; constant volume combustion chamber,0.0422045658401544,-0.0422045658401544,0.0721466847113206,-0.0721466847113206,0.0401910790773123,-0.0401910790773123
3,x20100006:gdg1:p1:laminar burning velocity,campaign_6f2c5118f885,2.8880000000000003,2.8795522248282794,2.8323688361429564,2.882336968631084,MEI_2021,True,1.0036127970010394e-16,1.1283936161903568e-16,4.1300046408476497e-17,0.9128859242826132,8.14779523487014e-17,0.0871140757173862,0.0,2.15638098843206e-16,0.9,0.4133941880248413,1.904540203673601,4.353712775146301,True,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,2.8880000000000003,298.0,101325.0,1.67,1.0,outwardly propagating spherical flame; constant volume combustion chamber,0.0029251299071055,-0.0029251299071055,0.0192628683715526,-0.0192628683715526,0.0019608834379904,-0.0019608834379904
4,x20100006:gdg1:p5:laminar burning velocity,campaign_6f2c5118f885,0.55,0.6065709383741431,0.5941368283391323,0.6108227682894863,MEI_2021,True,1.0036127970010394e-16,1.1283936161903568e-16,4.1300046408476497e-17,0.9128859242826132,8.14779523487014e-17,0.0871140757173862,0.0,2.15638098843206e-16,0.9,0.4133941880248413,0.4011869375220204,0.9170994089504564,True,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,0.55,298.0,101325.0,1.67,0.6001856882500601,outwardly propagating spherical flame; constant volume combustion chamber,0.102856251589351,0.102856251589351,0.0802487787984222,0.0802487787984222,0.1105868514354296,0.1105868514354296
5,x20100007:gdg1:p1:laminar burning velocity,campaign_11f336e77db5,0.07,0.049998081563194,0.056123022687241,0.0504502150437023,MEI_2021,True,1.6404656360723166e-17,1.0607798960433336e-16,0.0,0.8702445476216567,7.848531101808179e-18,0.129755452378343,2.8740152586069227e-17,3.144612383843124e-17,0.9,0.4170886477922089,0.0329468609112782,0.0758739403651073,True,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,0.07,298.0,101325.0,0.6,0.222222745445213,outwardly propagating spherical flame; constant volume combustion chamber,0.2857416919543702,-0.2857416919543702,0.1982425330394142,-0.1982425330394142,0.2792826422328244,-0.2792826422328244
6,x20100007:gdg1:p2:laminar burning velocity,campaign_11f336e77db5,0.15,0.1449065209154083,0.1413235560620251,0.1472941270034098,MEI_2021,True,1.6404656360723166e-17,1.0607798960433336e-16,0.0,0.8702445476216567,7.848531101808179e-18,0.129755452378343,2.8740152586069227e-17,3.144612383843124e-17,0.9,0.4170886477922089,0.0954879635472194,0.2199010118529132,True,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,0.15,298.0,101325.0,0.6,0.4,outwardly propagating spherical flame; constant volume combustion chamber,0.0339565272306113,-0.0339565272306113,0.0578429595864991,-0.0578429595864991,0.0180391533106013,-0.0180391533106013
7,x20100009:gdg1:p2:laminar burning velocity,campaign_11f336e77db5,0.233,0.1768417102664496,0.1850773446026807,0.1808687824859072,MEI_2021,True,1.6404656360723166e-17,1.0607798960433336e-16,0.0,0.8702445476216567,7.848531101808179e-18,0.129755452378343,2.8740152586069227e-17,3.144612383843124e-17,0.9,0.4170886477922089,0.1165320558169244,0.2683638443579316,True,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,0.233,298.0,101325.0,1.0,0.2222208348031304,outwardly propagating spherical flame; constant volume combustion chamber,0.2410227027191004,-0.2410227027191004,0.2056766326065205,-0.2056766326065205,0.2237391309617716,-0.2237391309617716
8,x20100010:gdg1:p2:laminar burning velocity,campaign_11f336e77db5,0.3879999999999999,0.3749815252094867,0.3873807220213285,0.3822875818658111,MEI_2021,True,1.6404656360723166e-17,1.0607798960433336e-16,0.0,0.8702445476216567,7.848531101808179e-18,0.129755452378343,2.8740152586069227e-17,3.144612383843124e-17,0.9,0.4170886477922089,0.2470987639747885,0.5690483513012613,True,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,0.3879999999999999,298.0,101325.0,1.25,0.4,outwardly propagating spherical flame; constant volume combustion chamber,0.0335527700786423,-0.0335527700786423,0.0015960772646168,-0.0015960772646168,0.0147227271499711,-0.0147227271499711
9,x20100011:gdg1:p1:laminar burning velocity,campaign_11f336e77db5,0.206,0.2017748573806206,0.2247999873046584,0.2060929701278763,MEI_2021,True,1.6404656360723166e-17,1.0607798960433336e-16,0.0,0.8702445476216567,7.848531101808179e-18,0.129755452378343,2.8740152586069227e-17,3.144612383843124e-17,0.9,0.4170886477922089,0.1329620648166248,0.3062008184599076,True,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,0.206,298.0,101325.0,1.67,0.4,outwardly propagating spherical flame; constant volume combustion chamber,0.0205104010649482,-0.0205104010649482,0.0912620742944583,0.0912620742944583,0.0004513113003704,0.0004513113003704
