design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s,thermo_min_temperature_K,thermo_max_temperature_K,within_mechanism_thermo_range,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_log_standard_deviation,surrogate_relative_error,surrogate_log_error,surrogate_interval_covered
map_0121,interpolation_holdout,True,C3_v3_5_C0,300,1,1.0,0.2,completed,0.1595697315571424,2075.481020632871,197,multicomponent,True,,6.700015000000349,300,3000,True,0.1591528282497661,0.1525575260901508,0.1660332557105803,0.025728376509689,0.0026126716095086,0.0026160905923962,True
map_0122,interpolation_holdout,True,C3_v3_5_C0,300,10,1.4,0.2,completed,0.0509642969775046,1946.5060571715503,182,multicomponent,True,,19.81451189999916,300,3000,True,0.0508285647782019,0.0491115674688421,0.0526055903031592,0.0208899077732041,0.0026632801265275,0.0026668329665846,True
map_0123,interpolation_holdout,True,C3_v3_5_C0,300,1,0.7,0.7,completed,0.4089850560247134,1797.0630009775125,187,multicomponent,True,,11.043276100000185,300,3000,True,0.4141728962404186,0.3840453176714173,0.4466639224252764,0.0459106079149295,0.0126846693767504,0.0126048928755146,True
map_0124,interpolation_holdout,True,C3_v3_5_C0,300,1,1.3,0.7,completed,0.868557672561993,1987.3205991769807,200,multicomponent,True,,14.346920100000716,300,3000,True,0.8713249861236837,0.8064843837967433,0.9413787132111155,0.0470094171492328,0.0031861022579282,0.0031810373894037,True
map_0125,interpolation_holdout,True,C3_v3_5_C0,450,5,1.0,0.0,completed,0.0992574220562929,2171.034589847033,179,multicomponent,True,,5.964036000000306,300,3000,True,0.0992378619006499,0.0962185108058449,0.102351960679215,0.018782890381491,0.0001970649170378,0.0001970843368799,True
map_0126,interpolation_holdout,True,C3_v3_5_C0,300,5,1.0,0.5,completed,0.2384025793623756,2157.006057122532,208,multicomponent,True,,28.016956299999947,300,3000,True,0.2393021182275511,0.2224145094654521,0.2574719784506143,0.0444887817570535,0.0037731926709072,0.0037660920352141,True
map_0127,interpolation_holdout,True,C3_v3_5_C0,450,1,1.4,0.05,completed,0.1592367972654462,1988.2852928563616,155,multicomponent,True,,3.168934299999819,300,3000,True,0.1577728268407955,0.152548842303911,0.1631757049964675,0.0204689187941586,0.0091936691128639,0.0092361917152268,True
map_0128,interpolation_holdout,True,C3_v3_5_C0,300,5,0.7,0.2,completed,0.0313956750329961,1757.0595641298903,178,multicomponent,True,,21.6574427000005,300,3000,True,0.0302532917841106,0.0288708892505445,0.0317018868325045,0.0284323421131364,0.0363866439464943,0.0370651477589122,True
map_0129,interpolation_holdout,True,C3_v3_5_C0,300,1,0.6,0.05,completed,0.016449226278847,1590.2697924612717,176,multicomponent,True,,27.199819700000265,300,3000,True,0.0155401508018045,0.0150993586019845,0.0159938109497635,0.0174922691606639,0.0552655463321985,0.056851392386422,False
map_0130,interpolation_holdout,True,C3_v3_5_C0,450,1,1.0,0.5,completed,0.959501008340794,2178.046545061924,186,multicomponent,True,,4.02660620000006,300,3000,True,0.9634141020650656,0.9170915510696376,1.012076418079833,0.0299550316323786,0.0040782591057808,0.004069965548318,True
map_0131,interpolation_holdout,True,C3_v3_5_C0,300,1,1.4,0.3,completed,0.1813972195221588,1925.6383432357725,168,multicomponent,True,,3.4998090999997657,300,3000,True,0.180591300722064,0.1745127316815353,0.186881596444219,0.0208138426484686,0.0044428398749315,0.0044527386179094,True
map_0132,interpolation_holdout,True,C3_v3_5_C0,450,1,0.9,0.0,completed,0.1324339701171118,2060.682280242335,161,multicomponent,True,,8.018923700000414,300,3000,True,0.1313858036404594,0.1255782244085641,0.1374619642820186,0.0274827930017483,0.0079146345588331,0.0079461215275423,True
map_0133,interpolation_holdout,False,C3_v3_5_C0,600,10,1.0,0.3,completed,0.3813507723427793,2333.5217641437785,193,multicomponent,True,,5.648424200000591,300,3000,True,0.3795416379204079,0.3498322690650001,0.4117740633255896,0.0495504561002126,0.0047440166733036,0.0047553052366404,True
map_0134,interpolation_holdout,False,C3_v3_5_C0,450,1,0.7,0.7,completed,0.954516068256307,1909.5527920850384,182,multicomponent,True,,5.146006800000578,300,3000,True,0.9435814724697772,0.8625129920342159,1.0322696624990817,0.0546094227232347,0.011455643493257,0.0115217648372437,True
map_0135,interpolation_holdout,False,C3_v3_5_C0,750,1,0.6,0.05,completed,0.3140912607792077,1922.370151541289,166,multicomponent,True,,5.904666299999917,300,3000,True,0.3177146340573967,0.3052873898357463,0.3306477504640319,0.0242553240147231,0.0115360525128907,0.0114700196132092,True
map_0136,interpolation_holdout,False,C3_v3_5_C0,300,20,1.4,0.7,completed,0.2115988993157169,2047.2960236680167,207,multicomponent,True,,26.570632499999192,300,3000,True,0.2265161293231437,0.1969151144562282,0.2605668792120303,0.0851327712673494,0.0704976729825493,0.0681236552783524,True
map_0137,interpolation_holdout,False,C3_v3_5_C0,750,1,1.4,0.5,completed,2.411880715449722,2239.874999139649,179,multicomponent,True,,3.8473684999999023,300,3000,True,2.377364813389302,2.113413884157162,2.674281407115643,0.0715428926502461,0.0143107832154892,0.0144141700231024,True
map_0138,interpolation_holdout,False,C3_v3_5_C0,300,5,0.6,0.0,completed,0.0051285742529201,1584.677948461368,156,multicomponent,True,,16.493423600000824,300,3000,True,0.0051539618515267,0.0046860963122815,0.0056685396536503,0.0578515607353615,0.0049502254144307,0.0049380133337239,True
map_0139,interpolation_holdout,False,C3_v3_5_C0,300,10,1.4,0.0,completed,0.0251433523305288,1902.4086435948368,164,multicomponent,True,,20.28806970000005,300,3000,True,0.0249635082962066,0.0236815975627849,0.026314810257315,0.0320466978591495,0.0071527468556271,0.007178450390005,True
map_0140,interpolation_holdout,False,C3_v3_5_C0,300,20,0.7,0.7,completed,0.0697744807065324,1834.821752840816,189,multicomponent,True,,21.01705309999943,300,3000,True,0.0571622580699282,0.0498035907779778,0.0656081960479426,0.0837731132201351,0.1807569545325669,0.1993744803407599,False
map_0141,interpolation_holdout,False,C3_v3_5_C0,750,5,0.6,0.7,completed,1.6232454991076837,2007.0726933462283,176,multicomponent,True,,5.450264000000061,300,3000,True,1.6185968685879557,1.381257204304101,1.896718304772688,0.0963924263703246,0.0028637877155879,0.0028678962013901,True
map_0142,interpolation_holdout,False,C3_v3_5_C0,600,1,1.2,0.0,completed,0.3015965547917401,2175.965501252844,187,multicomponent,True,,6.442229299999781,300,3000,True,0.3072708112361379,0.2745351138038281,0.3439099287866679,0.0684804304735301,0.0188140625423127,0.0186392670729692,True
map_0143,interpolation_holdout,False,C3_v3_5_C0,750,10,1.4,0.7,completed,2.580620247631346,2371.492341210588,198,multicomponent,True,,8.413617099999101,300,3000,True,2.537770411220251,2.3113412930159973,2.786381517746902,0.0568133144906747,0.0166044719095826,0.0167438714109998,True
map_0144,interpolation_holdout,False,C3_v3_5_C0,750,10,0.6,0.0,completed,0.1085277147576807,1931.6998870015352,168,multicomponent,True,,15.139025599999512,300,3000,True,0.1079502634504972,0.0959689570757982,0.1214273837510578,0.0715172170598331,0.0053207727489036,0.005334978472919,True
map_0121,interpolation_holdout,True,Konnov_2026,300,1,1.0,0.2,completed,0.1670060273821825,2083.96500676225,188,multicomponent,True,,12.163596400001552,300,3000,True,0.1664953986417733,0.1604663330613825,0.1727509891952171,0.0224215899964389,0.0030575467748878,0.0030622306208501,True
map_0122,interpolation_holdout,True,Konnov_2026,300,10,1.4,0.2,completed,0.0423913347261895,1945.917830910657,184,multicomponent,True,,26.29279300000053,300,3000,True,0.0421024938200018,0.0409533789053234,0.0432838518638781,0.0168222825032751,0.0068136780323928,0.0068369971227715,True
map_0123,interpolation_holdout,True,Konnov_2026,300,1,0.7,0.7,completed,0.4204664394437963,1802.0918101433504,184,multicomponent,True,,21.19074489999912,300,3000,True,0.4260892252882187,0.3975771394396207,0.4566460439918889,0.0421032198304838,0.0133727339852864,0.0132841082164488,True
map_0124,interpolation_holdout,True,Konnov_2026,300,1,1.3,0.7,completed,0.9905577468318308,2010.3815519485856,200,multicomponent,True,,16.27028209999844,300,3000,True,0.9977341325195358,0.929752283451364,1.0706866946313711,0.0428988764456886,0.0072447928560022,0.0072186754120225,True
map_0125,interpolation_holdout,True,Konnov_2026,450,5,1.0,0.0,completed,0.0987400388194964,2171.979161112385,182,multicomponent,True,,30.49802239999917,300,3000,True,0.0988806012774866,0.0963628081046897,0.1014641800223903,0.0156794865901707,0.0014235608945548,0.0014225485923467,True
map_0126,interpolation_holdout,True,Konnov_2026,300,5,1.0,0.5,completed,0.2106102855963985,2159.988594033196,207,multicomponent,True,,50.035004299999855,300,3000,True,0.2124443284661946,0.199411232832856,0.2263292396135073,0.03848679711088,0.0087082302965523,0.0086705323559163,True
map_0127,interpolation_holdout,True,Konnov_2026,450,1,1.4,0.05,completed,0.1711215147334157,1970.8322470888663,161,multicomponent,True,,10.615103299998736,300,3000,True,0.1716075456534336,0.1667163866584587,0.1766422024580337,0.0175781600061873,0.0028402677522758,0.0028362418131852,True
map_0128,interpolation_holdout,True,Konnov_2026,300,5,0.7,0.2,completed,0.0308555034105851,1758.510314747073,200,multicomponent,True,,82.42115399999966,300,3000,True,0.0300584630155918,0.0288886795723431,0.031275614262574,0.0241303613281443,0.0258313852276926,0.0261708745397534,True
map_0129,interpolation_holdout,True,Konnov_2026,300,1,0.6,0.05,completed,0.0193332988793101,1589.9316611118445,176,multicomponent,True,,49.84589250000136,300,3000,True,0.0186049280539033,0.0181613731992742,0.0190593158398811,0.0146683937668384,0.0376744201780378,0.0384024450111492,False
map_0130,interpolation_holdout,True,Konnov_2026,450,1,1.0,0.5,completed,1.0480696016085818,2204.4707743744266,184,multicomponent,True,,21.539249599998584,300,3000,True,1.0425200155565997,0.999769945457874,1.087098074685951,0.0254534681397675,0.0052950548737073,0.0053091233610158,True
map_0131,interpolation_holdout,True,Konnov_2026,300,1,1.4,0.3,completed,0.1805113471346616,1919.844315837585,171,multicomponent,True,,13.166764600002352,300,3000,True,0.1816867534185803,0.1765875229932099,0.18693323179494,0.0173054314364888,0.0065115368234547,0.0064904283504024,True
