design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3,EI_g_per_MJ_NOx_NO2eq
reactor_0001,750,10,10,1.0,0.3,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.1088668000002144,0.01,300.0,2418.291529575526,2438.7803151156027,650,563,True,,0.2436875267428838,671192.6663006091,0.0032971344011554,9.50982095543524e-07,2.595157231032531e-07,1.2247414616378228e-07,0.0092307308700794,0.0020306234930535,0.2977638637788524,0.0046951932990773,1.3542198222109743e-06,3.695562072606395e-07,1.7440592963904789e-07,0.0131447676842032,0.0028916533745766,0.0039973939266446,1.7677040956379212e-06,4.61505456112282e-07,8.427849315046894e-08,0.0007518977918408,0.0026253332149689,0.2167396912566721,1.4513195514635973,0.0006417940193737,0.0001675571394398,3.0598691828162216e-05,0.00134403292822,3.876551863067149e-07,1.0578812835757442e-07,4.9924954603631575e-08,2.225812063559851
reactor_0048,750,10,10,1.0,0.7,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.1086061000005429,0.01,300.0,2502.533983255381,2520.7282114705595,600,524,True,,0.2356428356556654,685089.8807531528,0.0029519493411331,9.307058844640108e-07,3.393224034909109e-07,1.1452687285629499e-07,0.0114028754679275,0.0029083753677848,0.2940357169762458,0.0041814429031586,1.3183469855977042e-06,4.806509502683912e-07,1.6222757384517908e-07,0.0161521988323365,0.0041197202715806,0.0035854554817613,1.7331846107172877e-06,6.045341453161986e-07,7.895413517220502e-08,0.0009305339837979,0.0037670433781677,0.2144182187623159,1.233249710111846,0.000596144459082,0.00020793496482,2.715698599761208e-05,0.001204142885852,3.796484085894928e-07,1.384145223904701e-07,4.6717169995829e-08,1.8914206614256497
reactor_0095,750,10,10,1.2,0.5,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.0973977000003287,0.01,300.0,2401.653147522092,2417.1329370656263,580,557,True,,0.2347647461209731,775485.2605953277,0.000514584055847,2.073430268657252e-08,3.597562456804836e-08,2.4525359470425366e-06,0.0579953978189871,3.771844668135514e-05,0.2849232849661365,0.000719620769392,2.899591365604824e-08,5.0310160870424487e-08,3.4297522146646785e-06,0.0811037425771032,5.27474128136992e-05,0.000654051840322,4.0405660518890275e-08,6.707135120056465e-08,1.76930731039404e-06,0.0049525834378684,5.1123946865349126e-05,0.2174252362578699,0.1980028790299295,1.2232114671380582e-05,2.0304691187171297e-05,0.0005356271777696,0.0002031978160441,8.187515674526551e-09,1.4205975214325814e-08,9.684519808690965e-07,0.3035912194276318
reactor_0245,750,10,10,0.7,0.1,0.3,0.0,psr_fraction_sensitivity,C3_v3_5_C0,completed,0.1225160999993022,0.01,300.0,2075.8797715130318,2080.5236229438606,630,593,True,,0.4952472609361076,969599.0713714449,0.0094988551334785,2.097251112092789e-05,6.04972932644353e-07,4.955947674761741e-10,0.0001818295732966,0.0453699246126087,0.2348910789700867,0.0124150364378082,2.7411144406337324e-05,7.907017105878191e-07,6.477440712742624e-10,0.0002376518797505,0.0592986480297946,0.0110313309025618,3.734255344980817e-05,1.0305414366203147e-06,3.2667462727361246e-10,1.4187425376592884e-05,0.0561874644885118,0.1637756501621288,5.634531400949217,0.0190736541096509,0.0005263751161038,1.6685733222263185e-07,0.0048929895434509,1.0803225880657248e-05,3.116297903172326e-07,2.5528760897755747e-10,8.657964891770298
reactor_0246,750,10,10,0.7,0.1,0.5,0.0,psr_fraction_sensitivity,C3_v3_5_C0,completed,0.0962815999992017,0.01,300.0,2078.029334441363,2081.14868402438,650,565,True,,0.2971483565616644,581759.4428228667,0.0092063611736421,2.0338866577402028e-05,6.032677737021986e-07,4.920066203566334e-10,0.0001823289075005,0.0455149230362125,0.2348863793854841,0.0120326719138105,2.6582805519873603e-05,7.884682189001842e-07,6.430504007515495e-10,0.0002383030475318,0.059487796073551,0.0106916764800573,3.621441530661843e-05,1.0276395098053477e-06,3.243103365570338e-10,1.4226424154938456e-05,0.0563671844301544,0.1637728080187015,5.461044309864968,0.0184974290060294,0.0005248928835513,1.65649710911912e-07,0.0047482922749507,1.0490016764411378e-05,3.111426605549586e-07,2.5375837321617985e-10,8.391397405927146
reactor_0247,750,10,10,0.7,0.1,0.7,0.0,psr_fraction_sensitivity,C3_v3_5_C0,completed,0.0996315000002141,0.01,300.0,2079.123993687208,2081.4454621999944,620,529,True,,0.2122488261154746,415542.4591591905,0.009067465189998,2.003767213473801e-05,6.024945241876785e-07,4.902139206098537e-10,0.0001825666172769,0.0455837768000112,0.2348841437033876,0.011851100869726,2.6189069236816356e-05,7.874552843590651e-07,6.407054782299694e-10,0.0002386130358879,0.0595776135403208,0.0105303849010247,3.5678167896369245e-05,1.0263236097357504e-06,3.2312907125093577e-10,1.424498971918787e-05,0.0564525264748582,0.163771455959883,5.378660554469081,0.0182235270717646,0.0005242207542925,1.6504634976547818e-07,0.0046794524427068,1.0340854015131912e-05,3.109297266492381e-07,2.5298500520046764e-10,8.264812325303701
reactor_0248,750,10,10,1.0,0.3,0.3,0.0,psr_fraction_sensitivity,C3_v3_5_C0,completed,0.1146231000002444,0.01,300.0,2414.2990684310325,2440.4836985978955,660,635,True,,0.4061458779048065,1118654.4438343488,0.0028401319227872,8.409437805581056e-07,2.603782939224642e-07,1.049070202793268e-07,0.0090559574859347,0.0021485904035264,0.2979193037192145,0.0040453069537912,1.197787925252661e-06,3.7086661875450603e-07,1.4942302335766112e-07,0.0128987416032202,0.0030603183008853,0.003443105518538,1.5630602265732345e-06,4.630090321232184e-07,7.218524168921736e-08,0.0007376130929091,0.0027776670046499,0.2168386151475539,1.2500760366644543,0.0005674946999394,0.0001681030374178,2.6208038165161228e-05,0.0011589466794573,3.43156243647874e-07,1.0625019095875357e-07,4.280844908259323e-08,1.9171902182383715
reactor_0249,750,10,10,1.0,0.3,0.7,0.0,psr_fraction_sensitivity,C3_v3_5_C0,completed,0.0837145000004966,0.01,300.0,2420.4906715172388,2435.7478714521794,640,524,True,,0.1740625191020599,479423.3330718637,0.0040822765128617,1.1238952644244378e-06,2.604081177214451e-07,1.549663268858732e-07,0.0095486636086011,0.0018369377206774,0.2974768344821465,0.0058108781506907,1.599798155546909e-06,3.706754887285312e-07,2.205853621519261e-07,0.0135919555073497,0.0026147717411188,0.0049498890706656,2.089372235978168e-06,4.631486828355549e-07,1.066503859041038e-07,0.0007778897780388,0.0023752110740475,0.2165570670635601,1.7971385651909153,0.0007585809234732,0.0001681537399037,3.872117511412921e-05,0.0016611741730891,4.573393743997563e-07,1.0596617800354729e-07,6.305943732871586e-08,2.75614026201134
reactor_0250,750,10,10,1.2,0.5,0.3,0.0,psr_fraction_sensitivity,C3_v3_5_C0,completed,0.0904202000001532,0.01,300.0,2398.900651767612,2417.949975024315,580,621,True,,0.3912745768682887,1292475.4343255467,0.0004050857577348,1.6410123500357343e-08,3.3581633864714424e-08,2.0000312143860173e-06,0.0578926654726216,3.819475716262807e-05,0.285037292427505,0.0005665830587308,2.2952418813667152e-08,4.696976990413076e-08,2.7973923579548664e-06,0.0809729862263501,5.342202713245045e-05,0.0005148516038375,3.1977453445288825e-08,6.26051102764042e-08,1.4427926242001316e-06,0.004943574281773,5.176706920091451e-05,0.2175018429736024,0.155862415711312,9.680620794669038e-06,1.895261401697376e-05,0.0004367805054934,0.0001599853933451,6.4810475631824355e-09,1.326279880354665e-08,7.898963970626452e-07,0.23897870245324754
reactor_0251,750,10,10,1.2,0.5,0.7,0.0,psr_fraction_sensitivity,C3_v3_5_C0,completed,0.1011400999996112,0.01,300.0,2403.109699582865,2415.420897739585,590,497,True,,0.1676891043721237,553918.0432823771,0.0007436447328639,2.96302624243252e-08,4.2528892534855416e-08,3.333858634299864e-06,0.0582105130971342,3.674536992924178e-05,0.2846844383112298,0.0010396037395136,4.1422644789625255e-08,5.94547285319084e-08,4.660682379716502e-06,0.0813773895254096,5.1369454122444336e-05,0.0009452895950371,5.774731541210094e-08,7.92969186957066e-08,2.405351754467176e-06,0.0049714516676268,4.981002095123676e-05,0.2172647453341549,0.2861700706204716,1.748200066559888e-05,2.4005770234087632e-05,0.0007281786291278,0.0002935488041776,1.1696348696821393e-08,1.6787997002987793e-08,1.316018485906745e-06,0.43877484080204615
