mechanism_id,display_name,version,source_doi,source_url,local_path,phase,license_status,thermo_complete,transport_complete,zero_d_eligible,one_d_eligible,verification_status,notes
alzueta_2023_cantera_example,Alzueta 2023 Cantera example,Cantera-3.2 bundled variation,,https://cantera.org/stable/examples/input/ammonia-oxidation.html,example_data/ammonia-CO-H2-Alzueta-2023.yaml,baseline,bundled_with_cantera,true,true,true,true,smoke_only,"Bundled variation includes later mixture-rule changes; not the untouched publication mechanism and therefore excluded from formal inter-model inference until provenance is frozen."
polimi_2023,POLIMI 2023,official CERFACS distribution,10.1016/j.cej.2023.144577,https://chemistry.cerfacs.fr/en/polimi_2023-mechanism/,mechanisms/raw/POLIMI_2023.yaml,gas,source_terms_unverified,true,true,true,true,checksum_verified,"SHA256 5806F8F19A25141E2C4946AF8A8F75CE51BC75F3F67FB9013E253FF464482786; license and exact upstream revision still require manual confirmation."
nuigmech1_1_ht,NUIGMech1.1 high-temperature,official 2020 high-temperature distribution,,https://universityofgalway.ie/combustionchemistrycentre/mechanismdownloads/,mechanisms/converted/NUIGMech1.1_HT.yaml,gas,source_terms_unverified,true,true,true,true,converted_with_warnings,"Official Chemkin SHA256 D5D941755F5D48631A6493103C4F99DB314C5DF98D9008116958D105AC5783DB; converted with ck2yaml --permissive because the official thermo/transport files contain redundant entries; Cantera reports thermo discontinuities and explicit third-body duplicate warnings."
konnov_2026,Konnov ammonia 2026,Zenodo v1,10.5281/zenodo.19725531,https://zenodo.org/records/19725531,mechanisms/converted/Konnov_2026.yaml,gas,CC-BY-4.0,true,true,true,true,converted_with_warnings,"44 species; converted with ck2yaml --permissive, which changes five reversible photon-emission reactions to irreversible reactions and removes photon products; Cantera also reports explicit third-body duplicate warnings. Raw mechanism SHA256 94E22F449F706C44ACB5421FE0B4CDE1EB6B3EFD40B9251264BE95A763CDAB16."
UCSD_2018,UC San Diego Nitrogen Chemistry,2018-07-23,,https://web.eng.ucsd.edu/mae/groups/combustion/mechanism.html,mechanisms/converted/UCSD_2018.yaml,gas,source_terms_unverified,true,true,true,false,screened_out_primary_ensemble,"Official UCSD Chemkin release; 20 species and 41 reactions; clean ck2yaml conversion and Cantera audit. Raw mechanism SHA256 C930A68A30C7D40943B4D0777C629B582C0DEA0E9A8D0B171F76361BA2D06C9F; converted YAML SHA256 1CA721F2029F69895558F0ED07F6548BCC04865941C8F5C7CEFD24152D85C097. Although transport data are complete, external screening gave 22/80 converged LBV points and mean absolute IDT log10 error 0.842; therefore it is not eligible for the primary 1D ensemble."
Shrestha_2018,Shrestha et al. ammonia/NOx mechanism,2018 mechanism with 2020 format update,10.1021/acs.energyfuels.8b01056,https://data.mendeley.com/datasets/25zw5d5ttw/3,mechanisms/converted/Shrestha_2018.yaml,gas,CC-BY-4.0,true,true,true,false,observable_specific_partial_admission,"Official dataset DOI 10.17632/25zw5d5ttw.3. Archive SHA256 42196CB45CDD10CBD57EA6059A462AD0CF29951724AB5F9063698E062A87AF78; converted YAML SHA256 F3A4FDE717B23DF2841EF790187A89A72BD0AE07C8B466F46223AF7AFB5181D8. Conversion used the authors' 2020 format update, one documented Ar-to-AR case normalization, and permissive duplicate CN/HNOH transport handling. HOCHO has a 1000 K thermo discontinuity warning. Eligible for IDT and JSR pilots; excluded from LBV stacking after 3/21 feasibility cases completed within 300 s."
mei_2019,MEI 2019,official CERFACS YAML,10.1016/j.combustflame.2019.08.033,https://chemistry.cerfacs.fr/en/mei_2019-mechanism/,mechanisms/raw/MEI_2019/MEI_2019.yaml,gas,source_terms_unverified,true,true,true,true,validated,"38 species and 265 Cantera-counted reactions; source YAML SHA256 691344435FC589CA3594821EFE80C51E3B873285E9D337EAB2E205E481031C1F; IDT 46/46, JSR 48/48 conditions and staged multicomponent/Soret LBV 80/80 completed."
c3_v3_5_c0,C3-v3.5_C0,official CERFACS C0 extraction,10.1016/j.jaecs.2021.100043,https://chemistry.cerfacs.fr/en/c3-v3-5_c0-mechanism/,mechanisms/raw/C3_v3_5_C0/C3-v3.5_C0.yaml,gas,source_terms_unverified,true,true,true,true,validated,"32 species and 233 Cantera-counted reactions; source YAML SHA256 56F2F2F7BC3E16CE2DE9FB860FB5B686223560357C8B255651B274D11AE4797F; IDT 46/46, JSR 48/48 conditions and staged multicomponent/Soret LBV 80/80 completed."
rmg_2026_burke,RMG 2026 Burke-linear variant,official RSC supplement normalized derived copy,10.1039/D5CP04149J,https://doi.org/10.1039/D5CP04149J,mechanisms/converted/RMG_2026_Burke_normalized_v2.yaml,gas,CC-BY-4.0,true,true,true,true,validated_with_two_1d_timeouts,"53 species and 733 reactions; official supplement SHA256 DD5FFDCC4C44EB487A42A09C5317FC5DAB83EC682EF7954043A5D32901125716; derived YAML SHA256 C7EAE3DEFBBF8A6139A15AC3C0C6BEC00A5E10679BE0C3B6FD122E6BA5B1B389. Numeric RMG suffixes and unused pseudo-elements are removed only in the derived copy. IDT 46/46 and JSR 48/48 conditions completed; staged multicomponent/Soret LBV completed 78/80 with two 600 s timeouts retained in the failure ledger."
nuig_2024,Zhu/NUIG 2024,official ScienceDirect supplement,10.1016/j.combustflame.2023.113239,https://doi.org/10.1016/j.combustflame.2023.113239,mechanisms/converted/NUIG_2024_utf8.yaml,gas,source_terms_unverified,true,true,true,true,validated,"43 species and 312 reactions; official mechanism/thermo/transport converted permissively and comment-only recoded to UTF-8; clean Cantera audit; IDT 46/46, JSR 48/48 conditions and staged multicomponent/Soret LBV 80/80 completed."
mei_2021,Mei partial-cracking mechanism 2021,official ScienceDirect supplement,10.1016/j.combustflame.2021.111472,https://doi.org/10.1016/j.combustflame.2021.111472,mechanisms/converted/MEI_2021_normalized.yaml,gas,source_terms_unverified,true,true,true,true,validated_with_warnings,"40 species and 257 reactions. The derived YAML changes only FN2 transport geometry from linear to atom because the authors' artificial bath gas is encoded as monatomic He; FN2 is absent from all stoichiometric reactants and products. Thermo and explicit-third-body warnings are retained. IDT 46/46, JSR 48/48 conditions and staged multicomponent/Soret LBV 80/80 completed. Its own development study is excluded from the primary external LBV comparison."
otomo_2018,Otomo ammonia mechanism 2018,official ScienceDirect supplement,10.1016/j.ijhydene.2017.12.066,https://doi.org/10.1016/j.ijhydene.2017.12.066,mechanisms/converted/Otomo_2018.yaml,gas,source_terms_unverified,true,true,true,true,validated,"32 species and 213 reactions; permissive conversion ignores two redundant thermo records; clean Cantera audit; IDT 46/46, JSR 48/48 conditions and staged multicomponent/Soret LBV 80/80 completed."
kaust_2023,KAUST NH3-NOx-C1 model 2023,official KAUST/ScienceDirect supplement,10.1016/j.fuel.2023.127676,https://repository.kaust.edu.sa/handle/10754/688039,mechanisms/converted/KAUST_2023.yaml,gas,source_terms_unverified,true,true,true,false,validated_0d_jsr_screened_out_1d,"152 species and 1388 reactions; archive SHA256 5D40BD7C78F4C04762C89C9A65184E291947E2764F7EC6259E4FC77DD28029E8; HOCO/CH2OCH thermo and explicit-third-body warnings retained; IDT 46/46 and JSR 48/48 conditions completed. The first staged multicomponent/Soret LBV case did not complete within 900.3 s and used about 0.58 GB, so the model was excluded from the formal 80-case LBV ensemble on computational-feasibility grounds; this is not counted as a prediction failure."
