design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_log_standard_deviation,mechanism_id,prediction_basis
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.005508641457684712,0.005117220716090823,0.005930002318231873,0.044806425885852416,Konnov_2026,GPR trained on direct Cantera cases
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.00673889345477455,0.006332199211448274,0.007171708197793207,0.03784081034039692,Konnov_2026,GPR trained on direct Cantera cases
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.008276462902037457,0.007885788143821668,0.00868649232258038,0.029394237771950934,Konnov_2026,GPR trained on direct Cantera cases
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.012844978392393845,0.012841051932947128,0.012848906052449661,0.00018585242071971023,Konnov_2026,GPR trained on direct Cantera cases
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.02109659701996962,0.020072812638734734,0.022172598022667803,0.03024039779315996,Konnov_2026,GPR trained on direct Cantera cases
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.03416123984574446,0.03172447848449737,0.036785169167359064,0.04498668004585502,Konnov_2026,GPR trained on direct Cantera cases
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.05175759300371674,0.0476410262484013,0.05622986414211181,0.0503810699688883,Konnov_2026,GPR trained on direct Cantera cases
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.09646546470724227,0.08713460698936103,0.10679552249911908,0.06184251420793052,Konnov_2026,GPR trained on direct Cantera cases
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.014003703583705281,0.013999422927586094,0.014007985548736767,0.00018585228932022264,Konnov_2026,GPR trained on direct Cantera cases
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.016935294960066155,0.01647520255104125,0.01740823607454318,0.01674378634874345,Konnov_2026,GPR trained on direct Cantera cases
