design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_log_standard_deviation,mechanism_id,prediction_basis
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.007465260670118793,0.007046495832828773,0.00790891220188943,0.035094164793310186,MEI_2019,GPR trained on direct Cantera cases
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.009496277099731576,0.008990506963313055,0.010030499850884356,0.03327088070076883,MEI_2019,GPR trained on direct Cantera cases
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.012131945142169238,0.011565394656523112,0.012726249064885047,0.02907273428000931,MEI_2019,GPR trained on direct Cantera cases
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.019912301379922233,0.019906456522142724,0.01991814795384657,0.00017846388214275797,MEI_2019,GPR trained on direct Cantera cases
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.03289837055302487,0.03126061632162106,0.03462192728092732,0.031041999087778913,MEI_2019,GPR trained on direct Cantera cases
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.052602018265629887,0.049025635201112666,0.05643929577387428,0.0428031370216562,MEI_2019,GPR trained on direct Cantera cases
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.07743573645881084,0.072137702497008,0.08312287574125483,0.04308301414171689,MEI_2019,GPR trained on direct Cantera cases
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.12903265319226698,0.11993595752043447,0.13881929934981468,0.04444230082778152,MEI_2019,GPR trained on direct Cantera cases
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.014949483129152912,0.014945095005852456,0.014953872540877837,0.00017846394523080665,MEI_2019,GPR trained on direct Cantera cases
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.01868076853252071,0.018146282232403582,0.019230997760106634,0.017646729424535806,MEI_2019,GPR trained on direct Cantera cases
screen_0011,surrogate_screening,5,0.7,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.023275908199185888,0.022307805400710066,0.02428602423076921,0.02582505020176668,MEI_2019,GPR trained on direct Cantera cases
screen_0012,surrogate_screening,5,0.7,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.035793837565843874,0.034431999933100636,0.037209537935040386,0.023580170796989628,MEI_2019,GPR trained on direct Cantera cases
screen_0013,surrogate_screening,5,0.7,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.05500365777201893,0.054987512554182764,0.05501980773035066,0.000178463819054687,MEI_2019,GPR trained on direct Cantera cases
