design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_log_standard_deviation,mechanism_id,prediction_basis
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.005618440898429593,0.005144028485333259,0.00613660640082969,0.05362776942554788,NUIG_2024,GPR trained on direct Cantera cases
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.0069291954143349405,0.006436146695535338,0.007460014720196917,0.044871539693959954,NUIG_2024,GPR trained on direct Cantera cases
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.008591729744363332,0.008115546318283142,0.009095853452758543,0.03466173994298554,NUIG_2024,GPR trained on direct Cantera cases
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.013740920107562754,0.01373681074418178,0.013745030700258721,0.00018182675074718784,NUIG_2024,GPR trained on direct Cantera cases
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.023746519045111967,0.022428061104750485,0.025142483968015692,0.03472525864703452,NUIG_2024,GPR trained on direct Cantera cases
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.040082857152178485,0.03690172993764585,0.04353821460936205,0.050267664888315515,NUIG_2024,GPR trained on direct Cantera cases
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.061735519904815815,0.05634585877880864,0.06764071930963822,0.055532343960648725,NUIG_2024,GPR trained on direct Cantera cases
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.11141383933069879,0.09792362293614468,0.1267625034921474,0.07845819679875322,NUIG_2024,GPR trained on direct Cantera cases
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.013299830506954375,0.013295853044705023,0.013303809159063894,0.0001818272649623848,NUIG_2024,GPR trained on direct Cantera cases
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.016433045065389035,0.01591164467243932,0.016971530956121327,0.019600632253096828,NUIG_2024,GPR trained on direct Cantera cases
screen_0011,surrogate_screening,5,0.7,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.020351002632790823,0.01937347454679563,0.021377853887771598,0.029924219470108853,NUIG_2024,GPR trained on direct Cantera cases
screen_0012,surrogate_screening,5,0.7,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.03186907176034267,0.0304426667249284,0.033362311654326966,0.027836393369054174,NUIG_2024,GPR trained on direct Cantera cases
screen_0013,surrogate_screening,5,0.7,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.050789623472419124,0.05077443428668416,0.050804817202003104,0.00018182707213185633,NUIG_2024,GPR trained on direct Cantera cases
screen_0014,surrogate_screening,5,0.7,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.07710357499630836,0.07309450979399845,0.08133252817435914,0.03245981111324791,NUIG_2024,GPR trained on direct Cantera cases
screen_0015,surrogate_screening,5,0.7,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.1100824658042321,0.10088435020909259,0.12011921821792866,0.0530425293048163,NUIG_2024,GPR trained on direct Cantera cases
screen_0016,surrogate_screening,5,0.7,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.18964242459094932,0.16617331376489938,0.21642614201950508,0.08030943504616445,NUIG_2024,GPR trained on direct Cantera cases
screen_0017,surrogate_screening,5,0.8,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.024827262248019694,0.024083183687626023,0.025594329999178954,0.01849757383118895,NUIG_2024,GPR trained on direct Cantera cases
screen_0018,surrogate_screening,5,0.8,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.030161890806168542,0.030152870595485954,0.030170913715241002,0.000181826493639044,NUIG_2024,GPR trained on direct Cantera cases
screen_0019,surrogate_screening,5,0.8,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.036520913770663826,0.035757118964551,0.03730102371968353,0.01284844700596395,NUIG_2024,GPR trained on direct Cantera cases
screen_0020,surrogate_screening,5,0.8,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.05361410845282642,0.053598074597005406,0.05363014710517295,0.000181826815024167,NUIG_2024,GPR trained on direct Cantera cases
screen_0021,surrogate_screening,5,0.8,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.07889464821739602,0.07638912647590712,0.08148234970732142,0.01961886515335148,NUIG_2024,GPR trained on direct Cantera cases
screen_0022,surrogate_screening,5,0.8,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.11387242862008264,0.11383837380368168,0.11390649362400194,0.0001818272649623848,NUIG_2024,GPR trained on direct Cantera cases
screen_0023,surrogate_screening,5,0.8,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.16051542568422444,0.15182360616566484,0.16970484717952,0.033842362872214184,NUIG_2024,GPR trained on direct Cantera cases
screen_0024,surrogate_screening,5,0.8,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.28823008040148934,0.26115639926943635,0.3181104483008992,0.05996327823889942,NUIG_2024,GPR trained on direct Cantera cases
screen_0025,surrogate_screening,5,0.9,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.03503854417894421,0.03502806553108644,0.03504902596149009,0.0001818269435780571,NUIG_2024,GPR trained on direct Cantera cases
screen_0026,surrogate_screening,5,0.9,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.04144671263044048,0.04016687996998645,0.04276732445123728,0.019067352251605437,NUIG_2024,GPR trained on direct Cantera cases
screen_0027,surrogate_screening,5,0.9,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.049025252694720925,0.04674856798634204,0.05141281338250693,0.028906931621332555,NUIG_2024,GPR trained on direct Cantera cases
screen_0028,surrogate_screening,5,0.9,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.06960334995964511,0.06662646288306966,0.07271324509763054,0.02657195049974059,NUIG_2024,GPR trained on direct Cantera cases
screen_0029,surrogate_screening,5,0.9,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.10076674731449387,0.10073661195112121,0.10079689169286224,0.0001818269435780571,NUIG_2024,GPR trained on direct Cantera cases
screen_0030,surrogate_screening,5,0.9,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,True,True,False,0.14576411524536065,0.14099482062892246,0.15069473615050166,0.020222802164334457,NUIG_2024,GPR trained on direct Cantera cases
screen_0031,surrogate_screening,5,0.9,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.20845107808534932,0.20838873844977757,0.20851343636986627,0.00018182732923918213,NUIG_2024,GPR trained on direct Cantera cases
screen_0032,surrogate_screening,5,0.9,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.3965730111477311,0.3964544114937608,0.3966916462808826,0.0001818273935159568,NUIG_2024,GPR trained on direct Cantera cases
screen_0033,surrogate_screening,5,1.0,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.04440145068717299,0.043008365556079356,0.045839659276398124,0.01937841790368466,NUIG_2024,GPR trained on direct Cantera cases
screen_0034,surrogate_screening,5,1.0,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.05189866329791437,0.05188314247475061,0.05191418876412673,0.00018182668647018596,NUIG_2024,GPR trained on direct Cantera cases
screen_0035,surrogate_screening,5,1.0,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.0609478074491625,0.05965545633651732,0.062268155521363805,0.013028732793663251,NUIG_2024,GPR trained on direct Cantera cases
screen_0036,surrogate_screening,5,1.0,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.08535802199574703,0.08533249482004439,0.08538355680789228,0.0001818266221931614,NUIG_2024,GPR trained on direct Cantera cases
screen_0037,surrogate_screening,5,1.0,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,True,False,0.12306541246779398,0.11798916029836705,0.1283600604290246,0.025606847614400904,NUIG_2024,GPR trained on direct Cantera cases
screen_0038,surrogate_screening,5,1.0,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,True,True,False,0.1792740015083215,0.1692541124625023,0.18988707068447744,0.034963015497366086,NUIG_2024,GPR trained on direct Cantera cases
screen_0039,surrogate_screening,5,1.0,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,True,True,False,0.25768174305220776,0.24003980692082702,0.2766202887520438,0.04311276452756249,NUIG_2024,GPR trained on direct Cantera cases
screen_0040,surrogate_screening,5,1.0,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.485936063777104,0.4406655153136745,0.5358573563694925,0.059447380087887074,NUIG_2024,GPR trained on direct Cantera cases
screen_0041,surrogate_screening,5,1.1,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.0566168637778418,0.05397614085442201,0.059386781146212424,0.029036337106436463,NUIG_2024,GPR trained on direct Cantera cases
screen_0042,surrogate_screening,5,1.1,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.06701577260483796,0.065233606574059,0.06884662697170726,0.016384941827376584,NUIG_2024,GPR trained on direct Cantera cases
screen_0043,surrogate_screening,5,1.1,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.07868831035552823,0.0786647777660061,0.07871184998483088,0.00018182707213185633,NUIG_2024,GPR trained on direct Cantera cases
screen_0044,surrogate_screening,5,1.1,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.10652122320737986,0.10209659075513469,0.11113760909813518,0.025790219366715796,NUIG_2024,GPR trained on direct Cantera cases
screen_0045,surrogate_screening,5,1.1,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,True,False,0.1473481505567773,0.14108597534898745,0.15388827570421254,0.02640042488814513,NUIG_2024,GPR trained on direct Cantera cases
screen_0046,surrogate_screening,5,1.1,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,True,True,False,0.21006258957049037,0.2099997680609267,0.2101254298731322,0.00018182713640872188,NUIG_2024,GPR trained on direct Cantera cases
screen_0047,surrogate_screening,5,1.1,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,True,True,False,0.2976329283609551,0.2814048941829261,0.3147967994726235,0.034082921835739445,NUIG_2024,GPR trained on direct Cantera cases
screen_0048,surrogate_screening,5,1.1,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.5513628617906405,0.48516625985990275,0.6265913986882533,0.07775167642479296,NUIG_2024,GPR trained on direct Cantera cases
screen_0049,surrogate_screening,5,1.2,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.05555058205352045,0.055533969028187,0.05556720004865196,0.00018182732923918213,NUIG_2024,GPR trained on direct Cantera cases
screen_0050,surrogate_screening,5,1.2,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.06561828026774505,0.06367905475708055,0.06761656123385808,0.018236244353643027,NUIG_2024,GPR trained on direct Cantera cases
screen_0051,surrogate_screening,5,1.2,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.07710333468639063,0.07371959002530305,0.08064239393790809,0.027281434366994,NUIG_2024,GPR trained on direct Cantera cases
screen_0052,surrogate_screening,5,1.2,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.10519377512725236,0.1008998144330202,0.10967047251477993,0.025334977822843177,NUIG_2024,GPR trained on direct Cantera cases
screen_0053,surrogate_screening,5,1.2,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.14560098924606477,0.14555744580459248,0.1456445457135371,0.0001818266221931614,NUIG_2024,GPR trained on direct Cantera cases
screen_0054,surrogate_screening,5,1.2,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,True,True,False,0.2086673661890393,0.20173868841866108,0.21583400811008213,0.02052777903309804,NUIG_2024,GPR trained on direct Cantera cases
screen_0055,surrogate_screening,5,1.2,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.3008560987211679,0.3007661244537774,0.3009460999043848,0.00018182707213185633,NUIG_2024,GPR trained on direct Cantera cases
screen_0056,surrogate_screening,5,1.2,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.5812484750835688,0.5144323740125207,0.6567428623353928,0.07423357261994075,NUIG_2024,GPR trained on direct Cantera cases
screen_0057,surrogate_screening,5,1.3,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.04839286164762872,0.04692609022350638,0.049905480028111036,0.01871033477457652,NUIG_2024,GPR trained on direct Cantera cases
screen_0058,surrogate_screening,5,1.3,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.057239163105821236,0.05722204514581685,0.05725628618665893,0.00018182675074718784,NUIG_2024,GPR trained on direct Cantera cases
