design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_log_standard_deviation,mechanism_id,prediction_basis
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.007340147158041287,0.006901693184443366,0.007806455439535293,0.03744201863520253,Otomo_2018,GPR trained on direct Cantera cases
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.009273244358823537,0.008732144655537701,0.009847874071110123,0.03654850968215127,Otomo_2018,GPR trained on direct Cantera cases
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.011739987033088324,0.011125748696059014,0.012388136682064685,0.03266783318076893,Otomo_2018,GPR trained on direct Cantera cases
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.01894410729580159,0.0189385577771803,0.018949658440584556,0.00017810613738866883,Otomo_2018,GPR trained on direct Cantera cases
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.031196686869108283,0.029425515164670304,0.03307446840481162,0.035531755848503405,Otomo_2018,GPR trained on direct Cantera cases
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.04942791940928131,0.0457094595975998,0.05344887554213605,0.047544173198046887,Otomo_2018,GPR trained on direct Cantera cases
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.07235349910449208,0.06712180009313908,0.0779929743451389,0.04562610009348841,Otomo_2018,GPR trained on direct Cantera cases
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.12357300054075851,0.11485976956581392,0.13294721485486286,0.04444990256442829,Otomo_2018,GPR trained on direct Cantera cases
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.017080180118326578,0.017075176623432956,0.017085185079381386,0.00017810607442715187,Otomo_2018,GPR trained on direct Cantera cases
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.02097178261994023,0.020286791936192573,0.021679902255682705,0.020187123802278675,Otomo_2018,GPR trained on direct Cantera cases
