mechanism_id,reaction_index,reaction_equation,normalized_flame_speed_sensitivity,absolute_sensitivity,absolute_rank,reaction_family,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,flame_speed_m_per_s
POLIMI_2023,4,H + O2 <=> O + OH,0.8295400928594179,0.8295400928594179,1,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,21,H + O2 (+M) <=> HO2 (+M),-0.2729659941417823,0.2729659941417823,2,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,2,H2 + OH <=> H + H2O,0.11032220437134851,0.11032220437134851,3,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,1,H2 + O <=> H + OH,0.10452752228260682,0.10452752228260682,4,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,76,NH2 + NO <=> NNH + OH,0.0979074101994318,0.0979074101994318,5,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,38,NH + NH2 <=> H + N2H2,0.09759073135182898,0.09759073135182898,6,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,5,H + OH + M <=> H2O + M,-0.09422993273804801,0.09422993273804801,7,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,23,NH3 <=> H + NH2,-0.08395485450132112,0.08395485450132112,8,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,29,NH2 + O <=> H + HNO,-0.06906606846435959,0.06906606846435959,9,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,6,H2O + O <=> 2 OH,0.041095787907102575,0.041095787907102575,10,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,143,H + HNO <=> H2 + NO,-0.039355458286898515,0.039355458286898515,11,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,33,H + NH2 <=> H2 + NH,-0.037738867162194864,0.037738867162194864,12,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,79,NH + OH <=> H + HNO,-0.03725868128377365,0.03725868128377365,13,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,14,H + HO2 <=> 2 OH,0.03648381634744459,0.03648381634744459,14,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,77,H + NH <=> H2 + N,-0.03531930700382771,0.03531930700382771,15,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,25,NH3 + OH <=> H2O + NH2,-0.031518012079658146,0.031518012079658146,16,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,28,NH3 + O2 <=> HO2 + NH2,-0.02928305731492692,0.02928305731492692,17,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,84,NH + NO <=> H + N2O,-0.028486529415380997,0.028486529415380997,18,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,30,NH2 + O <=> H + HNO,-0.027973529430443917,0.027973529430443917,19,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
