design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_log_standard_deviation,mechanism_id,prediction_basis
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.006883193633654281,0.006387204200912871,0.007417698433941947,0.0454626685576296,POLIMI_2023,GPR trained on direct Cantera cases
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.008635281035347853,0.0081131316430933,0.009191035205612375,0.03791630253489896,POLIMI_2023,GPR trained on direct Cantera cases
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.010853220833503648,0.010347009906979784,0.011384197320748518,0.029036052798229173,POLIMI_2023,GPR trained on direct Cantera cases
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.017503546992317345,0.01749828915757986,0.017508806406913633,0.00018263339845407122,POLIMI_2023,GPR trained on direct Cantera cases
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.029453819273923702,0.02806837443916268,0.030907649165836014,0.02928882108179687,POLIMI_2023,GPR trained on direct Cantera cases
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.04806148356910858,0.04475369710912365,0.05161375153501649,0.04334774508409524,POLIMI_2023,GPR trained on direct Cantera cases
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.07237816254964209,0.06681399539040161,0.07840570502411506,0.04862739283987841,POLIMI_2023,GPR trained on direct Cantera cases
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.12986776746963044,0.116948683938705,0.14421399591281933,0.06369697246354343,POLIMI_2023,GPR trained on direct Cantera cases
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.0162626520717822,0.016257766988971294,0.01626753862244746,0.00018263326933046402,POLIMI_2023,GPR trained on direct Cantera cases
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.020302229163267158,0.019765567773666573,0.020853461621626608,0.01628526958353032,POLIMI_2023,GPR trained on direct Cantera cases
