design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_log_standard_deviation,mechanism_id,prediction_basis
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.007486945259776351,0.007013767240945356,0.00799204584315978,0.03968748061313755,RMG_2026_Burke,GPR trained on direct Cantera cases
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.009526280293247374,0.008994980646467322,0.010088961810179582,0.034886085201765525,RMG_2026_Burke,GPR trained on direct Cantera cases
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.012107614887380035,0.011557367275603489,0.012684059852502347,0.028274462742766297,RMG_2026_Burke,GPR trained on direct Cantera cases
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.01963144580419002,0.019625764093943038,0.019637129159307046,0.00017596396865166225,RMG_2026_Burke,GPR trained on direct Cantera cases
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.03250455057519866,0.030957422514382778,0.03412899790364581,0.02964577756601353,RMG_2026_Burke,GPR trained on direct Cantera cases
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.05159170310611814,0.0481437042611899,0.055286643814309075,0.042048930072900836,RMG_2026_Burke,GPR trained on direct Cantera cases
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.07602241979924455,0.07067192122336223,0.08177799912735434,0.04436471365818384,RMG_2026_Burke,GPR trained on direct Cantera cases
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,0.13727033728694066,0.12625638714898738,0.1492450871149577,0.05084351866970719,RMG_2026_Burke,GPR trained on direct Cantera cases
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.016220934665552075,0.016216240014840885,0.0162256306753789,0.00017596421746896352,RMG_2026_Burke,GPR trained on direct Cantera cases
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,0.020421434209619806,0.01986713334462663,0.02099120028761591,0.01672843171808071,RMG_2026_Burke,GPR trained on direct Cantera cases
