design_id,temperature_K,flame_temperature_K,ignition_temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_count,ignition_delay_s_median,ignition_delay_s_p05,ignition_delay_s_p95,ignition_delay_s_worst,ignition_delay_s_absolute_range,ignition_delay_s_relative_range,idt_shortening_ratio_median,idt_shortening_ratio_p05,idt_shortening_ratio_p95,idt_shortening_ratio_worst,idt_shortening_ratio_absolute_range,idt_shortening_ratio_relative_range,EI_g_per_MJ_NOx_NO2eq_median,EI_g_per_MJ_NOx_NO2eq_p05,EI_g_per_MJ_NOx_NO2eq_p95,EI_g_per_MJ_NOx_NO2eq_worst,EI_g_per_MJ_NOx_NO2eq_absolute_range,EI_g_per_MJ_NOx_NO2eq_relative_range,EI_g_per_MJ_N2O_median,EI_g_per_MJ_N2O_p05,EI_g_per_MJ_N2O_p95,EI_g_per_MJ_N2O_worst,EI_g_per_MJ_N2O_absolute_range,EI_g_per_MJ_N2O_relative_range,EI_g_per_MJ_NH3_slip_median,EI_g_per_MJ_NH3_slip_p05,EI_g_per_MJ_NH3_slip_p95,EI_g_per_MJ_NH3_slip_worst,EI_g_per_MJ_NH3_slip_absolute_range,EI_g_per_MJ_NH3_slip_relative_range,lbv_conservative_m_per_s_median,lbv_conservative_m_per_s_p05,lbv_conservative_m_per_s_p95,lbv_conservative_m_per_s_worst,lbv_conservative_m_per_s_absolute_range,lbv_conservative_m_per_s_relative_range,lbv_enhancement_ratio_median,lbv_enhancement_ratio_p05,lbv_enhancement_ratio_p95,lbv_enhancement_ratio_worst,lbv_enhancement_ratio_absolute_range,lbv_enhancement_ratio_relative_range,complete_mechanism_set,support_tier,reactivity_improved,screening_pareto,exploratory_extrapolative_pareto,requires_direct_flame_confirmation
screen_0001,600.0,300.0,1200.0,5,0.6,0.0,False,False,False,7,0.0302768161941737,0.01925451698509475,0.08605424274033827,0.0961008151843386,0.0814974706029892,0.8480414078347039,1.0,1.0,1.0,1.0,0.0,0.0,3.9239515652357415,3.2234671628825686,4.754235714908891,5.032200224753125,1.91991654586498,0.3815262628901395,0.0002767197106551,0.00023797441421163999,0.00029446725216299,0.0002954927660684,5.782227983920003e-05,0.19568086423413647,4.8823436595517364e-09,3.822389178526432e-09,5.279845137591251e-09,5.346753901349316e-09,1.90411806241287e-09,0.3561259967346437,0.0051440284853332,0.00468509962668142,0.0070030550383130795,0.0046846724757106,0.0023618233571180997,0.3351770033148497,1.0,1.0,1.0,1.0,0.0,0.0,True,extrapolative,False,False,False,False
screen_0002,600.0,300.0,1200.0,5,0.6,0.05,False,False,False,7,0.0049141465410371,0.0016703983084692,0.011166409980729555,0.0131694407406347,0.0117640318970768,0.8932825720365277,0.10369652167817435,0.08184915502567522,0.15872826506486698,0.16322135424749912,0.0875392041604652,0.5363220061740572,4.333161716367089,3.4400070350775556,5.085810412959515,5.38174052318883,2.041618256717918,0.379360217743869,0.0002819539130494,0.0002432106249079,0.00030029912054103,0.000301307083041,5.849431941169997e-05,0.19413522848960185,5.334141967843611e-09,4.169065923750001e-09,5.839409894974502e-09,5.923703979266049e-09,2.1776752495426233e-09,0.3676205389676543,0.0064361466955353,0.00584894083159638,0.008912998270980408,0.0058345033034919,0.0031560036598210998,0.35103734113099594,1.2557181804435935,1.2397206228962225,1.2741832957611856,1.2374293708959967,0.03845401520172964,0.030139129971227835,True,extrapolative,True,False,False,False
screen_0003,600.0,300.0,1200.0,5,0.6,0.1,False,False,False,7,0.0012602520967164,0.00066362002465609,0.0032546089573882377,0.0040816839125765,0.0035166495475143994,0.861568319065297,0.038692120282070946,0.021814177425555525,0.043543003783165925,0.04400160363864016,0.023873716675182708,0.5425646953970996,4.6284347753317485,3.645044386230595,5.412209391254585,5.709505030873629,2.1533001096244315,0.37714304444617475,0.0002873050171679,0.00024852945715707,0.00030620705346291,0.0003071966028738,5.9162882319300006e-05,0.19258963727409711,5.834999595059632e-09,4.546750063393256e-09,6.453687474604694e-09,6.558392688877898e-09,2.474889396648266e-09,0.3773621852264697,0.0081155463182831,0.00736178618796043,0.01143350086838387,0.0073154251101541,0.004249969546369,0.36747293737805453,1.5945537441317303,1.5470481078118181,1.6348958629994057,1.5410295121774213,0.1002677979893487,0.0610905759537013,True,extrapolative,True,False,False,False
screen_0004,600.0,300.0,1200.0,5,0.6,0.2,False,False,False,7,0.0002952801478044,0.00021718017615307,0.0007997311606872596,0.0009997923470256,0.0007974870845075001,0.7976527194672357,0.010403578212191218,0.004520060251297531,0.01301470332351962,0.013853351291626258,0.009830363031256489,0.7096018013488556,5.0894835230607365,4.021585245350981,6.035072842898742,6.302706066346036,2.349021590148709,0.3727004822089924,0.0002983410205477,0.00025937112050243,0.00031824298140636,0.0003191895134673,6.051715529079997e-05,0.18959631421913795,7.004766367747224e-09,5.418529648713244e-09,7.866723334522067e-09,8.022823052074475e-09,3.1500632334548736e-09,0.39263775519022026,0.0137368107441817,0.01245840515893914,0.01961608689865398,0.0122944136843643,0.0076120428377784,0.3823906494514098,2.7395850527338874,2.543644252790031,2.8133159179254794,2.5093801196749568,0.31563489408566037,0.11172857225473361,True,extrapolative,True,False,True,False
screen_0005,600.0,300.0,1200.0,5,0.6,0.3,False,False,False,7,0.0001270887411011,0.0001038456103995,0.0003125787935862899,0.0003732266837136,0.0002704341407418,0.7245841536596052,0.004197559620735692,0.0018561156390318298,0.006792576038892576,0.007279343929647741,0.0056376115405380334,0.7744669842534623,5.478049089359082,4.353092698531009,6.5677358349703745,6.812430304313159,2.5081427848197553,0.36817151483102484,0.0003097782238836,0.00027041058799258,0.00033055849261362004,0.0003314507273808,6.194234089430004e-05,0.18688250100937379,8.434403869496402e-09,6.483009304487512e-09,9.575359641534754e-09,9.786611354521872e-09,3.949521742425474e-09,0.4035637667986693,0.0224280611047504,0.02008297005464508,0.030710085974535787,0.0200728126387347,0.0111878036828863,0.3578881352748122,4.36001883906707,4.02487672169461,4.68071788961108,3.9226005193828986,0.8628528802922739,0.1803074459675739,True,extrapolative,True,False,True,False
screen_0006,600.0,300.0,1200.0,5,0.6,0.4,False,False,False,7,6.792457036829586e-05,5.712640456151845e-05,0.00014467951397095996,0.0001623311802137,0.00010837042400745066,0.667588468615746,0.002243451554901829,0.000984842527564514,0.004155790497924793,0.004470166589450536,0.0036083421939887405,0.8072053069575357,5.793138949476304,4.635157553549227,7.002564424076762,7.229546959104758,2.6261791374204897,0.3632563910679255,0.0003215676737404,0.00028154501629560003,0.00034313865038775,0.0003439651333695,6.35105441412e-05,0.18464238953247228,1.0172307964811602e-08,7.774284376882602e-09,1.1623026712702493e-08,1.1900967678136849e-08,4.8928759160603e-09,0.4111326110942184,0.0389913880986028,0.032223351707118146,0.048030782520058754,0.0317244784844973,0.0173011567166153,0.3529002050792942,7.0067741223504045,6.326567000072238,7.978339113253159,6.199552500196354,2.123630881516654,0.2551464727044841,True,extrapolative,True,False,True,False
screen_0007,600.0,300.0,1200.0,5,0.6,0.5,False,False,False,7,4.388197290982493e-05,3.539590170190057e-05,7.570735696226942e-05,7.981284054439225e-05,4.6550075100982406e-05,0.5832404257694731,0.0013766383907065228,0.0006106649286777362,0.002759456456262761,0.0030049262116206314,0.0024736760080451997,0.8232069055403143,6.022614804172534,4.856626216507481,7.319067237474426,7.531709868769986,2.6922094681847684,0.3574499702050309,0.0003336683599439,0.00029263735625173,0.00035597241061534996,0.0003567250563755,6.53273874571e-05,0.18313091914781096,1.2275293230606166e-08,9.333655203350165e-09,1.4060241914578669e-08,1.4419877852082064e-08,5.996388852863344e-09,0.4158418617947956,0.0620591123244974,0.04879449356589454,0.0706329317758473,0.0476410262484013,0.0244966762486067,0.33958215192149666,10.460601115720266,9.434582332795312,12.569173413308803,9.309941644415863,3.9373264722487686,0.29721799525562104,True,extrapolative,True,False,True,False
screen_0008,600.0,300.0,1200.0,5,0.6,0.7,False,False,False,7,2.4142911011169965e-05,1.9173358476481834e-05,2.9346594776984164e-05,2.9622538604982485e-05,1.1221009028938817e-05,0.37879970986185,0.0007111914604662347,0.00029532959811579034,0.001451135987986996,0.0016532453149125839,0.0013593486348543913,0.8222304473466888,6.077980703187153,4.997002618605791,7.385929027714241,7.570582934738308,2.5766983428075125,0.3403566627589664,0.0003586974133276,0.00031379322090742,0.0003824250644103,0.0003830391793914,7.049851059590003e-05,0.18405039063605216,1.7841874436391842e-08,1.3474926527130791e-08,2.026838492501844e-08,2.0834461630960945e-08,8.65169015313143e-09,0.4152586376541945,0.1103717921585881,0.08808055749636837,0.11903977544591558,0.087134606989361,0.0328013505310734,0.27349054619824736,18.309839526031087,16.75577748679807,22.272284277926936,16.642259587069525,6.917934371174315,0.2936280738365353,True,extrapolative,True,False,True,False
screen_0009,600.0,300.0,1200.0,5,0.7,0.0,True,False,False,7,0.0309206025569984,0.01934123996630551,0.08044105953417696,0.0896406399430961,0.0749546335887097,0.8361679884959649,1.0,1.0,1.0,1.0,0.0,0.0,4.711530583028488,4.266828517934584,6.358018466907173,6.725941033865102,2.4673589011916395,0.3668421844272038,0.0003051729200341,0.00026442629513213,0.00032445964185351,0.0003253220492379,6.200047016350003e-05,0.19058182594368392,3.197457005083311e-08,2.3544366470337722e-08,3.599554533565338e-08,3.723829510321591e-08,1.6082516395648713e-08,0.43188111461794126,0.013999422927586,0.01253439512332071,0.01682995373309439,0.0124213160863803,0.0046538605370525996,0.2725512385427354,1.0,1.0,1.0,1.0,0.0,0.0,True,extrapolative,False,False,False,False
screen_0010,600.0,300.0,1200.0,5,0.7,0.05,True,False,False,7,0.0041992609080281,0.00156831611518331,0.009632733439497757,0.0114460546853185,0.0101252802933587,0.8846087644807502,0.09159163151217896,0.07556079870068294,0.13562920766160966,0.13903248363536028,0.06963171871120437,0.5008305749167733,4.957368802541561,4.451209903253995,6.673849356099926,7.026087680189568,2.5768935129593276,0.3667607963710754,0.0003107737766546,0.00027000648019389,0.00033053034907448004,0.0003313502080352,6.261605978480003e-05,0.18897244747813227,3.5173465966751624e-08,2.5835447874017574e-08,3.98566493345109e-08,4.1282507728030554e-08,1.8069677186520012e-08,0.43770783755587644,0.0164752025510412,0.014935241931554731,0.0201304246874347,0.0148059150960003,0.0054808768401922,0.2701697171948652,1.1919763568559905,1.180220123585494,1.2152920292072025,1.1768486912825993,0.038912845161790166,0.032006971758289454,True,extrapolative,True,False,False,False
