design_id,temperature_K,flame_temperature_K,ignition_temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_count,ignition_delay_s_median,ignition_delay_s_p05,ignition_delay_s_p95,ignition_delay_s_worst,ignition_delay_s_absolute_range,ignition_delay_s_relative_range,idt_shortening_ratio_median,idt_shortening_ratio_p05,idt_shortening_ratio_p95,idt_shortening_ratio_worst,idt_shortening_ratio_absolute_range,idt_shortening_ratio_relative_range,EI_g_per_MJ_NOx_NO2eq_median,EI_g_per_MJ_NOx_NO2eq_p05,EI_g_per_MJ_NOx_NO2eq_p95,EI_g_per_MJ_NOx_NO2eq_worst,EI_g_per_MJ_NOx_NO2eq_absolute_range,EI_g_per_MJ_NOx_NO2eq_relative_range,EI_g_per_MJ_N2O_median,EI_g_per_MJ_N2O_p05,EI_g_per_MJ_N2O_p95,EI_g_per_MJ_N2O_worst,EI_g_per_MJ_N2O_absolute_range,EI_g_per_MJ_N2O_relative_range,EI_g_per_MJ_NH3_slip_median,EI_g_per_MJ_NH3_slip_p05,EI_g_per_MJ_NH3_slip_p95,EI_g_per_MJ_NH3_slip_worst,EI_g_per_MJ_NH3_slip_absolute_range,EI_g_per_MJ_NH3_slip_relative_range,lbv_conservative_m_per_s_median,lbv_conservative_m_per_s_p05,lbv_conservative_m_per_s_p95,lbv_conservative_m_per_s_worst,lbv_conservative_m_per_s_absolute_range,lbv_conservative_m_per_s_relative_range,lbv_enhancement_ratio_median,lbv_enhancement_ratio_p05,lbv_enhancement_ratio_p95,lbv_enhancement_ratio_worst,lbv_enhancement_ratio_absolute_range,lbv_enhancement_ratio_relative_range,complete_mechanism_set,support_tier,reactivity_improved,screening_pareto,exploratory_extrapolative_pareto,requires_direct_flame_confirmation
screen_0001,600.0,300.0,1200.0,5,0.6,0.0,False,False,False,8,0.04049955541735085,0.020029712385718976,0.08437981399967155,0.0961008151843386,0.0814974706029892,0.8480414078347039,1.0,1.0,1.0,1.0,0.0,0.0,3.9379035995853555,3.2448017671716203,4.708687330285732,5.033032920131584,1.9165872756400644,0.3808016569837888,0.0002843063792905,0.00023806445569738,0.0004027620516283299,0.0004603096610365,0.00022259984665930002,0.4835871707712193,4.982763545075947e-09,3.888631063740389e-09,5.483104381562586e-09,5.556047469403852e-09,2.109079063457007e-09,0.3796006198779481,0.005765616343123,0.00468517081850989,0.0070350408256695095,0.0046846724757106,0.0023618233571180997,0.3351770033148497,1.0,1.0,1.0,1.0,0.0,0.0,True,extrapolative,False,False,False,False
screen_0002,600.0,300.0,1200.0,5,0.6,0.05,False,False,False,8,0.00504815445924485,0.0017145632192877502,0.011753682046886312,0.0131694407406347,0.0117640318970768,0.8932825720365277,0.1203671423666442,0.08287698918211543,0.16325128410739193,0.16326740018579575,0.08758525009876184,0.5364527762375783,4.247233300707846,3.4594268922612104,5.0371753868670375,5.382474252672512,2.0381988468414685,0.378673218144882,0.0002897913355199,0.00024331010272897498,0.00035051418489713494,0.0003768085830985,0.0001339627151449,0.3555192773034083,5.4696679859496015e-09,4.242516468325097e-09,6.012481028163248e-09,6.059849182687e-09,2.309448032081079e-09,0.3811065197264606,0.0072746391693143,0.00585134708628046,0.008993414857363295,0.0058345033034919,0.0031604773429754,0.35136010483987534,1.260467960406023,1.2401024982295936,1.280167889180068,1.2374293708959967,0.0450455584053322,0.03512392903452099,True,extrapolative,True,False,False,False
screen_0003,600.0,300.0,1200.0,5,0.6,0.1,False,False,False,8,0.0012831465576641499,0.000680050967921755,0.003583273448106469,0.0040816839125765,0.0035166495475143994,0.861568319065297,0.03885582837493154,0.022095225835905206,0.046311073574504966,0.047554634309201406,0.027426747345743952,0.5767418411298164,4.4963430058748495,3.662555366005044,5.363233936578329,5.710119477084967,2.1498217400672193,0.37649330258229724,0.00029536830898775,0.0002486388350894,0.000332317505895365,0.0003456537724754,9.759335899760002e-05,0.282344261133576,6.00685306419592e-09,4.629084036597825e-09,6.636143845856113e-09,6.677629806278949e-09,2.5897276158766296e-09,0.38782138138917477,0.0092312781126314,0.0073695130342614846,0.011562585073201204,0.0073154251101541,0.004249969546369,0.36747293737805453,1.603292758220939,1.5480512070842176,1.6455316223085064,1.5410295121774213,0.10678212436125056,0.06480238517161639,True,extrapolative,True,False,False,False
screen_0004,600.0,300.0,1200.0,5,0.6,0.2,False,False,False,8,0.00030910481804120003,0.000219659328425565,0.0008723928838096798,0.0009997923470256,0.0007974870845075001,0.7976527194672357,0.010541047770361689,0.004602905583118825,0.012986472382819022,0.013853351291626258,0.009830363031256489,0.7096018013488556,4.908803720200563,4.035373423802457,5.9907718926245455,6.303030018145918,2.3455113056147936,0.3721244066523965,0.0003067862615646,0.000259500918251495,0.00033405086151408,0.0003418864471206,8.320079348420002e-05,0.243357975096483,7.25171693093384e-09,5.514616757096173e-09,8.12487158192218e-09,8.179598748243252e-09,3.302448106919681e-09,0.40374206713122135,0.01561754995088075,0.01248573707136828,0.019808214172272805,0.0122944136843643,0.0076120428377784,0.3823906494514098,2.741815106265786,2.5493549416425436,2.8156218046050805,2.5093801196749568,0.31563489408566037,0.11172857225473361,True,extrapolative,True,False,True,False
screen_0005,600.0,300.0,1200.0,5,0.6,0.3,False,False,False,8,0.0001359802311022,0.00010402112163744999,0.00033607937207093497,0.0003732266837136,0.0002704341407418,0.7245841536596052,0.004488375841919436,0.0018918461806855169,0.006711448057100049,0.007279343929647741,0.0056376115405380334,0.7744669842534623,5.262485065139467,4.363353925535963,6.526929021990768,6.812408144529655,2.504704174634946,0.3676679555152925,0.0003185315520975,0.00027056007481722,0.00034903549788965,0.0003583625603823,8.885505056499998e-05,0.24794735942898083,8.739911128571855e-09,6.5956514930683776e-09,9.933386453955715e-09,1.0012436341369737e-08,4.1710864337836436e-09,0.41659055714036375,0.0252482177719565,0.02008466295729681,0.031154498489087596,0.0200728126387347,0.0111878036828863,0.3578881352748122,4.377244199905151,4.041922755413228,4.663261971267065,3.9226005193828986,0.8628528802922739,0.1803074459675739,True,extrapolative,True,False,True,False
screen_0006,600.0,300.0,1200.0,5,0.6,0.4,False,False,False,8,7.310146864721623e-05,5.765401262072997e-05,0.00015264438036985997,0.0001623311802137,0.00010837042400745066,0.667588468615746,0.0023264444251929134,0.0010053455495816338,0.004103394482670502,0.004470166589450536,0.0036083421939887405,0.8072053069575357,5.552896552038513,4.642146625106989,6.964338287664426,7.229139201040439,2.622905703421881,0.36282406943338213,0.00033058168176715,0.000281710864298515,0.000365604628535215,0.0003771413667297,9.67025955909e-05,0.25640941069243,1.0516812286508814e-08,7.906632726179257e-09,1.2096921468386345e-08,1.220279648128143e-08,5.1907567391885965e-09,0.425374359651986,0.0418725426038632,0.032306497244221626,0.04871695937213965,0.0317244784844973,0.0173011567166153,0.3529002050792942,6.982111548083191,6.347736083384885,7.920865068509851,6.199552500196354,2.123630881516654,0.2551464727044841,True,extrapolative,True,False,True,False
screen_0007,600.0,300.0,1200.0,5,0.6,0.5,False,False,False,8,4.6137724176845066e-05,3.5751424411649024e-05,7.778726458388167e-05,7.981284054439225e-05,4.6550075100982406e-05,0.5832404257694731,0.0013506053024900013,0.0006239007161947869,0.0027185448303697827,0.0030049262116206314,0.0024736760080451997,0.8232069055403143,5.804360347868979,4.860662031185253,7.2828368719614796,7.53089562619357,2.689188669131621,0.3570874969742277,0.0003429265413705,0.000292812311856815,0.00038160637418587,0.0003949164272806,0.00010355026095500001,0.26220803643962987,1.2637240860737655e-08,9.489375414909441e-09,1.4663050739016066e-08,1.479482940038081e-08,6.367959695283798e-09,0.43041791986596956,0.06443655385744951,0.04898673811881008,0.07162467905123197,0.0476410262484013,0.0244966762486067,0.33958215192149666,10.348993891994237,9.455355780858554,12.456157629416166,9.309941644415863,3.9373264722487686,0.29721799525562104,True,extrapolative,True,False,True,False
screen_0008,600.0,300.0,1200.0,5,0.6,0.7,False,False,False,8,2.4454444931391592e-05,1.930199662655486e-05,2.9300604138984442e-05,2.9622538604982485e-05,1.1221009028938817e-05,0.37879970986185,0.0006120724585042358,0.00029556841779205666,0.0014174511001660648,0.0016532453149125839,0.0013593486348543913,0.8222304473466888,5.8876536313024275,4.997012539800666,7.353626240380548,7.569012601080584,2.5762787194362646,0.3403718364887468,0.00036858394614625,0.00031393684750426497,0.000407867796986985,0.0004212090014037,0.00010873316158320002,0.25814538915560054,1.8120765257943e-08,1.3691784705536146e-08,2.1135550415496065e-08,2.130000216280228e-08,9.116132139036782e-09,0.42798738091007976,0.112615780862201,0.08823821591420292,0.12404423677899377,0.087134606989361,0.03912178015962629,0.30985981020873915,18.15553118991904,16.774697136752827,22.057632664540787,16.642259587069525,6.917934371174315,0.2936280738365353,True,extrapolative,True,False,True,False
screen_0009,600.0,300.0,1200.0,5,0.7,0.0,True,False,False,8,0.0403392726531724,0.020117112234958694,0.07890779613269044,0.0896406399430961,0.0749546335887097,0.8361679884959649,1.0,1.0,1.0,1.0,0.0,0.0,4.63361456059228,4.272025090129819,6.297734144802261,6.72705240370862,2.462776404986789,0.3661003746052375,0.0003132882037074,0.00026465413773002,0.00034120854305551496,0.0003495285962764,8.616350690949999e-05,0.2465134693625001,3.209906607411031e-08,2.396059028328913e-08,3.7080006084140204e-08,3.724444822260744e-08,1.6062049928464485e-08,0.4312602466940239,0.0144722589667192,0.012553241629477446,0.016789083251371305,0.0124213160863803,0.0046538605370525996,0.2725512385427354,1.0,1.0,1.0,1.0,0.0,0.0,True,extrapolative,False,False,False,False
screen_0010,600.0,300.0,1200.0,5,0.7,0.05,True,False,False,8,0.00435610828768695,0.001609573069053895,0.010353880279062068,0.0114460546853185,0.0101252802933587,0.8846087644807502,0.10872149544736057,0.07658747099677078,0.14327825609465183,0.14556444126503962,0.07616367634088371,0.5232299569797203,4.847867116522217,4.453647879029524,6.616038935374376,7.027043929034615,2.5775986750561817,0.36681123685678957,0.00031902195104179995,0.00027025531219553,0.000350433956668675,0.000360488015379,9.17172924756e-05,0.25442535829983914,3.538535399379455e-08,2.6290789690486918e-08,4.109520040761855e-08,4.128812626741297e-08,1.804820687107857e-08,0.4371282618684317,0.01731074239172235,0.014956796404147136,0.020139911429144435,0.0148059150960003,0.0054808768401922,0.2701697171948652,1.1943568810204184,1.18078202896931,1.221856297292209,1.1768486912825993,0.048289400312281794,0.039415475401159715,True,extrapolative,True,False,False,False
