observable,held_out_campaign,best_single_name,stacking_success,weight_C3_v3_5_C0,weight_KAUST_2023,weight_Konnov_2026,weight_MEI_2019,weight_MEI_2021,weight_NUIGMech1.1_HT,weight_NUIG_2024,weight_Otomo_2018,weight_POLIMI_2023,weight_RMG_2026_Burke,weight_Shrestha_2018
H2,campaign_463b066b12d8,KAUST_2023,True,0.0,0.0,1.4295245508252262e-14,5.5145423432186395e-15,0.3477262321311309,0.48438804315863127,0.0,0.1678857247102005,1.4659325190182948e-15,8.116525877809923e-15,7.935254586402212e-15
H2,campaign_61c8414731db,KAUST_2023,True,0.32051046421879514,0.1536679761816408,2.0973420456366012e-16,0.0,1.05069704308731e-16,0.23340444517807013,0.0,0.2924171144214932,3.0328919050251987e-16,8.317673100781467e-17,0.0
H2,campaign_44d60316083a,Shrestha_2018,True,1.4998581803621263e-16,0.0,0.0,0.0,0.0,0.08210843241349124,0.0,0.0,1.5915173096504082e-15,0.0,0.917891567586507
H2O,campaign_d5397fe0cc8b,Konnov_2026,True,2.1064707440143095e-14,0.0,0.9999999999997233,0.0,5.418536150021965e-14,1.7407324010909086e-13,0.0,2.7414279399265892e-14,0.0,0.0,0.0
H2O,campaign_35d254af7da1,NUIG_2024,True,1.536275408381969e-17,0.0,0.42747741625358465,9.017359655592424e-17,0.5125395573080207,8.25966972048985e-18,0.0,6.609171238111459e-16,0.059983026438393795,3.156303054985603e-17,7.123957871237508e-17
H2O,campaign_44d60316083a,Konnov_2026,False,0.0,0.0,0.7295024620943515,0.0,0.0,4.406540414323313e-12,0.0,2.1269082853631696e-12,0.0,0.27049753789911507,0.0
N2,campaign_61c8414731db,C3_v3_5_C0,True,0.0,0.0,0.42250671244622895,0.0,0.5583293319740688,0.019163955579700225,0.0,0.0,0.0,2.1038576251254256e-15,0.0
N2,campaign_44d60316083a,Shrestha_2018,True,0.0,0.0,0.0,4.024558464266162e-15,0.0,3.580469254416103e-15,0.0,0.0,0.0,0.0,0.9999999999999925
N2O,campaign_d5397fe0cc8b,KAUST_2023,True,0.4911305129478004,0.41369282955579506,0.09517665749640399,0.0,1.1769207582628996e-16,1.7870263472833797e-16,0.0,1.2298679753767571e-16,2.319959547235077e-17,0.0,1.3748333591414844e-16
N2O,campaign_35d254af7da1,NUIG_2024,True,0.04952269058720333,3.0946019194620393e-16,0.0,0.0452573454565039,1.5111196700104937e-16,5.832600438668883e-17,0.8885737957199887,3.491400293250605e-16,0.016646168236302925,1.1803505682462077e-16,0.0
