held_out_campaign,best_single_name,stacking_success,weight_C3_v3_5_C0,weight_Konnov_2026,weight_MEI_2019,weight_MEI_2021,weight_NUIG_2024,weight_Otomo_2018,weight_POLIMI_2023,weight_RMG_2026_Burke
campaign_6f2c5118f885,MEI_2021,True,0.0,1.0682973136917481e-17,0.0,0.9590782298627095,2.9080686343287784e-17,0.04092177013729046,7.402924899929895e-17,0.0
campaign_11f336e77db5,MEI_2021,True,0.0,0.0,9.127599665371057e-17,0.9227361541150624,2.524484277311261e-16,0.07726384588493733,0.0,0.0
campaign_b5091ed74b6b,MEI_2021,True,4.0391610997783667e-17,8.32247672445184e-17,0.0,0.953937522139459,0.0,0.04606247786054086,0.0,4.1568788299863937e-17
campaign_bc661b9f179a,MEI_2021,True,0.0,6.512904203106958e-17,0.0,0.9684470358099097,2.275062963849927e-16,0.03155296419008995,1.5655985721388107e-17,1.9877152696163096e-17
campaign_aacd4964efeb,MEI_2021,True,0.0,1.642386389933762e-16,3.7253687433545485e-17,0.9605978431017878,2.93920067298806e-17,0.03940215689821194,0.0,1.4262302746740184e-16
campaign_b661f10f22f4,MEI_2021,True,6.4149278907875555e-18,4.0604664095107604e-17,0.0,0.9487102755740168,0.0,0.051289724425983105,6.530243532090261e-17,1.242003049961256e-17
campaign_b61f71c9265e,MEI_2021,True,3.7086169640907864e-18,0.0,0.0,0.9153033762983711,0.0,0.08469662370162838,0.0,4.426807189436418e-16
campaign_629a30b39091,MEI_2021,True,2.5612459009296087e-16,8.35122279311889e-17,0.0,0.9514775786935503,2.6285225842086985e-17,0.04852242130644911,0.0,1.96307116651112e-16
campaign_56edf2653b54,MEI_2021,True,6.589811186618054e-16,4.616787212426598e-17,7.457877366721433e-17,0.9439210692037875,6.483687337484501e-16,0.056078930796211,0.0,1.0085830072507753e-16
campaign_c05311ec8444,MEI_2021,True,0.0,5.851039772511768e-17,0.0,0.9999999999999998,3.855292231009638e-17,0.0,0.0,2.7830909093070194e-16
campaign_16f8038c5740,MEI_2021,True,9.640560274708001e-17,0.0,1.082982441479643e-16,1.0,0.0,0.0,0.0,0.0
campaign_9268c5c9de04,MEI_2021,True,0.0,9.214767330296529e-17,9.00717842225716e-17,0.8407364531955446,3.647835899743322e-17,0.15926354680445506,0.0,2.1430372483403918e-17
campaign_ccb03cfde00c,MEI_2021,True,0.0,0.0,0.0,0.9999999999999998,0.0,2.4286128663675294e-16,3.2507586955430674e-17,0.0
campaign_5d95bed2df87,MEI_2021,True,0.0,0.0,0.0,0.9123342675001567,5.4797449748608076e-17,0.0876657324998431,1.0286663411926384e-16,0.0
campaign_0ddb81cb8c2a,MEI_2021,True,0.0,9.933136201073663e-17,1.787362362605052e-16,0.952139506061201,0.0,0.047860493938798605,0.0,0.0
campaign_a1e35abfc26f,MEI_2021,True,0.0,9.786808847502186e-17,0.0,0.9683329602137697,4.5184439799339715e-18,0.03166703978623019,0.0,0.0
