maximum_points_per_campaign,common_points,campaigns,method,mean_absolute_relative_error,median_absolute_relative_error,root_mean_squared_relative_error
1,14,14,stacked,0.08519471879615854,0.03898456466568645,0.13351617372948824
1,14,14,equal_weight,0.08659932238366864,0.06648158834076161,0.12113546936336529
1,14,14,best_single,0.07042382929875503,0.03898456466568627,0.09323303554603919
2,28,14,stacked,0.11510443776799238,0.07253426109548072,0.16097049932555432
2,28,14,equal_weight,0.12217956545350339,0.09074174495145879,0.16558737567199253
2,28,14,best_single,0.10303187458767807,0.06999691020637351,0.1481253549708715
3,42,14,stacked,0.15174867073289036,0.0922027036180708,0.22480015734739972
3,42,14,equal_weight,0.17829458924666516,0.11847828377994289,0.2709682509422195
3,42,14,best_single,0.1515460350599867,0.09220270361807086,0.22438205285813367
4,56,14,stacked,0.14895451133169108,0.07869254027089823,0.2389291093661465
4,56,14,equal_weight,0.18034425465012963,0.11223922466218528,0.28367096706923706
4,56,14,best_single,0.1464715299842907,0.08351937023576902,0.23472096435232354
5,68,14,stacked,0.15455827994616694,0.0844009970068716,0.2418775367795346
5,68,14,equal_weight,0.1826033074772514,0.11847828377994289,0.27977543599697974
5,68,14,best_single,0.15092826197953343,0.09220270361807086,0.23816727400658655
