design_id,design_role,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,mechanism_count,NOx_NO2eq_g_per_MJ_median,NOx_NO2eq_g_per_MJ_p05,NOx_NO2eq_g_per_MJ_p95,NOx_NO2eq_g_per_MJ_worst,NOx_NO2eq_g_per_MJ_absolute_range,NOx_NO2eq_g_per_MJ_relative_range,N2O_g_per_MJ_median,N2O_g_per_MJ_p05,N2O_g_per_MJ_p95,N2O_g_per_MJ_worst,N2O_g_per_MJ_absolute_range,N2O_g_per_MJ_relative_range,NH3_slip_g_per_MJ_median,NH3_slip_g_per_MJ_p05,NH3_slip_g_per_MJ_p95,NH3_slip_g_per_MJ_worst,NH3_slip_g_per_MJ_absolute_range,NH3_slip_g_per_MJ_relative_range,complete_mechanism_set,emissions_only_robust_pareto
reactor_0009,primary_map,750,20,20,1.4,0.7,0.5,0.0,8,0.0356393702265747,0.02298028682557282,0.037230670673143965,0.0374443215642039,0.020024742786811402,0.5347871706655435,6.687739943748515e-06,5.566921891009904e-06,7.168526271828955e-06,7.192894655246256e-06,1.6409665814713313e-06,0.22813716314814445,0.0013305645836120998,0.00098121506583444,0.0014482076184106748,0.0014802479280916,0.0005413936429545,0.36574524623891097,True,True
reactor_0010,primary_map,750,20,20,0.6,0.0,0.5,0.0,8,3.8464675910276407,2.615531806407611,4.94465751972234,5.243813977719571,2.6401627686988496,0.5034813934889054,0.00079568676973095,0.000676681421293745,0.0008493454815225101,0.0008522863459124,0.00017593175825890005,0.20642329787714647,2.722905942635968e-08,2.346269986890164e-08,2.9148472361403547e-08,2.9619860880767505e-08,8.051826685967312e-09,0.27183877461070216,True,True
reactor_0011,primary_map,750,5,20,0.6,0.0,0.5,0.0,8,5.402442458773505,4.340452866393675,6.841636453750867,7.3491913181399315,3.0897511264424953,0.42042055958131,0.00040395558527779997,0.00033963626759612,0.000429766885711755,0.0004348602033519,9.644578645830003e-05,0.22178572726337442,1.927419153140091e-08,1.4933707355250362e-08,2.180731787003791e-08,2.1830613001807665e-08,8.636464632408557e-09,0.3956125570863916,True,True
reactor_0012,primary_map,750,20,5,0.6,0.0,0.5,0.0,8,4.308202804730939,3.015648488868728,5.327890870180755,5.666366039167915,2.729035930781323,0.4816201268886031,0.00079983386317235,0.000677150008868795,0.0008476144274754,0.0008507048043083,0.00017411938124509997,0.2046766168044329,2.727069136951634e-08,2.2695955695874855e-08,2.863783437144437e-08,2.875124717385498e-08,8.228039469203464e-09,0.2861802627012873,True,True
reactor_0024,primary_map,750,10,10,0.6,0.0,0.5,0.0,8,4.863307661013183,3.6369043893923116,6.031402233987592,6.445940455557071,2.897649709999609,0.4495309458686565,0.00057210595361015,0.00047845974744218,0.0005958998398032401,0.0005982832551801,0.00012057724557270005,0.2015387268968491,2.275897316182364e-08,1.830272591911996e-08,2.4641253959419505e-08,2.471668491542516e-08,8.457835296237808e-09,0.3421913304789289,True,True
reactor_0025,primary_map,750,10,20,1.0,0.0,0.5,0.0,8,1.6245715747873422,1.0652953463142394,1.7794566356899397,1.792195669317319,0.911756840462589,0.5087373304556049,0.00017514649458695,0.000140499301158345,0.000181491883035985,0.0001819595619067,4.178043885649999e-05,0.22961386815122672,1.942978200714567e-05,1.3147878621043493e-05,2.2825310505318847e-05,2.3512329801412814e-05,1.1241439110986775e-05,0.47810826089685493,True,True
reactor_0064,primary_map,750,10,5,0.6,0.0,0.5,0.0,8,5.184326039424711,4.0284994513774395,6.386110311278219,6.840635113215909,2.9099968118884134,0.4253986309350697,0.00057362667878865,0.0004790924757732,0.000596156923574085,0.0005971690036805,0.00011907019663019995,0.1993911202630092,2.2546479428977238e-08,1.7882533125825125e-08,2.4795666283643344e-08,2.482380509508309e-08,9.033798358026886e-09,0.3639167453750365,True,True
reactor_0070,primary_map,750,10,20,0.6,0.0,0.5,0.0,8,4.545200807678677,3.292941464246957,5.7237789125403795,6.104776103543522,2.854980322147827,0.46766339563061965,0.0005686142240974501,0.00047800381913683997,0.0005969457607784,0.0005992320457416,0.00012179932534499998,0.20325903163984343,2.29467349729073e-08,1.8674678950343637e-08,2.446408212187499e-08,2.4593198781604877e-08,7.900581327429037e-09,0.3212506594847061,True,True
reactor_0071,primary_map,750,10,20,1.0,0.3,0.5,0.0,8,1.5843239505808073,1.0477205211869949,1.6770005759344853,1.713449912417288,0.8892061705140223,0.5189566173309115,0.0002066279564929,0.00016942696171359502,0.000216537071439415,0.0002172131225449,4.792755767349998e-05,0.22064761609231462,2.0476466073212544e-05,1.4249922620274315e-05,2.18785891124696e-05,2.204817481696249e-05,8.226890303557836e-06,0.37313248701332774,True,True
reactor_0076,primary_map,750,20,10,0.6,0.0,0.5,0.0,8,4.054813422942888,2.780764068286615,5.11550352117545,5.432202765065119,2.692672876496723,0.4956871075972151,0.00079679291352105,0.00067686576758707,0.00084862257146015,0.0008516252378426,0.0001751866414538999,0.2057086071071539,2.7368634473625355e-08,2.3125641756458122e-08,2.8940267468690394e-08,2.9258608062932677e-08,8.15296601793669e-09,0.2786518757283457,True,True
