mechanism_id,location,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,residence_time_ms,psr_fraction
POLIMI_2023,psr_steady,2330.9995785348187,5.0,1.0,0.4,10.0,0.5
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,1.0,0.4,10.0,0.5
Konnov_2026,psr_steady,2328.146835835315,4.999999999999999,1.0,0.4,10.0,0.5
Konnov_2026,pfr_outlet,2346.775825049714,4.999999999999999,1.0,0.4,10.0,0.5
MEI_2019,psr_steady,2315.7931426125297,5.0,1.0,0.4,10.0,0.5
MEI_2019,pfr_outlet,2342.440753546369,5.0,1.0,0.4,10.0,0.5
C3_v3_5_C0,psr_steady,2320.1279319671767,4.999999999999999,1.0,0.4,10.0,0.5
C3_v3_5_C0,pfr_outlet,2343.3574089303593,5.0,1.0,0.4,10.0,0.5
Otomo_2018,psr_steady,2328.513171760353,4.999999999999999,1.0,0.4,10.0,0.5
Otomo_2018,pfr_outlet,2349.200375993815,5.0,1.0,0.4,10.0,0.5
NUIG_2024,psr_steady,2332.65164151527,5.0,1.0,0.4,10.0,0.5
NUIG_2024,pfr_outlet,2348.2803180768196,5.0,1.0,0.4,10.0,0.5
MEI_2021,psr_steady,2333.75957569296,5.0,1.0,0.4,10.0,0.5
MEI_2021,pfr_outlet,2351.0964928686,4.999999999999999,1.0,0.4,10.0,0.5
RMG_2026_Burke,psr_steady,2339.7252614326712,5.0,1.0,0.4,10.0,0.5
RMG_2026_Burke,pfr_outlet,2355.562405997612,5.0,1.0,0.4,10.0,0.5
