mechanism_subset,mechanism_count,dispersion_variant,dispersion_quantile,lbv_basis,design_id,pressure_bar,equivalence_ratio,cracking_ratio,selected_count
all,8,normalized_range,0.75,lbv_conservative_m_per_s,screen_0030,5,0.9,0.4,3
all,8,normalized_range,0.75,lbv_conservative_m_per_s,screen_0039,5,1.0,0.5,3
all,8,normalized_range,0.75,lbv_conservative_m_per_s,screen_0046,5,1.1,0.4,3
all,8,iqr_relative,0.75,lbv_conservative_m_per_s,screen_0030,5,0.9,0.4,3
all,8,iqr_relative,0.75,lbv_conservative_m_per_s,screen_0038,5,1.0,0.4,3
all,8,iqr_relative,0.75,lbv_conservative_m_per_s,screen_0046,5,1.1,0.4,3
all,8,max_median_ratio,0.75,lbv_conservative_m_per_s,screen_0039,5,1.0,0.5,3
all,8,max_median_ratio,0.75,lbv_conservative_m_per_s,screen_0046,5,1.1,0.4,3
all,8,max_median_ratio,0.75,lbv_conservative_m_per_s,screen_0047,5,1.1,0.5,3
all,8,log_span,0.75,lbv_conservative_m_per_s,screen_0030,5,0.9,0.4,3
all,8,log_span,0.75,lbv_conservative_m_per_s,screen_0039,5,1.0,0.5,3
all,8,log_span,0.75,lbv_conservative_m_per_s,screen_0046,5,1.1,0.4,3
all,8,gp_mean_normalized_range,0.75,lbv_surrogate_m_per_s,screen_0030,5,0.9,0.4,3
all,8,gp_mean_normalized_range,0.75,lbv_surrogate_m_per_s,screen_0039,5,1.0,0.5,3
all,8,gp_mean_normalized_range,0.75,lbv_surrogate_m_per_s,screen_0046,5,1.1,0.4,3
drop_C3_v3_5_C0,7,normalized_range,0.75,lbv_conservative_m_per_s,screen_0030,5,0.9,0.4,3
drop_C3_v3_5_C0,7,normalized_range,0.75,lbv_conservative_m_per_s,screen_0039,5,1.0,0.5,3
drop_C3_v3_5_C0,7,normalized_range,0.75,lbv_conservative_m_per_s,screen_0046,5,1.1,0.4,3
drop_C3_v3_5_C0,7,iqr_relative,0.75,lbv_conservative_m_per_s,screen_0037,5,1.0,0.3,2
drop_C3_v3_5_C0,7,iqr_relative,0.75,lbv_conservative_m_per_s,screen_0038,5,1.0,0.4,2
drop_C3_v3_5_C0,7,max_median_ratio,0.75,lbv_conservative_m_per_s,screen_0039,5,1.0,0.5,2
drop_C3_v3_5_C0,7,max_median_ratio,0.75,lbv_conservative_m_per_s,screen_0047,5,1.1,0.5,2
