design_id,design_role,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,criterion,reactor,flame_reactor_temperature_K,temperature_source_column,status,ignition_delay_s,final_temperature_K,max_temperature_K,integration_steps,converged,failure_reason,runtime_s
screen_0001,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.6,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.030107252593833917,2541.82102869382,2541.8210287108495,2997,True,,0.18065610000030574
screen_0002,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.6,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.004914146541037107,2549.0944407021784,2549.094440753017,2995,True,,0.1750309000008201
screen_0003,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.6,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0013247673952823968,2556.325927513926,2556.3259275315086,2425,True,,0.15962339999987307
screen_0004,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.6,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00033292172589783936,2570.662922886758,2570.6629229196437,2312,True,,0.13482490000023972
screen_0005,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.6,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00014487172110336826,2584.8316998156265,2584.831699837091,2047,True,,0.10702850000052422
screen_0006,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.6,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,7.827836692613658e-05,2598.832089306498,2598.8320893523173,1913,True,,0.09461899999951129
screen_0007,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.6,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,4.8393475443865195e-05,2612.6640684232266,2612.664068440515,1850,True,,0.09921789999953035
screen_0008,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.6,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,2.476597885161322e-05,2639.8234275494524,2639.8234276474645,1732,True,,0.085590300000149
screen_0009,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.7,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.03020345172745016,2664.065332044,2664.065332052472,3125,True,,0.1595874000004187
screen_0010,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.7,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.004199260908028148,2671.3735625411564,2671.373562595528,3008,True,,0.16604779999943275
screen_0011,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.7,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0011569785047983627,2678.62671466404,2678.6267147099456,2616,True,,0.164804500000173
screen_0012,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.7,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.000307731817291973,2692.968457976067,2692.968457985036,2367,True,,0.1643171000005168
screen_0013,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.7,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0001374430688041586,2707.092061501051,2707.092061532292,2104,True,,0.14106410000022152
screen_0014,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.7,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,7.55568790236323e-05,2720.9992603261594,2720.9992603319733,1960,True,,0.11409920000005513
screen_0015,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.7,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,4.7245329317279656e-05,2734.692011137315,2734.692011221229,1872,True,,0.1145408000002135
screen_0016,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.7,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,2.4392055126891326e-05,2761.443018654178,2761.443018715031,1837,True,,0.11012339999979304
screen_0017,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.8,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.03038098180613181,2764.180827197889,2764.180827197889,3149,True,,0.18351450000045588
screen_0018,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.8,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0037233061258497933,2771.246233430125,2771.2462334378606,2942,True,,0.19956860000002052
screen_0019,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.8,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0010551452716246771,2778.2470760302695,2778.247076076641,2590,True,,0.1511037000000215
screen_0020,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.8,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0002923309523173075,2792.0574982319963,2792.0574982368958,2341,True,,0.16075499999988097
screen_0021,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.8,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00013307402876120181,2805.6170619268205,2805.617061932723,2140,True,,0.1283201000005647
screen_0022,surrogate_screening,False,False,C3_v3_5_C0,1200.0,5,0.8,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,7.409971720811269e-05,2818.9308916435343,2818.9308916491027,1991,True,,0.10208010000042123
