design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3
reactor_0001,750,10,10,1.0,0.3,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.10886680000021443,0.01,300.0,2418.291529575526,2438.7803151156027,650,563,True,,0.24368752674288388,671192.6663006091,0.0032971344011554697,9.50982095543524e-07,2.595157231032531e-07,1.2247414616378228e-07,0.009230730870079465,0.002030623493053526,0.2977638637788524,0.004695193299077305,1.3542198222109743e-06,3.695562072606395e-07,1.7440592963904786e-07,0.013144767684203211,0.002891653374576617,0.003997393926644634,1.7677040956379212e-06,4.61505456112282e-07,8.427849315046894e-08,0.0007518977918408249,0.002625333214968968,0.21673969125667214,1.4513195514635973,0.0006417940193737786,0.0001675571394398689,3.0598691828162216e-05,0.0013440329282200507,3.8765518630671494e-07,1.0578812835757442e-07,4.992495460363157e-08
reactor_0002,750,20,20,0.6,0.7,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.08456819999992149,0.02,300.0,2058.908405768551,2060.0264668259206,560,447,True,,0.3052366326223423,564491.3616687051,0.006804806614281997,2.6399755089243067e-05,9.36629343834114e-07,2.549424998843766e-10,8.168008089998305e-05,0.06559959295538084,0.20736866988642863,0.008585084081027906,3.330647438003795e-05,1.1816708578752621e-06,3.216407050776651e-10,0.00010304927120188348,0.0827617966425595,0.007794589778389534,4.6363296157466975e-05,1.5736860780666704e-06,1.65749321846005e-10,6.286024338383063e-06,0.08012966920247765,0.14260894914331637,4.214757741544464,0.025069960954837694,0.0008509370946860335,8.962540137045328e-08,0.004012414208291979,1.556646035953281e-05,5.522779852722868e-07,1.5032534601153878e-10
reactor_0003,750,5,5,0.6,0.7,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.08628749999934371,0.005,300.0,2036.2233670710484,2047.4176804801023,640,587,True,,0.30566632823251166,565286.0220540058,0.011069628957029811,2.153961195385989e-05,4.854354564152131e-07,2.0899188646769196e-10,0.00015162282386331006,0.06334719394468864,0.20700352260784283,0.013959241021389297,2.716230471123265e-05,6.12153357870659e-07,2.635470552845093e-10,0.00019120239267888788,0.0798833232563804,0.012682209471993456,3.783525481890245e-05,8.157671621028928e-07,1.359012115065337e-10,1.1671021303242614e-05,0.07739340766038981,0.14238549704814757,6.857633572990539,0.02045860496640844,0.0004411086483734511,7.348567398254802e-08,0.006378689732677518,1.2411843445637001e-05,2.7972411484911947e-07,1.2042810157406275e-10
reactor_0004,750,5,20,1.4,0.7,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.10059219999948255,0.02,300.0,2349.5325218163416,2363.1278225456554,570,586,True,,0.057313792989119976,220752.51290073225,0.00028928039118282295,4.736272113272366e-09,1.3207998779064543e-08,3.7930510968078062e-06,0.10640173373848212,1.0953904350498936e-05,0.2652034598951872,0.0003936877426526252,6.44569190894227e-09,1.797504214864774e-08,5.162042674107798e-06,0.14480434777673934,1.4907397834149367e-05,0.0003852155323515306,9.669819558061847e-09,2.579851339212863e-08,2.866853702782577e-06,0.009519539086251362,1.5554944557393388e-05,0.2120264984588655,0.10001319118535859,2.5105672823852232e-06,6.698046769906532e-06,0.0007443188641085122,0.00011114465882368954,1.8197270336001596e-09,5.074656156403885e-09,1.4573313052148473e-06
reactor_0005,750,20,5,1.4,0.7,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.11010129999976925,0.005,300.0,2365.175103942034,2372.4161118088005,520,610,True,,0.9142205712628317,3521255.145164174,0.00019467181223883275,3.3175031808781758e-09,1.610803948222911e-08,1.8303787582615137e-05,0.10658617284874769,3.0337441895475542e-06,0.26597111034269094,0.00026521001418584194,4.519581214885146e-09,2.1944694151955458e-08,2.4936058839810103e-05,0.14520705431431838,4.133003799024718e-06,0.0002590328737516751,6.767995946578154e-09,3.143890158303156e-08,1.3823716639550971e-05,0.00952873179737219,4.304725852858794e-06,0.21247725141456614,0.06725249152772435,1.7571692097014253e-06,8.162456107330726e-06,0.0035890401581781927,7.48693792937499e-05,1.2758878704671743e-09,6.195036167815257e-09,7.039505099761324e-06
reactor_0006,750,5,5,1.4,0.7,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.09337309999955323,0.005,300.0,2336.6313373111666,2357.5300492214797,590,553,True,,0.2292551719564799,883010.051602929,0.0010190304594007642,1.6163546095669188e-08,4.524733090460224e-08,1.0203461874985803e-05,0.10708823546704055,1.018160162088896e-05,0.2644255449874619,0.0013853532466450247,2.1974044891748825e-08,6.15129176880279e-08,1.3871419548972623e-05,0.14558449486288266,1.384170093388495e-05,0.0013574089585782461,3.30108815158917e-08,8.840755465138917e-08,7.714417442352064e-06,0.009584020434656088,1.446286641745264e-05,0.21147211812329564,0.35242296919408006,8.570587961736894e-06,2.2953180552207532e-05,0.002002887842646868,0.0003911064838805724,6.2036101298053005e-09,1.7366040761417564e-08,3.916114636732101e-06
reactor_0007,750,5,20,0.6,0.7,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.09278330000051938,0.02,300.0,2046.9578541684757,2051.516839963575,600,514,True,,0.0764165820581279,141321.5055135014,0.009170826751094135,1.785611007515328e-05,4.7421711990007907e-07,2.0032682610922603e-10,0.00015498614068789002,0.06428707149988498,0.2069727477736784,0.011564327361194995,2.251638897027127e-05,5.979833840120573e-07,2.5261026723461815e-10,0.0001954360840094542,0.08106540011003069,0.01050698370723317,3.136558227790316e-05,7.969290627041648e-07,1.3026889341800206e-10,1.1930121221802339e-05,0.0785430824678418,0.14236685676702715,5.681426756173987,0.01696026788867857,0.00043092234896140207,7.044011841882925e-08,0.0053331570575693805,1.0383953601203729e-05,2.757738695165731e-07,1.1649706787421638e-10
reactor_0008,750,20,5,0.6,0.7,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.07804529999975784,0.005,300.0,2055.6986511090786,2058.549960824641,600,526,True,,1.220946530489369,2257965.4466748196,0.007477011488323756,2.9003068249379394e-05,9.397581330690691e-07,2.598090322843555e-10,8.103617027745726e-05,0.06526437346749941,0.2073766347882721,0.00943324637714468,3.659123553799352e-05,1.185630116793287e-06,3.277837163114092e-10,0.00010223792766418213,0.0823397042428415,0.00856452421639761,5.093497160878616e-05,1.5789346430589618e-06,1.6891238070343415e-10,6.2364367907422795e-06,0.07971978083302972,0.14261367717375684,4.631083324460094,0.02754199669348532,0.0008537751439692161,9.133575780810342e-08,0.004394127875073123,1.7044669632548238e-05,5.522818060122082e-07,1.526858842920406e-10
reactor_0009,750,20,20,1.4,0.7,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.09770160000061878,0.02,300.0,2368.0026672471186,2373.3892360248146,510,624,True,,0.2285551428157079,880313.7862910434,7.071057276164194e-05,1.2115365789003273e-09,1.104371557672376e-08,7.55106920374104e-06,0.10648349895830679,3.07349555633681e-06,0.26610419458471823,9.634960745092379e-05,1.6508291367257074e-09,1.5048070169136028e-08,1.02890207956267e-05,0.1450934835334726,4.187918139956725e-06,9.4083977001534e-05,2.471523664140826e-09,2.1553578820609966e-08,5.702585513692404e-06,0.00951910348289636,4.360925130817165e-06,0.21257353459496717,0.024426945408697803,6.416796519909909e-07,5.595937905606612e-06,0.0014805575770795074,2.7199716506175414e-05,4.660328745184007e-10,4.248104931553727e-09,2.9046143121002035e-06
reactor_0010,750,20,20,0.6,0.0,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.09040729999924224,0.02,300.0,1935.2859561426496,1936.4834360885416,560,545,True,,0.3248915988190785,545503.7051541907,0.004989480293116533,2.4149947756377473e-05,6.768711141771179e-07,7.302063778160411e-11,3.183384277421289e-05,0.06669427815044356,0.20781773091780875,0.006298399355614534,3.0485342450743297e-05,8.54438606611745e-07,9.21765616721068e-11,4.018499784285128e-05,0.0841905717325817,0.005713963546493162,4.240287263680077e-05,1.137001405063697e-06,4.746350648178226e-11,2.449365766078428e-06,0.08144894424922951,0.14288640641365455,3.4031276683801166,0.025254341914319304,0.0006771763433692333,2.8268358877722404e-08,0.0029773837372690354,1.4411052350468871e-05,4.0391081419009316e-07,4.3573768537757246e-11
reactor_0011,750,5,20,0.6,0.0,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.09961489999932382,0.02,300.0,1926.67004289326,1930.204143441663,600,631,True,,0.08128714801018971,136483.80131142895,0.007008799922059597,1.701991237184177e-05,3.416573496115599e-07,5.6203767784194854e-11,6.0955840199481076e-05,0.06561166456821897,0.20760860978281456,0.008845123771648459,2.1479173779483908e-05,4.311724658163127e-07,7.092930145138256e-11,7.692642922681654e-05,0.08280209171661439,0.008027371778066493,2.9887112933852754e-05,5.739754922807434e-07,3.653652083002688e-11,4.690589850119086e-06,0.08013560127025947,0.14275825691911317,4.780949472293673,0.017800194230433608,0.0003418488520024781,2.1760454705616962e-08,0.004135269035960431,1.0041935482352136e-05,2.0158159377758563e-07,3.316084111500696e-11
reactor_0012,750,20,5,0.6,0.0,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.10789870000007795,0.005,300.0,1931.9165780471153,1935.5763658138592,560,633,True,,1.299566395276314,2182014.8206167626,0.005391546670701286,2.610020910294981e-05,6.777823103558365e-07,7.341899890937482e-11,3.1650487050297795e-05,0.0664925970941541,0.20782073270032633,0.006805967908096888,3.2947351919368465e-05,8.555920841834378e-07,9.267977835325136e-11,3.995369275212895e-05,0.08393630058106608,0.006174395980267621,4.5827063173443195e-05,1.138529285998836e-06,4.772232697625022e-11,2.435252118912868e-06,0.08120245038541295,0.1428881267586196,3.6773524410878666,0.027293724465894204,0.0006780863201029059,2.842250742604633e-08,0.003210780653725998,1.5543229348519058e-05,4.03633773839737e-07,4.3722574561983495e-11
reactor_0013,750,20,20,1.4,0.0,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.10789800000020477,0.02,300.0,2166.416870440635,2153.1367531158535,730,658,True,,0.2520348068090834,881344.308822398,8.552052798219344e-05,5.341726532479112e-10,1.1404642791679417e-08,0.0001243866499786946,0.10654525603347222,2.2663749489413726e-07,0.2666672776928689,0.00011661899896289658,7.284178613595145e-10,1.5551798583048877e-08,0.0001696183003908007,0.1452891065576226,3.0905138690813523e-07,0.0001137134153556507,1.0889800185547788e-09,2.2243129189434492e-08,9.387439382652765e-05,0.009518266720782676,3.213570414841572e-07,0.21288115563914747,0.032518209267222695,3.114116309006689e-07,6.360786257959822e-06,0.026844916879308314,3.292120149834392e-05,2.0563022665319662e-10,4.390227144524745e-09,4.7882748905680376e-05
reactor_0014,750,5,5,0.6,0.0,0.5,0.0,primary_map,C3_v3_5_C0,completed,0.09641629999987344,0.005,300.0,1918.8768252553905,1927.729900281441,610,687,True,,0.32514859204075885,545935.2052457158,0.008117008070659067,1.9718480986552233e-05,3.4577209562416167e-07,5.6833760049867855e-11,6.0001322719435055e-05,0.06505970910075828,0.20761974875713246,0.010243829345730595,2.4885124226182218e-05,4.3637142026421006e-07,7.17253616060253e-11,7.572289014689796e-05,0.08210667668548095,0.00929656943389614,3.462558548433614e-05,5.80884179396767e-07,3.6945808334010345e-11,4.617107504792295e-06,0.07946091940095647,0.14276493837228005,5.536859380372787,0.020622338073529436,0.00034596353423407025,2.200421853396396e-08,0.004762945091287965,1.1570524681630417e-05,2.0289415647011088e-07,3.334924347647923e-11
