design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,C3_v3_5_C0,completed,0.09130340000001524,0.01,300.0,1806.4332874929262,1814.1173127886152,600,704,True,,0.17319811821903727,290805.3503311156,0.004797620856067259,1.4784649357671591e-05,2.38591062013048e-07,1.3812193245027893e-11,2.2220810801042473e-05,0.06686492088742725,0.20796247458056918,0.006057315091891175,1.866660212827952e-05,3.0123706813853284e-07,1.7438811674628066e-11,2.8055250020225035e-05,0.08442140522574143,0.005493898762331674,2.5957489534289037e-05,4.007575986950517e-07,8.977376067387563e-12,1.709610013609913e-06,0.08165218158835671,0.14297689671763536,3.272061281672821,0.015459785509139495,0.00023868357950406076,5.346753901349316e-09,0.0028687238852643116,8.840439463650596e-06,1.426648538810283e-07,8.258962068623795e-12
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,C3_v3_5_C0,completed,0.08714659999986907,0.01,300.0,1814.9507464736544,1822.2995240832092,600,714,True,,0.17235710454317082,291490.15187404345,0.005168291684262453,1.5634087203398704e-05,2.458105111035714e-07,1.5413366888714646e-11,2.3977774110490178e-05,0.06667082452947042,0.20794376753808744,0.006525157523472905,1.9738607642545753e-05,3.1034477228912105e-07,1.9459940162084168e-11,3.02728179234966e-05,0.08417435757337646,0.005918416168717322,2.7449089578019794e-05,4.128875628169369e-07,1.0018161868927452e-11,1.8448020463386248e-06,0.0814158646754302,0.14296527176895157,3.499538724596068,0.01623055040315037,0.00024413896789132243,5.923703979266049e-09,0.0030841763471091874,9.32963634931641e-06,1.466873409109153e-07,9.197921574790828e-12
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,C3_v3_5_C0,completed,0.09838099999979022,0.01,300.0,1823.375924937278,1830.5067336071954,610,686,True,,0.17152571791788973,292170.8883040768,0.005522753177258535,1.6401787218863546e-05,2.5320185285579536e-07,1.718741728764004e-11,2.586079688188003e-05,0.0664845838828093,0.20792419306881427,0.006972505824481448,2.0707345275966127e-05,3.196687118077741e-07,2.1699207496604244e-11,3.264939625169838e-05,0.08393714755712185,0.006324381812119961,2.879721908413712e-05,4.2530666942802033e-07,1.1171335943183167e-11,1.9896962110586326e-06,0.0811891754760857,0.14295311824767257,3.712875492173339,0.016906077488133,0.0002496861758964295,6.558392688877898e-09,0.0032893687902432922,9.768954948792828e-06,1.508078028627493e-07,1.0236878635759567e-11
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,C3_v3_5_C0,completed,0.08770860000004177,0.01,300.0,1840.0766653523044,1846.9923868021285,610,677,True,,0.16989122320460695,293520.5301591451,0.0061841691814361645,1.77111429195589e-05,2.6845207630703294e-07,2.132513017391546e-11,3.0036647664886628e-05,0.0661350489218917,0.20788231159005302,0.007807134308349965,2.2359231688300334e-05,3.389042818194209e-07,2.692166894634349e-11,3.7919425489892195e-05,0.08349144311452951,0.0070819422484213156,3.109671665024661e-05,4.5093158174373256e-07,1.386100606728726e-11,2.3110263740410004e-06,0.08076392689375257,0.14292714466425888,4.099065338279185,0.017998942787726024,0.00026100156592962615,8.022823052074475e-09,0.0036700360168508304,1.05107946609052e-05,1.5931465649463298e-07,1.2655539249676012e-11
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,C3_v3_5_C0,completed,0.08916609999960201,0.01,300.0,1856.6949945645626,1863.5783460615457,650,669,True,,0.16829346312879845,294854.99130682717,0.006778975210436679,1.873431505771197e-05,2.8423622373814566e-07,2.6379163657445666e-11,3.481830266161921e-05,0.06581764062241863,0.2078365219491931,0.0085575457569907,2.3649556659453074e-05,3.5881005829445175e-07,3.330015127982685e-11,4.395343085911122e-05,0.0830859316871931,0.0077632676255098695,3.2893891977095956e-05,4.774553936014717e-07,1.7146424776180463e-11,2.6789865374086166e-06,0.0803780658253924,0.14289878618555046,4.431016033007166,0.018774744060036874,0.0002725157248401469,9.786611354521872e-09,0.004009839459782571,1.1081556347153713e-05,1.681288971362658e-07,1.560356957594985e-11
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,C3_v3_5_C0,completed,0.07441130000006524,0.01,300.0,1873.3239655244734,1880.2905918564998,640,658,True,,0.1667313194182942,296174.9667671798,0.007294468896475873,1.9464906048704537e-05,3.004154171554354e-07,3.252298269412882e-11,4.028959695862592e-05,0.06553857396666561,0.20778641018076768,0.009207704828871123,2.457027536367566e-05,3.7921012845031396e-07,4.10533006654808e-11,5.085698790880276e-05,0.0827284141662102,0.008353812086748874,3.417749803762801e-05,5.046451556874153e-07,2.1140411524763086e-11,3.100033384583796e-06,0.08003920046453344,0.14286778997494898,4.702767849016196,0.019240178886250646,0.00028408934611936663,1.1900967678136849e-08,0.004302271024127928,1.1480383626170824e-05,1.7718473582820475e-07,1.9182025182226e-11
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,C3_v3_5_C0,completed,0.09295180000026448,0.01,300.0,1890.051332315521,1897.18605567864,650,649,True,,0.16520372352570398,297481.13226038776,0.007703924604507865,1.986224922310035e-05,3.1678567958947036e-07,3.9945368352253865e-11,4.655561956290442e-05,0.06531103824107788,0.20773138739290303,0.009723879605878576,2.507009479744525e-05,3.998463078665104e-07,5.0418971188075616e-11,5.876241822796071e-05,0.08243547352729348,0.008822968430110475,3.487611157998828e-05,5.321586296617221e-07,2.5965768197872593e-11,3.582261081932443e-06,0.07976346617592345,0.14283379807178997,4.899763645944937,0.019368164465868556,0.000295529960029533,1.4419877852082064e-08,0.0045329359871666385,1.1686810153461472e-05,1.8639450422319932e-07,2.3503578632974667e-11
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,C3_v3_5_C0,completed,0.08029650000025867,0.01,300.0,1924.3671370514587,1932.069880260985,650,608,True,,0.16224813274675598,300054.6448031978,0.007953773569998832,1.9178426432179168e-05,3.486478117405636e-07,5.927072797937527e-11,6.211014049463471e-05,0.06513483223495722,0.20760229642705497,0.010037603004318447,2.4203031313320404e-05,4.3999094163006804e-07,7.479921725179387e-11,7.838253469763759e-05,0.08219967314552062,0.009109695217404028,3.3677552735376095e-05,5.857205134914986e-07,3.853034779821731e-11,4.779423980563652e-06,0.07955338284295138,0.14275421446454217,4.925872885204891,0.018210416473902695,0.0003167158425019453,2.0834461630960945e-08,0.00467048147229494,1.1261633805760641e-05,2.0472711861355084e-07,3.48039624765363e-11
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,C3_v3_5_C0,completed,0.08414640000000873,0.01,300.0,1939.8395883049857,1946.4661001481911,630,655,True,,0.15893164408441382,306712.8791718266,0.007277176866486669,1.4464659356086903e-05,3.0256402966843614e-07,1.0905113639140143e-10,9.341797142929844e-05,0.04665776488644518,0.23540732867000455,0.009517717262222967,1.8918124510565718e-05,3.9571923850922005e-07,1.4262644736276233e-10,0.00012218005080639804,0.061023034402467945,0.008449132420418266,2.5748641880620726e-05,5.152753286707605e-07,7.186400651899861e-11,7.287222695561517e-06,0.05776806836100609,0.16409499201422773,4.378148417796683,0.013342361097054788,0.00026700396593356705,3.7238295103215905e-08,0.003794815741785426,7.542858725452827e-06,1.5777749582691382e-07,5.686669111252084e-11
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,C3_v3_5_C0,completed,0.08768060000011246,0.01,300.0,1948.8462643044331,1955.4987129490266,620,641,True,,0.15814693023846998,307409.91902118875,0.0076571334359593355,1.494058353920936e-05,3.115658348843496e-07,1.2176807553608176e-10,0.00010056678771822645,0.046454063988693346,0.2353665852568233,0.010014123484952847,1.953953783752384e-05,4.074708597308655e-07,1.5925026710607586e-10,0.00013152287851820417,0.06075337945346821,0.0088904534025363,2.6596358910488082e-05,5.306160595367019e-07,8.024596075642578e-11,7.845031572606107e-06,0.057516988324638876,0.16406980532623539,4.573690785632606,0.013682487964626653,0.00027297525472878,4.128250772803055e-08,0.003985475577345567,7.776452024092207e-06,1.621674789987885e-07,6.337929137689398e-11
