design_id,design_role,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,criterion,reactor,flame_reactor_temperature_K,temperature_source_column,status,ignition_delay_s,final_temperature_K,max_temperature_K,integration_steps,converged,failure_reason,runtime_s
screen_0001,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.6,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.09610081518433863,2539.0538900261604,2539.053890077462,3452,True,,0.19336309999926016
screen_0002,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.6,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.01316944074063476,2546.3486403917773,2546.3486404652745,3281,True,,0.18153570000140462
screen_0003,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.6,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.004081683912576586,2553.6014512645697,2553.6014513349196,2918,True,,0.18895599999814294
screen_0004,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.6,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0009997923470256448,2567.981047553258,2567.981047553922,2702,True,,0.18228340000132448
screen_0005,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.6,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0003732266837136656,2582.1923523234846,2582.192352426071,2519,True,,0.15490870000212453
screen_0006,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.6,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00016233118021370872,2596.2351825159735,2596.2351826425306,2523,True,,0.15386209999996936
screen_0007,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.6,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,7.981284054439225e-05,2610.109498542624,2610.109498624677,2407,True,,0.13979960000142455
screen_0008,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.6,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,2.8702725844988078e-05,2637.353144660656,2637.353144665556,2292,True,,0.1378511000002618
screen_0009,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.7,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.08964063994309619,2661.581428445415,2661.581428545703,3678,True,,0.21459260000119684
screen_0010,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.7,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.011446054685318521,2668.9181210482498,2668.9181210901684,3456,True,,0.2037510000009206
screen_0011,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.7,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00367451289889006,2676.199502870623,2676.199502979266,3288,True,,0.21804060000067693
screen_0012,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.7,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0009672877130924464,2690.596989996569,2690.596990022865,2722,True,,0.38647150000178954
screen_0013,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.7,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0003767970383232249,2704.7753563817305,2704.7753564525883,2590,True,,0.3046600999987277
screen_0014,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.7,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00016755262374802929,2718.7363067621045,2718.736306773632,2412,True,,0.29546249999839347
screen_0015,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.7,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,8.24185012193997e-05,2732.48177237416,2732.4817725412213,2353,True,,0.3186292999998841
screen_0016,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.7,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,2.9187583433171404e-05,2759.3350134793955,2759.3350134995303,2370,True,,0.31285330000173417
screen_0017,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.8,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.08466213667734394,2762.046515838786,2762.0465159134665,3390,True,,0.41773119999925257
screen_0018,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.8,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.010260318890304558,2769.140833020956,2769.140833093039,3214,True,,0.4320197000015469
screen_0019,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.8,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0034046359065296665,2776.1700873785767,2776.1700874117787,3181,True,,0.37275279999812483
screen_0020,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.8,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0009483682265939613,2790.0358547027604,2790.035854765473,2819,True,,0.3655821000029391
screen_0021,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.8,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0003831822059372494,2803.648829247957,2803.6488293060497,2754,True,,0.3366453000016918
screen_0022,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.8,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0001742674113490227,2817.0141844886416,2817.0141845547773,2603,True,,0.3299944999998843
screen_0023,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.8,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,8.582511966605078e-05,2830.137221030525,2830.1372210639756,2557,True,,0.32550800000171876
screen_0024,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.8,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,2.989902665536835e-05,2855.6779868162344,2855.6779868223934,2321,True,,0.28219589999935124
screen_0025,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.9,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.08073948429697332,2837.3925412266703,2837.3925412806398,3410,True,,0.4002831000034348
screen_0026,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.9,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.009405788164559623,2844.0658494627323,2844.065849507714,3331,True,,0.38466580000022077
screen_0027,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.9,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0032138938492679244,2850.67502198502,2850.6750220199415,3189,True,,0.3723991000006208
screen_0028,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.9,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.000937055288353235,2863.704791342364,2863.704791353878,2737,True,,0.34296549999999115
screen_0029,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.9,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00039078428735155415,2876.4894041072707,2876.4894041180733,2504,True,,0.32963609999933396
screen_0030,surrogate_screening,True,False,Konnov_2026,1200.0,5,0.9,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0001817639636539562,2889.0362357509844,2889.036235812269,2512,True,,0.3456372000000556
screen_0031,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.9,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,8.979554055635574e-05,2901.3524715320605,2901.3524715377616,2443,True,,0.34587719999763067
screen_0032,surrogate_screening,False,False,Konnov_2026,1200.0,5,0.9,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,3.0770339695023844e-05,2925.320907441442,2925.320907535123,2433,True,,0.28292330000113
screen_0033,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.0,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.07759498641478099,2881.4622352341103,2881.4622352769666,3523,True,,0.39120859999820823
screen_0034,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.0,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.008767397595447727,2887.9539285776746,2887.95392859012,3357,True,,0.3860988000014913
screen_0035,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.0,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0030729347149186675,2894.3861054653466,2894.386105470927,3193,True,,0.3443115999980364
screen_0036,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.0,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0009303846356855024,2907.075265158423,2907.0752651715266,2814,True,,0.3403661000011198
screen_0037,surrogate_screening,True,False,Konnov_2026,1200.0,5,1.0,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0003988149612868985,2919.5363285788744,2919.536328592778,2528,True,,0.2935682999996061
screen_0038,surrogate_screening,True,False,Konnov_2026,1200.0,5,1.0,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0001895871312238451,2931.775753353445,2931.7757533996078,2588,True,,0.32470399999874644
screen_0039,surrogate_screening,True,False,Konnov_2026,1200.0,5,1.0,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,9.416419908589195e-05,2943.7998364412206,2943.7998364950686,2423,True,,0.32473639999807347
screen_0040,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.0,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,3.175696306607467e-05,2967.2263531869344,2967.226353267314,2368,True,,0.266756400000304
screen_0041,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.1,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.07504032727730664,2891.2843175986714,2891.2843176237525,3392,True,,0.3496661999997741
screen_0042,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.1,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.008276935275601633,2898.3544456965883,2898.3544457559774,3352,True,,0.39666270000088844
screen_0043,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.1,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0029654748623312677,2905.3434542880664,2905.343454297638,3123,True,,0.31499409999742056
screen_0044,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.1,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0009267529872601337,2919.085152668329,2919.085152702223,2831,True,,0.385705799999414
screen_0045,surrogate_screening,True,False,Konnov_2026,1200.0,5,1.1,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0004068795150557581,2932.522982018451,2932.522982031722,2530,True,,0.3066934999988007
screen_0046,surrogate_screening,True,False,Konnov_2026,1200.0,5,1.1,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00019744469785245574,2945.6697297085407,2945.6697297559954,2579,True,,0.3026456999978109
screen_0047,surrogate_screening,True,False,Konnov_2026,1200.0,5,1.1,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,9.88046784379413e-05,2958.5374514188093,2958.5374514497494,2552,True,,0.28180369999972754
screen_0048,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.1,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,3.283444817227532e-05,2983.4806678356667,2983.4806679060093,2350,True,,0.2887201000012283
screen_0049,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.2,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.07294345593388349,2873.4623344459787,2873.4623344804427,3434,True,,0.43160030000217375
screen_0050,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.2,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.007891813056125666,2881.778968196889,2881.778968230238,3362,True,,0.36277590000099735
screen_0051,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.2,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0028817628714591878,2889.972995605538,2889.972995631524,3056,True,,0.3930216000007931
screen_0052,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.2,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0009252510722417187,2906.004874469652,2906.0048744731635,2669,True,,0.31161409999913303
screen_0053,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.2,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00041479749798331334,2921.580863015059,2921.5808630173674,2570,True,,0.2692763000013656
screen_0054,surrogate_screening,True,False,Konnov_2026,1200.0,5,1.2,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00020515174419206476,2936.723108706395,2936.7231087142072,2526,True,,0.2954526000030455
screen_0055,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.2,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00010361174014529752,2951.452890282943,2951.452890336484,2395,True,,0.27466390000336105
screen_0056,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.2,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,3.398399513664042e-05,2979.755381688549,2979.7553817605917,2372,True,,0.32819219999873894
screen_0057,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.3,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.07120911378179962,2838.8201505828415,2838.8201506437676,3404,True,,0.386016299999028
screen_0058,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.3,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.007584246734895079,2848.610545875418,2848.610545910813,3377,True,,0.35882779999883496
screen_0059,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.3,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0028156153916393638,2858.2433274836058,2858.243327493898,2946,True,,0.319995599998947
screen_0060,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.3,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0009253185149034058,2877.0471627024353,2877.0471627366164,2785,True,,0.3691352999994706
screen_0061,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.3,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0004224952567034628,2895.2546197644747,2895.254619804896,2490,True,,0.3046297999972012
screen_0062,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.3,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00021260875751087606,2912.889517330169,2912.8895173354836,2479,True,,0.30564099999901373
screen_0063,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.3,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00010849391652193935,2929.976107996575,2929.976108064871,2302,True,,0.2702214000019012
screen_0064,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.3,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,3.519087087815699e-05,2962.601462551254,2962.601462593828,2449,True,,0.37322040000071866
screen_0065,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.4,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.06976684854989636,2795.4780534605493,2795.4780535024815,3396,True,,0.36928790000092704
screen_0066,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.4,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0073354199449397394,2806.7179205046878,2806.7179205046878,3227,True,,0.37142499999754364
screen_0067,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.4,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0027629095026536544,2817.7773842327415,2817.7773842771558,3028,True,,0.3724255999986781
screen_0068,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.4,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0009266209099234261,2839.3625757722216,2839.3625757768023,2611,True,,0.3616392000003543
screen_0069,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.4,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0004299705123532491,2860.250402690748,2860.2504026936413,2772,True,,0.42017110000233515
screen_0070,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.4,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00021977047435107276,2880.4601965997285,2880.4601966182213,2265,True,,0.33353229999920586
screen_0071,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.4,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00011337965948416442,2900.0133243427817,2900.01332440512,2182,True,,0.31557519999842043
screen_0072,surrogate_screening,False,False,Konnov_2026,1200.0,5,1.4,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,3.644512763508058e-05,2937.2422375191377,2937.2422375549,2423,True,,0.31319519999669865
screen_0073,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.6,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.04701269446114948,2551.6015372807638,2552.7045433061603,3184,True,,0.3775162000019918
screen_0074,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.6,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.007415364845385677,2559.2274875270964,2560.287570753097,3084,True,,0.39419380000254023
screen_0075,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.6,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.003124883002111935,2566.8162983998595,2567.8385670484226,2990,True,,0.404287999997905
screen_0076,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.6,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.001132943932148333,2581.8821095009494,2582.7290994746936,2809,True,,0.35085780000008526
screen_0077,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.6,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0005524278608776704,2596.7982449068586,2596.896396060181,2574,True,,0.2962215000006836
screen_0078,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.6,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0003105004618236209,2611.5640763438696,2611.564076359592,2477,True,,0.3107739000006404
screen_0079,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.6,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0001874465035072032,2626.179076548251,2626.179076627343,2418,True,,0.3250969000000623
screen_0080,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.6,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,5.872960223554542e-05,2654.9549886835107,2654.9549887549624,2246,True,,0.30541399999856367
screen_0081,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.7,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.04366136015439827,2680.9397776095802,2680.9397777027825,3437,True,,0.42570559999876423
screen_0082,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.7,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.006539851534791606,2688.7540023207716,2688.754002449045,2940,True,,0.3831425999997009
screen_0083,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.7,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.002762217395526255,2696.517569217397,2696.517569348617,3121,True,,0.34346690000165836
screen_0084,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.7,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00103182956521703,2711.8927830348853,2711.8927831456667,2967,True,,0.4024844999985362
screen_0085,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.7,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0005194146561722768,2727.0656591226393,2727.0656591373786,2630,True,,0.31879810000100406
screen_0086,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.7,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0003006806100965191,2742.0366521943997,2742.0366521996493,2579,True,,0.3111331000000064
screen_0087,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.7,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00018680237942780045,2756.806425716939,2756.806426009777,2532,True,,0.32015839999803575
screen_0088,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.7,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,6.280004021760974e-05,2785.7459908516967,2785.745990902661,2408,True,,0.32197760000053677
screen_0089,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.8,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.041028631136639855,2789.7584452572564,2789.758445329479,3496,True,,0.37587360000179615
screen_0090,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.8,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.005892851384735733,2797.456097947631,2797.4560979674134,3395,True,,0.36389070000223
screen_0091,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.8,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0025027719850402455,2805.090514441491,2805.0905144516096,3049,True,,0.37252929999885964
screen_0092,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.8,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0009590274261539923,2820.17117704705,2820.17117713317,2868,True,,0.37926560000050813
screen_0093,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.8,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0004952121314822708,2835.003684619456,2835.003684669373,2689,True,,0.2998364999984915
screen_0094,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.8,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00029340970293002306,2849.5915507056193,2849.591550751825,2441,True,,0.31929239999954007
screen_0095,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.8,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00018640708737074495,2863.9385220846425,2863.9385220972235,2471,True,,0.3006821000017226
screen_0096,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.8,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,6.657297596637096e-05,2891.9257548469072,2891.9257549699028,2344,True,,0.4921424999993178
screen_0097,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.9,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.03892278043599387,2874.0084198042546,2874.008419839696,3439,True,,0.35938529999839375
screen_0098,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.9,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.005399894290460023,2881.3195448713113,2881.319544904058,3402,True,,0.31937870000183466
screen_0099,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.9,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.002308771755610341,2888.564679200794,2888.5646792307357,3168,True,,0.34587090000059106
screen_0100,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.9,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0009039572815501965,2902.860421885955,2902.860421963477,2905,True,,0.3718074999997043
screen_0101,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.9,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0004766267890424269,2916.90250470298,2916.9025047566347,2780,True,,0.33540740000171354
screen_0102,surrogate_screening,True,False,Konnov_2026,1200.0,10,0.9,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00028776931358415317,2930.697710974585,2930.6977110308817,2615,True,,0.3380058000002464
screen_0103,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.9,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0001861181780129125,2944.252729547377,2944.2527296021144,2566,True,,0.32510180000099353
screen_0104,surrogate_screening,False,False,Konnov_2026,1200.0,10,0.9,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,6.990953163387786e-05,2970.6683772004812,2970.6683772084234,2429,True,,0.3006113999981608
