design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0001,training,True,Konnov_2026,300,1,1.1,0.2,completed,0.1822829809608619,2048.053181651841,190,multicomponent,True,,8.644871399999829
map_0002,training,True,Konnov_2026,300,1,0.6,0.7,completed,0.2804043249104773,1651.9209947606043,174,multicomponent,True,,15.326339700000972
map_0003,training,True,Konnov_2026,300,10,1.4,0.1,completed,0.0324153756576385,1923.8035993256049,169,multicomponent,True,,9.480240999997475
map_0004,training,True,Konnov_2026,300,1,1.4,0.7,completed,0.9457477131185672,1970.8786237738072,193,multicomponent,True,,7.637277599998924
map_0005,training,True,Konnov_2026,300,5,0.7,0.0,completed,0.0140037100472904,1728.1071616771846,192,multicomponent,True,,98.05595110000286
map_0006,training,True,Konnov_2026,300,5,0.9,0.5,completed,0.1764499386154688,2054.0733155443404,202,multicomponent,True,,34.22881899999993
map_0007,training,True,Konnov_2026,300,1,0.6,0.2,completed,0.0456156946985663,1605.555706102674,174,multicomponent,True,,22.98061159999997
map_0008,training,True,Konnov_2026,300,5,1.4,0.5,completed,0.1651265752459336,1990.734138830884,172,multicomponent,True,,17.565609499997663
map_0009,training,True,Konnov_2026,450,1,0.9,0.5,completed,0.915256465871486,2133.029025765956,182,multicomponent,True,,14.866443200000504
map_0010,training,True,Konnov_2026,450,1,1.4,0.0,completed,0.1468946539758441,1959.9949033162504,142,multicomponent,True,,3.58408480000071
map_0011,training,True,Konnov_2026,450,5,1.1,0.0,completed,0.1135627601297325,2133.922474485116,176,multicomponent,True,,11.18976439999824
map_0012,training,True,Konnov_2026,450,1,1.4,0.4,completed,0.5870935964338195,2036.5209756738868,167,multicomponent,True,,4.879031299999042
map_0013,training,True,Konnov_2026,450,1,0.8,0.0,completed,0.122361092294102,1953.467847981696,184,multicomponent,True,,18.344688600001973
map_0014,training,True,Konnov_2026,300,1,1.0,0.7,completed,0.8532547069224256,2137.2329229157185,190,multicomponent,True,,9.26609929999904
map_0015,training,True,Konnov_2026,300,5,1.0,0.2,completed,0.0747460196151226,2111.0665593380604,195,multicomponent,True,,30.36271169999964
map_0016,training,True,Konnov_2026,450,1,1.1,0.05,completed,0.2290358754987108,2122.2521092122097,177,multicomponent,True,,10.561432599999534
map_0017,training,True,Konnov_2026,300,1,0.8,0.4,completed,0.2404823792232157,1901.484902985644,179,multicomponent,True,,25.956488499999978
map_0018,training,True,Konnov_2026,300,5,0.7,0.3,completed,0.0450512246699758,1772.392704430495,199,multicomponent,True,,59.02897029999804
map_0019,training,True,Konnov_2026,300,1,1.2,0.5,completed,0.5391429719181363,2032.4209201987749,180,multicomponent,True,,10.48556870000175
map_0020,training,True,Konnov_2026,300,1,1.4,0.2,completed,0.1267606586285863,1906.434976170728,170,multicomponent,True,,8.25282689999949
map_0021,training,True,Konnov_2026,300,10,1.2,0.3,completed,0.0718214080743641,2053.733064072517,180,multicomponent,True,,14.287283400000888
map_0022,training,True,Konnov_2026,450,1,1.1,0.3,completed,0.559881907556376,2152.066657421898,184,multicomponent,True,,7.863645699999324
map_0023,training,True,Konnov_2026,300,1,0.9,0.0,completed,0.0651953347123468,1966.2098801280597,184,multicomponent,True,,30.248139599996648
map_0024,training,True,Konnov_2026,300,5,1.2,0.0,completed,0.0454720280046605,1980.7107723886504,177,multicomponent,True,,30.039015099999236
map_0025,training,True,Konnov_2026,450,5,1.0,0.2,completed,0.1739043202537043,2208.9626084603506,221,multicomponent,True,,37.950439299998834
map_0026,training,True,Konnov_2026,300,1,1.2,0.0,completed,0.085862968310714,1963.0713998392987,163,multicomponent,True,,11.946992600001977
map_0027,training,True,Konnov_2026,450,1,0.8,0.3,completed,0.3838255935628691,1991.1429622505,173,multicomponent,True,,25.19109319999916
map_0028,training,True,Konnov_2026,300,5,1.3,0.2,completed,0.0686448816805945,1976.3954548602023,181,multicomponent,True,,21.81256140000187
map_0029,training,True,Konnov_2026,300,10,1.1,0.1,completed,0.0456843294129311,2061.2603627322,190,multicomponent,True,,29.685227199999645
map_0030,training,True,Konnov_2026,300,5,1.1,0.4,completed,0.1639824697103432,2117.0418299669086,197,multicomponent,True,,24.45448600000236
map_0031,training,True,Konnov_2026,450,1,1.2,0.5,completed,1.1102043113777724,2125.8698518518304,176,multicomponent,True,,11.905733900002817
map_0032,training,True,Konnov_2026,450,5,1.3,0.1,completed,0.125897673929437,2051.5720237029022,166,multicomponent,True,,12.848715000000084
map_0033,training,True,Konnov_2026,450,1,1.3,0.2,completed,0.3161790067409784,2053.1146285655327,159,multicomponent,True,,8.351536999998643
map_0034,training,True,Konnov_2026,300,1,0.6,0.0,completed,0.0138114398349376,1583.3251580976982,173,multicomponent,True,,42.923765899999125
map_0035,training,True,Konnov_2026,300,1,1.4,0.4,completed,0.267578472912389,1938.118535509932,164,multicomponent,True,,5.664148899999418
map_0036,training,True,Konnov_2026,300,1,0.6,0.5,completed,0.1643123693382461,1636.0377237178084,172,multicomponent,True,,33.45456550000017
map_0037,training,True,Konnov_2026,300,1,0.8,0.2,completed,0.111841913940634,1878.1130515872928,193,multicomponent,True,,30.637390799998684
map_0038,training,True,Konnov_2026,300,5,0.9,0.0,completed,0.0352857806642603,1974.1624326801252,192,multicomponent,True,,56.25393809999878
map_0039,training,True,Konnov_2026,450,5,0.9,0.0,completed,0.0852390067546274,2076.5085483950497,203,multicomponent,True,,57.926722600001085
map_0040,training,True,Konnov_2026,300,1,0.8,0.7,completed,0.5760275665150557,1943.209745263901,182,multicomponent,True,,17.80777350000062
map_0041,training,True,Konnov_2026,300,1,1.0,0.4,completed,0.3572668731030331,2104.321905534418,187,multicomponent,True,,11.18397940000068
map_0042,training,True,Konnov_2026,300,1,1.4,0.0,completed,0.0634294597778482,1867.476020198876,162,multicomponent,True,,15.18614140000136
map_0043,training,True,Konnov_2026,300,5,1.4,0.0,completed,0.0333150671464723,1891.0821268409024,161,multicomponent,True,,11.837337800003295
map_0044,training,True,Konnov_2026,300,10,1.4,0.3,completed,0.0557798733517167,1966.085418029684,181,multicomponent,True,,23.600424100000964
map_0045,training,True,Konnov_2026,300,1,1.2,0.7,completed,0.997911134243109,2054.4502082642016,200,multicomponent,True,,16.61512049999874
map_0046,training,True,Konnov_2026,450,5,1.2,0.2,completed,0.1824382064846424,2123.583235284201,184,multicomponent,True,,14.350288500001623
map_0047,training,True,Konnov_2026,300,5,0.8,0.2,completed,0.0496495618943848,1889.170938283865,207,multicomponent,True,,68.87308199999825
map_0048,training,True,Konnov_2026,450,1,1.0,0.2,completed,0.3653032090465283,2172.8996263757344,189,multicomponent,True,,26.176338699999175
map_0049,training,True,Konnov_2026,300,1,1.0,0.1,completed,0.1130659819776119,2072.5696011039067,199,multicomponent,True,,26.402853700001288
map_0050,training,True,Konnov_2026,450,1,0.9,0.1,completed,0.2161376842398582,2078.3623284162554,190,multicomponent,True,,26.43477730000086
map_0051,training,True,Konnov_2026,300,1,0.7,0.1,completed,0.0509411786534082,1737.0195424232843,190,multicomponent,True,,41.403846299999714
map_0052,training,True,Konnov_2026,300,1,0.7,0.3,completed,0.1223948540449809,1760.3386547246266,190,multicomponent,True,,35.55331809999916
map_0053,training,True,Konnov_2026,300,1,0.9,0.3,completed,0.2074463879712825,2008.308664874787,177,multicomponent,True,,18.814095099998667
map_0054,training,True,Konnov_2026,300,5,0.9,0.3,completed,0.0885638441035768,2025.4108883928516,219,multicomponent,True,,45.29614069999661
map_0055,training,True,Konnov_2026,300,1,0.9,0.5,completed,0.4179974384505969,2033.9798647615848,190,multicomponent,True,,25.361413799997536
map_0056,training,True,Konnov_2026,300,1,1.3,0.1,completed,0.104493289206893,1933.7609850756448,161,multicomponent,True,,8.476091199998336
map_0057,training,True,Konnov_2026,300,5,0.8,0.4,completed,0.0980238810276118,1918.5397818144,206,multicomponent,True,,43.11492229999931
map_0058,training,True,Konnov_2026,450,1,1.0,0.4,completed,0.759067691634378,2194.079493864885,196,multicomponent,True,,20.0258184000013
map_0059,training,True,Konnov_2026,300,1,1.3,0.3,completed,0.2094248541829529,1969.54574234514,170,multicomponent,True,,14.42205549999926
map_0060,training,True,Konnov_2026,300,5,1.4,0.3,completed,0.080213787422671,1953.331874206538,179,multicomponent,True,,11.396800599999551
map_0061,training,True,Konnov_2026,300,10,1.3,0.2,completed,0.048447128403291,1986.1409446227487,185,multicomponent,True,,14.352339400000346
map_0062,training,True,Konnov_2026,300,5,1.1,0.1,completed,0.0637982574996808,2054.8260534914275,183,multicomponent,True,,22.842238699999143
map_0063,training,True,Konnov_2026,300,5,1.2,0.3,completed,0.1065640578405456,2044.9064926845683,184,multicomponent,True,,14.758209700001316
map_0064,training,True,Konnov_2026,300,5,1.3,0.4,completed,0.1309108487505651,2016.137918936745,172,multicomponent,True,,10.150197299997672
map_0065,training,True,Konnov_2026,300,5,1.2,0.5,completed,0.2215715046218316,2085.8014928497123,193,multicomponent,True,,19.05795769999895
map_0066,training,True,Konnov_2026,450,1,1.0,0.0,completed,0.1775304588179967,2146.4326251225198,201,multicomponent,True,,25.113650899998905
map_0067,training,True,Konnov_2026,300,1,0.8,0.05,completed,0.06100245876495,1857.1375234207192,194,multicomponent,True,,53.22207569999955
map_0068,training,True,Konnov_2026,300,5,0.8,0.05,completed,0.0303610152916542,1865.4839345014336,206,multicomponent,True,,65.90104419999989
map_0069,training,True,Konnov_2026,300,5,1.0,0.05,completed,0.0480373177663671,2086.3737145983896,210,multicomponent,True,,46.63933209999959
map_0070,training,True,Konnov_2026,450,5,1.0,0.05,completed,0.1126636348894472,2181.841032354372,191,multicomponent,True,,26.56408460000239
map_0071,training,True,Konnov_2026,300,5,1.3,0.05,completed,0.0450645555582876,1944.692794908607,173,multicomponent,True,,23.455104399999986
map_0072,training,True,Konnov_2026,450,1,1.3,0.05,completed,0.1962588550800889,2019.893099935304,162,multicomponent,True,,11.190839299997606
map_0073,training,False,Konnov_2026,600,5,1.0,0.3,completed,0.4758675341584233,2316.760955397156,204,multicomponent,True,,11.462497700002132
map_0074,training,False,Konnov_2026,300,20,0.6,0.7,completed,0.0301661065189405,1685.7794478719566,195,multicomponent,True,,60.272145800001454
map_0075,training,False,Konnov_2026,300,20,1.4,0.0,completed,0.0191149848411133,1907.982080529615,181,multicomponent,True,,33.081575500000326
map_0076,training,False,Konnov_2026,300,10,1.4,0.7,completed,0.250668930756976,2041.9356781732893,194,multicomponent,True,,26.56463860000076
map_0077,training,False,Konnov_2026,300,20,0.6,0.0,completed,0.0025476648655266,1585.028766650164,168,multicomponent,True,,42.054800599999
map_0078,training,False,Konnov_2026,750,1,0.6,0.7,completed,3.3312222533597837,2017.987733416612,198,multicomponent,True,,19.43481350000002
map_0079,training,False,Konnov_2026,750,1,1.4,0.7,completed,5.700177209254761,2294.6314838011253,205,multicomponent,True,,23.012306600001462
map_0080,training,False,Konnov_2026,750,20,0.6,0.7,completed,0.6406204881163463,2030.6971539270085,193,multicomponent,True,,44.7273028999989
map_0081,training,False,Konnov_2026,750,20,1.4,0.7,completed,1.544871027746828,2386.345369212573,192,multicomponent,True,,43.1972096999998
map_0082,training,False,Konnov_2026,750,1,0.6,0.0,completed,0.2896999194894698,1921.2733281322808,158,multicomponent,True,,29.619289199999912
map_0083,training,False,Konnov_2026,750,1,1.4,0.0,completed,0.5178536544015783,2161.5755792372347,151,multicomponent,True,,5.783925199997611
map_0084,training,False,Konnov_2026,750,20,0.6,0.0,completed,0.0809979678216496,1938.1081115309253,174,multicomponent,True,,48.92864479999844
map_0085,training,False,Konnov_2026,750,20,1.4,0.0,completed,0.2226443588165047,2195.6820681917497,176,multicomponent,True,,20.159301100000448
map_0086,training,False,Konnov_2026,450,1,1.0,0.7,completed,1.7801027913659369,2225.148974412364,187,multicomponent,True,,8.265827799998078
map_0087,training,False,Konnov_2026,450,1,0.6,0.3,completed,0.2068625334845513,1724.8449662288665,177,multicomponent,True,,23.0823977
map_0088,training,False,Konnov_2026,300,10,1.0,0.3,completed,0.0691234417426814,2138.26145240716,206,multicomponent,True,,71.23591219999798
map_0089,training,False,Konnov_2026,750,5,1.0,0.7,completed,3.4356658766648773,2466.7607142767743,181,multicomponent,True,,13.919038799998816
map_0090,training,False,Konnov_2026,750,1,1.0,0.4,completed,2.3940619113464003,2363.3525402488453,186,multicomponent,True,,8.837553199999093
map_0091,training,False,Konnov_2026,750,5,0.6,0.4,completed,0.5912412023726288,1976.5145941159835,172,multicomponent,True,,17.65208220000204
map_0092,training,False,Konnov_2026,450,5,1.4,0.2,completed,0.146003185671517,2030.1166643167765,181,multicomponent,True,,17.96187909999935
map_0093,training,False,Konnov_2026,750,5,1.4,0.4,completed,1.0250230346462608,2280.878627179482,185,multicomponent,True,,16.306943699997646
map_0094,training,False,Konnov_2026,450,5,0.6,0.5,completed,0.1600089910189939,1762.0982264382274,190,multicomponent,True,,32.6318906000015
map_0095,training,False,Konnov_2026,450,20,1.0,0.7,completed,0.4079047647714178,2314.9978021105103,215,multicomponent,True,,39.63762720000159
map_0096,training,False,Konnov_2026,600,1,1.0,0.05,completed,0.4056762511720148,2240.435591736775,185,multicomponent,True,,22.66329979999864
map_0097,training,False,Konnov_2026,600,20,1.0,0.0,completed,0.1165202576810009,2288.4328380590982,201,multicomponent,True,,17.600652699999046
map_0098,training,False,Konnov_2026,450,5,0.8,0.0,completed,0.0674917112745928,1961.7767541470807,201,multicomponent,True,,81.69616510000196
map_0099,training,False,Konnov_2026,750,20,1.0,0.4,completed,0.5679949556858889,2463.185161101449,210,multicomponent,True,,35.64402719999998
map_0100,training,False,Konnov_2026,300,5,0.9,0.7,completed,0.3557435340874808,2080.8135633189527,196,multicomponent,True,,27.666967199998908
map_0101,training,False,Konnov_2026,450,20,1.3,0.4,completed,0.1469836865410909,2140.7763962782,192,multicomponent,True,,32.00129960000049
map_0102,training,False,Konnov_2026,750,5,0.9,0.0,completed,0.3343005891020729,2285.8249073752067,189,multicomponent,True,,42.09483850000106
map_0103,training,False,Konnov_2026,450,20,0.7,0.3,completed,0.0513701065261439,1888.1986935557184,206,multicomponent,True,,58.09355599999981
map_0104,training,False,Konnov_2026,600,1,1.4,0.3,completed,0.7441133818028383,2123.906764603217,169,multicomponent,True,,10.635845400000107
map_0105,training,False,Konnov_2026,600,5,1.4,0.7,completed,1.977792375289596,2234.4081512353164,184,multicomponent,True,,26.185985600001004
map_0106,training,False,Konnov_2026,300,5,0.6,0.2,completed,0.012844962817507,1614.8552781541682,190,multicomponent,True,,63.02332939999906
map_0107,training,False,Konnov_2026,450,1,0.6,0.7,completed,0.7220333533780644,1767.1801396376177,185,multicomponent,True,,19.92885280000337
map_0108,training,False,Konnov_2026,450,1,1.4,0.7,completed,1.9424696039463647,2067.0840673513617,197,multicomponent,True,,18.135029100001702
map_0109,training,False,Konnov_2026,450,5,1.2,0.5,completed,0.5083726818157538,2189.541788227719,199,multicomponent,True,,27.43030299999737
map_0110,training,False,Konnov_2026,600,5,1.2,0.0,completed,0.2182406289068374,2175.975001040159,180,multicomponent,True,,15.56877170000007
map_0111,training,False,Konnov_2026,300,20,1.0,0.0,completed,0.0226775499132783,2087.864108907659,200,multicomponent,True,,44.63429030000043
map_0112,training,False,Konnov_2026,600,10,0.8,0.7,completed,0.9025988708278624,2174.1267703363305,192,multicomponent,True,,30.451607300001346
map_0113,training,False,Konnov_2026,600,1,0.7,0.5,completed,1.2209880916401248,1996.2392641617016,185,multicomponent,True,,9.485237699998834
map_0114,training,False,Konnov_2026,600,10,0.6,0.2,completed,0.085181967499439,1844.338349073644,183,multicomponent,True,,58.903693600001134
map_0115,training,False,Konnov_2026,450,10,1.1,0.1,completed,0.1075861623078344,2162.1126603899274,190,multicomponent,True,,17.163884600002348
map_0116,training,False,Konnov_2026,450,1,0.7,0.0,completed,0.0879192213559295,1830.564246226082,191,multicomponent,True,,62.19765330000155
map_0117,training,False,Konnov_2026,750,10,1.2,0.2,completed,0.4983175401070501,2342.990647321595,187,multicomponent,True,,23.897101599999587
map_0118,training,False,Konnov_2026,600,20,0.6,0.5,completed,0.1361806077170743,1885.271276539958,186,multicomponent,True,,22.318438199999942
map_0119,training,False,Konnov_2026,600,20,1.4,0.2,completed,0.1750918723609556,2149.36111080181,176,multicomponent,True,,19.34931140000117
map_0120,training,False,Konnov_2026,750,1,0.6,0.3,completed,0.9480036850813898,1950.454518340193,172,multicomponent,True,,17.774635100002342
map_0121,interpolation_holdout,True,Konnov_2026,300,1,1.0,0.2,completed,0.1670060273821825,2083.96500676225,188,multicomponent,True,,12.163596400001552
map_0122,interpolation_holdout,True,Konnov_2026,300,10,1.4,0.2,completed,0.0423913347261895,1945.917830910657,184,multicomponent,True,,26.29279300000053
map_0123,interpolation_holdout,True,Konnov_2026,300,1,0.7,0.7,completed,0.4204664394437963,1802.0918101433504,184,multicomponent,True,,21.19074489999912
map_0124,interpolation_holdout,True,Konnov_2026,300,1,1.3,0.7,completed,0.9905577468318308,2010.3815519485856,200,multicomponent,True,,16.27028209999844
map_0125,interpolation_holdout,True,Konnov_2026,450,5,1.0,0.0,completed,0.0987400388194964,2171.979161112385,182,multicomponent,True,,30.49802239999917
map_0126,interpolation_holdout,True,Konnov_2026,300,5,1.0,0.5,completed,0.2106102855963985,2159.988594033196,207,multicomponent,True,,50.035004299999855
map_0127,interpolation_holdout,True,Konnov_2026,450,1,1.4,0.05,completed,0.1711215147334157,1970.8322470888663,161,multicomponent,True,,10.615103299998736
map_0128,interpolation_holdout,True,Konnov_2026,300,5,0.7,0.2,completed,0.0308555034105851,1758.510314747073,200,multicomponent,True,,82.42115399999966
map_0129,interpolation_holdout,True,Konnov_2026,300,1,0.6,0.05,completed,0.0193332988793101,1589.9316611118445,176,multicomponent,True,,49.84589250000136
map_0130,interpolation_holdout,True,Konnov_2026,450,1,1.0,0.5,completed,1.0480696016085818,2204.4707743744266,184,multicomponent,True,,21.539249599998584
map_0131,interpolation_holdout,True,Konnov_2026,300,1,1.4,0.3,completed,0.1805113471346616,1919.844315837585,171,multicomponent,True,,13.166764600002352
map_0132,interpolation_holdout,True,Konnov_2026,450,1,0.9,0.0,completed,0.1509726068679378,2064.376326264261,177,multicomponent,True,,28.67775630000324
map_0133,interpolation_holdout,False,Konnov_2026,600,10,1.0,0.3,completed,0.3276287671866317,2331.502578752603,207,multicomponent,True,,28.52998909999951
map_0134,interpolation_holdout,False,Konnov_2026,450,1,0.7,0.7,completed,1.0122941649744062,1916.0470303893296,176,multicomponent,True,,16.916849699999148
map_0135,interpolation_holdout,False,Konnov_2026,750,1,0.6,0.05,completed,0.3521890051361583,1926.798970122816,159,multicomponent,True,,22.034674200000158
map_0136,interpolation_holdout,False,Konnov_2026,300,20,1.4,0.7,completed,0.1503973659816393,2057.830581461936,184,multicomponent,True,,46.07167860000118
map_0137,interpolation_holdout,False,Konnov_2026,750,1,1.4,0.5,completed,2.892114075591233,2241.637940217164,184,multicomponent,True,,10.531837900001848
map_0138,interpolation_holdout,False,Konnov_2026,300,5,0.6,0.0,completed,0.0045567859431534,1585.7451155137148,159,multicomponent,True,,59.50185399999828
map_0139,interpolation_holdout,False,Konnov_2026,300,10,1.4,0.0,completed,0.0246847432067436,1899.578473702312,171,multicomponent,True,,24.20045409999875
map_0140,interpolation_holdout,False,Konnov_2026,300,20,0.7,0.7,completed,0.0643921280463756,1835.587121929816,204,multicomponent,True,,63.875024900000426
map_0141,interpolation_holdout,False,Konnov_2026,750,5,0.6,0.7,completed,1.611623834972825,2013.631955353816,178,multicomponent,True,,21.30201910000324
map_0142,interpolation_holdout,False,Konnov_2026,600,1,1.2,0.0,completed,0.3485297068021109,2163.266630155645,167,multicomponent,True,,9.57520619999923
map_0143,interpolation_holdout,False,Konnov_2026,750,10,1.4,0.7,completed,2.4261146090763663,2375.019762938989,194,multicomponent,True,,36.15121740000177
map_0144,interpolation_holdout,False,Konnov_2026,750,10,0.6,0.0,completed,0.1136432564134362,1934.831129800314,167,multicomponent,True,,63.06654560000243
