design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0038,training,True,Konnov_2026,300,5,0.9,0.0,completed,0.03528578066426039,1974.1624326801254,192,multicomponent,True,,56.25393809999878
map_0041,training,True,Konnov_2026,300,1,1.0,0.4,completed,0.3572668731030331,2104.321905534418,187,multicomponent,True,,11.18397940000068
map_0044,training,True,Konnov_2026,300,10,1.4,0.3,completed,0.05577987335171672,1966.0854180296842,181,multicomponent,True,,23.600424100000964
map_0047,training,True,Konnov_2026,300,5,0.8,0.2,completed,0.04964956189438488,1889.170938283865,207,multicomponent,True,,68.87308199999825
map_0050,training,True,Konnov_2026,450,1,0.9,0.1,completed,0.21613768423985824,2078.3623284162554,190,multicomponent,True,,26.43477730000086
map_0053,training,True,Konnov_2026,300,1,0.9,0.3,completed,0.20744638797128256,2008.308664874787,177,multicomponent,True,,18.814095099998667
map_0056,training,True,Konnov_2026,300,1,1.3,0.1,completed,0.10449328920689302,1933.7609850756448,161,multicomponent,True,,8.476091199998336
map_0059,training,True,Konnov_2026,300,1,1.3,0.3,completed,0.20942485418295292,1969.54574234514,170,multicomponent,True,,14.42205549999926
map_0062,training,True,Konnov_2026,300,5,1.1,0.1,completed,0.06379825749968084,2054.8260534914275,183,multicomponent,True,,22.842238699999143
map_0065,training,True,Konnov_2026,300,5,1.2,0.5,completed,0.22157150462183167,2085.8014928497123,193,multicomponent,True,,19.05795769999895
map_0068,training,True,Konnov_2026,300,5,0.8,0.05,completed,0.03036101529165424,1865.4839345014339,206,multicomponent,True,,65.90104419999989
map_0071,training,True,Konnov_2026,300,5,1.3,0.05,completed,0.045064555558287624,1944.692794908607,173,multicomponent,True,,23.455104399999982
map_0074,training,False,Konnov_2026,300,20,0.6,0.7,completed,0.030166106518940517,1685.7794478719566,195,multicomponent,True,,60.272145800001454
map_0077,training,False,Konnov_2026,300,20,0.6,0.0,completed,0.0025476648655266476,1585.028766650164,168,multicomponent,True,,42.054800599999
map_0080,training,False,Konnov_2026,750,20,0.6,0.7,completed,0.6406204881163463,2030.6971539270085,193,multicomponent,True,,44.727302899998904
map_0083,training,False,Konnov_2026,750,1,1.4,0.0,completed,0.5178536544015783,2161.5755792372347,151,multicomponent,True,,5.783925199997611
map_0086,training,False,Konnov_2026,450,1,1.0,0.7,completed,1.7801027913659369,2225.148974412364,187,multicomponent,True,,8.265827799998078
map_0089,training,False,Konnov_2026,750,5,1.0,0.7,completed,3.4356658766648773,2466.7607142767743,181,multicomponent,True,,13.919038799998816
map_0092,training,False,Konnov_2026,450,5,1.4,0.2,completed,0.14600318567151704,2030.1166643167765,181,multicomponent,True,,17.96187909999935
map_0095,training,False,Konnov_2026,450,20,1.0,0.7,completed,0.4079047647714178,2314.9978021105103,215,multicomponent,True,,39.63762720000159
map_0098,training,False,Konnov_2026,450,5,0.8,0.0,completed,0.06749171127459284,1961.7767541470807,201,multicomponent,True,,81.69616510000196
map_0101,training,False,Konnov_2026,450,20,1.3,0.4,completed,0.14698368654109095,2140.7763962782,192,multicomponent,True,,32.00129960000049
map_0104,training,False,Konnov_2026,600,1,1.4,0.3,completed,0.7441133818028383,2123.906764603217,169,multicomponent,True,,10.635845400000107
map_0107,training,False,Konnov_2026,450,1,0.6,0.7,completed,0.7220333533780644,1767.1801396376175,185,multicomponent,True,,19.92885280000337
map_0110,training,False,Konnov_2026,600,5,1.2,0.0,completed,0.21824062890683743,2175.975001040159,180,multicomponent,True,,15.56877170000007
map_0113,training,False,Konnov_2026,600,1,0.7,0.5,completed,1.2209880916401248,1996.2392641617018,185,multicomponent,True,,9.485237699998834
map_0116,training,False,Konnov_2026,450,1,0.7,0.0,completed,0.08791922135592951,1830.564246226082,191,multicomponent,True,,62.19765330000155
map_0119,training,False,Konnov_2026,600,20,1.4,0.2,completed,0.17509187236095564,2149.36111080181,176,multicomponent,True,,19.34931140000117
map_0122,interpolation_holdout,True,Konnov_2026,300,10,1.4,0.2,completed,0.04239133472618951,1945.9178309106567,184,multicomponent,True,,26.29279300000053
map_0125,interpolation_holdout,True,Konnov_2026,450,5,1.0,0.0,completed,0.0987400388194964,2171.979161112385,182,multicomponent,True,,30.498022399999172
map_0128,interpolation_holdout,True,Konnov_2026,300,5,0.7,0.2,completed,0.030855503410585156,1758.510314747073,200,multicomponent,True,,82.42115399999966
map_0131,interpolation_holdout,True,Konnov_2026,300,1,1.4,0.3,completed,0.18051134713466166,1919.844315837585,171,multicomponent,True,,13.166764600002352
map_0134,interpolation_holdout,False,Konnov_2026,450,1,0.7,0.7,completed,1.0122941649744062,1916.0470303893298,176,multicomponent,True,,16.916849699999148
map_0137,interpolation_holdout,False,Konnov_2026,750,1,1.4,0.5,completed,2.892114075591233,2241.6379402171638,184,multicomponent,True,,10.531837900001847
map_0140,interpolation_holdout,False,Konnov_2026,300,20,0.7,0.7,completed,0.06439212804637562,1835.5871219298158,204,multicomponent,True,,63.875024900000426
map_0143,interpolation_holdout,False,Konnov_2026,750,10,1.4,0.7,completed,2.4261146090763663,2375.019762938989,194,multicomponent,True,,36.15121740000177
