design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3
reactor_0001,750,10,10,1.0,0.3,0.5,0.0,primary_map,Konnov_2026,completed,0.15144449999934295,0.01,300.0,2426.6985994724255,2438.6159849193186,600,498,True,,0.24373434439804706,671283.5831340794,0.003252019488580714,9.525314812291865e-07,3.360420516238203e-07,1.050481232261645e-07,0.009218358241809322,0.0020330451460697017,0.29777934370335457,0.004631050737998989,1.3564560835516066e-06,4.78541963427893e-07,1.4959417995500844e-07,0.01312743816227919,0.002895165683093868,0.00394266896875002,1.770571393978829e-06,5.97590479030429e-07,7.228655318854474e-08,0.0007508845691633712,0.002628445200749716,0.21674940057447892,1.4315318598888953,0.0006428714611290745,0.00021697733608346613,2.624630795817544e-05,0.0013256942489850562,3.883019493200704e-07,1.3698842113927914e-07,4.2823142148012805e-08
reactor_0002,750,20,20,0.6,0.7,0.5,0.0,primary_map,Konnov_2026,completed,0.1486968999997771,0.02,300.0,2064.598717251737,2065.4181249671547,510,473,True,,0.3053571205248482,564701.1966776153,0.004067239573160461,1.5751571492793293e-05,1.165900030983268e-06,2.352623792521232e-10,8.41074540344783e-05,0.06677122090871458,0.20733916540180095,0.005131122159229869,1.9871767097938918e-05,1.4708687247986265e-06,2.968008118773498e-10,0.00010610774541057335,0.08423681099692659,0.004658925595520902,2.7663481694973557e-05,1.9589357901043087e-06,1.5295741981858874e-10,6.472960099783322e-06,0.08156241317797455,0.14259146393958708,2.519272338995859,0.014958780260725134,0.0010592770046860993,8.271035647438014e-08,0.0024264866088594826,9.397277098692263e-06,6.955677829057513e-07,1.403558857439294e-10
reactor_0003,750,5,5,0.6,0.7,0.5,0.0,primary_map,Konnov_2026,completed,0.1699047000001883,0.005,300.0,2042.0016014327468,2054.7439718733663,700,586,True,,0.30578372892614464,565490.1295648221,0.007368517385994264,1.4315825984954896e-05,5.669371948926351e-07,1.5797886611275698e-10,0.00015771491404921226,0.06499700376289679,0.20694818512552354,0.009291344207011928,1.80515644960989e-05,7.148803952770343e-07,1.9920371298533844e-10,0.00019887088219346075,0.08195807959053023,0.008442205006366228,2.51471702702272e-05,9.527601826730604e-07,1.0273225425562558e-10,1.2140343308129628e-05,0.07941158195397421,0.14235199737433613,4.5650468367896,0.01359810736765353,0.0005151965457899774,5.555154748934131e-08,0.004315026933210948,8.383392677291788e-06,3.320002026528013e-07,9.251292036718057e-11
reactor_0004,750,5,20,1.4,0.7,0.5,0.0,primary_map,Konnov_2026,completed,0.14470860000074026,0.02,300.0,2352.348594816056,2362.9593525029095,540,557,True,,0.05731704503056978,220759.9603744052,0.0002959110980553308,4.8969856478562195e-09,2.0019603089555962e-08,3.4973692820883167e-06,0.10640884082035794,1.0933996651897249e-05,0.26519702059983646,0.00040270808141917137,6.6643519217270194e-09,2.7244858350871713e-08,4.759601389944416e-06,0.1448127509053133,1.4880174629698588e-05,0.000394046186312352,9.99796555952353e-09,3.91033715792306e-08,2.6433788470828034e-06,0.009520198640493924,1.552671354831037e-05,0.212021878116475,0.10230823998466311,2.5958232698420776e-06,1.0152609675471372e-05,0.0006863140587366527,0.00011369123707747697,1.881458180900404e-09,7.691679886322179e-09,1.3437151996341805e-06
reactor_0005,750,20,5,1.4,0.7,0.5,0.0,primary_map,Konnov_2026,completed,0.1487422999998671,0.005,300.0,2367.8844647669757,2372.4847351801636,510,612,True,,0.914269496422907,3521362.584100438,0.00017071685868945533,2.9455629485676983e-09,2.365387059930077e-08,1.4648980358020576e-05,0.10656873023418485,3.037606702707759e-06,0.26599682413361764,0.0002325832698039069,4.013011176812548e-09,3.22258423083536e-08,1.9957652554744902e-05,0.14518837756852512,4.1384108442341724e-06,0.00022715628736835297,6.009157535442873e-09,4.6166126225496627e-08,1.1063379038337063e-05,0.0095270965213969,4.310172212728696e-06,0.21249610017332043,0.05897775633764092,1.560188507329971e-06,1.1986349024823193e-05,0.00287244205631841,6.565877818866116e-05,1.132882046714295e-09,9.097427488447059e-09,5.634090033058562e-06
reactor_0006,750,5,5,1.4,0.7,0.5,0.0,primary_map,Konnov_2026,completed,0.16095769999810727,0.005,300.0,2341.7421430001077,2358.285190484514,560,548,True,,0.22926818012227912,883039.8414976208,0.0009028901693590827,1.4560649161503168e-08,7.056659316763767e-08,7.661450072442844e-06,0.1069814840441401,1.0289176701654181e-05,0.26454963171120366,0.001227669749435133,1.9798275708776992e-08,9.595017721158801e-08,1.041735840077022e-05,0.14546390709281778,1.3990307361725098e-05,0.0012026430488425964,2.9735790530113997e-08,1.3787128990855792e-07,5.792217224229187e-06,0.009573987628327897,1.4614944678595065e-05,0.21156077232064377,0.312248406229578,7.720456381417877e-06,3.579623278926695e-05,0.0015038631774753537,0.0003465902589517902,5.589361070321397e-09,2.7088226928728756e-08,2.940982253067506e-06
reactor_0007,750,5,20,0.6,0.7,0.5,0.0,primary_map,Konnov_2026,completed,0.15840720000051078,0.02,300.0,2053.169669432567,2058.0838233239824,600,512,True,,0.07644593223153616,141372.53239120552,0.005830673670651855,1.133388475650474e-05,5.713281376782998e-07,1.5844956797467996e-10,0.00016057210097970642,0.06575399910559701,0.20692237591076712,0.007351958362648015,1.4291015673932962e-05,7.20393717240996e-07,1.997907432537172e-10,0.00020246706766453883,0.08290991588762656,0.00668037725060876,1.9909390976856463e-05,9.601536408215566e-07,1.030398828311115e-10,1.2360463755679323e-05,0.08033765545908904,0.14233636503619973,3.612354238431269,0.010765825069726249,0.0005191944921450206,5.571789488961991e-08,0.003440124149728176,6.687043875794378e-06,3.370862159100411e-07,9.348597024857224e-11
reactor_0008,750,20,5,0.6,0.7,0.5,0.0,primary_map,Konnov_2026,completed,0.17009799999868846,0.005,300.0,2061.604416251587,2064.4990598417494,560,547,True,,1.221428482099393,2258804.7867104616,0.004482770889846051,1.7358978882845162e-05,1.1629476617743498e-06,2.329914833537672e-10,8.36925023080818e-05,0.06656513637166815,0.2073442278565696,0.0056553816264078086,2.1899769727159786e-05,1.4671534638921616e-06,2.939377867945527e-10,0.00010558492759318192,0.08397735651589154,0.005134889631456685,3.048636712836526e-05,1.9539687198794146e-06,1.51480475838432e-10,6.441003662577801e-06,0.08131040523983157,0.14259446943882473,2.776645633654749,0.01648523030649001,0.0010565911058953014,8.191171222922788e-08,0.002668856669955734,1.033481918070836e-05,6.923710134207838e-07,1.3871350771016916e-10
reactor_0009,750,20,20,1.4,0.7,0.5,0.0,primary_map,Konnov_2026,completed,0.15463280000039958,0.02,300.0,2369.446075733327,2373.28319161825,490,618,True,,0.22856737410572675,880340.6460251095,6.955784606318387e-05,1.2054106604471481e-09,1.4060891076920401e-08,7.084088246083568e-06,0.10648323830527101,3.07004726722762e-06,0.26610577795720425,9.477911662742008e-05,1.6424855575124785e-09,1.915928842958034e-08,9.65273745631216e-06,0.1450934414075025,4.183228556674201e-06,9.255016723853328e-05,2.4590255478006903e-09,2.744206531082216e-08,5.349917553967391e-06,0.009519075156759375,4.356030118644081e-06,0.212574687233249,0.02402927638780642,6.384494625545995e-07,7.124924694154781e-06,0.0013890266370338439,2.675636272248037e-05,4.636774524497436e-10,5.408711211581029e-09,2.724989996068831e-06
reactor_0010,750,20,20,0.6,0.0,0.5,0.0,primary_map,Konnov_2026,completed,0.15382640000098036,0.02,300.0,1939.3737066977533,1940.7574743788039,500,587,True,,0.325016080554481,545666.6261401323,0.002818631359968195,1.352695456549607e-05,8.433538571025309e-07,7.194076473213495e-11,3.2711081062800955e-05,0.06764585057627812,0.2078032523315901,0.0035579941072264925,1.7075246276014825e-05,1.0645762679343059e-06,9.081173956327227e-11,4.129161241708713e-05,0.08539021496285247,0.0032279413214415637,2.3751131995828272e-05,1.4166744266358773e-06,4.676214733370726e-11,2.516892530849732e-06,0.08261202026545957,0.14287816167000814,1.922662641063487,0.014146915827748999,0.00084381552308591,2.7852995064443623e-08,0.001698260799201915,8.150160037751998e-06,5.081312922698492e-07,4.334521439886734e-11
