design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Konnov_2026,completed,0.15263820000109263,0.01,300.0,1807.955543536807,1816.8728997136259,660,708,True,,0.17326144661931034,290887.1119718948,0.003320388865038304,1.0081182550733236e-05,2.9168480589265773e-07,1.2162252650320584e-11,2.2677440198789858e-05,0.06751273810830818,0.20795496825387888,0.004192171823511428,1.2728042152487886e-05,3.682679572518967e-07,1.535550652152695e-11,2.8631503626499344e-05,0.08523850968356107,0.0038022983023247706,1.7699689429776128e-05,4.899411426069155e-07,7.905025983565961e-12,1.7447519407164482e-06,0.0824437405659293,0.142972561786525,2.264767592737451,0.010542487683716378,0.0002918242425762534,4.7084803042364005e-09,0.0019985064574995744,6.067755689404768e-06,1.7556195729630655e-07,7.320329469640781e-12
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Konnov_2026,completed,0.15792180000062217,0.01,300.0,1816.765196679238,1825.4299455422279,690,707,True,,0.1724193094425222,291572.1257901314,0.003527240868672541,1.0515561651056448e-05,2.9958559889636686e-07,1.3415055310971673e-11,2.453318124705853e-05,0.06739779700111646,0.20793492592845336,0.004453221059907419,1.3276133483581154e-05,3.7823356780064957e-07,1.6936809550271748e-11,3.09736940185327e-05,0.08509123708063975,0.004039210432680877,1.846251093747675e-05,5.032168344339967e-07,8.71938538299044e-12,1.887546467021857e-06,0.08230416095814375,0.14296014010476266,2.3885612234317355,0.010917687614302453,0.0002975740525876372,5.156152709812008e-09,0.00212043148800968,6.3215212312389395e-06,1.8009848516332475e-07,8.064577031701613e-12
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Konnov_2026,completed,0.15397910000319825,0.01,300.0,1825.5064535836048,1833.9917193074336,670,690,True,,0.17158684340949595,292253.10908935935,0.003726179555130476,1.0909788469553298e-05,3.076378542176411e-07,1.4802896363029442e-11,2.6521975337045593e-05,0.06728644646384505,0.20791397934412645,0.004704261226634293,1.3773489475953167e-05,3.883894503817991e-07,1.8688495917112832e-11,3.348370586705282e-05,0.08494840801271765,0.004267067098710407,1.9154858746026505e-05,5.167474400774559e-07,9.621536596929363e-12,2.0405816794685068e-06,0.08216900263330537,0.14294716467143873,2.5052687253375487,0.01124614810233042,0.00030339133896336917,5.648970163432085e-09,0.002237386944617991,6.550789603446181e-06,1.8472135024978454e-07,8.888408777718037e-12
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Konnov_2026,completed,0.15926840000247466,0.01,300.0,1842.8432365877923,1851.1263754252723,640,667,True,,0.16995031722556816,293603.3472678242,0.004101255589974771,1.1588260864176528e-05,3.2419517726646617e-07,1.8032211901056783e-11,3.0930781201338254e-05,0.06707400492807404,0.2078692497683245,0.0051774982713084575,1.4629227385488185e-05,4.0926977922729097e-07,2.2764186210146343e-11,3.904757035665121e-05,0.08467542120850229,0.004696689415340453,2.034652281661101e-05,5.445708912755128e-07,1.1720767546661101e-11,2.3798430604497702e-06,0.08191132934183262,0.1429194764944652,2.718646989126315,0.01177744749608054,0.0003152211873104428,6.784487238373167e-09,0.0024570555635623804,6.942508264526935e-06,1.9422480421113255e-07,1.080306886582016e-11
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Konnov_2026,completed,0.14733239999986836,0.01,300.0,1860.0485372823694,1868.2766291059315,690,663,True,,0.16835068750541196,294938.53932904114,0.004444888885213015,1.2128972817389874e-05,3.413598534781917e-07,2.1959415713345024e-11,3.597299652412984e-05,0.0668756855821826,0.20782050605805874,0.005610961807525379,1.5310889653347686e-05,4.309122567406546e-07,2.7720252646371108e-11,4.5410158681494845e-05,0.08441986455544873,0.005090332463747527,2.129639984971091e-05,5.734169808517403e-07,1.4273749273553662e-11,2.7678610104481546e-06,0.08167106442775696,0.14288932971539162,2.9055577879124357,0.012155968373089316,0.00032730596406043425,8.147444918352257e-09,0.002657299620542966,7.251095741098929e-06,2.0407605961396935e-07,1.3128055289872672e-11
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Konnov_2026,completed,0.15523519999987911,0.01,300.0,1877.1772276529446,1885.4531575327374,670,652,True,,0.1667868267496161,296259.37738032796,0.0047514850619036365,1.2530262774777058e-05,3.591469702122944e-07,2.67157153923759e-11,4.172745985276677e-05,0.06669417421536378,0.20776741836778995,0.005997588551728474,1.581639415657632e-05,4.533352686307802e-07,3.3722060934851244e-11,5.267071920571241e-05,0.08418509382428582,0.005441590289959598,2.200156532521244e-05,6.033114189297265e-07,1.736582113716083e-11,3.2107082368898092e-06,0.0814515025389527,0.14285652326139528,3.0634830362475123,0.012386346371766298,0.000339649661033072,9.776535099006079e-09,0.002835059812918657,7.476408738586815e-06,2.142915591472862e-07,1.59404165425183e-11
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Konnov_2026,completed,0.15226740000071004,0.01,300.0,1894.280917981736,1902.6822351553783,700,651,True,,0.16525765754467284,297566.533913833,0.005008419896051336,1.277315780470644e-05,3.775898389433662e-07,3.245949535890483e-11,4.8286628856454335e-05,0.06653563535229916,0.20770956458879825,0.006321444349447368,1.6121812448836546e-05,4.7658007981302417e-07,4.09691874445742e-11,6.094561627693182e-05,0.08397884459853022,0.005736005232388148,2.2428695480697104e-05,6.343106049564173e-07,2.1100007728513912e-11,3.715507271793034e-06,0.08126019200733314,0.14282080070995604,3.185569210020584,0.01245608378123629,0.0003522730978921043,1.1718178807024122e-08,0.002983216843739152,7.608207838320568e-06,2.249077335645697e-07,1.9334184294392318e-11
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Konnov_2026,completed,0.1440867999990587,0.01,300.0,1928.7273102456795,1937.5713712719273,720,612,True,,0.16229931758362168,300142.399502269,0.005246561250921986,1.2539414814048231e-05,4.1679070409220586e-07,4.774151302353404e-11,6.431904840991948e-05,0.06634981590711729,0.20757681125924599,0.00662090827914733,1.582413916227605e-05,5.259698479476999e-07,6.024749616350887e-11,8.116754951622428e-05,0.0837302805494048,0.006009138677061891,2.2019714247944935e-05,7.002100990067985e-07,3.103599704231312e-11,4.949479303435318e-06,0.08103860017428974,0.14273894316371946,3.2493879844027806,0.011906963500506025,0.00037863234725390554,1.6782437765700077e-08,0.0031183400919465895,7.45291212169192e-06,2.4772324201742157e-07,2.8375590599521654e-11
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,Konnov_2026,completed,0.1540275000006659,0.01,300.0,1943.5480569330023,1951.566686212418,670,641,True,,0.15899394278974485,306807.1923288092,0.004636912014256177,9.182739666824105e-06,3.636804366760137e-07,8.526181622022249e-11,9.602557058057297e-05,0.047871322931964784,0.23538035931897375,0.0060643380938085805,1.2009552433998797e-05,4.756357505440133e-07,1.1150879690231613e-10,0.00012558606328114404,0.06260802153777671,0.005383749214041086,1.6346514663847522e-05,6.193680133516193e-07,5.618787269798072e-11,7.490749697478103e-06,0.059271528190969223,0.16407875392385615,2.789972125601977,0.008471107856200841,0.0003209695370344759,2.911773791680227e-08,0.0024440953069504155,4.840180459674401e-06,1.9169430987189207e-07,4.494111689961468e-11
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,Konnov_2026,completed,0.15009530000315863,0.01,300.0,1952.915560613527,1960.9624356656134,650,634,True,,0.15820812938526557,307504.3833141452,0.004848354526301006,9.432660858224791e-06,3.730382101092346e-07,9.424592522061179e-11,0.00010353548570017958,0.04774826845590159,0.23533652905069627,0.00634050757031971,1.2335702196568202e-05,4.87846254308605e-07,1.2325150710234487e-10,0.00013540006765544037,0.06244350654886618,0.005629366990383495,1.6791764823830146e-05,6.353183194767394e-07,6.21097554457484e-11,8.076753730435938e-06,0.05912042521511427,0.16405168606052384,2.896256669817581,0.008639205962607387,0.00032686533377289227,3.1954888316533984e-08,0.0025525306851968,4.966046965637832e-06,1.963947712341027e-07,4.961799199612394e-11
screen_0011,surrogate_screening,5,0.7,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,Konnov_2026,completed,0.14599280000038561,0.01,300.0,1962.252868868069,1970.3502808582011,640,636,True,,0.1574318655031435,308198.27972146875,0.005053805389975414,9.66144165706105e-06,3.825468555263757e-07,1.0410775680575967e-10,0.00011154390483901323,0.047627719791422725,0.23529080351568535,0.006608793791430589,1.2634138181518809e-05,5.002514122820835e-07,1.3614032273233564e-10,0.00014586447417113175,0.06228213288186817,0.005868043993759634,1.71994164672148e-05,6.515268982978611e-07,6.861040450905863e-11,8.701680106541824e-06,0.058972476489239,0.1640234571211165,2.997476538892387,0.008785695437515754,0.00033280878503671974,3.50471261051428e-08,0.0026576097468787255,5.0805956176382366e-06,2.0116727365508027e-07,5.474642726874231e-11
screen_0012,surrogate_screening,5,0.7,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,Konnov_2026,completed,0.296276900000521,0.01,300.0,1980.855446059935,1989.1040535274076,630,627,True,,0.15590738901346599,309576.6061295281,0.005445142253617468,1.0056778696999158e-05,4.0201849714654686e-07,1.267530466227294e-10,0.0001291646722652929,0.04739489619120381,0.235193392482548,0.007119632858942339,1.3149440130549178e-05,5.256472593136864e-07,1.6573215421630237e-10,0.00016888540317997386,0.06196977866737679,0.006322731410792274,1.7904051846481447e-05,6.84722195491497e-07,8.353836173224036e-11,1.0076777574624265e-05,0.05868698638556919,0.16396334937544985,3.184221695607082,0.009016747134241549,0.0003448362944258823,4.2071163008637164e-08,0.002856952365781381,5.276581648797821e-06,2.1093070539115255e-07,6.650467509425048e-11
screen_0013,surrogate_screening,5,0.7,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,Konnov_2026,completed,0.2949601000000257,0.01,300.0,1999.3890857281845,2007.8366064274483,630,621,True,,0.1544193536319878,310942.99290622055,0.005805350010842071,1.0366883018693201e-05,4.2210423167038263e-07,1.5381580011304932e-10,0.0001491191213558705,0.0471755460903401,0.2350875218968968,0.007589561128926391,1.355303164147865e-05,5.518333714690518e-07,2.0108941155528694e-10,0.000194949259718797,0.06167443654119769,0.006741344046886623,1.8457089202745308e-05,7.189698126529736e-07,1.0137971735039183e-10,1.1634128117318789e-05,0.05841841215016682,0.16389806364356985,3.3478612288428122,0.009166091050893893,0.00035705211657323854,5.034681849017457e-08,0.0030394189310660544,5.4276314854946834e-06,2.2099470147812146e-07,8.053100224578215e-11
screen_0014,surrogate_screening,5,0.7,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Konnov_2026,completed,0.2857554000001983,0.01,300.0,2017.887893570125,2026.5671194648924,640,602,True,,0.15296665300361037,312298.24048559746,0.006123766461322292,1.0581694132011382e-05,4.428244776269373e-07,1.859731051493391e-10,0.000171666497735429,0.04697486822328294,0.2349724620760157,0.008004635333703202,1.3831782004509769e-05,5.788346898316983e-07,2.4309334753361254e-10,0.00022439257311086014,0.061402846165193224,0.007111502807077574,1.884060740394873e-05,7.543054607556019e-07,1.225815059161346e-10,1.3394013603749386e-05,0.05817321491065156,0.16382715708248968,3.4832818159108534,0.009228308973677964,0.00036946599985551905,6.004158925448101e-08,0.0031997465562043654,5.529070968261633e-06,2.3138147188321021e-07,9.717333384717917e-11
screen_0015,surrogate_screening,5,0.7,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Konnov_2026,completed,0.3106837999985146,0.01,300.0,2036.3969230829448,2045.3320318336155,650,591,True,,0.15154823091251912,313643.1292336788,0.006381375231022356,1.0678883740293066e-05,4.642191577518157e-07,2.2393517596331142e-10,0.00019710601853353975,0.0468021592753169,0.23484726989291232,0.008340001910637166,1.3956538766840042e-05,6.067013022182454e-07,2.9266729000884614e-10,0.00025760349637118013,0.06116708133390134,0.007411123765255971,1.9014835483298228e-05,7.907982687681849e-07,1.4761284344684626e-10,1.5379849723527682e-05,0.05796293965560023,0.16375005747425417,3.5809574354216958,0.00918771817392329,0.00038210331255562684,7.132458262036134e-08,0.003328488114605783,5.5700434968980585e-06,2.4213400610540164e-07,1.168032821534336e-10
