design_id,design_role,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,criterion,reactor,flame_reactor_temperature_K,temperature_source_column,status,ignition_delay_s,final_temperature_K,max_temperature_K,integration_steps,converged,failure_reason,runtime_s
screen_0001,surrogate_screening,False,False,MEI_2019,1200.0,5,0.6,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.014603344581349485,2540.398358882967,2540.398358995319,2849,True,,0.1869301999995514
screen_0002,surrogate_screening,False,False,MEI_2019,1200.0,5,0.6,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0014054088435579918,2547.6724873004514,2547.67248735685,2744,True,,0.17746379999971396
screen_0003,surrogate_screening,False,False,MEI_2019,1200.0,5,0.6,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0005650343650621542,2554.904892700453,2554.9048927050353,2642,True,,0.16670929999963846
screen_0004,surrogate_screening,False,False,MEI_2019,1200.0,5,0.6,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0002023052625181693,2569.244313106196,2569.2443131679242,2626,True,,0.1452724999999191
screen_0005,surrogate_screening,False,False,MEI_2019,1200.0,5,0.6,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0001063027677308828,2583.4162678859557,2583.4162679644983,2390,True,,0.12146570000004431
screen_0006,surrogate_screening,False,False,MEI_2019,1200.0,5,0.6,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,6.527938304178161e-05,2597.4205492232454,2597.4205493618924,2351,True,,0.14204849999987346
screen_0007,surrogate_screening,False,False,MEI_2019,1200.0,5,0.6,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,4.388197290982493e-05,2611.257093889686,2611.2570939152574,2247,True,,0.13400869999986753
screen_0008,surrogate_screening,False,False,MEI_2019,1200.0,5,0.6,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,2.4142911011169965e-05,2638.4274395710904,2638.427439638341,2266,True,,0.14992830000028334
screen_0009,surrogate_screening,False,False,MEI_2019,1200.0,5,0.7,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.014686006354386423,2662.9469605042254,2662.9469605584127,2841,True,,0.18917810000039026
screen_0010,surrogate_screening,False,False,MEI_2019,1200.0,5,0.7,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0013207743919598405,2670.2593216426994,2670.2593217034027,2831,True,,0.20134289999987232
screen_0011,surrogate_screening,False,False,MEI_2019,1200.0,5,0.7,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0005246834909021458,2677.5166851238964,2677.5166851238964,2760,True,,0.19478720000006433
screen_0012,surrogate_screening,False,False,MEI_2019,1200.0,5,0.7,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0001889492857011493,2691.86706287281,2691.8670629683015,2455,True,,0.13403339999968011
screen_0013,surrogate_screening,False,False,MEI_2019,1200.0,5,0.7,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00010036614997031985,2705.999535229038,2705.9995352320975,2524,True,,0.16630720000011934
screen_0014,surrogate_screening,False,False,MEI_2019,1200.0,5,0.7,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,6.233429339837882e-05,2719.9157811979294,2719.915781239565,2318,True,,0.15158789999986766
screen_0015,surrogate_screening,False,False,MEI_2019,1200.0,5,0.7,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,4.2348478186843186e-05,2733.6177055627204,2733.6177055737435,2338,True,,0.17916569999943022
screen_0016,surrogate_screening,False,False,MEI_2019,1200.0,5,0.7,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,2.3686734000031802e-05,2760.3872432068897,2760.387243379649,2195,True,,0.1609494000003906
screen_0017,surrogate_screening,False,False,MEI_2019,1200.0,5,0.8,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.014809837754933455,2763.36072200011,2763.360722005941,2833,True,,0.20944910000071104
screen_0018,surrogate_screening,False,False,MEI_2019,1200.0,5,0.8,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0012632110244347465,2770.42913381829,2770.4291338238795,2847,True,,0.1945200999998633
screen_0019,surrogate_screening,False,False,MEI_2019,1200.0,5,0.8,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0004974319850736657,2777.4329196137433,2777.432919618932,2545,True,,0.1510217000004559
screen_0020,surrogate_screening,False,False,MEI_2019,1200.0,5,0.8,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00018009536328650192,2791.249031154762,2791.24903124395,2589,True,,0.1482310999999754
screen_0021,surrogate_screening,False,False,MEI_2019,1200.0,5,0.8,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,9.650102180844233e-05,2804.814009028726,2804.8140090762995,2451,True,,0.17899380000017118
screen_0022,surrogate_screening,False,False,MEI_2019,1200.0,5,0.8,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,6.048221452552669e-05,2818.132966390152,2818.1329664076457,2317,True,,0.21559410000008938
screen_0023,surrogate_screening,False,False,MEI_2019,1200.0,5,0.8,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,4.143753172945568e-05,2831.2111424434543,2831.211142499635,2322,True,,0.23895999999967898
screen_0024,surrogate_screening,False,False,MEI_2019,1200.0,5,0.8,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,2.348074050144188e-05,2856.6665534043555,2856.66655342365,2258,True,,0.18629049999981362
screen_0025,surrogate_screening,False,False,MEI_2019,1200.0,5,0.9,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.01496398127207251,2838.6186869746134,2838.6186869883836,2951,True,,0.2288496999999552
screen_0026,surrogate_screening,False,False,MEI_2019,1200.0,5,0.9,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0012240098268193015,2845.266666020017,2845.266666061356,2836,True,,0.18312220000007073
screen_0027,surrogate_screening,False,False,MEI_2019,1200.0,5,0.9,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00047882465550861287,2851.8509974685344,2851.850997547951,2597,True,,0.1458599999996295
screen_0028,surrogate_screening,False,False,MEI_2019,1200.0,5,0.9,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00017418442148493376,2864.8324946889875,2864.832494751353,2611,True,,0.15154380000058154
screen_0029,surrogate_screening,False,False,MEI_2019,1200.0,5,0.9,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,9.400097743602984e-05,2877.570630589253,2877.5706306375423,2402,True,,0.12394469999981084
screen_0030,surrogate_screening,True,False,MEI_2019,1200.0,5,0.9,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,5.935144960161163e-05,2890.072680702774,2890.072680744078,2487,True,,0.16455280000081984
screen_0031,surrogate_screening,False,False,MEI_2019,1200.0,5,0.9,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,4.0945673522205844e-05,2902.3457350138683,2902.3457350427775,2265,True,,0.13024859999950422
screen_0032,surrogate_screening,False,False,MEI_2019,1200.0,5,0.9,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,2.3445850256439193e-05,2926.232247012169,2926.2322470165,2313,True,,0.15830170000026555
screen_0033,surrogate_screening,False,False,MEI_2019,1200.0,5,1.0,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.015141543151894801,2882.586424735501,2882.5864247396275,2772,True,,0.1646883000003072
screen_0034,surrogate_screening,False,False,MEI_2019,1200.0,5,1.0,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0011979166611345538,2889.0537956114663,2889.0537956833514,2860,True,,0.14047459999983403
screen_0035,surrogate_screening,False,False,MEI_2019,1200.0,5,1.0,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00046622796440576824,2895.4621111100564,2895.46211121638,2706,True,,0.15264829999978247
screen_0036,surrogate_screening,False,False,MEI_2019,1200.0,5,1.0,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0001702986452537965,2908.104879265265,2908.104879272352,2583,True,,0.16005140000015672
screen_0037,surrogate_screening,True,False,MEI_2019,1200.0,5,1.0,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,9.244735408133351e-05,2920.521241115224,2920.521241167093,2468,True,,0.13524559999950725
screen_0038,surrogate_screening,True,False,MEI_2019,1200.0,5,1.0,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,5.872816895757858e-05,2932.7175563744927,2932.7175564050217,2290,True,,0.11500179999984539
screen_0039,surrogate_screening,True,False,MEI_2019,1200.0,5,1.0,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,4.074744000116211e-05,2944.7000297802133,2944.700029807704,2301,True,,0.12020579999989423
