design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0001,training,True,MEI_2019,300,1,1.1,0.2,completed,0.1594373005091944,2046.9649275911925,170,multicomponent,True,,16.84683799999948
map_0002,training,True,MEI_2019,300,1,0.6,0.7,completed,0.3075082913626976,1646.0555050975256,177,multicomponent,True,,12.21231760000046
map_0003,training,True,MEI_2019,300,10,1.4,0.1,completed,0.0503671024191603,1913.1496777900848,179,multicomponent,True,,35.77767740000036
map_0004,training,True,MEI_2019,300,1,1.4,0.7,completed,0.9372499446942828,1966.7855411190303,204,multicomponent,True,,8.586701899999753
map_0005,training,True,MEI_2019,300,5,0.7,0.0,completed,0.0149494829509351,1726.4558884148282,183,multicomponent,True,,13.45117830000072
map_0006,training,True,MEI_2019,300,5,0.9,0.5,completed,0.2223246715313427,2048.231048717379,204,multicomponent,True,,15.901047099999232
map_0007,training,True,MEI_2019,300,1,0.6,0.2,completed,0.0398984663613175,1607.8885696784628,172,multicomponent,True,,9.839301199999682
map_0008,training,True,MEI_2019,300,5,1.4,0.5,completed,0.2362393073751508,1977.936093651422,181,multicomponent,True,,26.05526289999944
map_0009,training,True,MEI_2019,450,1,0.9,0.5,completed,0.9495656969044628,2127.3220086066585,180,multicomponent,True,,4.819123199999922
map_0010,training,True,MEI_2019,450,1,1.4,0.0,completed,0.142826177156489,1964.1312464328423,143,multicomponent,True,,3.1830434999992576
map_0011,training,True,MEI_2019,450,5,1.1,0.0,completed,0.1315378416232548,2132.627937009485,170,multicomponent,True,,6.972627500000272
map_0012,training,True,MEI_2019,450,1,1.4,0.4,completed,0.5590494044918559,2037.9643232575725,159,multicomponent,True,,3.4214718000002904
map_0013,training,True,MEI_2019,450,1,0.8,0.0,completed,0.0933895250595336,1952.9257728479893,190,multicomponent,True,,10.556787800000166
map_0014,training,True,MEI_2019,300,1,1.0,0.7,completed,0.8571424148234091,2128.164730685338,197,multicomponent,True,,8.711675199999263
map_0015,training,True,MEI_2019,300,5,1.0,0.2,completed,0.0854441988575933,2107.0598576360444,195,multicomponent,True,,9.802408499999729
map_0016,training,True,MEI_2019,450,1,1.1,0.05,completed,0.2002881601349106,2122.441433163817,149,multicomponent,True,,3.631221100000402
map_0017,training,True,MEI_2019,300,1,0.8,0.4,completed,0.256328570796506,1895.563432027918,168,multicomponent,True,,12.581680000000231
map_0018,training,True,MEI_2019,300,5,0.7,0.3,completed,0.0550036228255099,1768.594114222768,200,multicomponent,True,,38.41833029999998
map_0019,training,True,MEI_2019,300,1,1.2,0.5,completed,0.5302843801758573,2022.892277639181,191,multicomponent,True,,8.320421800000076
map_0020,training,True,MEI_2019,300,1,1.4,0.2,completed,0.1274830789975979,1905.8156773036856,149,multicomponent,True,,4.112107400000241
map_0021,training,True,MEI_2019,300,10,1.2,0.3,completed,0.1119346562861667,2044.13320710278,186,multicomponent,True,,53.3352332000004
map_0022,training,True,MEI_2019,450,1,1.1,0.3,completed,0.4896347597350549,2148.46591726426,169,multicomponent,True,,4.299064599999838
map_0023,training,True,MEI_2019,300,1,0.9,0.0,completed,0.0518504806865372,1964.9515920499648,186,multicomponent,True,,35.327728400000524
map_0024,training,True,MEI_2019,300,5,1.2,0.0,completed,0.0562402947921385,1974.9890053340728,161,multicomponent,True,,8.317307899999832
map_0025,training,True,MEI_2019,450,5,1.0,0.2,completed,0.194393027405199,2205.2046834247544,209,multicomponent,True,,7.596579799999745
map_0026,training,True,MEI_2019,300,1,1.2,0.0,completed,0.0802107498419463,1966.6173612367693,152,multicomponent,True,,7.075149400000555
map_0027,training,True,MEI_2019,450,1,0.8,0.3,completed,0.3575101543684297,1987.337998730464,162,multicomponent,True,,6.654347300000154
map_0028,training,True,MEI_2019,300,5,1.3,0.2,completed,0.0916619950231051,1968.589152698621,184,multicomponent,True,,12.476824400000623
map_0029,training,True,MEI_2019,300,10,1.1,0.1,completed,0.0661458216636991,2054.569379187173,203,multicomponent,True,,172.01131470000018
map_0030,training,True,MEI_2019,300,5,1.1,0.4,completed,0.2012197935178195,2111.8347554276443,196,multicomponent,True,,11.574803400000746
map_0031,training,True,MEI_2019,450,1,1.2,0.5,completed,1.0649678526212631,2118.598032123844,184,multicomponent,True,,5.813308299999335
map_0032,training,True,MEI_2019,450,5,1.3,0.1,completed,0.1554742403948354,2046.6849522390128,173,multicomponent,True,,5.41703840000082
map_0033,training,True,MEI_2019,450,1,1.3,0.2,completed,0.2963554674584743,2055.348384745837,149,multicomponent,True,,5.310317100000248
map_0034,training,True,MEI_2019,300,1,0.6,0.0,completed,0.010645254338234,1583.1421361549726,184,multicomponent,True,,13.554763099999946
map_0035,training,True,MEI_2019,300,1,1.4,0.4,completed,0.2688321118640732,1938.660413019637,162,multicomponent,True,,7.338001900000563
map_0036,training,True,MEI_2019,300,1,0.6,0.5,completed,0.1882531383515112,1631.046795216787,166,multicomponent,True,,13.603437600000689
map_0037,training,True,MEI_2019,300,1,0.8,0.2,completed,0.094715909917263,1876.961252469948,181,multicomponent,True,,10.298369799999818
map_0038,training,True,MEI_2019,300,5,0.9,0.0,completed,0.0360065166466684,1972.6852216167747,195,multicomponent,True,,44.51220060000014
map_0039,training,True,MEI_2019,450,5,0.9,0.0,completed,0.0874120176548434,2074.8851600208427,196,multicomponent,True,,16.124149999999645
map_0040,training,True,MEI_2019,300,1,0.8,0.7,completed,0.608325788811263,1940.3018411085463,186,multicomponent,True,,12.56639020000057
map_0041,training,True,MEI_2019,300,1,1.0,0.4,completed,0.3576289735208554,2093.346905860861,169,multicomponent,True,,9.472878800000217
map_0042,training,True,MEI_2019,300,1,1.4,0.0,completed,0.0622864167798197,1868.962464919319,159,multicomponent,True,,5.885518500000217
map_0043,training,True,MEI_2019,300,5,1.4,0.0,completed,0.0426266286102479,1882.855442440546,172,multicomponent,True,,6.483346500000152
map_0044,training,True,MEI_2019,300,10,1.4,0.3,completed,0.0928283142970313,1953.0460569247173,179,multicomponent,True,,10.727207399999315
map_0045,training,True,MEI_2019,300,1,1.2,0.7,completed,0.978601605803142,2046.9923754268464,198,multicomponent,True,,9.802986400000009
map_0046,training,True,MEI_2019,450,5,1.2,0.2,completed,0.2224301429588648,2118.883983111429,175,multicomponent,True,,5.768250699999953
map_0047,training,True,MEI_2019,300,5,0.8,0.2,completed,0.0547809605788837,1887.1578330223072,195,multicomponent,True,,39.14504240000042
map_0048,training,True,MEI_2019,450,1,1.0,0.2,completed,0.3075377870053707,2167.2731410878964,173,multicomponent,True,,4.527128099999572
map_0049,training,True,MEI_2019,300,1,1.0,0.1,completed,0.0954534350589492,2068.833955483673,166,multicomponent,True,,6.260395500000413
map_0050,training,True,MEI_2019,450,1,0.9,0.1,completed,0.1755971184333166,2076.5590643274622,174,multicomponent,True,,8.926659199999449
map_0051,training,True,MEI_2019,300,1,0.7,0.1,completed,0.0386938555338141,1737.8847461927692,177,multicomponent,True,,10.408691099999489
map_0052,training,True,MEI_2019,300,1,0.7,0.3,completed,0.1188654019052153,1757.7677054193412,183,multicomponent,True,,12.3847238999997
map_0053,training,True,MEI_2019,300,1,0.9,0.3,completed,0.1958149242646005,2002.4492446903323,165,multicomponent,True,,6.856766199999584
map_0054,training,True,MEI_2019,300,5,0.9,0.3,completed,0.1014334894736655,2021.5732680507488,217,multicomponent,True,,17.90090380000038
map_0055,training,True,MEI_2019,300,1,0.9,0.5,completed,0.4460426450517376,2027.0218512596407,194,multicomponent,True,,11.2066834999996
map_0056,training,True,MEI_2019,300,1,1.3,0.1,completed,0.1006997967362475,1936.7596009342024,149,multicomponent,True,,5.96968089999973
map_0057,training,True,MEI_2019,300,5,0.8,0.4,completed,0.1204110418050984,1915.032792479541,192,multicomponent,True,,15.219372099999418
map_0058,training,True,MEI_2019,450,1,1.0,0.4,completed,0.738957135575091,2180.864524408868,181,multicomponent,True,,6.238863199999287
map_0059,training,True,MEI_2019,300,1,1.3,0.3,completed,0.2032730365809162,1971.8601046045767,165,multicomponent,True,,6.068890900000042
map_0060,training,True,MEI_2019,300,5,1.4,0.3,completed,0.114628549355624,1944.0312087919503,176,multicomponent,True,,35.617188299999725
map_0061,training,True,MEI_2019,300,10,1.3,0.2,completed,0.0764175848896698,1975.4639212764816,176,multicomponent,True,,25.6387507999998
map_0062,training,True,MEI_2019,300,5,1.1,0.1,completed,0.0772531530124041,2050.743562820348,180,multicomponent,True,,8.99705670000003
map_0063,training,True,MEI_2019,300,5,1.2,0.3,completed,0.1386599992271163,2039.642434673876,173,multicomponent,True,,62.92267779999929
map_0064,training,True,MEI_2019,300,5,1.3,0.4,completed,0.1798220136867762,2007.507473382328,169,multicomponent,True,,30.22622010000032
map_0065,training,True,MEI_2019,300,5,1.2,0.5,completed,0.2878392721389763,2077.9350706105665,192,multicomponent,True,,21.512990000000173
map_0066,training,True,MEI_2019,450,1,1.0,0.0,completed,0.1509943076705523,2145.0042478742484,164,multicomponent,True,,7.933650400000261
map_0067,training,True,MEI_2019,300,1,0.8,0.05,completed,0.0464050831978343,1857.772945465178,181,multicomponent,True,,13.757884499999818
map_0068,training,True,MEI_2019,300,5,0.8,0.05,completed,0.0310307738940056,1863.8217828832524,196,multicomponent,True,,10.774605800000243
map_0069,training,True,MEI_2019,300,5,1.0,0.05,completed,0.0534627131687316,2082.539599492639,200,multicomponent,True,,9.590734800000064
map_0070,training,True,MEI_2019,450,5,1.0,0.05,completed,0.1238842887020904,2178.0434666103574,182,multicomponent,True,,9.59112399999958
map_0071,training,True,MEI_2019,300,5,1.3,0.05,completed,0.0579179197140044,1937.783846258544,171,multicomponent,True,,63.30144259999997
map_0072,training,True,MEI_2019,450,1,1.3,0.05,completed,0.1856108653450582,2023.455499788364,146,multicomponent,True,,3.3926455999999234
map_0073,training,False,MEI_2019,600,5,1.0,0.3,completed,0.5228339154167743,2316.6579666301373,190,multicomponent,True,,7.380421900000329
map_0074,training,False,MEI_2019,300,20,0.6,0.7,completed,0.0564261319699152,1678.3677618833883,183,multicomponent,True,,26.69600840000021
map_0075,training,False,MEI_2019,300,20,1.4,0.0,completed,0.0318419166147027,1894.86894713788,167,multicomponent,True,,7.15634240000054
map_0076,training,False,MEI_2019,300,10,1.4,0.7,completed,0.3973293889095166,2032.720282505808,190,multicomponent,True,,87.55088119999982
map_0077,training,False,MEI_2019,300,20,0.6,0.0,completed,0.0057448012088802,1584.2028392576167,169,multicomponent,True,,11.32607520000056
map_0078,training,False,MEI_2019,750,1,0.6,0.7,completed,3.322756013496314,2014.5070764905847,195,multicomponent,True,,6.567397800000435
map_0079,training,False,MEI_2019,750,1,1.4,0.7,completed,5.392008481561716,2310.9406790495027,201,multicomponent,True,,7.807715800000551
map_0080,training,False,MEI_2019,750,20,0.6,0.7,completed,0.8871200628307759,2014.3257409318949,190,multicomponent,True,,11.317303100000572
map_0081,training,False,MEI_2019,750,20,1.4,0.7,completed,2.246879212031937,2382.3065551121235,199,multicomponent,True,,15.632941999999275
map_0082,training,False,MEI_2019,750,1,0.6,0.0,completed,0.2067239535580086,1923.535063918652,180,multicomponent,True,,9.51680540000052
map_0083,training,False,MEI_2019,750,1,1.4,0.0,completed,0.4933720341774347,2165.559386289108,151,multicomponent,True,,3.5814707999998063
map_0084,training,False,MEI_2019,750,20,0.6,0.0,completed,0.1174136044770631,1934.759607208272,182,multicomponent,True,,12.256470500000432
map_0085,training,False,MEI_2019,750,20,1.4,0.0,completed,0.316960811683631,2189.0719018447267,184,multicomponent,True,,7.79121430000032
map_0086,training,False,MEI_2019,450,1,1.0,0.7,completed,1.75286802945635,2217.323377597762,179,multicomponent,True,,6.537971499999912
map_0087,training,False,MEI_2019,450,1,0.6,0.3,completed,0.196143919034239,1721.2905281403712,174,multicomponent,True,,8.533611599999858
map_0088,training,False,MEI_2019,300,10,1.0,0.3,completed,0.096052963414301,2134.2229703378607,213,multicomponent,True,,48.47356450000007
map_0089,training,False,MEI_2019,750,5,1.0,0.7,completed,3.725190403686791,2484.61495064994,191,multicomponent,True,,11.246998799999346
map_0090,training,False,MEI_2019,750,1,1.0,0.4,completed,2.195939742987969,2363.491273380466,177,multicomponent,True,,6.644933900000069
map_0091,training,False,MEI_2019,750,5,0.6,0.4,completed,0.69553958863832,1974.0278268335696,182,multicomponent,True,,7.303385199999866
map_0092,training,False,MEI_2019,450,5,1.4,0.2,completed,0.1899154255621183,2024.5823854783887,177,multicomponent,True,,7.038606799999798
