design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0001,training,True,NUIG_2024,300,1,1.1,0.2,completed,0.1804396953052037,2053.033644250307,189,multicomponent,True,,12.92341839999972
map_0002,training,True,NUIG_2024,300,1,0.6,0.7,completed,0.2871272429507291,1651.695114618563,184,multicomponent,True,,15.658924199999092
map_0003,training,True,NUIG_2024,300,10,1.4,0.1,completed,0.0438656052747483,1921.653236825642,181,multicomponent,True,,22.3170695000008
map_0004,training,True,NUIG_2024,300,1,1.4,0.7,completed,0.9590693273314038,1980.7612636791189,204,multicomponent,True,,15.116794600000503
map_0005,training,True,NUIG_2024,300,5,0.7,0.0,completed,0.0132998311310158,1727.6219195766855,173,multicomponent,True,,49.015843099999984
map_0006,training,True,NUIG_2024,300,5,0.9,0.5,completed,0.2084510532680515,2055.124060607851,204,multicomponent,True,,36.06701989999965
map_0007,training,True,NUIG_2024,300,1,0.6,0.2,completed,0.046947425059669,1606.2654561547413,173,multicomponent,True,,26.85856270000113
map_0008,training,True,NUIG_2024,300,5,1.4,0.5,completed,0.2454090278786795,1978.2197640921463,194,multicomponent,True,,25.94180990000132
map_0009,training,True,NUIG_2024,450,1,0.9,0.5,completed,0.9184774280682608,2134.135195448209,182,multicomponent,True,,8.916870500001096
map_0010,training,True,NUIG_2024,450,1,1.4,0.0,completed,0.1472328932396985,1970.9884023939835,159,multicomponent,True,,5.675582299998496
map_0011,training,True,NUIG_2024,450,5,1.1,0.0,completed,0.1289005994577584,2137.0633602123767,174,multicomponent,True,,11.0850765999985
map_0012,training,True,NUIG_2024,450,1,1.4,0.4,completed,0.6164423923091706,2038.836853938545,179,multicomponent,True,,7.176878899999792
map_0013,training,True,NUIG_2024,450,1,0.8,0.0,completed,0.1038047575807902,1953.799809404031,171,multicomponent,True,,16.823645899999974
map_0014,training,True,NUIG_2024,300,1,1.0,0.7,completed,0.8251363962804078,2145.5131861776185,191,multicomponent,True,,20.16460879999977
map_0015,training,True,NUIG_2024,300,5,1.0,0.2,completed,0.0853579946508041,2111.7130555740946,196,multicomponent,True,,18.922906699999658
map_0016,training,True,NUIG_2024,450,1,1.1,0.05,completed,0.2117611384592649,2129.938270112497,166,multicomponent,True,,5.872952499999883
map_0017,training,True,NUIG_2024,300,1,0.8,0.4,completed,0.2537583449097461,1901.9204401088875,186,multicomponent,True,,19.22836450000068
map_0018,training,True,NUIG_2024,300,5,0.7,0.3,completed,0.0507896549268247,1771.8534676310935,181,multicomponent,True,,32.13053050000053
map_0019,training,True,NUIG_2024,300,1,1.2,0.5,completed,0.5586083299714617,2039.21182279968,190,multicomponent,True,,20.24522419999994
map_0020,training,True,NUIG_2024,300,1,1.4,0.2,completed,0.1394042630803112,1905.8707870005128,165,multicomponent,True,,9.755581600000369
map_0021,training,True,NUIG_2024,300,10,1.2,0.3,completed,0.1044703208867907,2048.675858797524,185,multicomponent,True,,40.88857470000039
map_0022,training,True,NUIG_2024,450,1,1.1,0.3,completed,0.5510397614100071,2158.7147187858923,179,multicomponent,True,,5.960209799999575
map_0023,training,True,NUIG_2024,300,1,0.9,0.0,completed,0.056485413116441,1966.6043717664884,172,multicomponent,True,,36.97222359999978
map_0024,training,True,NUIG_2024,300,5,1.2,0.0,completed,0.0555505669103977,1980.3356868011008,161,multicomponent,True,,33.08896910000112
map_0025,training,True,NUIG_2024,450,5,1.0,0.2,completed,0.1922066431883222,2210.5056780128525,211,multicomponent,True,,27.043899800000872
map_0026,training,True,NUIG_2024,300,1,1.2,0.0,completed,0.0860570395782166,1970.566477638592,166,multicomponent,True,,9.306608500000948
map_0027,training,True,NUIG_2024,450,1,0.8,0.3,completed,0.3873576833951717,1991.5684530795231,170,multicomponent,True,,16.119642999999996
map_0028,training,True,NUIG_2024,300,5,1.3,0.2,completed,0.0939265076931435,1970.356132584724,192,multicomponent,True,,48.35537409999961
map_0029,training,True,NUIG_2024,300,10,1.1,0.1,completed,0.0593156365167366,2059.122861674712,176,multicomponent,True,,49.98885829999927
map_0030,training,True,NUIG_2024,300,5,1.1,0.4,completed,0.2100626279464517,2109.205264584198,204,multicomponent,True,,42.6040782
