design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,NUIG_2024,completed,0.1365088000002288,0.01,300.0,1808.041040535302,1816.13950985807,580,686,True,,0.17319811821838865,290805.35033002653,0.003914260441788976,1.2050826018327964e-05,2.3757743359259856e-07,1.3127033340107664e-11,2.256101281851675e-05,0.06730697792544237,0.2079570938498341,0.0049419803035858,1.521486516040232e-05,2.999552571556717e-07,1.657363917810138e-11,2.8484584159938595e-05,0.08497895430008615,0.004482353905354231,2.1157783612571547e-05,3.990565816879344e-07,8.532082710577413e-12,1.7357910298900488e-06,0.08219232108519024,0.14297375576398214,2.669604464688005,0.012601172238442421,0.00023767048622927797,5.081545674034579e-09,0.0023510270879111344,7.238102528467557e-06,1.4269642762895138e-07,7.884506262542024e-12
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,NUIG_2024,completed,0.13920619999998962,0.01,300.0,1816.7317330756607,1824.4645639372304,590,678,True,,0.17235710454125525,291490.1518708038,0.004220975951949736,1.2756012264652763e-05,2.444741813035842e-07,1.4580696880024772e-11,2.436630193110645e-05,0.0671447358601805,0.20793777555648382,0.005329096403903484,1.6104810797680487e-05,3.086552719710196e-07,1.8408524519988085e-11,3.0763115799678017e-05,0.08477204667518991,0.00483362795193704,2.2396089777705984e-05,4.106446875797887e-07,9.476995337845615e-12,1.8747026174599292e-06,0.08199493772233939,0.14296176350548892,2.858107256381006,0.013242729342164255,0.00024281276362939091,5.60371410731579e-09,0.0025309656918215693,7.648711997844558e-06,1.4659068719160187e-07,8.742822509838347e-12
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,NUIG_2024,completed,0.13005199999997785,0.01,300.0,1825.2911757056002,1832.8064248716632,580,672,True,,0.171525717916152,292170.8883011169,0.004514836456024738,1.3395318799191337e-05,2.51524961002903e-07,1.6188950596554805e-11,2.6300773536229603e-05,0.06698864961587603,0.20791757347112086,0.005699957863994005,1.691152126413569e-05,3.175489729082286e-07,2.0438467076588472e-11,3.320459166287371e-05,0.08457282647897962,0.005170189829689826,2.351876160244996e-05,4.2249193499068137e-07,1.0522409703193219e-11,2.023556852093406e-06,0.08180510721430799,0.14294923165703421,3.035280234307126,0.01380723620965778,0.0002480337205545739,6.177425441127364e-09,0.002702765838515436,8.018985936504004e-06,1.505731334355223e-07,9.691368238908068e-12
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,NUIG_2024,completed,0.13689419999991514,0.01,300.0,1842.1882392876248,1849.5405723439878,610,683,True,,0.16989122319972433,293520.5301507094,0.005063504031911067,1.4487756296901179e-05,2.6605494063506984e-07,1.992983767987783e-11,3.058984737323824e-05,0.06669513276659479,0.20787437924892901,0.006392299275852227,1.828972061674296e-05,3.358746815723548e-07,2.515994579367465e-11,3.861741947474672e-05,0.08419767145437912,0.00579861837370296,2.543732444270074e-05,4.469074168596432e-07,1.2954157493050822e-11,2.353602410280509e-06,0.08144834007105334,0.142922463733286,3.356270744915085,0.014723256878419175,0.0002586723581765457,7.497934338311088e-09,0.0030219440748448668,8.646421336548841e-06,1.5878394613066112e-07,1.1894303729150181e-11
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,NUIG_2024,completed,0.14021089999960168,0.01,300.0,1858.9384510490015,1866.3458593303403,610,671,True,,0.16829346313371782,294854.991315446,0.005557520630896163,1.534483991056906e-05,2.8109780646139375e-07,2.4480962246630577e-11,3.5498597860351454e-05,0.06642768415115766,0.20782720841211855,0.007015540914699072,1.937057176605484e-05,3.548440560523967e-07,3.0903563599501294e-11,4.4811685325869135e-05,0.08385504381942453,0.006364499850089225,2.6942785217066417e-05,4.721864502473167e-07,1.5912694504500245e-11,2.7313466310269245e-06,0.08112356697188378,0.14289326598606322,3.6326457154650638,0.015378049428361552,0.00026950838648657143,9.082438977898147e-09,0.0033074997714649555,9.132319584244071e-06,1.6729239392502963e-07,1.456958640618058e-11
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,NUIG_2024,completed,0.13581310000017766,0.01,300.0,1875.645174506638,1883.2397259080672,630,643,True,,0.16673131943364233,296174.9667944436,0.005988045102325794,1.5965636136657325e-05,2.965697159769388e-07,2.9990915876243005e-11,4.110880498255851e-05,0.06619059922061075,0.20777568401897414,0.00755852222853156,2.015292362856445e-05,3.7435068577728657e-07,3.785659600602477e-11,5.189036003225011e-05,0.08355032518617625,0.006857709865345727,2.8033492165546545e-05,4.981885163159755e-07,1.9494666812292752e-11,3.1630883261526926e-06,0.08083605043656211,0.14286140815492762,3.8605390135343796,0.015781418624546423,0.00028045458922833433,1.0974497793355666e-08,0.0035548343361207413,9.478083509183236e-06,1.7606016511113426e-07,1.7804264281036938e-11
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,NUIG_2024,completed,0.1382328000004236,0.01,300.0,1892.38847796677,1900.2626677008018,640,629,True,,0.16520372354376597,297481.13229291176,0.0063357773221600225,1.632318706858677e-05,3.123537804960843e-07,3.6624257070658085e-11,4.7519749966875233e-05,0.06599337509694013,0.20771929534242317,0.007996884544725018,2.0602782539859582e-05,3.94246355691678e-07,4.622636504379728e-11,5.997842644345761e-05,0.08329544656203942,0.007256144770240475,2.8662094379727108e-05,5.247176433913947e-07,2.3807122222127972e-11,3.6564749588882035e-06,0.08059741316161362,0.1428265796431266,4.029640889749007,0.0159172606329581,0.0002913976689184259,1.3221091393737416e-08,0.003753373885311428,9.670009053821883e-06,1.8504130796891826e-07,2.169655325119214e-11
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,NUIG_2024,completed,0.13092349999988073,0.01,300.0,1926.428721515332,1935.1011476019867,640,585,True,,0.16224813277194333,300054.64484977815,0.006594503833961051,1.589384270635542e-05,3.440487507232873e-07,5.3902273950657206e-11,6.331638474491417e-05,0.06581168838746722,0.2075883598869147,0.008322068354548587,2.0057558346930903e-05,4.341793246174274e-07,6.802307187583059e-11,7.990340063136663e-05,0.083052399858835,0.007552947339703242,2.7910021591353663e-05,5.779991287073075e-07,3.5040755610880035e-11,4.8722870182508675e-06,0.08038075728901875,0.14274584993844117,4.084094760156731,0.015091747341851227,0.000312540668795583,1.8947539277819267e-08,0.0038984627922091426,9.395938796313273e-06,2.033907761935643e-07,3.1865325231888e-11
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,NUIG_2024,completed,0.1309741000000031,0.01,300.0,1943.3828736862454,1950.0982389224391,610,648,True,,0.15893164409418983,306712.87919069274,0.005624032961879354,1.1202363809616573e-05,2.9838798103593203e-07,9.691891137218458e-11,9.531118580518346e-05,0.0474800299248108,0.23538835619359932,0.007355411086707642,1.4651050504343362e-05,3.902477596999343e-07,1.267557356172363e-10,0.0001246530661378683,0.06209692241730067,0.006529828155293493,1.9941622819713332e-05,5.081689057661068e-07,6.386963968506651e-11,7.434986605092348e-06,0.058786771230261006,0.1640835457721474,3.3836085628738664,0.010333295781403327,0.00026332157907441267,3.309579587800748e-08,0.0029541195545848735,5.884233291638401e-06,1.5673339320841918e-07,5.090831672472523e-11
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,NUIG_2024,completed,0.1400536999999531,0.01,300.0,1952.5073626842366,1959.2845893410138,620,645,True,,0.1581469302261578,307409.91899725597,0.005929842984909877,1.1597155715707978e-05,3.067215741642237e-07,1.0774763831441159e-10,0.00010265750627793184,0.04731284936050904,0.2353459956516042,0.007754936155683937,1.5166540225720205e-05,4.0112465562198707e-07,1.4091031721756213e-10,0.0001342535391093806,0.06187484678227371,0.006885032091565856,2.0644824415933545e-05,5.223720917460506e-07,7.100723124864866e-11,8.008218388972097e-06,0.0585809766390332,0.16405737176526564,3.542002461538797,0.010620723030303602,0.0002687341482504088,3.652964641629839e-08,0.0031098777005740827,6.082072669064717e-06,1.608586578440063e-07,5.6507731914018437e-11
