design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0001,training,True,Otomo_2018,300,1,1.1,0.2,completed,0.1322747426529851,2058.6418995615304,187,multicomponent,True,,4.115175400000226
map_0002,training,True,Otomo_2018,300,1,0.6,0.7,completed,0.3016577867345159,1654.313892457844,184,multicomponent,True,,10.2183741000008
map_0003,training,True,Otomo_2018,300,10,1.4,0.1,completed,0.0445948761073343,1917.9386303756264,184,multicomponent,True,,6.689755100000184
map_0004,training,True,Otomo_2018,300,1,1.4,0.7,completed,0.9575110976560424,1973.3320591015383,203,multicomponent,True,,12.641279100000247
map_0005,training,True,Otomo_2018,300,5,0.7,0.0,completed,0.0170801891591781,1728.5976544189907,191,multicomponent,True,,21.77047090000088
map_0006,training,True,Otomo_2018,300,5,0.9,0.5,completed,0.2077449662063839,2054.2903925747232,213,multicomponent,True,,13.913922400000956
map_0007,training,True,Otomo_2018,300,1,0.6,0.2,completed,0.0397876300635372,1609.5733145533677,179,multicomponent,True,,11.498367099999086
map_0008,training,True,Otomo_2018,300,5,1.4,0.5,completed,0.2010141683944332,1972.162152324729,183,multicomponent,True,,5.81496899999911
map_0009,training,True,Otomo_2018,450,1,0.9,0.5,completed,0.8893217629808218,2132.992076982708,189,multicomponent,True,,6.163393800001359
map_0010,training,True,Otomo_2018,450,1,1.4,0.0,completed,0.1194034365647645,1968.413475251884,153,multicomponent,True,,3.157958800000415
map_0011,training,True,Otomo_2018,450,5,1.1,0.0,completed,0.1239064114432605,2134.1183472249995,164,multicomponent,True,,4.396061499999632
map_0012,training,True,Otomo_2018,450,1,1.4,0.4,completed,0.4392844598530612,2040.674764817072,171,multicomponent,True,,3.5195566000002145
map_0013,training,True,Otomo_2018,450,1,0.8,0.0,completed,0.1048910532646186,1954.6040966054657,186,multicomponent,True,,8.930666299998848
map_0014,training,True,Otomo_2018,300,1,1.0,0.7,completed,0.8524617372947174,2135.066458177588,203,multicomponent,True,,11.442195300000094
map_0015,training,True,Otomo_2018,300,5,1.0,0.2,completed,0.0832972346599014,2112.910079559781,211,multicomponent,True,,6.890695899999628
map_0016,training,True,Otomo_2018,450,1,1.1,0.05,completed,0.1758969802659121,2132.9974684651083,159,multicomponent,True,,5.794744200000423
map_0017,training,True,Otomo_2018,300,1,0.8,0.4,completed,0.2254453548953228,1899.636629060446,192,multicomponent,True,,9.237473899998804
map_0018,training,True,Otomo_2018,300,5,0.7,0.3,completed,0.0559119122814839,1772.87496565605,194,multicomponent,True,,12.032277299998896
map_0019,training,True,Otomo_2018,300,1,1.2,0.5,completed,0.5050853993822391,2036.5066064679947,196,multicomponent,True,,6.5053941999995
map_0020,training,True,Otomo_2018,300,1,1.4,0.2,completed,0.0982873146080386,1908.90294209176,152,multicomponent,True,,2.98407109999971
map_0021,training,True,Otomo_2018,300,10,1.2,0.3,completed,0.0996000130542655,2044.800975823408,188,multicomponent,True,,8.13284829999975
map_0022,training,True,Otomo_2018,450,1,1.1,0.3,completed,0.4220669601539939,2167.322777133413,171,multicomponent,True,,3.916519200000039
map_0023,training,True,Otomo_2018,300,1,0.9,0.0,completed,0.0553379120889665,1968.8566490704889,192,multicomponent,True,,10.07863550000002
map_0024,training,True,Otomo_2018,300,5,1.2,0.0,completed,0.0522767733830753,1977.0707499304583,171,multicomponent,True,,4.383297100001073
map_0025,training,True,Otomo_2018,450,5,1.0,0.2,completed,0.1875659563645389,2211.174637424977,209,multicomponent,True,,8.495521799999551
map_0026,training,True,Otomo_2018,300,1,1.2,0.0,completed,0.0690939788805859,1969.203981764088,161,multicomponent,True,,4.259782899998754
map_0027,training,True,Otomo_2018,450,1,0.8,0.3,completed,0.3187723602731728,1990.8587466141007,165,multicomponent,True,,9.264256300000852
map_0028,training,True,Otomo_2018,300,5,1.3,0.2,completed,0.080238617189733,1967.4131297133977,184,multicomponent,True,,5.510459599998285
map_0029,training,True,Otomo_2018,300,10,1.1,0.1,completed,0.061452601827835,2056.578822252332,189,multicomponent,True,,6.863979200001268
map_0030,training,True,Otomo_2018,300,5,1.1,0.4,completed,0.184002123781879,2116.216248941126,186,multicomponent,True,,6.303805500001545
map_0031,training,True,Otomo_2018,450,1,1.2,0.5,completed,1.0177648657901113,2134.7732143947337,194,multicomponent,True,,4.26030130000072
map_0032,training,True,Otomo_2018,450,5,1.3,0.1,completed,0.1383737097681905,2047.7783657802004,166,multicomponent,True,,3.928382699999929
map_0033,training,True,Otomo_2018,450,1,1.3,0.2,completed,0.2355910313895018,2056.8677420533218,163,multicomponent,True,,3.084257099999377
map_0034,training,True,Otomo_2018,300,1,0.6,0.0,completed,0.0121961510460313,1584.9506380199496,183,multicomponent,True,,14.531474100000196
map_0035,training,True,Otomo_2018,300,1,1.4,0.4,completed,0.2053387990880993,1938.142462196161,181,multicomponent,True,,4.486814100000629
map_0036,training,True,Otomo_2018,300,1,0.6,0.5,completed,0.171053826233388,1631.8122025842847,177,multicomponent,True,,11.682498699999996
map_0037,training,True,Otomo_2018,300,1,0.8,0.2,completed,0.0904535785899915,1880.400868664684,174,multicomponent,True,,9.881603499999985
map_0038,training,True,Otomo_2018,300,5,0.9,0.0,completed,0.0397557417550534,1975.8683299737088,207,multicomponent,True,,16.17701600000146
map_0039,training,True,Otomo_2018,450,5,0.9,0.0,completed,0.0944045352091887,2076.9823333521967,196,multicomponent,True,,14.555478700000094
map_0040,training,True,Otomo_2018,300,1,0.8,0.7,completed,0.5889957352005574,1938.186681740867,186,multicomponent,True,,9.541159200000038
map_0041,training,True,Otomo_2018,300,1,1.0,0.4,completed,0.3166582303570731,2109.53036168967,195,multicomponent,True,,7.0896905999998125
map_0042,training,True,Otomo_2018,300,1,1.4,0.0,completed,0.0530178009877723,1874.5795036160664,162,multicomponent,True,,3.824233299999833
map_0043,training,True,Otomo_2018,300,5,1.4,0.0,completed,0.0390741865183676,1887.2533580036616,166,multicomponent,True,,6.095408400000451
map_0044,training,True,Otomo_2018,300,10,1.4,0.3,completed,0.0786554067186576,1951.3306514534383,175,multicomponent,True,,5.695614500000374
map_0045,training,True,Otomo_2018,300,1,1.2,0.7,completed,0.991453647722796,2058.7460366818755,208,multicomponent,True,,25.78221330000088
map_0046,training,True,Otomo_2018,450,5,1.2,0.2,completed,0.1985236099921799,2119.5614991774205,174,multicomponent,True,,6.975191699999414
map_0047,training,True,Otomo_2018,300,5,0.8,0.2,completed,0.0576177650422235,1890.260737292822,198,multicomponent,True,,21.41202049999993
map_0048,training,True,Otomo_2018,450,1,1.0,0.2,completed,0.2745719637131802,2180.520577180231,177,multicomponent,True,,7.890542600000117
map_0049,training,True,Otomo_2018,300,1,1.0,0.1,completed,0.0879052003436374,2076.680775928524,174,multicomponent,True,,6.477776800000356
map_0050,training,True,Otomo_2018,450,1,0.9,0.1,completed,0.1748041716475397,2080.67093510069,174,multicomponent,True,,9.503784100001212
map_0051,training,True,Otomo_2018,300,1,0.7,0.1,completed,0.0423787888655075,1739.1724999881908,177,multicomponent,True,,13.848486099999718
map_0052,training,True,Otomo_2018,300,1,0.7,0.3,completed,0.1055359147678434,1759.4344018089405,184,multicomponent,True,,15.660916000000723
map_0053,training,True,Otomo_2018,300,1,0.9,0.3,completed,0.1714990722084708,2013.036820157099,176,multicomponent,True,,11.983124000000316
map_0054,training,True,Otomo_2018,300,5,0.9,0.3,completed,0.0994472455207979,2025.015076859081,203,multicomponent,True,,19.52736160000132
map_0055,training,True,Otomo_2018,300,1,0.9,0.5,completed,0.4119872126488768,2030.7229529249232,192,multicomponent,True,,14.496272599999427
map_0056,training,True,Otomo_2018,300,1,1.3,0.1,completed,0.0824632054420231,1940.069844403564,158,multicomponent,True,,4.185641999998552
map_0057,training,True,Otomo_2018,300,5,0.8,0.4,completed,0.1145099377106467,1917.861760135734,188,multicomponent,True,,17.94453649999923
map_0058,training,True,Otomo_2018,450,1,1.0,0.4,completed,0.6594219497737965,2201.4742507375536,195,multicomponent,True,,10.199600399999326
map_0059,training,True,Otomo_2018,300,1,1.3,0.3,completed,0.1559758981876465,1972.704120766141,170,multicomponent,True,,4.672883799999909
map_0060,training,True,Otomo_2018,300,5,1.4,0.3,completed,0.0960014405689337,1941.252142280916,180,multicomponent,True,,6.082386000000042
map_0061,training,True,Otomo_2018,300,10,1.3,0.2,completed,0.0670210599287651,1976.29860673616,180,multicomponent,True,,9.360111599999072
