design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Otomo_2018,completed,0.08813450000025114,0.01,300.0,1807.5179106050916,1816.4077881463854,720,781,True,,0.17329214783990712,291281.2079197256,0.0033541009807963734,1.0302757332846995e-05,2.9227873317047547e-07,8.902985207705282e-12,2.2568771845877625e-05,0.06758820131274565,0.2079559441475698,0.004234740423860075,1.3007808412574659e-05,3.690182774693172e-07,1.1240517673128075e-11,2.8494339019548842e-05,0.0853338912315988,0.0038409009335716305,1.808870070471962e-05,4.909384592939631e-07,5.786616059023875e-12,1.7363901803269064e-06,0.08253584277604258,0.14297314558295918,2.285070077718041,0.010761524298601437,0.0002920743863837305,3.442635838936446e-09,0.002020356971655482,6.205909638340656e-06,1.760553363206723e-07,5.3627509535095275e-12
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Otomo_2018,completed,0.07779799999980241,0.01,300.0,1816.1515548006967,1824.8401957476765,700,744,True,,0.1724461937747057,291941.4246529601,0.0036304072848246764,1.0949406047682153e-05,3.0029464961262884e-07,9.757087527622749e-12,2.4394905031570374e-05,0.06744107538273211,0.20793630682911501,0.004583478975397789,1.3823895908987027e-05,3.791294212848629e-07,1.2318564291922028e-11,3.07991708771674e-05,0.08514602545755362,0.004157347418193362,1.9224208160211156e-05,5.044073776458354e-07,6.3418098144581206e-12,1.8769060033792713e-06,0.0823569367374358,0.1429609602228857,2.4556937725393673,0.011355502322090346,0.0002979472080411489,3.746028729723426e-09,0.0021834201166938834,6.585253817193525e-06,1.806049094382586e-07,5.868162857981739e-12
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Otomo_2018,completed,0.08567320000020118,0.01,300.0,1824.6935626147917,1833.2681160922718,720,731,True,,0.17160998549724807,292597.8296378526,0.0039030520869875606,1.1560504564982634e-05,3.084739620738651e-07,1.0711844333665664e-11,2.6348898005358397e-05,0.0672954941205422,0.20791582162171793,0.004927572338307139,1.4595045426423845e-05,3.8944593326612907e-07,1.3523618607806508e-11,3.326527498542553e-05,0.08496002818579637,0.004469608724638922,2.0297328411168183e-05,5.181512348997085e-07,6.962439843831676e-12,2.0272627394023725e-06,0.0821799503356835,0.14294825537545505,2.621446267605637,0.011904477345524498,0.00030389810483753783,4.083503292229632e-09,0.0023438151727057273,6.94217894090494e-06,1.852411744910645e-07,6.432551428306745e-12
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Otomo_2018,completed,0.08743419999973412,0.01,300.0,1841.5910587223286,1850.126843561598,710,739,True,,0.16996619262056448,293899.55527386913,0.004429952978701811,1.2661281312225762e-05,3.253297064199679e-07,1.2962989900365936e-11,3.0674260810692214e-05,0.06701262725369758,0.20787214381219338,0.005592472154711735,1.598388595139101e-05,4.107035295863084e-07,1.6364769650636452e-11,3.872387591356163e-05,0.08459824601574101,0.0050730983044320254,2.2230475378900763e-05,5.46475567394894e-07,8.425804694264876e-12,2.36010155066056e-06,0.08183621517554852,0.14292118817351737,2.9338431723405076,0.012856192506912946,0.00031603440659759,4.872759818619602e-09,0.002652340875915165,7.58067503816222e-06,1.9478429740354222e-07,7.761316689391065e-12
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Otomo_2018,completed,0.08131529999991471,0.01,300.0,1858.3415772162562,1867.0161289673229,720,720,True,,0.16835957688547065,295187.07399853534,0.004920069257019811,1.3578632522644948e-05,3.428522685541569e-07,1.5744894649213957e-11,3.561816355294217e-05,0.06674687446941815,0.20782455623998972,0.00621083283479101,1.7140940974129208e-05,4.3279840501850253e-07,1.9875514664380177e-11,4.496246864694874e-05,0.08425769189790631,0.0056344987167251835,2.3841689819151722e-05,5.759223895456051e-07,1.0234246457117809e-11,2.7405517974948413e-06,0.08151353569137955,0.14289172909850484,3.213629265874583,0.01359807784200921,0.0003284766114902727,5.837089612096398e-09,0.0029375689998678103,8.107237495124152e-06,2.0470284929466578e-07,9.400622635895803e-12
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Otomo_2018,completed,0.0899515999999494,0.01,300.0,1875.0382238760333,1883.9741958607344,740,701,True,,0.16678899980125558,296461.05549878266,0.00535574548588857,1.4282450102039429e-05,3.6103922405021423e-07,1.916341907267897e-11,4.126585007460394e-05,0.0665069464786568,0.20777263264898022,0.00676036414116397,1.8028221051988936e-05,4.557267760862963e-07,2.4189291941221274e-11,5.208839251865921e-05,0.08394931710202953,0.006133592445072946,2.5078100037355203e-05,6.064880371226526e-07,1.2456614544683522e-11,3.1751789279833383e-06,0.0812225691695675,0.14285961951210438,3.450759316029134,0.014108939925040104,0.00034121019009705766,7.008091762076548e-09,0.0031895986098221273,8.505871518792085e-06,2.1501585729867187e-07,1.141271835913515e-11
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Otomo_2018,completed,0.0846982999996726,0.01,300.0,1891.767403524295,1901.0561379253536,740,693,True,,0.16525337367463902,297722.1510075843,0.0057115836599333425,1.4727270208199733e-05,3.798825649394536e-07,2.3346067255683036e-11,4.7720526738936496e-05,0.06630538854876772,0.2077158166182384,0.007209008812411468,1.8588368311655933e-05,4.794776582790969e-07,2.946678445104558e-11,6.023157818858337e-05,0.08368889590317433,0.006541292851511886,2.5859863939200183e-05,6.381595589159411e-07,1.517584305887605e-11,3.6719326084308315e-06,0.08097866332666614,0.14282452198135542,3.630803782143176,0.014353751456710077,0.00035421623717508456,8.42348899921872e-09,0.0033942045519256654,8.751927758455379e-06,2.2575159673486052e-07,1.3873792710886579e-11
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,Otomo_2018,completed,0.08751919999986058,0.01,300.0,1925.801942893401,1936.0234910108184,730,653,True,,0.1622828602015592,300208.2014975816,0.005985981953463645,1.44578916807719e-05,4.1952464814303815e-07,3.4667968913238485e-11,6.363839128461375e-05,0.06611524021320614,0.20758381588375793,0.007554088461910494,1.824532609325282e-05,5.294246338632286e-07,4.374969821180852e-11,8.030930281363163e-05,0.08343499481518349,0.006856002351347035,2.538852389452224e-05,7.048000129291743e-07,2.2536994418712458e-11,4.897079675951907e-06,0.08075173533343517,0.14274312728158017,3.706133495270864,0.013724216238415753,0.0003809921294544103,1.2182771477829515e-08,0.0035494859303889293,8.57304340423095e-06,2.4876400356894655e-07,2.0556939337496467e-11
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,Otomo_2018,completed,0.08249560000012934,0.01,300.0,1942.563018792265,1950.8446591091395,710,687,True,,0.15902324220555705,307225.0329462641,0.004766108451986444,9.543976292062904e-06,3.6578572256253876e-07,6.202085737777229e-11,9.544248798286765e-05,0.047908323812405625,0.23538358906541967,0.006233332666978588,1.2482044794719265e-05,4.783911479423307e-07,8.111368849900179e-11,0.00012482401190710724,0.06265667742319045,0.00553374473914026,1.6989534654068095e-05,6.229523357573326e-07,4.0871917339194314e-11,7.445251563543703e-06,0.059317236145880525,0.1640807164862979,2.8643304925935054,0.008793980289770619,0.0003224473579566115,2.11557787075672e-08,0.002513040027218948,5.0322804615968e-06,1.9286891421905049e-07,3.27019199590011e-11
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,Otomo_2018,completed,0.08494559999962803,0.01,300.0,1951.6949469519618,1960.123988649136,710,678,True,,0.15823392420445584,307896.0533146892,0.005047784994267279,9.928412527136868e-06,3.7545501591482726e-07,6.853877724786944e-11,0.00010285348529195869,0.04775293840127188,0.2353405627081682,0.006601350546518914,1.298409728950706e-05,4.910094580726858e-07,8.963307572664097e-11,0.00013450888104674593,0.062449943167375045,0.005860910322551335,1.7674249116757588e-05,6.394329410301342e-07,4.5168183409007004e-11,8.023533379004352e-06,0.059126076037539534,0.16405413342353908,3.0120387376315105,0.009083149215470201,0.00032861734483287516,2.321283054151054e-08,0.0026576563029889594,5.227304285223422e-06,1.9767688018964498e-07,3.6085632323647967e-11
