design_id,design_role,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,criterion,reactor,status,ignition_delay_s,final_temperature_K,max_temperature_K,integration_steps,converged,failure_reason,runtime_s
map_0001,training,True,False,POLIMI_2023,1600,10,1.0,0.2,max_dTdt,constant_volume,completed,1.2426194223918757e-05,3111.632544592243,3111.6325446111905,1661,True,,0.06611429999975371
map_0002,training,True,False,POLIMI_2023,1200,5,1.1,0.5,max_dTdt,constant_volume,completed,3.957890711601869e-05,2961.158409933647,2961.158409993133,1718,True,,0.07353080000029877
map_0003,training,True,False,POLIMI_2023,1800,5,0.6,0.0,max_dTdt,constant_volume,completed,6.912376171556201e-05,2887.369956621293,2887.814443203758,1785,True,,0.08555809999961639
map_0004,training,True,False,POLIMI_2023,1800,20,1.4,0.0,max_dTdt,constant_volume,completed,2.503496673129157e-05,3198.22144043601,3207.800411849439,1971,True,,0.07939949999854434
map_0005,training,True,False,POLIMI_2023,1400,5,1.4,0.1,max_dTdt,constant_volume,completed,0.00015756964874594738,2926.0125415207394,2959.188830142752,2116,True,,0.09030300000085845
map_0006,training,True,False,POLIMI_2023,1600,20,0.6,0.1,max_dTdt,constant_volume,completed,2.127499149044923e-05,2848.5258111833105,2853.481062447992,1934,True,,0.08024780000050669
map_0007,training,True,False,POLIMI_2023,1800,5,1.4,0.3,max_dTdt,constant_volume,completed,7.478616283786575e-06,3116.213466513228,3148.9469698364337,1571,True,,0.06087619999743765
map_0008,training,True,False,POLIMI_2023,1800,5,1.2,0.0,max_dTdt,constant_volume,completed,7.991977015071424e-05,3111.314433448451,3152.02409917364,1906,True,,0.07283090000055381
map_0009,training,True,False,POLIMI_2023,1400,20,1.3,0.2,max_dTdt,constant_volume,completed,2.752180638113176e-05,3056.9697889610998,3056.9697889952267,1948,True,,0.09718820000125561
map_0010,training,True,False,POLIMI_2023,1800,20,0.9,0.0,max_dTdt,constant_volume,completed,2.3619284509018834e-05,3195.0068043567817,3195.0068044330105,1861,True,,0.06999549999818555
map_0011,training,True,False,POLIMI_2023,1400,5,0.8,0.1,max_dTdt,constant_volume,completed,0.00014734812723475864,2874.8499477317173,2874.849947742098,2125,True,,0.0917647999995097
map_0012,training,True,False,POLIMI_2023,1800,5,0.8,0.3,max_dTdt,constant_volume,completed,6.294863794491671e-06,3053.0715369449176,3053.071536977087,1448,True,,0.06654020000132732
map_0013,training,True,False,POLIMI_2023,1200,10,1.0,0.3,max_dTdt,constant_volume,completed,0.00012269134488422268,2968.9257741380247,2968.925774202736,2010,True,,0.08149760000014794
map_0014,training,True,False,POLIMI_2023,1600,5,1.1,0.4,max_dTdt,constant_volume,completed,7.92707772138015e-06,3082.1104389925536,3082.1104390219157,1588,True,,0.06903869999950984
map_0015,training,True,False,POLIMI_2023,1800,5,0.9,0.05,max_dTdt,constant_volume,completed,3.723549920906374e-05,3077.212523232681,3077.2125233281613,1729,True,,0.07008090000090306
map_0016,training,True,False,POLIMI_2023,1400,10,1.3,0.4,max_dTdt,constant_volume,completed,1.0959669613727325e-05,3048.4289626775017,3048.428962711278,1792,True,,0.06980169999951613
map_0017,training,True,False,POLIMI_2023,1400,5,1.1,0.1,max_dTdt,constant_volume,completed,0.0001495524163683896,2984.8010536584293,2984.801053698883,2040,True,,0.09310980000009295
map_0018,training,True,False,POLIMI_2023,1400,20,0.8,0.2,max_dTdt,constant_volume,completed,2.9614710966048422e-05,2961.586556340193,2961.5865564793944,2063,True,,0.08804650000092806
map_0019,training,True,False,POLIMI_2023,1600,10,1.3,0.05,max_dTdt,constant_volume,completed,6.353746989310741e-05,3085.6210856733937,3095.006693286412,1979,True,,0.0811959000020579
map_0020,training,True,False,POLIMI_2023,1600,10,0.8,0.0,max_dTdt,constant_volume,completed,0.00018483385053935807,2997.6607272903166,2997.660727302634,2155,True,,0.08301139999821316
map_0021,training,True,False,POLIMI_2023,1400,10,1.0,0.5,max_dTdt,constant_volume,completed,6.8155456256685e-06,3070.099821673909,3070.0998217646716,1623,True,,0.06506420000005164
map_0022,training,True,False,POLIMI_2023,1600,20,1.1,0.05,max_dTdt,constant_volume,completed,3.9748014063585284e-05,3165.9635517592524,3165.963551856462,2028,True,,0.08202900000105728
map_0023,training,True,False,POLIMI_2023,1800,10,1.2,0.2,max_dTdt,constant_volume,completed,6.392177201766359e-06,3195.6207578243584,3195.62075783402,1676,True,,0.07007390000217129
map_0024,training,True,False,POLIMI_2023,1400,5,0.9,0.3,max_dTdt,constant_volume,completed,2.6404329581127092e-05,2957.6168572026004,2957.6168572453107,1722,True,,0.12587269999858108
map_0025,training,True,False,POLIMI_2023,1600,10,0.7,0.2,max_dTdt,constant_volume,completed,1.197618458708831e-05,2937.748491713603,2937.748491751958,1795,True,,0.15921700000035344
map_0026,training,True,False,POLIMI_2023,1400,5,1.4,0.3,max_dTdt,constant_volume,completed,2.9587400342320794e-05,2959.567387595702,2959.5673876027136,1784,True,,0.15854290000061155
