design_id,design_role,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,criterion,reactor,flame_reactor_temperature_K,temperature_source_column,status,ignition_delay_s,final_temperature_K,max_temperature_K,integration_steps,converged,failure_reason,runtime_s
screen_0001,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.6,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.050722294640528034,2543.72607684355,2543.7260769027685,2935,True,,0.10873880000144709
screen_0002,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.6,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.005182162377452669,2550.947049705142,2550.947049730555,2599,True,,0.09652849999838509
screen_0003,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.6,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0013060410186119674,2558.1261629463997,2558.1261629563132,2458,True,,0.0958241000007547
screen_0004,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.6,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00028809730248250493,2572.358636870821,2572.358636929883,2021,True,,0.07975140000053216
screen_0005,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.6,0.3,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00011951913518987902,2586.423242763156,2586.4232427758593,1854,True,,0.06887130000177422
screen_0006,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.6,0.4,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,6.451291739047973e-05,2600.3198688690854,2600.3198688844286,1764,True,,0.07668769999872893
screen_0007,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.6,0.5,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,4.037321963837892e-05,2614.0485483524612,2614.0485484237247,1561,True,,0.07279109999944922
screen_0008,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.6,0.7,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,2.0974292577504222e-05,2641.0029158003945,2641.0029158086136,1510,True,,0.07701840000299853
screen_0009,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.7,0.0,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.049757942749346494,2666.140225072599,2666.1402251817426,3131,True,,0.13720910000120057
screen_0010,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.7,0.05,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.004512955667345802,2673.3865651630986,2673.386565247111,2635,True,,0.10440630000084639
screen_0011,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.7,0.1,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.0011630983909953322,2680.577992077376,2680.5779921000276,2450,True,,0.10869449999881908
screen_0012,surrogate_screening,False,False,POLIMI_2023,1200.0,5,0.7,0.2,max_dTdt,constant_volume,600.0,ignition_temperature_K,completed,0.00026831479492488765,2694.7968255467526,2694.7968256326753,2135,True,,0.08759730000019772
