design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0001,training,True,POLIMI_2023,300,1,1.1,0.2,completed,0.19466792411186906,2050.954211922543,188,multicomponent,True,,4.763994000000821
map_0002,training,True,POLIMI_2023,300,1,0.6,0.7,completed,0.3372681760853111,1654.5526549671165,175,multicomponent,True,,8.273664600001212
map_0003,training,True,POLIMI_2023,300,10,1.4,0.1,completed,0.04408227078784186,1914.0990184524605,182,multicomponent,True,,8.783858999999211
map_0004,training,True,POLIMI_2023,300,1,1.4,0.7,completed,1.0575127212021262,1970.7365403122058,196,multicomponent,True,,5.300102100001823
map_0005,training,True,POLIMI_2023,300,5,0.7,0.0,completed,0.01626265895187457,1730.8331930637385,184,multicomponent,True,,35.320191999999224
map_0006,training,True,POLIMI_2023,300,5,0.9,0.5,completed,0.2427180280018031,2054.7213476911375,202,multicomponent,True,,13.980938400000014
map_0007,training,True,POLIMI_2023,300,1,0.6,0.2,completed,0.05838404864758506,1607.5036936155004,170,multicomponent,True,,14.525481799999397
map_0008,training,True,POLIMI_2023,300,5,1.4,0.5,completed,0.27011423294373077,1975.6964954907726,175,multicomponent,True,,6.937250700000732
map_0009,training,True,POLIMI_2023,450,1,0.9,0.5,completed,1.0415479962925878,2137.427037957561,176,multicomponent,True,,6.913822499998787
map_0010,training,True,POLIMI_2023,450,1,1.4,0.0,completed,0.14701366868071214,1967.9811342268392,148,multicomponent,True,,3.8845438999996986
map_0011,training,True,POLIMI_2023,450,5,1.1,0.0,completed,0.13389327149435876,2136.7056061318185,159,multicomponent,True,,6.77461509999921
map_0012,training,True,POLIMI_2023,450,1,1.4,0.4,completed,0.6269413068149705,2036.1402340161208,151,multicomponent,True,,3.9070949999986624
map_0013,training,True,POLIMI_2023,450,1,0.8,0.0,completed,0.11985989487709577,1956.612144883391,178,multicomponent,True,,14.484221499998966
map_0014,training,True,POLIMI_2023,300,1,1.0,0.7,completed,0.9350673680080196,2140.382081002645,185,multicomponent,True,,5.575879300002271
map_0015,training,True,POLIMI_2023,300,5,1.0,0.2,completed,0.09716090934411849,2113.54140904641,208,multicomponent,True,,10.825113499999134
map_0016,training,True,POLIMI_2023,450,1,1.1,0.05,completed,0.2225068912752534,2131.1047712396257,163,multicomponent,True,,5.448883599998226
map_0017,training,True,POLIMI_2023,300,1,0.8,0.4,completed,0.2908211173997141,1902.6581514741126,179,multicomponent,True,,11.645723500001623
map_0018,training,True,POLIMI_2023,300,5,0.7,0.3,completed,0.061569443405576886,1773.4489472607559,188,multicomponent,True,,22.50050890000057
map_0019,training,True,POLIMI_2023,300,1,1.2,0.5,completed,0.6102538892018454,2031.8693426883144,183,multicomponent,True,,3.7026545999979135
map_0020,training,True,POLIMI_2023,300,1,1.4,0.2,completed,0.14476845686156375,1904.5624782456553,159,multicomponent,True,,2.3655761999980314
map_0021,training,True,POLIMI_2023,300,10,1.2,0.3,completed,0.11592416214916698,2046.7569591838849,184,multicomponent,True,,6.371877100002166
map_0022,training,True,POLIMI_2023,450,1,1.1,0.3,completed,0.5988140043803751,2154.663882365998,162,multicomponent,True,,2.854903999999806
map_0023,training,True,POLIMI_2023,300,1,0.9,0.0,completed,0.06347848866798385,1969.7034464768142,177,multicomponent,True,,10.559049399998912
map_0024,training,True,POLIMI_2023,300,5,1.2,0.0,completed,0.05649823997763032,1978.197011679121,169,multicomponent,True,,4.306360200000199
map_0025,training,True,POLIMI_2023,450,5,1.0,0.2,completed,0.2184525971369752,2212.5732984870865,202,multicomponent,True,,7.467817400000058
map_0026,training,True,POLIMI_2023,300,1,1.2,0.0,completed,0.08764563508876837,1968.838809759572,163,multicomponent,True,,3.7468894999983604
map_0027,training,True,POLIMI_2023,450,1,0.8,0.3,completed,0.43972119597555404,1991.8572469079702,170,multicomponent,True,,5.257778699997289
map_0028,training,True,POLIMI_2023,300,5,1.3,0.2,completed,0.10043158882252039,1967.8669840182852,191,multicomponent,True,,4.894468499998766
map_0029,training,True,POLIMI_2023,300,10,1.1,0.1,completed,0.06326484835118422,2058.3871789185214,182,multicomponent,True,,6.976368200001161
map_0030,training,True,POLIMI_2023,300,5,1.1,0.4,completed,0.2382478299261979,2107.2472528217727,192,multicomponent,True,,5.312316999999894
