design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3
reactor_0001,750,10,10,1.0,0.3,0.5,0.0,primary_map,POLIMI_2023,completed,0.11705169999913778,0.01,300.0,2429.0322105662044,2443.208748392207,640,566,True,,0.2433699327009916,670852.1465748243,0.002970471104227611,8.988007575717118e-07,3.3281927651220575e-07,9.834107465355904e-08,0.009211543574943666,0.002158538008859839,0.29771961553113446,0.004229750922737472,1.2798317843541573e-06,4.739122491138876e-07,1.400310713902886e-07,0.01311661806118984,0.0030736128426715787,0.0036014519047997983,1.6707545297705347e-06,5.918799472428296e-07,6.767360018497236e-08,0.0007503555878617398,0.0027907871644056214,0.21671346614843268,1.3065250102754573,0.0006061118229198063,0.0002147206111853554,2.455044618510968e-05,0.0012118665698284202,3.6668479605387016e-07,1.3578066941152718e-07,4.012032321877701e-08
reactor_0002,750,20,20,0.6,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.08902079999825219,0.02,300.0,2067.225633304079,2067.962767637241,530,462,True,,0.30501417182288393,564273.7147132832,0.003963353217739904,1.5454876747167882e-05,1.1730119642127343e-06,2.3824280971641845e-10,8.573240106872378e-05,0.06701648142251881,0.2073335270573521,0.005000026307441246,1.9497326144997802e-05,1.4798304258512592e-06,3.0055870640268156e-10,0.00010815696638518834,0.08454562380282189,0.004539940431746117,2.714250032956374e-05,1.970891354324009e-06,1.5489565021603025e-10,6.598037591967372e-06,0.08186225942703135,0.14258803138251622,2.454032741216522,0.014671686884140717,0.0010653514039679728,8.372774991586439e-08,0.002370359011495511,9.243083913195117e-06,7.015421859243866e-07,1.4248565795439092e-10
reactor_0003,750,5,5,0.6,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.08797689999846625,0.005,300.0,2044.4616143690532,2056.6477595077527,630,594,True,,0.3054447571260252,565070.2939904113,0.00751913882132038,1.4709268707858697e-05,5.754058488326462e-07,1.5879387794514245e-10,0.00016020425525273561,0.0651055250374707,0.20694449198813683,0.009481226402639022,1.8547590375778165e-05,7.255555796783379e-07,2.0023047105899058e-10,0.0002020088803800845,0.08209453736811674,0.008614792311321902,2.583834665506641e-05,9.669941520986175e-07,1.0326246967380415e-10,1.2331990428617419e-05,0.07954434013511424,0.14234976090898513,4.656665149818544,0.013966735824779931,0.0005227018604079388,5.581779878572748e-08,0.00440794545919856,8.623015979581497e-06,3.3732022493937206e-07,9.308975001925915e-11
reactor_0004,750,5,20,1.4,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.0895239000019501,0.02,300.0,2355.123628083632,2366.355971003211,570,581,True,,0.05724181614248961,220551.01709497967,0.0002526025244079776,4.299774068332691e-09,1.5453767562225496e-08,2.9759304984937152e-06,0.10635960951143404,1.1478449558713043e-05,0.2652205934733661,0.00034378008170105317,5.851789026938161e-09,2.103184632688169e-08,4.050100577207515e-06,0.1447503952433903,1.5621626649789586e-05,0.0003363764237935544,8.778704468080224e-09,3.0185272810833164e-08,2.2492756973896945e-06,0.009515837556767923,1.6299933096938296e-05,0.21204169474876883,0.08730314490985451,2.2784251632568814e-06,7.834286412311146e-06,0.000583777067182166,9.705522000370071e-05,1.6520639259100651e-09,5.937663584926868e-09,1.143415292162886e-06
reactor_0005,750,20,5,1.4,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.09322719999909168,0.005,300.0,2369.704129298247,2375.7426778485283,520,604,True,,0.9130195883708343,3517837.3506104676,0.0001665633511636812,2.9528375821540224e-09,1.836212443583499e-08,1.3997017447915147e-05,0.10656075873433692,3.1810703404625163e-06,0.26598907037551967,0.0002269221675607677,4.022879582548849e-09,2.5016145802119108e-08,1.9069222109643537e-05,0.14517598367214143,4.333818764919414e-06,0.00022163212767126075,6.024066473187089e-09,3.5838436832088275e-08,1.0571115395751014e-05,0.009526491682836527,4.513789139305423e-06,0.21249231052952294,0.05752240760677896,1.5634863535442768e-06,9.301508734793868e-06,0.0027436275374056974,6.406069623699875e-05,1.1356689815977288e-09,7.062120613760112e-09,5.38328916109355e-06
reactor_0006,750,5,5,1.4,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.08781969999836292,0.005,300.0,2343.0454575159865,2361.8764520213504,590,548,True,,0.22896726456995845,882204.0683799187,0.0008331062269533197,1.3825929625258526e-08,3.732000693537175e-08,7.103929638487167e-06,0.1069070612653695,1.082874469597807e-05,0.26460244997562016,0.0011328651107495539,1.8800619644164124e-08,5.0748070800799535e-08,9.659985457187962e-06,0.14537315396526046,1.4725021446725074e-05,0.0011096825003401043,2.823511941162276e-08,7.291433837816975e-08,5.37067722166613e-06,0.009567251068511395,1.538123475270175e-05,0.21160132327164619,0.2880070221288148,7.328143553404357e-06,1.8924189090440937e-05,0.0013939056919011026,0.00031982655974724974,5.307725910926101e-09,1.4327019822590085e-08,2.7271736826079193e-06
reactor_0007,750,5,20,0.6,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.08401600000070175,0.02,300.0,2055.590355464348,2060.2034706082445,550,527,True,,0.0763611892815063,141267.57349760283,0.005891389829404395,1.1531108912025066e-05,5.770248385454752e-07,1.5929208084494712e-10,0.00016329543254589574,0.06591078630389505,0.20691693170288403,0.00742846501824104,1.4539597897083234e-05,7.275717533403474e-07,2.00851697902181e-10,0.00020589953193241001,0.0831070400297622,0.006749962870331049,2.025590387753167e-05,9.69730372716084e-07,1.0358809651977314e-10,1.2570139099367092e-05,0.08052947079363332,0.1423330692599819,3.6486447641378597,0.010949185802263678,0.0005241809051406628,5.599381407787519e-08,0.0034813657267239915,6.8140130800857396e-06,3.4097802972643385e-07,9.412956990629326e-11
reactor_0008,750,20,5,0.6,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.08723299999837764,0.005,300.0,2064.1947116571123,2066.9962582711546,540,580,True,,1.2200566872915357,2257094.858853133,0.004397743025498671,1.7146936792189355e-05,1.171034022463361e-06,2.3524682521996636e-10,8.528777451466764e-05,0.06679992552960334,0.20733887589763159,0.005548074570301146,2.1632115251781804e-05,1.4773450934527317e-06,2.967810809270688e-10,0.0001075967672960496,0.08427299321037025,0.005037507359073695,3.0114060745614376e-05,1.9675610874949984e-06,1.5294724557627384e-10,6.563795624572303e-06,0.08159744355175756,0.14259120733453803,2.7229890301735447,0.0162779428831179,0.0010635512517505052,8.267455354666413e-08,0.0026244227940133936,1.0232706073094365e-05,6.988330976363833e-07,1.4038726836626781e-10
reactor_0009,750,20,20,1.4,0.7,0.5,0.0,primary_map,POLIMI_2023,completed,0.09659749999991618,0.02,300.0,2372.288945597949,2376.512457414795,500,632,True,,0.22825489709270858,879459.3376526169,6.93556840281918e-05,1.2348086355328942e-09,1.4198141795694372e-08,6.814866074675291e-06,0.10647848260700708,3.2138958777183183e-06,0.2660936949282884,9.45020959063908e-05,1.6825153660619366e-09,1.9345986943533673e-08,9.285744007894025e-06,0.1450845726098549,4.379163737262458e-06,9.228236750224625e-05,2.5190295178797132e-09,2.7710288313257696e-08,5.14666662758017e-06,0.009518772446276504,4.560192753932754e-06,0.2125677688179102,0.023950967822934065,6.537889800702127e-07,7.1919288778423024e-06,0.0013357659770653453,2.6678184146476785e-05,4.749784048127301e-10,5.46142175181137e-09,2.6213893586553504e-06
reactor_0010,750,20,20,0.6,0.0,0.5,0.0,primary_map,POLIMI_2023,completed,0.10518679999950109,0.02,300.0,1943.1005386034979,1944.4483858200654,540,584,True,,0.32453002213270205,545535.0086701758,0.0024773690591049537,1.1951893947998354e-05,8.51747644120646e-07,7.649785318438131e-11,3.368390294615845e-05,0.06795357999122614,0.20779674538191237,0.003127188691365912,1.5086903365172652e-05,1.0751630205448527e-06,9.656341694942932e-11,4.251926857129246e-05,0.08577796114203773,0.002837133666867569,2.0985665643462438e-05,1.4307801161262138e-06,4.972449481782262e-11,2.59175484053582e-06,0.08298816444217617,0.14287425893597228,1.6877652892458679,0.012484035721820901,0.000851148130502839,2.958030400854018e-08,0.0014973306277074854,7.2237670046284005e-06,5.147992907767679e-07,4.623557322066003e-11
