design_id,design_role,pressure_bar,equivalence_ratio,cracking_ratio,flame_temperature_K,temperature_K,ignition_temperature_K,residence_time_ms,psr_fraction,heat_loss_W_per_K,inside_lbv_convex_hull,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3
screen_0001,surrogate_screening,5,0.6,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,POLIMI_2023,completed,0.08833579999918584,0.01,300.0,1811.685284349053,1820.2924834310286,590,726,True,,0.17301194103121162,290833.09497915057,0.0029707416913434853,9.066394711934398e-06,2.9572177103286474e-07,1.2324661995138143e-11,2.3378210425799322e-05,0.06777900989658253,0.20795044425562467,0.0037507017961162237,1.1446751842962298e-05,3.7336271308799963e-07,1.5560468288572317e-11,2.9516095623370774e-05,0.0855742035394278,0.0034019139622781342,1.5918054492467632e-05,4.967233775161121e-07,8.01060829680987e-12,1.7986726076460408e-06,0.08276912882613652,0.1429698457345964,2.0237440236198494,0.009469395171068323,0.0002954927660684652,4.765382324770017e-09,0.0017929104961582948,5.471776387932936e-06,1.7847484645747332e-07,7.43821514912435e-12
screen_0002,surrogate_screening,5,0.6,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,POLIMI_2023,completed,0.09094499999991967,0.01,300.0,1820.3976516377975,1828.7195288780235,580,724,True,,0.17217673889386803,291507.43678468204,0.0032112571076790388,9.624961625496611e-06,3.0370303099969976e-07,1.3474712158966652e-11,2.5258301644779577e-05,0.06764977535280253,0.20793053965456806,0.004054261991465455,1.2151663594375977e-05,3.8342979524453686e-07,1.7012033456119053e-11,3.1888998262556544e-05,0.08540889245155289,0.003677372189515577,1.689890037316096e-05,5.101342726471209e-07,8.7581836889354e-12,1.9433412852908646e-06,0.08261208756889568,0.14295750208266883,2.172013030862978,0.009981212106407967,0.00030130708304108703,5.172957241938891e-09,0.001935426117956715,5.800968745159456e-06,1.8304195478270815e-07,8.121215140964529e-12
screen_0003,surrogate_screening,5,0.6,0.1,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,POLIMI_2023,completed,0.08348090000072261,0.01,300.0,1829.0208964747083,1837.1527050742384,580,726,True,,0.17135105197237044,292177.8402109705,0.0034435275413053227,1.0138153508812975e-05,3.1184390000964784e-07,1.476350435756842e-11,2.7271266100035107e-05,0.06752437072368037,0.20790974692137765,0.004347392898626567,1.279924032571913e-05,3.93697433843684e-07,1.8638664344355975e-11,3.44294933488194e-05,0.08524832929231606,0.00394339561227604,1.7800105692750256e-05,5.238137666193284e-07,9.59595689921696e-12,2.0982368593342405e-06,0.08245975930168774,0.14294461502028807,2.3126496726063435,0.010439076534585234,0.00030719660287386013,5.627659196108377e-09,0.0020726684298658215,6.102181690954254e-06,1.8769967681200026e-07,8.886192727971968e-12
screen_0004,surrogate_screening,5,0.6,0.2,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,POLIMI_2023,completed,0.08691589999943972,0.01,300.0,1846.091839048085,1854.037442536765,600,704,True,,0.16972763282190145,293507.18827609567,0.00388292883851569,1.1035867037152466e-05,3.285987785236036e-07,1.7803836771571974e-11,3.1728175587432186e-05,0.06728520549360935,0.20786536662262298,0.004901854653116578,1.3931807261222125e-05,4.148269305213644e-07,2.2475771190135724e-11,4.005401891362162e-05,0.08494162817591935,0.004446675344260018,1.9376680595449494e-05,5.519691464931884e-07,1.157235209793144e-11,2.4412008590662175e-06,0.08216943546466099,0.14291713059431915,2.5713976020199367,0.011205034359560738,0.0003191895134673409,6.691992585598409e-09,0.0023312366612709356,6.62572478040981e-06,1.9728446005616335e-07,1.0689085151773752e-11
screen_0005,surrogate_screening,5,0.6,0.3,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,POLIMI_2023,completed,0.07879880000109551,0.01,300.0,1863.0207904433528,1870.9501534229769,610,689,True,,0.1681405351014938,294821.83916189335,0.00428658485961798,1.1769308848940079e-05,3.459769983509045e-07,2.1553821947753265e-11,3.681848478944073e-05,0.06706259650602199,0.20781702059407567,0.005411104468354755,1.485680600934666e-05,4.3673874262024715e-07,2.7208135630377916e-11,4.647724799269448e-05,0.08465543725303683,0.004909050894128535,2.066493286750497e-05,5.811740338460755e-07,1.4010138992209949e-11,2.832920868239415e-06,0.08189949094446534,0.14288721932341616,2.7996923380088776,0.011785466368625236,0.0003314507273808611,7.990155253400109e-09,0.0025675040112739275,7.049375824620532e-06,2.0722728236240386e-07,1.2909933226907441e-11
screen_0006,surrogate_screening,5,0.6,0.4,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,POLIMI_2023,completed,0.09247340000001714,0.01,300.0,1879.8823011345874,1887.9038712502022,610,662,True,,0.16658866160794994,296122.47309594817,0.0046478599062982585,1.2336159443608905e-05,3.639739152105615e-07,2.6148600528303912e-11,4.262156651085459e-05,0.06685975532999222,0.20776437015874452,0.0058667645473475805,1.5571326230405426e-05,4.5942633921109166e-07,3.3006090036045774e-11,5.37991033291382e-05,0.08439377479575018,0.005322923842586317,2.1660781792793595e-05,6.114209992987424e-07,1.6997213036506685e-11,3.279510712458325e-06,0.08165386292934557,0.14285467470561905,2.994500044210369,0.012185635931367308,0.00034396513336956355,9.562067144763391e-09,0.002777863687998967,7.372892053250214e-06,2.175345089623173e-07,1.562810613141248e-11
screen_0007,surrogate_screening,5,0.6,0.5,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,POLIMI_2023,completed,0.08626739999817801,0.01,300.0,1896.7405536657177,1904.92765334508,620,654,True,,0.16507096349326458,297409.75147454895,0.004952925649588754,1.271642377034027e-05,3.8259194722990196e-07,3.175617680237182e-11,4.923105036669723e-05,0.06668346947008104,0.2077069790521417,0.006251381141365263,1.605015244880865e-05,4.828919820247676e-07,4.0081353694596955e-11,6.213742777615252e-05,0.08416516075113775,0.005672457492652581,2.2329107459244227e-05,6.427145520703213e-07,2.0642851895933203e-11,3.7881831331086812e-06,0.08144086133911971,0.14281923164276344,3.148377008636446,0.012393296668880435,0.0003567250563755268,1.1457376346323533e-08,0.0029545557118495834,7.5856948282836116e-06,2.2822656808700904e-07,1.8943428631064412e-11
screen_0008,surrogate_screening,5,0.6,0.7,300.0,600.0,1200.0,10.0,0.5,0.0,False,False,False,POLIMI_2023,completed,0.10000840000066091,0.01,300.0,1930.8110408480122,1939.4786455365743,610,621,True,,0.16213412391408819,299946.79865534813,0.005259312514338227,1.2659856479197575e-05,4.2179577271517283e-07,4.69266246478195e-11,6.538178690549495e-05,0.06647732980300936,0.20757510530532813,0.006636985472755352,1.597609636440754e-05,5.32284858210688e-07,5.921901868807483e-11,8.250849682188129e-05,0.08389101635761158,0.0060237492918110095,2.2231236702276287e-05,7.086193383875484e-07,3.050628137660296e-11,5.031264149148381e-06,0.0811944242062409,0.14273791177865616,3.2560951424859397,0.012016938011703698,0.00038303917939147976,1.6489954975500435e-08,0.003129928255287121,7.534148692266125e-06,2.5101959683565253e-07,2.7927028106817998e-11
screen_0009,surrogate_screening,5,0.7,0.0,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,POLIMI_2023,completed,0.08832230000189156,0.01,300.0,1947.2704618936025,1954.749299379839,590,662,True,,0.1587383223574878,306698.7076209261,0.004612895470076094,9.181652530065283e-06,3.6907360660674935e-07,8.60180077641523e-11,9.85693030601401e-05,0.04798245791864927,0.23537205567258065,0.006032862785486713,1.2008000228322326e-05,4.826839109724053e-07,1.1249655260744533e-10,0.00012891145790760167,0.062752686812742,0.005355887139685768,1.634464855988487e-05,6.285555408426672e-07,5.6686445715762224e-11,7.689213365263825e-06,0.05940938049290676,0.16407365973828955,2.7720512612677037,0.008459514264160624,0.000325322049237943,2.9339254029236547e-08,0.0024338149986247253,4.844342080759293e-06,1.9472734320190666e-07,4.5384058408927805e-11
screen_0010,surrogate_screening,5,0.7,0.05,300.0,600.0,1200.0,10.0,0.5,0.0,True,False,False,POLIMI_2023,completed,0.08339889999842853,0.01,300.0,1956.4859878659013,1964.0076287394638,590,655,True,,0.15795922157855938,307384.921082924,0.004861369889682306,9.506948461579971e-06,3.7860382277249877e-07,9.507361263262956e-11,0.000106162823099781,0.047843647241190404,0.2353285206573548,0.006357462022594872,1.2432722703026247e-05,4.951195814154963e-07,1.2433262544898393e-10,0.00013883455309598387,0.06256758429426386,0.005644501944657078,1.692407845500515e-05,6.447996927932616e-07,6.265547127251632e-11,8.281744766858026e-06,0.05923876133891639,0.16404677103925125,2.900601403073273,0.008696959659793769,0.0003313502080352242,3.2197446234438176e-08,0.0025615247657107673,5.009346024534746e-06,1.9949172567239133e-07,5.0095635355981475e-11
