design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0001,training,True,RMG_2026_Burke,300,1,1.1,0.2,completed,0.1774367871964344,2060.81204202753,195,multicomponent,True,,63.87640149999993
map_0002,training,True,RMG_2026_Burke,300,1,0.6,0.7,completed,0.3090039387325541,1655.7690999719778,199,multicomponent,True,,57.14694889999987
map_0003,training,True,RMG_2026_Burke,300,10,1.4,0.1,completed,0.0367583964069589,1924.445618307428,178,multicomponent,True,,111.72427530000004
map_0004,training,True,RMG_2026_Burke,300,1,1.4,0.7,completed,0.9040946149296396,1990.483647207442,213,multicomponent,True,,62.18607870000005
map_0005,training,True,RMG_2026_Burke,300,5,0.7,0.0,completed,0.016220937939935,1730.2028468368185,184,multicomponent,True,,158.0611778
map_0006,training,True,RMG_2026_Burke,300,5,0.9,0.5,completed,0.2113943785183299,2058.286714026151,211,multicomponent,True,,78.52798429999984
map_0007,training,True,RMG_2026_Burke,300,1,0.6,0.2,completed,0.0547924149039462,1609.4159252987945,187,multicomponent,True,,82.8904066
map_0008,training,True,RMG_2026_Burke,300,5,1.4,0.5,completed,0.194105755810149,1985.7706348176164,186,multicomponent,True,,81.18511039999999
map_0009,training,True,RMG_2026_Burke,450,1,0.9,0.5,completed,0.93168060274717,2143.1575565526136,196,multicomponent,True,,24.695647000000008
map_0010,training,True,RMG_2026_Burke,450,1,1.4,0.0,completed,0.147670968774301,1964.2721114687868,158,multicomponent,True,,15.2323679000001
map_0011,training,True,RMG_2026_Burke,450,5,1.1,0.0,completed,0.1245816487829202,2138.53113617076,184,multicomponent,True,,20.737626099999943
map_0012,training,True,RMG_2026_Burke,450,1,1.4,0.4,completed,0.5766021065052631,2043.02669760996,188,multicomponent,True,,16.69245939999996
map_0013,training,True,RMG_2026_Burke,450,1,0.8,0.0,completed,0.1117751655640492,1959.585596931888,193,multicomponent,True,,38.4833242000002
map_0014,training,True,RMG_2026_Burke,300,1,1.0,0.7,completed,0.8381752758637664,2156.679833562478,207,multicomponent,True,,44.57515680000006
map_0015,training,True,RMG_2026_Burke,300,5,1.0,0.2,completed,0.0834412796251279,2118.179472075532,211,multicomponent,True,,130.9905771000001
map_0016,training,True,RMG_2026_Burke,450,1,1.1,0.05,completed,0.2170149260434586,2136.95225208998,185,multicomponent,True,,20.65293770000017
map_0017,training,True,RMG_2026_Burke,300,1,0.8,0.4,completed,0.2622834532233262,1908.575816726764,194,multicomponent,True,,378.4099239999998
map_0018,training,True,RMG_2026_Burke,300,5,0.7,0.3,completed,0.0605264422101022,1774.3160212690825,209,multicomponent,True,,145.40903639999988
map_0019,training,True,RMG_2026_Burke,300,1,1.2,0.5,completed,0.5249048139076811,2051.895478889567,206,multicomponent,True,,77.35698980000006
