design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role,mechanism_id,status,runtime_s,total_residence_time_s,ambient_temperature_K,psr_temperature_K,outlet_temperature_K,psr_steps,pfr_steps,converged,failure_reason,steady_mass_flow_kg_per_s,fuel_heat_input_W,X_NO,X_NO2,X_N2O,X_NH3,X_H2,X_O2,X_H2O,X_dry_NO,X_dry_NO2,X_dry_N2O,X_dry_NH3,X_dry_H2,X_dry_O2,Y_NO,Y_NO2,Y_N2O,Y_NH3,Y_H2,Y_O2,Y_H2O,EI_g_per_MJ_NO,EI_g_per_MJ_NO2,EI_g_per_MJ_N2O,EI_g_per_MJ_NH3,X_dry_O2corr15_NO,X_dry_O2corr15_NO2,X_dry_O2corr15_N2O,X_dry_O2corr15_NH3
reactor_0001,750,10,10,1.0,0.3,0.5,0.0,primary_map,RMG_2026_Burke,completed,0.3456690000002709,0.01,300.0,2434.0423798469196,2446.288357791822,620,560,True,,0.2432435597330923,670507.3963120658,0.001636956612196757,9.804274441797893e-07,3.3507904468262966e-07,7.613109474614299e-08,0.008661500310361201,0.002478423515387058,0.298210784421267,0.00233254740292188,1.3970397697993637e-06,4.774639410870762e-07,1.0848142584146324e-07,0.012342025380396396,0.0035315782294306373,0.0019842417580242947,1.822089922577447e-06,5.957685204612318e-07,5.237831648094424e-08,0.0007053959545420486,0.003203669205515862,0.2170235799451638,0.7198340111497339,0.0006610093212383513,0.00021613013740188607,1.900156243425186e-05,0.0006697880656622788,4.0115822036244797e-07,1.3710317274735855e-07,3.1150305577336676e-08
reactor_0002,750,20,20,0.6,0.7,0.5,0.0,primary_map,RMG_2026_Burke,completed,0.33627270000033604,0.02,300.0,2065.452116349104,2067.5351105440304,600,479,True,,0.30403575568883634,562469.9940751863,0.004762419133827241,3.468905731160768e-05,1.110714993209195e-06,2.467420524029205e-10,8.499950141569299e-05,0.066592281442124,0.20732005140613713,0.00600799748028862,4.376174441291557e-05,1.4012149483275e-06,3.1127575869758894e-10,0.00010723054312963742,0.0840090399161127,0.005455228615586262,6.0922086530393945e-05,1.8662114184967225e-06,1.6042075576900343e-10,6.5416023725805e-06,0.08134370776565135,0.14257809590811216,2.94875206156051,0.0329306324097585,0.001008756031209625,8.671332910584303e-08,0.0028359799068598712,2.065703726596832e-05,6.614212891543329e-07,1.4693278418560794e-10
reactor_0003,750,5,5,0.6,0.7,0.5,0.0,primary_map,RMG_2026_Burke,completed,0.3350045000006503,0.005,300.0,2042.7383112752916,2057.32618651154,690,627,True,,0.30449039209696355,563311.0771813701,0.007812265886486022,2.8556937417838028e-05,6.696051549313002e-07,2.104343648131834e-10,0.00015980658811662004,0.06493462826657838,0.20691730287221996,0.00985050602513312,3.6007515384284054e-05,8.443068514246184e-07,2.6533722848233896e-10,0.00020150053543643544,0.08187623876015067,0.008950658484070744,5.0163349888606275e-05,1.1253033873941227e-06,1.3684428926310095e-10,1.2301415086273746e-05,0.07933577320083054,0.14233147212659528,4.838160692627772,0.027115138855259936,0.0006082679420581605,7.396938029772858e-08,0.004571764159701975,1.6711615412829783e-05,3.918551791436244e-07,1.2314689502398612e-10
reactor_0004,750,5,20,1.4,0.7,0.5,0.0,primary_map,RMG_2026_Burke,completed,0.35277400000086345,0.02,300.0,2356.2087589597145,2364.7953927864196,510,558,True,,0.05729732605789052,220767.3840396985,0.00011165037057130243,3.479654909488571e-09,1.4755571865138899e-08,2.301308247271287e-06,0.10624355390729183,1.1106115243740618e-05,0.2653803253202065,0.0001519839100687967,4.736675356544576e-09,2.0086001469495856e-08,3.132652618205989e-06,0.14462388848161647,1.5118183771189574e-05,0.00014866612343974946,7.1037055867628875e-09,2.8819123010386193e-08,1.7392366805042875e-06,0.009504666014308447,1.5769893232885248e-05,0.21215180538032807,0.03858437416171124,1.8436751288896031e-06,7.47963153620384e-06,0.00045139643977833957,4.290765253509675e-05,1.3372443193373047e-09,5.670621130108121e-09,8.844013158649478e-07
reactor_0005,750,20,5,1.4,0.7,0.5,0.0,primary_map,RMG_2026_Burke,completed,0.32426699999996345,0.005,300.0,2369.0453583928233,2373.6361812245555,480,599,True,,0.9140390632567009,3521805.0612239605,7.379291499665577e-05,2.3878167334011175e-09,1.7773313971195917e-08,1.1165720558033846e-05,0.10648638181783249,3.0565953984258807e-06,0.2660955579199101,0.00010054839671975014,3.2535798892746565e-09,2.4217477033960152e-08,1.5214134045008746e-05,0.14509570417099585,4.164841119863829e-06,9.818502148108045e-05,4.871116253963371e-09,3.4687408343421795e-08,8.432364511108587e-06,0.009519345000843994,4.336938435529945e-06,0.2125662736725481,0.025482655484973395,1.2642353737318426e-06,9.002669278351545e-06,0.002188511409570776,2.8385041271063793e-05,9.184930088261062e-10,6.836648892631957e-09,4.294984672652105e-06
reactor_0006,750,5,5,1.4,0.7,0.5,0.0,primary_map,RMG_2026_Burke,completed,0.3119000999995478,0.005,300.0,2347.403272806625,2362.5699484159218,520,545,True,,0.22918930423156209,883069.536158794,0.0004029929369705395,1.2398392390088936e-08,5.930082957984434e-08,6.505717144045219e-06,0.1065150518159867,1.0786725636862483e-05,0.26507065635563054,0.0005483424229221507,1.6870182824117156e-08,8.068915752605991e-08,8.852166810736733e-06,0.14493237035250162,1.467722813103807e-05,0.0005366656449220907,2.5314459965031828e-08,1.1583505139108413e-07,4.917377853862222e-06,0.009530150645885235,1.531830532027724e-05,0.21193084751877342,0.1392846437662175,6.5700414619898005e-06,3.0063493017129637e-05,0.0012762419750914327,0.00015480610084624445,4.76273057562726e-09,2.2779878657958825e-08,2.4991125448727918e-06
reactor_0007,750,5,20,0.6,0.7,0.5,0.0,primary_map,RMG_2026_Burke,completed,0.32204730000012205,0.02,300.0,2053.72834064526,2060.3285286829264,670,544,True,,0.0761225980242409,140827.76929534253,0.006435200201835493,2.353307457667834e-05,6.178066158469456e-07,1.9968515796776004e-10,0.00016238556270398486,0.06561808497255603,0.2068934562893116,0.008113916412449806,2.967202170161743e-05,7.789705188365094e-07,2.5177595564083725e-10,0.00020474621473205287,0.08273552335799714,0.0073730371349467454,4.13389993529562e-05,1.0382687441572826e-06,1.298560502090738e-10,1.2500120401242774e-05,0.08017198553782208,0.14231716212029302,3.9853982268532167,0.022345252262498998,0.000561222510646074,7.019197961128171e-08,0.003791415298000675,1.3864939109984489e-05,3.6399200973732423e-07,1.1764814441774543e-10
reactor_0008,750,20,5,0.6,0.7,0.5,0.0,primary_map,RMG_2026_Burke,completed,0.3308025999995152,0.005,300.0,2061.4428541458883,2065.945798512496,630,560,True,,1.2161430227553458,2249879.976300746,0.005477406039281107,3.989070706209928e-05,1.1332645554554592e-06,2.5606757832468996e-10,8.428179083519314e-05,0.06623350854798823,0.2073291879033902,0.006910063995914519,5.032443033519625e-05,1.4296786738721725e-06,3.230440359566068e-10,0.00010632634575287095,0.08355739550041079,0.006274183534785693,7.005690496001874e-05,1.9040855404869334e-06,1.664826272011072e-10,6.48632133855914e-06,0.08090489019637165,0.14258337503083468,3.3914273693220935,0.03786833833822805,0.0010292283895960987,8.99899939611453e-08,0.003250042339166289,2.366932193110118e-05,6.724273789989301e-07,1.5193879461823687e-10
reactor_0009,750,20,20,1.4,0.7,0.5,0.0,primary_map,RMG_2026_Burke,completed,0.34774579999975685,0.02,300.0,2370.818802451193,2373.954018277101,470,613,True,,0.22850976581417523,880451.2653059901,3.289545632350357e-05,1.0663041489186473e-09,1.2264751616144085e-08,5.406787284820581e-06,0.10645571418234327,3.069475437179477e-06,0.26613887879591114,4.482517927851263e-05,1.4530053686031217e-09,1.6712633033373658e-08,7.3675892189919375e-06,0.14506247995216745,4.1826380339419114e-06,4.376840431881247e-05,2.175218195933649e-09,2.3936267112036964e-08,4.083157442304873e-06,0.009516476929358714,4.355155739476242e-06,0.21259805298073628,0.011359524615455089,5.6454981682011e-07,6.21234928924339e-06,0.0010597308308702652,1.2654251222893306e-05,4.1018675794410995e-10,4.718014749842025e-09,2.079887384385668e-06
reactor_0010,750,20,20,0.6,0.0,0.5,0.0,primary_map,RMG_2026_Burke,completed,0.3363800999995874,0.02,300.0,1939.5458545445128,1941.5011078186158,620,596,True,,0.3239277377557917,544522.8357766867,0.003633187089802827,3.296258367486734e-05,7.920814368056226e-07,7.036871895885048e-11,3.2767752653739694e-05,0.06735456617210961,0.2077970884635185,0.004586182450095068,4.160876360696055e-05,9.998466620999622e-07,8.882663511343325e-11,4.136282785200382e-05,0.08502186143380247,0.0041607547815543855,5.787653653051823e-05,1.3305373210031609e-06,4.573998813002555e-11,2.5212356432435778e-06,0.08225572432173751,0.14287293892702885,2.475165034764938,0.03442980590654208,0.0007915149119089678,2.720997156859789e-08,0.0021825199804168024,1.9801209158337875e-05,4.758173799520295e-07,4.227173864926418e-11
