"design_id","dataset_id","campaign_id","doi","mechanism_id","experimental_m_per_s","temperature_K","pressure_Pa","equivalence_ratio","cracking_ratio","apparatus","status","simulated_m_per_s","relative_error","converged","failure_reason","grid_points","transport_model","soret_enabled","runtime_s"
"lbv_0001","x20199018:gdg1:p5:laminar burning velocity","campaign_0ddb81cb8c2a","10.1016/j.fuel.2020.118425","Shrestha_2018","0.7690000000000001","303.0","100000.0","1.0","0.0","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0002","x20199021:gdg1:p2:laminar burning velocity","campaign_0ddb81cb8c2a","10.1016/j.fuel.2020.118425","Shrestha_2018","0.657","333.0","100000.0","0.7","0.0","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0003","x20199021:gdg1:p4:laminar burning velocity","campaign_0ddb81cb8c2a","10.1016/j.fuel.2020.118425","Shrestha_2018","0.8890000000000001","393.0","100000.0","0.7","0.0","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0004","x20199024:gdg1:p2:laminar burning velocity","campaign_0ddb81cb8c2a","10.1016/j.fuel.2020.118425","Shrestha_2018","0.529","333.0","100000.0","1.4","0.0","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0005","x20199024:gdg1:p4:laminar burning velocity","campaign_0ddb81cb8c2a","10.1016/j.fuel.2020.118425","Shrestha_2018","0.648","393.0","100000.0","1.4","0.0","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0006","x20100007:gdg1:p1:laminar burning velocity","campaign_11f336e77db5","10.1016/j.ijhydene.2009.11.071","Shrestha_2018","0.07","298.0","101325.0","0.6","0.222222745445213","outwardly propagating spherical flame; constant volume combustion chamber","completed","0.0476799410643001","0.3188579847957117","True","","183","multicomponent","True","217.8033034"
"lbv_0007","x20100007:gdg1:p2:laminar burning velocity","campaign_11f336e77db5","10.1016/j.ijhydene.2009.11.071","Shrestha_2018","0.15","298.0","101325.0","0.6","0.4","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0008","x20100009:gdg1:p2:laminar burning velocity","campaign_11f336e77db5","10.1016/j.ijhydene.2009.11.071","Shrestha_2018","0.233","298.0","101325.0","1.0","0.2222208348031304","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0009","x20100010:gdg1:p2:laminar burning velocity","campaign_11f336e77db5","10.1016/j.ijhydene.2009.11.071","Shrestha_2018","0.3879999999999999","298.0","101325.0","1.25","0.4","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0010","x20100011:gdg1:p1:laminar burning velocity","campaign_11f336e77db5","10.1016/j.ijhydene.2009.11.071","Shrestha_2018","0.206","298.0","101325.0","1.67","0.4","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0011","x20100082:gdg1:p1:laminar burning velocity","campaign_16f8038c5740","10.1016/j.ijhydene.2021.09.188","Shrestha_2018","0.469","368.0","101325.0","0.7","0.2222208348031304","flame cone method; modified Bunsen burner","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0012","x20100082:gdg1:p3:laminar burning velocity","campaign_16f8038c5740","10.1016/j.ijhydene.2021.09.188","Shrestha_2018","0.569","368.0","101325.0","0.9","0.2222216460901082","flame cone method; modified Bunsen burner","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0013","x20100082:gdg1:p5:laminar burning velocity","campaign_16f8038c5740","10.1016/j.ijhydene.2021.09.188","Shrestha_2018","0.5650000000000001","368.0","101325.0","1.1","0.2222212196032561","flame cone method; modified Bunsen burner","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0014","x20100082:gdg1:p7:laminar burning velocity","campaign_16f8038c5740","10.1016/j.ijhydene.2021.09.188","Shrestha_2018","0.447","368.0","101325.0","1.3","0.2222219974674633","flame cone method; modified Bunsen burner","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0015","x20100082:gdg1:p9:laminar burning velocity","campaign_16f8038c5740","10.1016/j.ijhydene.2021.09.188","Shrestha_2018","0.341","368.0","101325.0","1.5","0.2222222222222222","flame cone method; modified Bunsen burner","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0016","x20100073:gdg1:p4:laminar burning velocity","campaign_56edf2653b54","10.1016/j.combustflame.2021.111472","Shrestha_2018","0.3027","298.0","202650.0","1.1","0.4","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0017","x20100075:gdg1:p4:laminar burning velocity","campaign_56edf2653b54","10.1016/j.combustflame.2021.111472","Shrestha_2018","0.0796","298.0","1013250.0","1.4","0.4","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0018","x20100076:gdg1:p1:laminar burning velocity","campaign_56edf2653b54","10.1016/j.combustflame.2021.111472","Shrestha_2018","0.0943","298.0","101325.0","1.0","0.0999995328579903","outwardly propagating spherical flame; constant volume combustion chamber","failed","","","False","TimeoutError: exceeded 300 s","0","multicomponent","True","300.0"
"lbv_0019","x20100076:gdg1:p8:laminar burning velocity","campaign_56edf2653b54","10.1016/j.combustflame.2021.111472","Shrestha_2018","1.1266","298.0","101325.0","1.0","0.7999999999999999","outwardly propagating spherical flame; constant volume combustion chamber","completed","0.9911292054627484","0.1202474654156325","True","","202","multicomponent","True","250.5846829000002"
