design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0001,training,True,MEI_2019,300,1,1.1,0.2,completed,0.1594373005091944,2046.9649275911925,170,multicomponent,True,,16.84683799999948
map_0003,training,True,MEI_2019,300,10,1.4,0.1,completed,0.0503671024191603,1913.1496777900848,179,multicomponent,True,,35.77767740000036
map_0005,training,True,MEI_2019,300,5,0.7,0.0,completed,0.0149494829509351,1726.4558884148282,183,multicomponent,True,,13.45117830000072
map_0007,training,True,MEI_2019,300,1,0.6,0.2,completed,0.0398984663613175,1607.8885696784628,172,multicomponent,True,,9.839301199999682
map_0009,training,True,MEI_2019,450,1,0.9,0.5,completed,0.9495656969044628,2127.3220086066585,180,multicomponent,True,,4.819123199999922
map_0011,training,True,MEI_2019,450,5,1.1,0.0,completed,0.1315378416232548,2132.627937009485,170,multicomponent,True,,6.972627500000272
map_0013,training,True,MEI_2019,450,1,0.8,0.0,completed,0.0933895250595336,1952.9257728479893,190,multicomponent,True,,10.556787800000166
map_0015,training,True,MEI_2019,300,5,1.0,0.2,completed,0.0854441988575933,2107.0598576360444,195,multicomponent,True,,9.802408499999729
map_0017,training,True,MEI_2019,300,1,0.8,0.4,completed,0.256328570796506,1895.563432027918,168,multicomponent,True,,12.581680000000231
map_0019,training,True,MEI_2019,300,1,1.2,0.5,completed,0.5302843801758573,2022.892277639181,191,multicomponent,True,,8.320421800000076
map_0021,training,True,MEI_2019,300,10,1.2,0.3,completed,0.1119346562861667,2044.13320710278,186,multicomponent,True,,53.3352332000004
map_0023,training,True,MEI_2019,300,1,0.9,0.0,completed,0.0518504806865372,1964.9515920499648,186,multicomponent,True,,35.327728400000524
map_0025,training,True,MEI_2019,450,5,1.0,0.2,completed,0.194393027405199,2205.2046834247544,209,multicomponent,True,,7.596579799999745
map_0027,training,True,MEI_2019,450,1,0.8,0.3,completed,0.3575101543684297,1987.3379987304636,162,multicomponent,True,,6.654347300000154
map_0029,training,True,MEI_2019,300,10,1.1,0.1,completed,0.0661458216636991,2054.569379187173,203,multicomponent,True,,172.01131470000018
map_0031,training,True,MEI_2019,450,1,1.2,0.5,completed,1.0649678526212631,2118.598032123844,184,multicomponent,True,,5.813308299999335
map_0033,training,True,MEI_2019,450,1,1.3,0.2,completed,0.2963554674584743,2055.348384745837,149,multicomponent,True,,5.310317100000248
map_0035,training,True,MEI_2019,300,1,1.4,0.4,completed,0.2688321118640732,1938.660413019637,162,multicomponent,True,,7.338001900000563
map_0037,training,True,MEI_2019,300,1,0.8,0.2,completed,0.094715909917263,1876.961252469948,181,multicomponent,True,,10.298369799999818
map_0039,training,True,MEI_2019,450,5,0.9,0.0,completed,0.0874120176548434,2074.8851600208427,196,multicomponent,True,,16.124149999999645
map_0041,training,True,MEI_2019,300,1,1.0,0.4,completed,0.3576289735208554,2093.346905860861,169,multicomponent,True,,9.472878800000217
map_0043,training,True,MEI_2019,300,5,1.4,0.0,completed,0.0426266286102479,1882.855442440546,172,multicomponent,True,,6.483346500000152
map_0045,training,True,MEI_2019,300,1,1.2,0.7,completed,0.978601605803142,2046.9923754268464,198,multicomponent,True,,9.802986400000009
map_0047,training,True,MEI_2019,300,5,0.8,0.2,completed,0.0547809605788837,1887.1578330223072,195,multicomponent,True,,39.14504240000042
map_0049,training,True,MEI_2019,300,1,1.0,0.1,completed,0.0954534350589492,2068.833955483673,166,multicomponent,True,,6.260395500000413
map_0051,training,True,MEI_2019,300,1,0.7,0.1,completed,0.0386938555338141,1737.8847461927692,177,multicomponent,True,,10.408691099999489
map_0053,training,True,MEI_2019,300,1,0.9,0.3,completed,0.1958149242646005,2002.4492446903323,165,multicomponent,True,,6.856766199999584
map_0055,training,True,MEI_2019,300,1,0.9,0.5,completed,0.4460426450517376,2027.0218512596412,194,multicomponent,True,,11.2066834999996
map_0057,training,True,MEI_2019,300,5,0.8,0.4,completed,0.1204110418050984,1915.032792479541,192,multicomponent,True,,15.219372099999418
