design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0002,training,True,NUIG_2024,300,1,0.6,0.7,completed,0.2871272429507291,1651.695114618563,184,multicomponent,True,,15.658924199999092
map_0004,training,True,NUIG_2024,300,1,1.4,0.7,completed,0.9590693273314038,1980.7612636791189,204,multicomponent,True,,15.116794600000503
map_0006,training,True,NUIG_2024,300,5,0.9,0.5,completed,0.2084510532680515,2055.124060607851,204,multicomponent,True,,36.06701989999965
map_0008,training,True,NUIG_2024,300,5,1.4,0.5,completed,0.2454090278786795,1978.2197640921463,194,multicomponent,True,,25.94180990000132
map_0010,training,True,NUIG_2024,450,1,1.4,0.0,completed,0.1472328932396985,1970.9884023939835,159,multicomponent,True,,5.675582299998496
map_0012,training,True,NUIG_2024,450,1,1.4,0.4,completed,0.6164423923091706,2038.8368539385451,179,multicomponent,True,,7.176878899999792
map_0014,training,True,NUIG_2024,300,1,1.0,0.7,completed,0.8251363962804078,2145.5131861776185,191,multicomponent,True,,20.16460879999977
map_0016,training,True,NUIG_2024,450,1,1.1,0.05,completed,0.2117611384592649,2129.938270112497,166,multicomponent,True,,5.872952499999883
map_0018,training,True,NUIG_2024,300,5,0.7,0.3,completed,0.0507896549268247,1771.8534676310935,181,multicomponent,True,,32.13053050000053
map_0020,training,True,NUIG_2024,300,1,1.4,0.2,completed,0.1394042630803112,1905.8707870005128,165,multicomponent,True,,9.755581600000369
map_0022,training,True,NUIG_2024,450,1,1.1,0.3,completed,0.5510397614100071,2158.7147187858923,179,multicomponent,True,,5.960209799999575
map_0024,training,True,NUIG_2024,300,5,1.2,0.0,completed,0.0555505669103977,1980.3356868011008,161,multicomponent,True,,33.08896910000112
map_0026,training,True,NUIG_2024,300,1,1.2,0.0,completed,0.0860570395782166,1970.566477638592,166,multicomponent,True,,9.306608500000948
map_0028,training,True,NUIG_2024,300,5,1.3,0.2,completed,0.0939265076931435,1970.3561325847236,192,multicomponent,True,,48.35537409999961
map_0030,training,True,NUIG_2024,300,5,1.1,0.4,completed,0.2100626279464517,2109.205264584198,204,multicomponent,True,,42.6040782
map_0032,training,True,NUIG_2024,450,5,1.3,0.1,completed,0.1550923836213307,2053.068382026016,172,multicomponent,True,,11.480358000000706
map_0034,training,True,NUIG_2024,300,1,0.6,0.0,completed,0.0114562980275941,1584.006563864873,181,multicomponent,True,,65.17449449999913
map_0036,training,True,NUIG_2024,300,1,0.6,0.5,completed,0.1746263925607867,1634.6560749345592,167,multicomponent,True,,26.76684920000116
map_0038,training,True,NUIG_2024,300,5,0.9,0.0,completed,0.035038550695938,1973.8225628647824,192,multicomponent,True,,71.87987179999982
map_0040,training,True,NUIG_2024,300,1,0.8,0.7,completed,0.5660274520306888,1942.4150431763385,191,multicomponent,True,,27.46270100000038
map_0042,training,True,NUIG_2024,300,1,1.4,0.0,completed,0.0669062067803812,1872.730435928418,153,multicomponent,True,,15.598435699999754
map_0044,training,True,NUIG_2024,300,10,1.4,0.3,completed,0.0839296191213725,1956.6394983905388,188,multicomponent,True,,36.40363259999867
map_0046,training,True,NUIG_2024,450,5,1.2,0.2,completed,0.2283467041885875,2123.7898430810724,167,multicomponent,True,,14.872702499998924
map_0048,training,True,NUIG_2024,450,1,1.0,0.2,completed,0.3405401452479593,2175.994982358548,191,multicomponent,True,,14.396961699998428
map_0050,training,True,NUIG_2024,450,1,0.9,0.1,completed,0.1927706556491379,2079.1866190434903,189,multicomponent,True,,17.451808800000435
map_0052,training,True,NUIG_2024,300,1,0.7,0.3,completed,0.1282847546663842,1760.705046365627,182,multicomponent,True,,28.376446700000088
map_0054,training,True,NUIG_2024,300,5,0.9,0.3,completed,0.1007667550726304,2024.4715109705144,205,multicomponent,True,,47.553204599998935
map_0056,training,True,NUIG_2024,300,1,1.3,0.1,completed,0.1103509936241892,1938.051579306376,166,multicomponent,True,,9.47171150000031
map_0058,training,True,NUIG_2024,450,1,1.0,0.4,completed,0.7622231078394298,2198.384331670737,199,multicomponent,True,,16.725190099999963
map_0060,training,True,NUIG_2024,300,5,1.4,0.3,completed,0.1178328818881085,1943.1363719541516,177,multicomponent,True,,43.0738192000008
map_0062,training,True,NUIG_2024,300,5,1.1,0.1,completed,0.0786883449942442,2054.330607578959,193,multicomponent,True,,33.13798769999994
map_0064,training,True,NUIG_2024,300,5,1.3,0.4,completed,0.1885062082969548,2007.1587280270276,187,multicomponent,True,,32.64035199999853
map_0066,training,True,NUIG_2024,450,1,1.0,0.0,completed,0.153126857318797,2150.198857349701,181,multicomponent,True,,21.53465830000096
map_0068,training,True,NUIG_2024,300,5,0.8,0.05,completed,0.0301618928308005,1864.801236554804,188,multicomponent,True,,91.4064042000009
map_0070,training,True,NUIG_2024,450,5,1.0,0.05,completed,0.1181907446012065,2182.8193641447106,188,multicomponent,True,,34.4722856999997
map_0072,training,True,NUIG_2024,450,1,1.3,0.05,completed,0.1944550633241768,2028.5982982408195,164,multicomponent,True,,8.518470900000466
map_0074,training,False,NUIG_2024,300,20,0.6,0.7,completed,0.0358677537986605,1686.340985938166,203,multicomponent,True,,61.34028740000031
map_0076,training,False,NUIG_2024,300,10,1.4,0.7,completed,0.385150181689337,2029.9383720319745,201,multicomponent,True,,34.90857770000002
map_0078,training,False,NUIG_2024,750,1,0.6,0.7,completed,3.230972024319511,2020.4336250799731,190,multicomponent,True,,15.812617200001114
map_0080,training,False,NUIG_2024,750,20,0.6,0.7,completed,0.7504525332591372,2025.6680021799425,186,multicomponent,True,,23.9556552999984
map_0082,training,False,NUIG_2024,750,1,0.6,0.0,completed,0.2371079592637461,1922.471078494136,167,multicomponent,True,,21.98534389999986
map_0084,training,False,NUIG_2024,750,20,0.6,0.0,completed,0.0846118524455023,1936.086056721166,180,multicomponent,True,,26.718882699999085
map_0086,training,False,NUIG_2024,450,1,1.0,0.7,completed,1.715305303571408,2237.086674212396,197,multicomponent,True,,13.700922699999865
map_0088,training,False,NUIG_2024,300,10,1.0,0.3,completed,0.0859509142050643,2140.047253977845,215,multicomponent,True,,74.245618500001
map_0090,training,False,NUIG_2024,750,1,1.0,0.4,completed,2.3186876557765386,2371.209655932504,193,multicomponent,True,,15.164363600000796
map_0092,training,False,NUIG_2024,450,5,1.4,0.2,completed,0.1920023359239041,2028.4349840880293,173,multicomponent,True,,14.048730599999544
map_0094,training,False,NUIG_2024,450,5,0.6,0.5,completed,0.1829810244446878,1760.180245037143,175,multicomponent,True,,29.588505699999587
map_0096,training,False,NUIG_2024,600,1,1.0,0.05,completed,0.3456822380763024,2244.619778767257,186,multicomponent,True,,15.571456800000306
map_0098,training,False,NUIG_2024,450,5,0.8,0.0,completed,0.0641237819604345,1961.16825580886,188,multicomponent,True,,39.5721614999984
map_0100,training,False,NUIG_2024,300,5,0.9,0.7,completed,0.3965731017138495,2082.210179608649,194,multicomponent,True,,39.38356999999996
map_0102,training,False,NUIG_2024,750,5,0.9,0.0,completed,0.3133388282921097,2286.1263623792265,192,multicomponent,True,,29.64725339999859
map_0104,training,False,NUIG_2024,600,1,1.4,0.3,completed,0.7448174175169684,2129.491099302094,171,multicomponent,True,,8.39300539999931
map_0106,training,False,NUIG_2024,300,5,0.6,0.2,completed,0.0137409041461767,1614.113014662759,183,multicomponent,True,,71.74349429999893
map_0108,training,False,NUIG_2024,450,1,1.4,0.7,completed,1.93743861227152,2082.366829045254,201,multicomponent,True,,14.432809000001726
map_0110,training,False,NUIG_2024,600,5,1.2,0.0,completed,0.2424119951813489,2184.4384390007617,168,multicomponent,True,,9.324695900000734
map_0112,training,False,NUIG_2024,600,10,0.8,0.7,completed,1.0232026897369846,2173.473769853159,190,multicomponent,True,,19.80513659999997
map_0114,training,False,NUIG_2024,600,10,0.6,0.2,completed,0.0901639271730668,1843.488089344092,189,multicomponent,True,,36.84838299999865
map_0116,training,False,NUIG_2024,450,1,0.7,0.0,completed,0.0742332611342807,1830.507629486288,178,multicomponent,True,,46.33224449999943
map_0118,training,False,NUIG_2024,600,20,0.6,0.5,completed,0.1642802808953017,1884.456342820444,165,multicomponent,True,,19.981796200001558
map_0120,training,False,NUIG_2024,750,1,0.6,0.3,completed,0.9364595057565082,1951.827265305355,175,multicomponent,True,,9.235784799999236
map_0122,interpolation_holdout,True,NUIG_2024,300,10,1.4,0.2,completed,0.0601279943361681,1939.0737797634383,174,multicomponent,True,,47.505589399999735
map_0124,interpolation_holdout,True,NUIG_2024,300,1,1.3,0.7,completed,0.9913381031321375,2025.2430432353303,201,multicomponent,True,,39.86920159999863
map_0126,interpolation_holdout,True,NUIG_2024,300,5,1.0,0.5,completed,0.2525797103775467,2158.582123781572,201,multicomponent,True,,40.80015640000056
map_0128,interpolation_holdout,True,NUIG_2024,300,5,0.7,0.2,completed,0.0332952009220603,1758.192488784853,194,multicomponent,True,,61.21548200000143
map_0130,interpolation_holdout,True,NUIG_2024,450,1,1.0,0.5,completed,1.0464091565178777,2210.9824424721864,187,multicomponent,True,,18.630868400001415
map_0132,interpolation_holdout,True,NUIG_2024,450,1,0.9,0.0,completed,0.1283943746075567,2065.382399891156,172,multicomponent,True,,24.048686199999796
map_0134,interpolation_holdout,False,NUIG_2024,450,1,0.7,0.7,completed,0.9958924037551752,1916.8445854023385,175,multicomponent,True,,13.333654599999136
map_0136,interpolation_holdout,False,NUIG_2024,300,20,1.4,0.7,completed,0.2470280083068848,2042.06500268193,204,multicomponent,True,,46.36009870000089
map_0138,interpolation_holdout,False,NUIG_2024,300,5,0.6,0.0,completed,0.0051530798706264,1585.2861166289065,161,multicomponent,True,,54.5496445000008
