design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0001,training,True,Otomo_2018,300,1,1.1,0.2,completed,0.1322747426529851,2058.6418995615304,187,multicomponent,True,,4.115175400000226
map_0003,training,True,Otomo_2018,300,10,1.4,0.1,completed,0.0445948761073343,1917.9386303756264,184,multicomponent,True,,6.689755100000184
map_0005,training,True,Otomo_2018,300,5,0.7,0.0,completed,0.0170801891591781,1728.5976544189907,191,multicomponent,True,,21.770470900000877
map_0007,training,True,Otomo_2018,300,1,0.6,0.2,completed,0.0397876300635372,1609.5733145533677,179,multicomponent,True,,11.498367099999086
map_0009,training,True,Otomo_2018,450,1,0.9,0.5,completed,0.8893217629808218,2132.992076982708,189,multicomponent,True,,6.163393800001359
map_0011,training,True,Otomo_2018,450,5,1.1,0.0,completed,0.1239064114432605,2134.1183472249995,164,multicomponent,True,,4.396061499999632
map_0013,training,True,Otomo_2018,450,1,0.8,0.0,completed,0.1048910532646186,1954.6040966054657,186,multicomponent,True,,8.930666299998848
map_0015,training,True,Otomo_2018,300,5,1.0,0.2,completed,0.0832972346599014,2112.910079559781,211,multicomponent,True,,6.890695899999628
map_0017,training,True,Otomo_2018,300,1,0.8,0.4,completed,0.2254453548953228,1899.636629060446,192,multicomponent,True,,9.237473899998804
map_0019,training,True,Otomo_2018,300,1,1.2,0.5,completed,0.5050853993822391,2036.5066064679947,196,multicomponent,True,,6.5053941999995
map_0021,training,True,Otomo_2018,300,10,1.2,0.3,completed,0.0996000130542655,2044.800975823408,188,multicomponent,True,,8.13284829999975
map_0023,training,True,Otomo_2018,300,1,0.9,0.0,completed,0.0553379120889665,1968.8566490704889,192,multicomponent,True,,10.07863550000002
map_0025,training,True,Otomo_2018,450,5,1.0,0.2,completed,0.1875659563645389,2211.174637424977,209,multicomponent,True,,8.495521799999551
map_0027,training,True,Otomo_2018,450,1,0.8,0.3,completed,0.3187723602731728,1990.8587466141007,165,multicomponent,True,,9.264256300000852
map_0029,training,True,Otomo_2018,300,10,1.1,0.1,completed,0.061452601827835,2056.578822252332,189,multicomponent,True,,6.863979200001268
map_0031,training,True,Otomo_2018,450,1,1.2,0.5,completed,1.0177648657901113,2134.7732143947337,194,multicomponent,True,,4.26030130000072
map_0033,training,True,Otomo_2018,450,1,1.3,0.2,completed,0.2355910313895018,2056.8677420533218,163,multicomponent,True,,3.084257099999377
map_0035,training,True,Otomo_2018,300,1,1.4,0.4,completed,0.2053387990880993,1938.142462196161,181,multicomponent,True,,4.486814100000629
map_0037,training,True,Otomo_2018,300,1,0.8,0.2,completed,0.0904535785899915,1880.400868664684,174,multicomponent,True,,9.881603499999985
map_0039,training,True,Otomo_2018,450,5,0.9,0.0,completed,0.0944045352091887,2076.9823333521967,196,multicomponent,True,,14.555478700000094
map_0041,training,True,Otomo_2018,300,1,1.0,0.4,completed,0.3166582303570731,2109.53036168967,195,multicomponent,True,,7.0896905999998125
map_0043,training,True,Otomo_2018,300,5,1.4,0.0,completed,0.0390741865183676,1887.2533580036616,166,multicomponent,True,,6.095408400000451
map_0045,training,True,Otomo_2018,300,1,1.2,0.7,completed,0.991453647722796,2058.7460366818755,208,multicomponent,True,,25.78221330000088
map_0047,training,True,Otomo_2018,300,5,0.8,0.2,completed,0.0576177650422235,1890.260737292822,198,multicomponent,True,,21.41202049999993
map_0049,training,True,Otomo_2018,300,1,1.0,0.1,completed,0.0879052003436374,2076.680775928524,174,multicomponent,True,,6.477776800000356
map_0051,training,True,Otomo_2018,300,1,0.7,0.1,completed,0.0423787888655075,1739.1724999881908,177,multicomponent,True,,13.848486099999718
map_0053,training,True,Otomo_2018,300,1,0.9,0.3,completed,0.1714990722084708,2013.036820157099,176,multicomponent,True,,11.983124000000316
map_0055,training,True,Otomo_2018,300,1,0.9,0.5,completed,0.4119872126488768,2030.7229529249232,192,multicomponent,True,,14.496272599999427
map_0057,training,True,Otomo_2018,300,5,0.8,0.4,completed,0.1145099377106467,1917.861760135734,188,multicomponent,True,,17.94453649999923
map_0059,training,True,Otomo_2018,300,1,1.3,0.3,completed,0.1559758981876465,1972.704120766141,170,multicomponent,True,,4.672883799999909
map_0061,training,True,Otomo_2018,300,10,1.3,0.2,completed,0.0670210599287651,1976.29860673616,180,multicomponent,True,,9.360111599999072
map_0063,training,True,Otomo_2018,300,5,1.2,0.3,completed,0.1225285862672505,2038.6761750085143,185,multicomponent,True,,7.538061999999627
map_0065,training,True,Otomo_2018,300,5,1.2,0.5,completed,0.2689353501996111,2076.398801714587,204,multicomponent,True,,12.639493700000456
map_0067,training,True,Otomo_2018,300,1,0.8,0.05,completed,0.0509735450548192,1859.6843780091529,191,multicomponent,True,,15.803698199999417
map_0069,training,True,Otomo_2018,300,5,1.0,0.05,completed,0.0539185958796611,2087.106526942688,191,multicomponent,True,,12.02409660000012
map_0071,training,True,Otomo_2018,300,5,1.3,0.05,completed,0.0529858089441012,1941.9074025174784,166,multicomponent,True,,5.100350800001252
map_0073,training,False,Otomo_2018,600,5,1.0,0.3,completed,0.4962762588553635,2319.507631716582,203,multicomponent,True,,8.366999600000781
map_0075,training,False,Otomo_2018,300,20,1.4,0.0,completed,0.0262530750652535,1904.749819037464,173,multicomponent,True,,7.855889499998739
map_0077,training,False,Otomo_2018,300,20,0.6,0.0,completed,0.0042162352312963,1586.9832919839223,163,multicomponent,True,,15.778804600000512
map_0079,training,False,Otomo_2018,750,1,1.4,0.7,completed,5.499082618333995,2293.0941922853194,201,multicomponent,True,,5.867489199999909
map_0081,training,False,Otomo_2018,750,20,1.4,0.7,completed,2.2078511940192644,2381.0881709726577,195,multicomponent,True,,15.56058370000028
map_0083,training,False,Otomo_2018,750,1,1.4,0.0,completed,0.4051728468456561,2171.022063497446,148,multicomponent,True,,2.904614399998536
map_0085,training,False,Otomo_2018,750,20,1.4,0.0,completed,0.2556354202578941,2195.264267309536,166,multicomponent,True,,7.197610699999132
map_0087,training,False,Otomo_2018,450,1,0.6,0.3,completed,0.1821043496151681,1724.2002182820888,172,multicomponent,True,,12.754626399999324
map_0089,training,False,Otomo_2018,750,5,1.0,0.7,completed,3.7635593064885673,2477.9483008289094,198,multicomponent,True,,9.92023960000006
map_0091,training,False,Otomo_2018,750,5,0.6,0.4,completed,0.666029990716793,1971.512781774682,183,multicomponent,True,,7.902298500001052
map_0093,training,False,Otomo_2018,750,5,1.4,0.4,completed,1.0254302660280254,2276.960347565924,176,multicomponent,True,,5.567182499999035
map_0095,training,False,Otomo_2018,450,20,1.0,0.7,completed,0.5597199881348278,2313.049373128624,212,multicomponent,True,,17.377273199999763
map_0097,training,False,Otomo_2018,600,20,1.0,0.0,completed,0.1478891777992992,2287.421220622478,197,multicomponent,True,,11.495136800000182
map_0099,training,False,Otomo_2018,750,20,1.0,0.4,completed,0.7660391064708071,2461.602647665458,205,multicomponent,True,,13.028027599999405
map_0101,training,False,Otomo_2018,450,20,1.3,0.4,completed,0.2196050329508656,2126.637621118028,184,multicomponent,True,,9.327019799999109
map_0103,training,False,Otomo_2018,450,20,0.7,0.3,completed,0.0812186287070922,1884.5753699881836,194,multicomponent,True,,15.114373100001105
map_0105,training,False,Otomo_2018,600,5,1.4,0.7,completed,2.301737843538165,2232.9480924902878,211,multicomponent,True,,11.575775799999974
map_0107,training,False,Otomo_2018,450,1,0.6,0.7,completed,0.7491530276113273,1763.3532784310312,184,multicomponent,True,,8.335258099999919
map_0109,training,False,Otomo_2018,450,5,1.2,0.5,completed,0.5842520276930746,2187.282303236394,193,multicomponent,True,,11.632543699999587
map_0111,training,False,Otomo_2018,300,20,1.0,0.0,completed,0.0308710009631713,2088.4482665947644,182,multicomponent,True,,15.907984600000418
map_0113,training,False,Otomo_2018,600,1,0.7,0.5,completed,1.2029403894876738,1992.1998380979328,175,multicomponent,True,,5.861401100000876
map_0115,training,False,Otomo_2018,450,10,1.1,0.1,completed,0.1357927877965025,2159.7058529530727,185,multicomponent,True,,9.048740300000643
map_0117,training,False,Otomo_2018,750,10,1.2,0.2,completed,0.5715947695642283,2339.47267069298,182,multicomponent,True,,8.715607600001022
map_0119,training,False,Otomo_2018,600,20,1.4,0.2,completed,0.2309636098618132,2144.2352170221043,179,multicomponent,True,,8.195673599999282
map_0121,interpolation_holdout,True,Otomo_2018,300,1,1.0,0.2,completed,0.1256481410349375,2090.8866107887293,192,multicomponent,True,,7.431498799998735
map_0123,interpolation_holdout,True,Otomo_2018,300,1,0.7,0.7,completed,0.4429327800369478,1801.7113707857225,185,multicomponent,True,,15.04982370000107
map_0125,interpolation_holdout,True,Otomo_2018,450,5,1.0,0.0,completed,0.107818054463251,2173.220497033628,181,multicomponent,True,,14.125444000001153
map_0127,interpolation_holdout,True,Otomo_2018,450,1,1.4,0.05,completed,0.1379829071523544,1979.7849138523495,152,multicomponent,True,,3.702204699999129
map_0129,interpolation_holdout,True,Otomo_2018,300,1,0.6,0.05,completed,0.0167952106089103,1591.961643768851,182,multicomponent,True,,29.14960529999917
map_0131,interpolation_holdout,True,Otomo_2018,300,1,1.4,0.3,completed,0.1370273113561444,1922.3014216512445,167,multicomponent,True,,3.661400400000275
map_0133,interpolation_holdout,False,Otomo_2018,600,10,1.0,0.3,completed,0.4002122293379141,2332.835956016432,182,multicomponent,True,,7.985518800000136
map_0135,interpolation_holdout,False,Otomo_2018,750,1,0.6,0.05,completed,0.3015356596026887,1925.4593194474096,160,multicomponent,True,,8.40965529999994
map_0137,interpolation_holdout,False,Otomo_2018,750,1,1.4,0.5,completed,2.3746998665671044,2255.7840843744107,179,multicomponent,True,,5.106905000000552
map_0139,interpolation_holdout,False,Otomo_2018,300,10,1.4,0.0,completed,0.0329355448467456,1894.35946296498,158,multicomponent,True,,6.2315044999995735
map_0141,interpolation_holdout,False,Otomo_2018,750,5,0.6,0.7,completed,1.8452942695858203,2011.0650981780968,182,multicomponent,True,,7.855003999999099
map_0143,interpolation_holdout,False,Otomo_2018,750,10,1.4,0.7,completed,3.048318512558983,2371.4907262757392,200,multicomponent,True,,15.005219399999987
