design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s
map_0005,training,True,RMG_2026_Burke,300,5,0.7,0.0,completed,0.016220937939935,1730.2028468368185,184,multicomponent,True,,158.0611778
map_0017,training,True,RMG_2026_Burke,300,1,0.8,0.4,completed,0.2622834532233262,1908.575816726764,194,multicomponent,True,,378.4099239999998
map_0029,training,True,RMG_2026_Burke,300,10,1.1,0.1,completed,0.0542237713207342,2062.768361445377,188,multicomponent,True,,157.6606953999999
map_0041,training,True,RMG_2026_Burke,300,1,1.0,0.4,completed,0.358136344510674,2120.7414405743466,210,multicomponent,True,,154.1600158000001
map_0053,training,True,RMG_2026_Burke,300,1,0.9,0.3,completed,0.2175959714731026,2013.546338567651,193,multicomponent,True,,320.94155869999986
map_0065,training,True,RMG_2026_Burke,300,5,1.2,0.5,completed,0.2550468243810932,2088.310780607017,190,multicomponent,True,,102.43184250000012
map_0077,training,False,RMG_2026_Burke,300,20,0.6,0.0,completed,0.0043479792467703,1587.7731263682074,174,multicomponent,True,,484.1310610000001
map_0089,training,False,RMG_2026_Burke,750,5,1.0,0.7,completed,3.495675445107949,2485.6634289838903,194,multicomponent,True,,45.97539239999969
map_0101,training,False,RMG_2026_Burke,450,20,1.3,0.4,completed,0.1888906734883154,2137.120174918548,189,multicomponent,True,,61.31577879999986
map_0113,training,False,RMG_2026_Burke,600,1,0.7,0.5,completed,1.2882266354226293,2004.9805769635327,181,multicomponent,True,,31.071962100000743
map_0011,training,True,RMG_2026_Burke,450,5,1.1,0.0,completed,0.1245816487829202,2138.53113617076,184,multicomponent,True,,20.737626099999943
map_0023,training,True,RMG_2026_Burke,300,1,0.9,0.0,completed,0.0584376454783878,1972.1367721009583,188,multicomponent,True,,187.9903422000002
map_0035,training,True,RMG_2026_Burke,300,1,1.4,0.4,completed,0.2658828221551195,1942.66655789797,188,multicomponent,True,,88.92579179999984
map_0047,training,True,RMG_2026_Burke,300,5,0.8,0.2,completed,0.0600321603136174,1892.1967802947063,211,multicomponent,True,,251.9524289000001
map_0059,training,True,RMG_2026_Burke,300,1,1.3,0.3,completed,0.2094090757720265,1974.375553611227,175,multicomponent,True,,95.50274900000022
map_0071,training,True,RMG_2026_Burke,300,5,1.3,0.05,completed,0.0506081147234829,1946.8504530801108,165,multicomponent,True,,109.95719099999953
map_0083,training,False,RMG_2026_Burke,750,1,1.4,0.0,completed,0.5212431966097113,2161.0857664425494,163,multicomponent,True,,25.41615129999991
map_0095,training,False,RMG_2026_Burke,450,20,1.0,0.7,completed,0.5158256755931687,2315.4332033631945,214,multicomponent,True,,85.37602190000052
map_0107,training,False,RMG_2026_Burke,450,1,0.6,0.7,completed,0.7786839747137632,1775.216230499478,194,multicomponent,True,,50.01460450000013
map_0119,training,False,RMG_2026_Burke,600,20,1.4,0.2,completed,0.2115299593425308,2145.738998134332,175,multicomponent,True,,49.8888993999999
map_0125,interpolation_holdout,True,RMG_2026_Burke,450,5,1.0,0.0,completed,0.1016632839059582,2181.010152830097,209,multicomponent,True,,105.99141509999936
map_0131,interpolation_holdout,True,RMG_2026_Burke,300,1,1.4,0.3,completed,0.1819004313104295,1921.5820822684689,164,multicomponent,True,,93.29278310000063
map_0137,interpolation_holdout,False,RMG_2026_Burke,750,1,1.4,0.5,completed,2.788242165599647,2263.554150587084,178,multicomponent,True,,21.926598799999734
map_0143,interpolation_holdout,False,RMG_2026_Burke,750,10,1.4,0.7,completed,2.6898113249907096,2376.476474246328,194,multicomponent,True,,63.97433120000005
