design_id,dataset_id,campaign_id,doi,mechanism_id,experimental_m_per_s,temperature_K,pressure_Pa,equivalence_ratio,cracking_ratio,apparatus,status,simulated_m_per_s,relative_error,converged,failure_reason,grid_points,transport_model,soret_enabled,runtime_s
lbv_0009,x20100010:gdg1:p2:laminar burning velocity,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,RMG_2026_Burke,0.3879999999999999,298.0,101325.0,1.25,0.4,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.392807942654175,0.0123916047788019,True,,191,multicomponent,True,166.21729170000071
lbv_0021,x20199012:gdg1:p10:laminar burning velocity,campaign_5d95bed2df87,10.1016/j.combustflame.2019.08.033,RMG_2026_Burke,0.1728,298.0,101325.0,1.5,0.0,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.1868463574579716,0.0812867908447434,True,,169,multicomponent,True,60.77531830000044
lbv_0003,x20199021:gdg1:p4:laminar burning velocity,campaign_0ddb81cb8c2a,10.1016/j.fuel.2020.118425,RMG_2026_Burke,0.8890000000000001,393.0,100000.0,0.7,0.0,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.8464789958982301,0.0478301508456356,True,,203,multicomponent,True,62.30877500000133
lbv_0015,x20100082:gdg1:p9:laminar burning velocity,campaign_16f8038c5740,10.1016/j.ijhydene.2021.09.188,RMG_2026_Burke,0.341,368.0,101325.0,1.5,0.2222222222222222,flame cone method; modified Bunsen burner,completed,0.41583885752091,0.2194687903839001,True,,181,multicomponent,True,45.027681499999744
lbv_0027,x20100070:gdg1:p5:laminar burning velocity,campaign_629a30b39091,10.1016/j.combustflame.2021.111753,RMG_2026_Burke,0.271,298.0,100000.0,1.2,0.3076935784742251,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.2788624222701558,0.029012628303158,True,,206,multicomponent,True,133.98240330000044
lbv_0033,x20100005:gdg1:p3:laminar burning velocity,campaign_6f2c5118f885,10.1016/j.ijhydene.2010.07.104,RMG_2026_Burke,1.595,298.0,101325.0,1.0,0.8563219731689026,outwardly propagating spherical flame; constant volume combustion chamber,completed,1.4633511960075771,0.0825384351049673,True,,210,multicomponent,True,151.4783736999998
lbv_0006,x20100007:gdg1:p1:laminar burning velocity,campaign_11f336e77db5,10.1016/j.ijhydene.2009.11.071,RMG_2026_Burke,0.07,298.0,101325.0,0.6,0.222222745445213,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.0653183584175607,0.0668805940348462,True,,187,multicomponent,True,145.2313353999998
lbv_0012,x20100082:gdg1:p3:laminar burning velocity,campaign_16f8038c5740,10.1016/j.ijhydene.2021.09.188,RMG_2026_Burke,0.569,368.0,101325.0,0.9,0.2222216460901082,flame cone method; modified Bunsen burner,completed,0.5793600452827194,0.0182074609538128,True,,199,multicomponent,True,59.01882339999975
lbv_0018,x20100076:gdg1:p1:laminar burning velocity,campaign_56edf2653b54,10.1016/j.combustflame.2021.111472,RMG_2026_Burke,0.0943,298.0,101325.0,1.0,0.0999995328579903,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.1045129390092919,0.1083026406075502,True,,197,multicomponent,True,316.73810619999995
lbv_0024,x20199014:gdg1:p10:laminar burning velocity,campaign_5d95bed2df87,10.1016/j.combustflame.2019.08.033,RMG_2026_Burke,0.1331,298.0,506625.0,1.5,0.0,outwardly propagating spherical flame; constant volume combustion chamber,completed,0.1412021301973089,0.0608725033606986,True,,182,multicomponent,True,77.4493781000001
